Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,17.190001,17.200001,16.93,17.049999,94900,16.64253
2015-10-08,17.209999,17.32,16.92,17.059999,109400,16.652291
2015-10-07,17.25,17.35,16.700001,17.200001,106600,16.788947
2015-10-06,16.879999,17.200001,16.65,17.16,191300,16.749902
2015-10-05,16.74,16.90,16.540001,16.74,141200,16.339939
2015-10-02,15.47,16.65,15.24,16.610001,182500,16.213047
2015-10-01,15.88,16.17,15.61,15.73,195500,15.354076
2015-09-30,15.35,15.96,15.11,15.90,195400,15.404833
2015-09-29,15.90,15.92,15.15,15.20,369900,14.726633
2015-09-28,16.219999,16.309999,15.80,15.80,201900,15.307948
2015-09-25,16.65,16.66,16.200001,16.309999,216000,15.802065
2015-09-24,15.88,16.60,15.76,16.549999,287300,16.03459
2015-09-23,16.639999,16.860001,16.09,16.139999,140700,15.637359
2015-09-22,16.790001,16.90,16.41,16.42,205700,15.90864
2015-09-21,17.07,17.07,16.780001,16.98,165300,16.451199
2015-09-18,17.129999,17.25,16.870001,17.049999,157400,16.519019
2015-09-17,17.280001,17.530001,17.120001,17.48,141400,16.935628
2015-09-16,17.129999,17.540001,17.02,17.43,267600,16.887186
2015-09-15,16.459999,16.92,16.370001,16.85,169500,16.325249
2015-09-14,16.58,16.75,16.32,16.33,121400,15.821442
2015-09-11,16.459999,16.74,16.379999,16.57,122100,16.053968
2015-09-10,17.16,17.16,16.559999,16.629999,102500,16.112099
2015-09-09,17.629999,17.629999,16.969999,17.049999,84700,16.519019
2015-09-08,17.549999,17.549999,17.309999,17.49,94700,16.945317
2015-09-04,17.200001,17.40,17.110001,17.27,140600,16.732169
2015-09-03,17.32,17.58,17.32,17.34,100100,16.799989
2015-09-02,17.809999,17.809999,17.27,17.33,104300,16.7903
2015-09-01,17.530001,17.66,17.27,17.530001,166200,16.984072
2015-08-31,17.51,17.969999,17.33,17.700001,73400,17.035422
2015-08-28,17.790001,18.01,17.58,17.629999,130900,16.968049
2015-08-27,17.35,18.08,17.26,18.040001,175700,17.362656
2015-08-26,17.379999,17.379999,16.58,17.030001,182800,16.390578
2015-08-25,17.50,17.58,17.049999,17.09,139300,16.448325
2015-08-24,16.370001,17.59,16.26,17.08,365500,16.4387
2015-08-21,17.01,17.25,16.66,16.950001,230500,16.313582
2015-08-20,17.48,17.639999,17.129999,17.18,176800,16.534946
2015-08-19,17.469999,17.67,17.25,17.60,157700,16.939176
2015-08-18,17.549999,17.67,17.379999,17.610001,135400,16.948801
2015-08-17,17.43,17.52,17.24,17.52,142700,16.86218
2015-08-14,17.01,17.450001,17.01,17.360001,159100,16.708188
2015-08-13,17.16,17.23,16.969999,17.059999,121400,16.419451
2015-08-12,16.73,17.280001,16.620001,17.280001,188800,16.631192
2015-08-11,16.57,16.790001,16.48,16.73,146700,16.101841
2015-08-10,16.209999,16.90,16.18,16.809999,239900,16.178838
2015-08-07,16.15,16.35,16.030001,16.17,237700,15.562868
2015-08-06,16.27,16.450001,15.80,16.17,192400,15.562868
2015-08-05,17.07,17.15,16.219999,16.309999,228900,15.697611
2015-08-04,17.200001,17.309999,16.73,16.92,138800,16.284708
2015-08-03,17.360001,17.379999,17.08,17.23,110300,16.583068
2015-07-31,17.950001,18.25,17.43,17.51,410500,16.739948
2015-07-30,18.08,18.33,18.01,18.08,373100,17.28488
2015-07-29,17.690001,18.24,17.459999,18.24,163300,17.437844
2015-07-28,17.129999,17.780001,16.969999,17.780001,335900,16.998074
2015-07-27,16.74,17.200001,16.51,17.15,375600,16.395779
2015-07-24,16.629999,16.99,16.59,16.99,280300,16.242816
2015-07-23,16.66,16.98,16.43,16.58,251400,15.850847
2015-07-22,16.85,16.950001,16.51,16.59,198800,15.860408
2015-07-21,17.00,17.209999,16.90,16.969999,210100,16.223695
2015-07-20,17.370001,17.40,16.91,16.940001,130200,16.195016
2015-07-17,17.65,17.83,17.41,17.41,160800,16.644345
2015-07-16,18.10,18.10,17.690001,17.719999,210000,16.940712
2015-07-15,18.469999,18.469999,17.98,18.00,205200,17.208399
2015-07-14,18.360001,18.57,18.360001,18.440001,165400,17.629049
2015-07-13,18.299999,18.50,18.299999,18.379999,113800,17.571686
2015-07-10,18.18,18.280001,18.00,18.26,93500,17.456965
2015-07-09,18.370001,18.370001,17.950001,18.049999,200300,17.256199
2015-07-08,18.110001,18.200001,17.77,18.049999,108600,17.256199
2015-07-07,18.059999,18.26,17.700001,18.24,158000,17.437844
2015-07-06,18.02,18.09,17.969999,18.07,64900,17.27532
2015-07-02,17.93,18.23,17.93,18.17,124400,17.370922
2015-07-01,18.41,18.42,17.92,17.940001,155600,17.151038
2015-06-30,18.379999,18.879999,18.17,18.450001,159700,17.526755
2015-06-29,18.459999,18.530001,18.200001,18.209999,142800,17.298763
2015-06-26,18.82,18.82,18.48,18.559999,127500,17.631249
2015-06-25,19.049999,19.049999,18.76,18.799999,122500,17.859239
2015-06-24,18.98,19.07,18.879999,19.049999,137100,18.096729
2015-06-23,19.00,19.10,18.889999,18.93,114200,17.982735
2015-06-22,19.139999,19.139999,18.889999,19.02,85200,18.068232
2015-06-19,19.08,19.08,18.91,18.950001,64700,18.001735
2015-06-18,19.059999,19.120001,18.889999,19.110001,104800,18.153728
2015-06-17,19.309999,19.32,18.940001,18.940001,89800,17.992235
2015-06-16,18.90,19.27,18.879999,19.219999,212400,18.258222
2015-06-15,18.75,18.870001,18.620001,18.85,182200,17.906738
2015-06-12,18.85,18.889999,16.91,18.790001,389900,17.849741
2015-06-11,19.10,19.110001,18.799999,18.950001,170700,18.001735
2015-06-10,19.450001,19.49,19.049999,19.07,200800,18.115729
2015-06-09,19.450001,19.50,19.280001,19.309999,114600,18.343719
2015-06-08,19.690001,19.690001,19.440001,19.459999,96500,18.486212
2015-06-05,19.950001,20.09,19.719999,19.719999,129800,18.733202
2015-06-04,20.34,20.34,20.049999,20.08,61100,19.075188
2015-06-03,20.51,20.57,20.379999,20.42,46500,19.398175
2015-06-02,20.559999,20.59,20.43,20.57,48000,19.540668
2015-06-01,20.870001,20.870001,20.51,20.530001,52300,19.502671
2015-05-29,21.129999,21.129999,20.82,20.84,53200,19.687912
2015-05-28,21.09,21.09,20.66,21.02,74900,19.857962
2015-05-27,21.040001,21.23,20.92,21.110001,130300,19.942986
2015-05-26,20.90,21.209999,20.74,21.15,172900,19.980774
2015-05-22,20.719999,20.889999,20.719999,20.870001,115300,19.716254
2015-05-21,20.75,20.82,20.620001,20.719999,188300,19.574545
2015-05-20,20.41,20.73,20.40,20.700001,249600,19.555652
2015-05-19,20.49,20.49,20.299999,20.370001,60500,19.243896
2015-05-18,20.42,20.549999,20.35,20.51,82400,19.376155
2015-05-15,20.40,20.40,20.219999,20.370001,61600,19.243896
2015-05-14,20.26,20.42,20.08,20.309999,202000,19.187211
2015-05-13,20.02,20.27,20.02,20.120001,97100,19.007716
2015-05-12,19.860001,19.92,19.73,19.91,82300,18.809325
2015-05-11,19.950001,19.969999,19.77,19.809999,107400,18.714853
2015-05-08,20.17,20.17,19.98,20.02,68300,18.913244
2015-05-07,20.190001,20.209999,19.940001,20.049999,145400,18.941584
2015-05-06,20.540001,20.549999,20.209999,20.25,126600,19.130529
2015-05-05,20.559999,20.559999,20.360001,20.51,65000,19.376155
2015-05-04,20.50,20.540001,20.379999,20.459999,75600,19.328919
2015-05-01,20.620001,20.73,20.35,20.540001,94000,19.404498
2015-04-30,20.549999,20.700001,20.540001,20.67,74000,19.418669
2015-04-29,20.35,20.629999,20.33,20.52,119600,19.27775
2015-04-28,20.370001,20.379999,20.280001,20.35,81100,19.118041
2015-04-27,20.52,20.58,20.27,20.280001,91000,19.052279
2015-04-24,20.48,20.52,20.35,20.389999,75300,19.155619
2015-04-23,20.41,20.540001,20.389999,20.440001,68700,19.202593
2015-04-22,20.34,20.42,20.299999,20.34,78000,19.108646
2015-04-21,20.299999,20.379999,20.26,20.299999,72500,19.071067
2015-04-20,20.50,20.60,20.27,20.299999,76800,19.071067
2015-04-17,20.540001,20.540001,20.370001,20.379999,58100,19.146224
2015-04-16,20.549999,20.68,20.48,20.549999,141400,19.305932
2015-04-15,20.50,20.610001,20.370001,20.549999,138700,19.305932
2015-04-14,20.24,20.40,20.10,20.34,114000,19.108646
2015-04-13,20.299999,20.41,20.09,20.15,118600,18.930148
2015-04-10,20.16,20.25,20.129999,20.190001,58900,18.967728
2015-04-09,20.26,20.26,20.02,20.059999,82100,18.845597
2015-04-08,20.290001,20.309999,20.07,20.17,84100,18.948938
2015-04-07,20.15,20.370001,20.120001,20.190001,98500,18.967728
2015-04-06,20.08,20.33,20.059999,20.23,94800,19.005305
2015-04-02,20.07,20.16,19.85,19.98,183500,18.77044
2015-04-01,20.360001,20.389999,20.07,20.219999,170600,18.99591
2015-03-31,20.629999,20.74,20.129999,20.370001,132800,19.028793
2015-03-30,20.639999,20.68,20.43,20.65,83300,19.290356
2015-03-27,20.57,20.809999,20.360001,20.469999,120300,19.122207
2015-03-26,20.84,20.889999,20.450001,20.51,175200,19.159574
2015-03-25,20.51,20.67,20.370001,20.620001,96500,19.262332
2015-03-24,20.870001,20.870001,20.280001,20.379999,157000,19.038133
2015-03-23,20.379999,20.959999,20.32,20.940001,153600,19.561262
2015-03-20,20.17,20.280001,20.129999,20.190001,135500,18.860644
2015-03-19,20.27,20.27,19.98,20.02,108500,18.701837
2015-03-18,19.969999,20.440001,19.870001,20.35,130500,19.010109
2015-03-17,19.780001,20.09,19.67,19.99,150800,18.673812
2015-03-16,19.799999,19.83,19.51,19.83,183000,18.524347
2015-03-13,19.75,19.799999,19.49,19.65,82300,18.356198
2015-03-12,20.139999,20.15,19.85,19.85,83000,18.54303
2015-03-11,20.48,20.49,20.02,20.02,99800,18.701837
2015-03-10,20.15,20.52,20.00,20.48,188600,19.131549
2015-03-09,20.379999,20.58,20.139999,20.18,103000,18.851302
2015-03-06,20.50,20.549999,20.27,20.459999,115800,19.112865
2015-03-05,20.65,20.709999,20.549999,20.620001,99700,19.262332
2015-03-04,20.549999,20.59,20.450001,20.58,83200,19.224965
2015-03-03,20.85,20.889999,20.389999,20.52,148500,19.168916
2015-03-02,21.049999,21.10,20.76,20.76,81400,19.393113
2015-02-27,21.08,21.209999,21.01,21.08,102900,19.586484
2015-02-26,21.129999,21.16,20.93,21.01,163500,19.521444
2015-02-25,21.00,21.23,21.00,21.129999,98300,19.632941
2015-02-24,20.92,21.02,20.84,21.00,89800,19.512152
2015-02-23,20.879999,20.92,20.76,20.799999,86800,19.326321
2015-02-20,20.809999,21.02,20.709999,20.90,99900,19.419237
2015-02-19,20.620001,20.76,20.530001,20.719999,78700,19.25199
2015-02-18,20.57,20.82,20.559999,20.74,119900,19.270573
2015-02-17,20.82,20.98,20.610001,20.67,124900,19.205533
2015-02-13,20.85,21.08,20.709999,20.73,100900,19.261281
2015-02-12,20.99,21.16,20.67,20.75,110100,19.279865
2015-02-11,20.799999,21.059999,20.700001,20.700001,99900,19.233408
2015-02-10,21.07,21.110001,20.540001,20.84,92500,19.363488
2015-02-09,21.360001,21.58,20.879999,20.93,104700,19.447112
2015-02-06,21.15,21.370001,21.110001,21.27,160000,19.763023
2015-02-05,21.01,21.09,20.90,20.959999,100300,19.474985
2015-02-04,20.889999,20.99,20.700001,20.709999,106100,19.242698
2015-02-03,20.92,21.10,20.790001,20.959999,105700,19.474985
2015-02-02,20.959999,20.959999,20.360001,20.85,81100,19.37278
2015-01-30,20.35,20.950001,20.23,20.860001,138500,19.277077
2015-01-29,20.23,20.379999,19.799999,20.370001,107100,18.82426
2015-01-28,20.60,20.60,20.139999,20.23,127600,18.694882
2015-01-27,20.440001,20.610001,20.23,20.549999,105000,18.990599
2015-01-26,20.57,20.60,20.35,20.469999,108800,18.91667
2015-01-23,20.690001,20.700001,20.33,20.51,159700,18.953636
2015-01-22,20.43,20.719999,20.40,20.629999,98600,19.064529
2015-01-21,20.059999,20.450001,20.059999,20.41,122700,18.861224
2015-01-20,20.049999,20.629999,19.75,19.969999,380200,18.454612
2015-01-16,19.68,20.23,19.60,20.15,113600,18.620953
2015-01-15,19.700001,19.84,19.450001,19.59,146900,18.103448
2015-01-14,19.389999,19.57,19.00,19.43,193100,17.95559
2015-01-13,19.790001,19.90,19.40,19.51,124000,18.029519
2015-01-12,20.129999,20.129999,19.530001,19.74,217700,18.242065
2015-01-09,20.049999,20.32,20.030001,20.139999,79200,18.611712
2015-01-08,20.00,20.27,20.00,20.129999,150400,18.60247
2015-01-07,20.02,20.290001,19.799999,19.85,102600,18.343719
2015-01-06,20.190001,20.49,19.700001,19.889999,170300,18.380682
2015-01-05,21.190001,21.209999,20.18,20.32,197200,18.778053
2015-01-02,21.450001,21.450001,21.200001,21.450001,80000,19.822306
2014-12-31,21.370001,21.58,21.15,21.549999,74000,19.810292
2014-12-30,21.190001,21.41,21.07,21.34,102100,19.617246
2014-12-29,21.18,21.35,21.02,21.110001,89900,19.405814
2014-12-26,21.389999,21.389999,21.030001,21.129999,59900,19.424198
2014-12-24,21.139999,21.379999,20.969999,21.290001,66100,19.571283
2014-12-23,20.709999,21.33,20.67,21.209999,267300,19.497739
2014-12-22,20.700001,20.700001,20.17,20.48,149400,18.826672
2014-12-19,20.35,20.77,20.200001,20.76,126300,19.084068
2014-12-18,20.469999,20.709999,19.959999,20.290001,214400,18.652012
2014-12-17,19.209999,20.370001,19.09,20.24,349900,18.606047
2014-12-16,18.809999,19.450001,18.58,19.08,261900,17.539693
2014-12-15,19.459999,19.59,18.83,18.950001,197300,17.420188
2014-12-12,19.309999,19.540001,18.950001,19.41,286600,17.843052
2014-12-11,19.620001,20.110001,19.469999,19.60,390000,18.017714
2014-12-10,20.200001,20.200001,19.33,19.549999,290600,17.97175
2014-12-09,19.809999,20.26,19.690001,20.219999,177500,18.587661
2014-12-08,20.99,20.99,20.07,20.110001,193400,18.486543
2014-12-05,20.950001,21.15,20.870001,20.950001,83900,19.25873
2014-12-04,20.879999,21.059999,20.860001,20.950001,193600,19.25873
2014-12-03,20.950001,21.190001,20.879999,20.959999,107400,19.267922
2014-12-02,20.469999,20.940001,20.459999,20.75,111000,19.074876
2014-12-01,20.700001,20.709999,20.299999,20.610001,306300,18.946178
2014-11-28,21.85,21.870001,20.860001,20.889999,170700,19.100615
2014-11-26,21.940001,22.120001,21.85,22.120001,78200,20.225257
2014-11-25,21.84,21.950001,21.559999,21.950001,157200,20.069819
2014-11-24,21.940001,21.940001,21.65,21.73,136000,19.868663
2014-11-21,22.18,22.23,21.700001,21.84,145400,19.969241
2014-11-20,21.860001,22.200001,21.84,21.90,94600,20.024101
2014-11-19,21.57,22.10,21.540001,22.00,108500,20.115535
2014-11-18,21.299999,21.629999,21.299999,21.620001,105800,19.768086
2014-11-17,21.389999,21.40,21.08,21.35,114500,19.521213
2014-11-14,21.219999,21.51,21.200001,21.40,112600,19.56693
2014-11-13,21.459999,21.65,21.299999,21.32,104600,19.493782
2014-11-12,21.17,21.610001,21.17,21.540001,119400,19.694939
2014-11-11,21.17,21.370001,21.110001,21.23,66200,19.411491
2014-11-10,21.33,21.43,21.17,21.25,100900,19.429779
2014-11-07,21.32,21.440001,20.940001,21.32,148800,19.493782
2014-11-06,20.90,21.309999,20.870001,21.290001,119800,19.466353
2014-11-05,20.969999,21.049999,20.75,20.98,89700,19.182906
2014-11-04,21.450001,21.549999,20.75,20.76,230000,18.981751
2014-11-03,21.83,21.879999,21.48,21.57,92600,19.722368
2014-10-31,21.59,21.639999,21.209999,21.610001,93400,19.656536
2014-10-30,21.139999,21.42,21.02,21.40,97000,19.465518
2014-10-29,21.15,21.43,21.030001,21.129999,87600,19.219924
2014-10-28,20.940001,21.309999,20.940001,21.120001,102300,19.21083
2014-10-27,21.200001,21.27,20.84,20.940001,128100,19.047101
2014-10-24,20.99,21.639999,20.98,21.23,156800,19.310885
2014-10-23,21.190001,21.27,20.889999,21.01,106700,19.110773
2014-10-22,21.299999,21.35,20.809999,20.959999,110600,19.065292
2014-10-21,21.17,21.450001,21.049999,21.120001,141400,19.21083
2014-10-20,20.85,21.15,20.370001,21.030001,107300,19.128965
2014-10-17,21.110001,21.459999,20.35,20.90,131100,19.010716
2014-10-16,19.469999,20.99,19.200001,20.77,217100,18.892468
2014-10-15,18.83,19.620001,18.610001,19.59,229000,17.819136
2014-10-14,19.200001,19.40,18.530001,18.99,168700,17.273373
2014-10-13,19.809999,20.110001,19.120001,19.129999,155900,17.400717
2014-10-10,20.10,20.10,19.51,19.790001,344700,18.001057
2014-10-09,20.59,20.620001,20.16,20.219999,196100,18.392185
2014-10-08,20.559999,20.639999,20.360001,20.540001,178100,18.68326
2014-10-07,20.82,20.93,20.65,20.67,100700,18.801508
2014-10-06,21.059999,21.07,20.799999,20.82,87900,18.937948
2014-10-03,21.190001,21.280001,20.90,20.969999,135300,19.074388
2014-10-02,21.129999,21.200001,20.60,21.110001,235700,19.201734
2014-10-01,21.299999,21.34,20.92,21.10,159800,19.192637
2014-09-30,21.030001,21.370001,20.93,21.370001,130200,19.336355
2014-09-29,20.83,20.99,20.709999,20.99,101100,18.992516
2014-09-26,20.639999,20.91,20.60,20.889999,158700,18.902032
2014-09-25,20.66,20.879999,20.43,20.629999,198900,18.666775
2014-09-24,20.85,20.85,20.60,20.67,239800,18.702969
2014-09-23,20.889999,21.049999,20.719999,20.84,160400,18.856791
2014-09-22,21.290001,21.299999,20.98,21.00,215500,19.001565
2014-09-19,21.209999,21.290001,21.09,21.209999,237800,19.19158
2014-09-18,21.32,21.43,21.190001,21.200001,159000,19.182533
2014-09-17,21.23,21.370001,21.18,21.309999,102400,19.282064
2014-09-16,21.18,21.42,21.10,21.209999,166400,19.19158
2014-09-15,21.469999,21.469999,21.15,21.18,122000,19.164436
2014-09-12,21.74,21.74,21.32,21.450001,163500,19.408742
2014-09-11,21.629999,21.780001,21.58,21.709999,109700,19.643998
2014-09-10,21.65,21.76,21.65,21.719999,112700,19.653046
2014-09-09,21.719999,21.85,21.60,21.690001,157300,19.625902
2014-09-08,21.77,22.01,21.700001,21.77,138200,19.698289
2014-09-05,21.940001,21.99,21.799999,21.809999,115800,19.734482
2014-09-04,22.129999,22.18,21.82,21.870001,113200,19.788773
2014-09-03,22.16,22.17,22.02,22.110001,112600,20.005934
2014-09-02,22.129999,22.200001,22.01,22.02,144200,19.924498
2014-08-29,22.18,22.25,22.120001,22.15,90500,19.940784
2014-08-28,22.129999,22.24,22.00,22.09,128300,19.886769
2014-08-27,21.889999,22.139999,21.83,22.139999,106800,19.931782
2014-08-26,21.780001,21.969999,21.76,21.84,219600,19.661704
2014-08-25,21.719999,21.809999,21.68,21.709999,158500,19.544669
2014-08-22,21.860001,21.91,21.66,21.67,151400,19.508659
2014-08-21,21.77,21.85,21.68,21.809999,192900,19.634695
2014-08-20,21.66,21.790001,21.629999,21.690001,223100,19.526665
2014-08-19,21.58,21.690001,21.559999,21.65,142600,19.490654
2014-08-18,21.98,22.15,21.49,21.549999,231600,19.400627
2014-08-15,21.76,21.889999,21.59,21.790001,87200,19.616692
2014-08-14,21.459999,21.59,21.309999,21.52,98100,19.373621
2014-08-13,21.379999,21.530001,21.25,21.35,118100,19.220576
2014-08-12,21.49,21.690001,21.15,21.379999,130300,19.247583
2014-08-11,21.049999,21.469999,21.049999,21.43,161400,19.292597
2014-08-08,20.610001,20.75,20.459999,20.73,69600,18.662414
2014-08-07,20.549999,20.75,20.469999,20.58,76100,18.527375
2014-08-06,20.48,20.639999,20.40,20.49,54900,18.446351
2014-08-05,20.77,20.809999,20.41,20.50,82700,18.455354
2014-08-04,20.719999,20.889999,20.530001,20.75,62300,18.680419
2014-08-01,21.030001,21.23,20.43,20.610001,145500,18.554383
2014-07-31,21.07,21.15,20.83,21.129999,177100,18.921689
2014-07-30,21.50,21.540001,21.17,21.209999,113400,18.993328
2014-07-29,21.450001,21.58,21.450001,21.50,72300,19.253021
2014-07-28,21.459999,21.57,21.389999,21.459999,74000,19.2172
2014-07-25,21.700001,21.799999,21.43,21.459999,111400,19.2172
2014-07-24,21.799999,21.91,21.690001,21.75,143300,19.476893
2014-07-23,21.92,22.09,21.73,21.790001,121700,19.512713
2014-07-22,21.629999,21.879999,21.620001,21.83,155500,19.548532
2014-07-21,21.469999,21.85,21.41,21.59,153300,19.333615
2014-07-18,21.49,21.60,21.450001,21.469999,121300,19.226155
2014-07-17,21.40,21.75,21.40,21.50,231200,19.253021
2014-07-16,21.450001,21.66,21.40,21.440001,193200,19.199292
2014-07-15,21.469999,21.49,21.389999,21.42,121900,19.181382
2014-07-14,21.34,21.41,21.290001,21.41,74700,19.172427
2014-07-11,21.049999,21.34,21.049999,21.299999,89700,19.073922
2014-07-10,21.00,21.32,20.969999,21.07,113200,18.86796
2014-07-09,21.129999,21.18,20.92,21.08,134400,18.876915
2014-07-08,21.049999,21.129999,20.93,21.00,131900,18.805276
2014-07-07,21.200001,21.299999,21.02,21.040001,129400,18.841096
2014-07-03,21.33,21.42,21.17,21.18,78700,18.966464
2014-07-02,21.52,21.549999,21.33,21.40,160700,19.163471
2014-07-01,21.540001,21.60,21.49,21.559999,184200,19.30675
2014-06-30,21.540001,21.620001,21.42,21.559999,214700,19.206455
2014-06-27,21.42,21.629999,21.360001,21.629999,131600,19.268813
2014-06-26,21.32,21.50,21.24,21.379999,141700,19.046104
2014-06-25,21.139999,21.32,21.120001,21.26,128200,18.939204
2014-06-24,21.24,21.360001,21.10,21.10,170000,18.79667
2014-06-23,21.16,21.33,21.16,21.24,114000,18.921387
2014-06-20,21.15,21.23,21.040001,21.16,138300,18.85012
2014-06-19,21.15,21.32,21.129999,21.15,180200,18.841211
2014-06-18,21.299999,21.370001,21.139999,21.16,128100,18.85012
2014-06-17,20.92,21.40,20.92,21.35,161200,19.019379
2014-06-16,20.780001,20.99,20.75,20.969999,137300,18.68086
2014-06-13,20.639999,20.77,20.620001,20.74,64500,18.475968
2014-06-12,20.91,20.99,20.639999,20.68,108600,18.422518
2014-06-11,20.879999,21.049999,20.879999,20.940001,106700,18.654136
2014-06-10,20.91,21.00,20.870001,20.90,104800,18.618502
2014-06-09,20.879999,20.98,20.84,20.84,162800,18.565052
2014-06-06,20.93,21.02,20.92,20.93,78100,18.645228
2014-06-05,20.940001,21.08,20.92,20.92,117600,18.636319
2014-06-04,21.00,21.10,20.93,20.969999,261600,18.68086
2014-06-03,20.85,20.969999,20.85,20.950001,143100,18.663045
2014-06-02,20.780001,20.93,20.75,20.91,101900,18.627411
2014-05-30,20.790001,20.84,20.67,20.799999,130200,18.429644
2014-05-29,20.860001,20.889999,20.76,20.780001,128100,18.411925
2014-05-28,20.610001,20.90,20.610001,20.799999,129600,18.429644
2014-05-27,20.700001,20.76,20.530001,20.540001,153300,18.199275
2014-05-23,20.629999,20.75,20.629999,20.700001,82900,18.341042
2014-05-22,20.549999,20.65,20.51,20.59,130700,18.243577
2014-05-21,20.41,20.540001,20.41,20.469999,78400,18.137251
2014-05-20,20.57,20.60,20.35,20.389999,139000,18.066368
2014-05-19,20.780001,20.83,20.530001,20.549999,102900,18.208134
2014-05-16,20.75,21.02,20.66,20.719999,132200,18.358761
2014-05-15,20.73,20.74,20.49,20.700001,166800,18.341042
2014-05-14,20.389999,20.790001,20.379999,20.66,160000,18.305599
2014-05-13,20.50,20.549999,20.33,20.469999,122500,18.137251
2014-05-12,20.290001,20.57,20.290001,20.559999,128500,18.216995
2014-05-09,20.389999,20.389999,20.200001,20.27,100300,17.960044
2014-05-08,20.42,20.52,20.389999,20.440001,124100,18.110671
2014-05-07,20.42,20.540001,20.42,20.469999,98800,18.137251
2014-05-06,20.26,20.42,20.23,20.41,136700,18.084089
2014-05-05,20.120001,20.290001,20.00,20.280001,180600,17.968905
2014-05-02,20.34,20.34,20.120001,20.190001,158100,17.889161
2014-05-01,20.59,20.73,20.23,20.25,188000,17.942323
2014-04-30,20.780001,20.780001,20.540001,20.639999,128100,18.188642
2014-04-29,20.40,20.75,20.32,20.67,139600,18.21508
2014-04-28,20.18,20.40,20.18,20.379999,107000,17.959521
2014-04-25,20.17,20.24,20.059999,20.120001,114200,17.730402
2014-04-24,20.18,20.200001,20.059999,20.139999,143700,17.748026
2014-04-23,20.059999,20.200001,20.059999,20.16,123200,17.765651
2014-04-22,20.190001,20.209999,20.059999,20.110001,188500,17.72159
2014-04-21,20.10,20.200001,20.059999,20.200001,129600,17.800901
2014-04-17,19.940001,20.110001,19.93,20.040001,138000,17.659904
2014-04-16,19.92,19.99,19.83,19.99,124400,17.615841
