Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,41.360001,41.849998,39.07,39.130001,931700,39.130001
2015-10-08,38.700001,42.060001,38.700001,40.950001,470500,40.950001
2015-10-07,37.59,40.145,37.59,39.360001,497000,39.360001
2015-10-06,35.299999,38.00,35.110001,37.889999,269600,37.889999
2015-10-05,35.799999,37.689999,35.700001,35.900002,667900,35.900002
2015-10-02,34.48,35.50,34.279999,35.299999,500500,35.299999
2015-10-01,33.939999,35.799999,33.919998,35.07,821900,35.07
2015-09-30,34.099998,34.720001,33.50,34.43,750400,34.43
2015-09-29,34.34,34.50,31.694,33.549999,1417900,33.549999
2015-09-28,36.50,37.150002,31.00,34.00,1170500,34.00
2015-09-25,36.25,37.130001,36.25,36.990002,392200,36.990002
2015-09-24,37.73,39.130001,36.389999,36.799999,14800,36.799999
2015-09-23,38.099998,38.139999,38.099998,38.139999,600,38.139999
2015-09-22,38.959999,38.959999,38.25,38.25,1100,38.25
2015-09-21,39.439999,39.439999,39.25,39.25,300,39.25
2015-09-18,39.00,39.00,38.990002,38.990002,300,38.990002
2015-09-17,39.900002,39.900002,39.560001,39.560001,1100,39.560001
