Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.39,14.47,14.39,14.47,1100,14.218281
2015-10-08,14.15,14.38,14.15,14.38,8700,14.129847
2015-10-07,14.22,14.34,14.12,14.18,8200,13.933326
2015-10-06,14.27,14.31,14.26,14.30,4000,14.051239
2015-10-05,14.40,14.40,14.29,14.29,3500,14.041412
2015-10-02,14.26,14.44,14.26,14.38,5000,14.129847
2015-10-01,14.24,14.29,14.17,14.20,8900,13.952978
2015-09-30,14.39,14.39,14.27,14.28,2200,13.948065
2015-09-29,14.39,14.40,14.23,14.24,3700,13.908995
2015-09-28,14.40,14.41,14.30,14.39,14200,14.055509
2015-09-25,14.33,14.34,14.33,14.34,500,14.006671
2015-09-24,14.21,14.32,14.17,14.26,4100,13.92853
2015-09-23,14.25,14.25,14.04,14.16,9600,13.830854
2015-09-22,14.33,14.40,14.25,14.33,1300,13.996903
2015-09-21,14.27,14.30,14.27,14.27,1100,13.938298
2015-09-18,14.28,14.44,14.27,14.39,9500,14.055509
2015-09-17,14.34,14.35,14.29,14.35,1300,14.016438
2015-09-16,14.28,14.34,14.22,14.33,14400,13.996903
2015-09-15,14.48,14.48,14.32,14.34,2100,14.006671
2015-09-14,14.43,14.43,14.37,14.42,8800,14.084811
2015-09-11,14.31,14.38,14.31,14.38,8500,14.045741
2015-09-10,14.48,14.48,14.38,14.48,4400,14.143416
2015-09-09,14.38,14.43,14.37,14.43,8500,14.094579
2015-09-08,14.39,14.41,14.38,14.41,20200,14.075043
2015-09-04,14.39,14.39,14.36,14.36,1900,14.026205
2015-09-03,14.50,14.50,14.36,14.38,5700,14.045741
2015-09-02,14.43,14.43,14.34,14.40,3700,14.065275
2015-09-01,14.21,14.34,14.21,14.34,5100,14.006671
2015-08-31,14.39,14.43,14.32,14.39,14000,13.972485
2015-08-28,14.36,14.43,14.35,14.42,3400,14.001614
2015-08-27,14.34,14.50,14.31,14.41,12400,13.991904
2015-08-26,14.40,14.42,14.26,14.40,11700,13.982194
2015-08-25,14.46,14.46,14.27,14.27,13900,13.855967
2015-08-24,14.37,14.42,14.37,14.42,1800,14.001614
2015-08-21,14.37,14.45,14.37,14.44,10100,14.021033
2015-08-20,14.39,14.45,14.38,14.42,15000,14.001614
2015-08-19,14.35,14.45,14.24,14.45,54900,14.030743
2015-08-18,14.37,14.39,14.32,14.34,7900,13.923935
2015-08-17,14.30,14.44,14.22,14.37,10400,13.953065
2015-08-14,14.39,14.39,14.30,14.39,3800,13.972485
2015-08-13,14.36,14.37,14.33,14.35,2400,13.933645
2015-08-12,14.50,14.50,14.43,14.43,4200,14.011324
2015-08-11,14.44,14.46,14.42,14.45,1200,14.030743
2015-08-10,14.63,14.66,14.47,14.53,13000,14.108422
2015-08-07,14.62,14.68,14.39,14.61,13400,14.186101
2015-08-06,14.53,14.68,14.53,14.63,8200,14.205521
2015-08-05,14.63,14.64,14.45,14.58,14700,14.156972
2015-08-04,14.68,14.70,14.64,14.64,24900,14.215231
2015-08-03,14.60,14.79,14.60,14.69,18500,14.26378
2015-07-31,14.60,14.65,14.60,14.65,6000,14.142406
2015-07-30,14.51,14.57,14.51,14.57,2000,14.065178
2015-07-29,14.46,14.46,14.46,14.46,000,13.95899
2015-07-28,14.44,14.50,14.44,14.46,11700,13.95899
2015-07-27,14.37,14.40,14.37,14.39,3100,13.891416
2015-07-24,14.32,14.35,14.32,14.34,3200,13.843148
2015-07-23,14.32,14.34,14.32,14.33,1700,13.833494
2015-07-22,14.38,14.38,14.30,14.32,1200,13.82384
2015-07-21,14.38,14.38,14.35,14.35,800,13.852802
2015-07-20,14.35,14.37,14.29,14.34,6400,13.843148
2015-07-17,14.40,14.47,14.35,14.45,7700,13.949336
2015-07-16,14.38,14.48,14.33,14.48,5800,13.978297
2015-07-15,14.38,14.42,14.34,14.42,10500,13.920376
2015-07-14,14.35,14.37,14.28,14.35,7100,13.852802
2015-07-13,14.32,14.38,14.32,14.35,4400,13.852802
2015-07-10,14.28,14.37,14.27,14.31,11800,13.814188
2015-07-09,14.23,14.28,14.22,14.25,13100,13.756266
2015-07-08,14.23,14.25,14.17,14.21,2200,13.717652
2015-07-07,14.17,14.28,14.11,14.22,8600,13.727306
2015-07-06,14.12,14.18,14.12,14.15,1700,13.65973
2015-07-02,14.13,14.18,14.06,14.13,7000,13.640424
2015-07-01,14.18,14.18,14.08,14.08,7500,13.592156
2015-06-30,13.78,14.14,13.70,14.12,18900,13.548715
2015-06-29,14.21,14.21,13.89,13.92,6300,13.356807
2015-06-26,14.19,14.22,14.14,14.19,3200,13.615882
2015-06-25,14.26,14.30,14.20,14.21,6800,13.635074
2015-06-24,14.27,14.29,14.23,14.28,3400,13.702241
2015-06-23,14.24,14.31,14.19,14.20,10300,13.625478
2015-06-22,14.26,14.32,14.20,14.29,13400,13.711837
2015-06-19,14.37,14.43,14.28,14.35,18600,13.76941
2015-06-18,14.38,14.49,14.36,14.37,4700,13.7886
2015-06-17,14.41,14.44,14.32,14.44,5000,13.855768
2015-06-16,14.46,14.59,14.33,14.40,7700,13.817386
2015-06-15,14.55,14.63,14.50,14.50,10000,13.913341
2015-06-12,14.42,14.52,14.35,14.50,5400,13.913341
2015-06-11,14.47,14.47,14.45,14.46,1600,13.874959
2015-06-10,14.55,14.60,14.45,14.45,14400,13.865363
2015-06-09,14.45,14.53,14.45,14.51,4400,13.922936
2015-06-08,14.51,14.53,14.43,14.51,10500,13.922936
2015-06-05,14.60,14.60,14.51,14.51,3800,13.922936
