Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.26,13.32,13.18,13.18,6100,13.013963
2015-10-08,13.27,13.31,13.21,13.26,2800,13.092955
2015-10-07,13.27,13.27,13.22,13.22,2000,13.053459
2015-10-06,13.20,13.28,13.20,13.27,2000,13.102829
2015-10-05,13.21,13.27,13.18,13.18,18200,13.013963
2015-10-02,13.12,13.22,13.12,13.22,32400,13.053459
2015-10-01,13.19,13.20,13.11,13.11,7400,12.944844
2015-09-30,13.17,13.20,13.14,13.15,7200,12.98434
2015-09-29,13.15,13.19,13.13,13.14,15300,12.974467
2015-09-28,13.21,13.21,13.19,13.19,1800,13.023836
2015-09-25,13.16,13.21,13.16,13.20,4900,13.03371
2015-09-24,13.21,13.21,13.17,13.17,2800,13.004089
2015-09-23,13.19,13.21,13.15,13.17,3200,13.004089
2015-09-22,13.21,13.21,13.13,13.16,5800,12.994214
2015-09-21,13.21,13.21,13.20,13.21,5100,13.043585
2015-09-18,13.26,13.26,13.14,13.23,4800,13.008038
2015-09-17,12.95,13.23,12.95,13.23,5500,13.008038
2015-09-16,12.94,13.00,12.94,12.98,6900,12.762232
2015-09-15,13.03,13.03,12.98,12.98,600,12.762232
2015-09-14,13.16,13.16,13.02,13.05,12500,12.831058
2015-09-11,13.15,13.16,13.07,13.16,8600,12.939212
2015-09-10,13.12,13.14,13.09,13.11,8400,12.890051
2015-09-09,13.09,13.14,13.03,13.14,12100,12.919548
2015-09-08,13.00,13.08,12.98,13.07,9200,12.850722
2015-09-04,12.97,12.98,12.96,12.98,900,12.762232
2015-09-03,12.96,12.97,12.89,12.97,11900,12.752401
2015-09-02,12.96,13.01,12.88,12.90,12900,12.683574
2015-09-01,13.03,13.03,12.90,12.91,15000,12.693407
2015-08-31,13.02,13.02,12.91,12.97,12000,12.752401
2015-08-28,13.04,13.07,12.98,12.98,25200,12.762232
2015-08-27,12.99,13.02,12.95,13.01,17600,12.791729
2015-08-26,13.13,13.13,13.04,13.04,16600,12.821226
2015-08-25,13.07,13.19,13.04,13.10,28000,12.88022
2015-08-24,13.00,13.17,13.00,13.06,62500,12.840891
2015-08-21,13.04,13.17,13.04,13.08,12500,12.860555
2015-08-20,13.12,13.17,13.07,13.09,14900,12.870387
2015-08-19,13.09,13.17,13.09,13.17,2300,12.949045
2015-08-18,13.16,13.22,13.14,13.22,10400,12.943145
2015-08-17,13.20,13.25,13.15,13.20,6400,12.923563
2015-08-14,13.20,13.25,13.16,13.25,14800,12.972516
2015-08-13,13.21,13.24,13.17,13.21,4200,12.933354
2015-08-12,13.22,13.33,13.19,13.22,4400,12.943145
2015-08-11,13.12,13.25,13.05,13.20,14300,12.923563
2015-08-10,12.86,13.16,12.86,13.14,120000,12.86482
2015-08-07,12.80,12.83,12.80,12.83,4000,12.561312
2015-08-06,12.78,12.82,12.75,12.81,27800,12.541731
2015-08-05,12.75,12.82,12.74,12.80,112000,12.531941
2015-08-04,12.98,13.13,12.70,12.76,82300,12.492778
2015-08-03,13.22,13.23,12.96,12.99,25700,12.717961
2015-07-31,13.16,13.43,13.14,13.22,17300,12.943145
2015-07-30,13.15,13.18,13.13,13.15,8900,12.87461
2015-07-29,13.14,13.38,13.11,13.11,56900,12.835448
2015-07-28,13.13,13.14,13.10,13.10,5300,12.825658
2015-07-27,13.15,13.45,13.11,13.14,44900,12.86482
2015-07-24,13.15,13.27,13.13,13.17,15400,12.894192
2015-07-23,13.10,13.21,13.10,13.15,3400,12.87461
2015-07-22,13.27,13.49,12.94,13.15,92200,12.87461
2015-07-21,13.02,13.18,13.01,13.18,19300,12.903983
2015-07-20,13.12,13.32,13.01,13.01,13500,12.682716
2015-07-17,13.04,13.17,13.04,13.07,19500,12.741206
2015-07-16,13.01,13.18,13.01,13.10,28300,12.770452
2015-07-15,13.06,13.20,13.03,13.03,11300,12.702212
2015-07-14,13.06,13.13,13.06,13.12,16400,12.789948
2015-07-13,13.04,13.16,13.03,13.09,30300,12.760703
2015-07-10,13.26,13.26,13.06,13.08,8200,12.750954
2015-07-09,13.07,13.21,13.06,13.12,41700,12.789948
2015-07-08,13.10,13.30,13.00,13.12,12000,12.789948
2015-07-07,13.04,13.15,13.01,13.11,14400,12.7802
2015-07-06,13.00,13.08,12.96,13.04,48300,12.711961
2015-07-02,12.97,13.07,12.95,13.02,39900,12.692464
2015-07-01,13.13,13.13,12.95,12.97,19100,12.643722
2015-06-30,13.00,13.37,12.84,13.19,78700,12.858187
2015-06-29,13.06,13.06,12.70,13.01,89200,12.682716
2015-06-26,12.93,13.08,12.88,12.96,47400,12.633973
2015-06-25,12.95,13.07,12.87,12.93,62000,12.604728
2015-06-24,12.92,13.03,12.85,13.00,54100,12.672967
2015-06-23,12.87,12.97,12.72,12.94,85500,12.614476
2015-06-22,12.63,12.93,12.61,12.93,175600,12.604728
2015-06-19,12.28,12.78,12.28,12.69,342500,12.370765
2015-06-18,12.29,12.38,12.29,12.36,7500,11.994476
2015-06-17,12.29,12.35,12.28,12.33,13200,11.965363
2015-06-16,12.35,12.38,12.31,12.31,24900,11.945955
2015-06-15,12.34,12.43,12.16,12.31,16300,11.945955
2015-06-12,12.26,12.39,12.26,12.35,14100,11.984772
2015-06-11,12.21,12.33,12.21,12.29,10300,11.926546
2015-06-10,12.16,12.25,12.16,12.24,24500,11.878025
2015-06-09,12.22,12.30,12.19,12.22,30800,11.858616
2015-06-08,12.24,12.30,12.24,12.26,16600,11.897433
2015-06-05,12.34,12.34,12.24,12.26,14500,11.897433
2015-06-04,12.37,12.41,12.34,12.38,15300,12.013885
2015-06-03,12.40,12.41,12.36,12.39,14100,12.023589
2015-06-02,12.45,12.46,12.43,12.43,4400,12.062406
2015-06-01,12.47,12.51,12.47,12.48,4700,12.110927
2015-05-29,12.41,12.48,12.41,12.48,12500,12.110927
2015-05-28,12.41,12.43,12.40,12.41,8400,12.042997
2015-05-27,12.41,12.48,12.41,12.45,22900,12.081814
2015-05-26,12.39,12.47,12.39,12.45,8700,12.081814
2015-05-22,12.46,12.46,12.40,12.43,17300,12.062406
2015-05-21,12.52,12.54,12.51,12.52,4300,12.149745
2015-05-20,12.54,12.54,12.51,12.51,5400,12.14004
2015-05-19,12.57,12.57,12.54,12.56,4700,12.134218
2015-05-18,12.62,12.62,12.57,12.60,16700,12.172862
2015-05-15,12.62,12.64,12.51,12.61,19700,12.182522
2015-05-14,12.58,12.64,12.55,12.63,18500,12.201844
2015-05-13,12.60,12.62,12.54,12.55,8800,12.124556
2015-05-12,12.57,12.61,12.52,12.56,9000,12.134218
2015-05-11,12.71,12.71,12.59,12.60,7600,12.172862
2015-05-08,12.72,12.73,12.69,12.71,4900,12.279132
2015-05-07,12.69,12.69,12.65,12.66,10100,12.230827
2015-05-06,12.72,12.75,12.63,12.71,29900,12.279132
2015-05-05,12.78,12.78,12.71,12.74,14800,12.308115
2015-05-04,12.79,12.80,12.75,12.76,16100,12.327437
2015-05-01,12.84,12.84,12.78,12.79,13700,12.35642
2015-04-30,12.80,12.82,12.78,12.82,3900,12.385403
2015-04-29,12.80,12.86,12.80,12.86,11700,12.424047
2015-04-28,12.77,12.84,12.76,12.84,13800,12.404725
2015-04-27,12.82,12.83,12.76,12.76,9800,12.327437
2015-04-24,12.81,12.84,12.79,12.79,11100,12.35642
2015-04-23,12.83,12.84,12.81,12.82,14400,12.385403
2015-04-22,12.87,12.87,12.81,12.83,9800,12.395064
2015-04-21,12.89,12.90,12.86,12.87,15000,12.433708
2015-04-20,12.86,12.95,12.86,12.90,10600,12.40859
2015-04-17,12.88,12.89,12.86,12.86,20900,12.370113
2015-04-16,12.91,12.94,12.87,12.88,23100,12.389352
