Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,24.99,25.07,24.940001,24.969999,71300,24.969999
2015-10-08,25.280001,25.370001,25.23,25.25,82600,25.25
2015-10-07,25.40,25.40,25.27,25.280001,56400,25.280001
2015-10-06,25.40,25.40,25.290001,25.309999,43200,25.309999
2015-10-05,25.27,25.459999,25.26,25.40,46200,25.40
2015-10-02,25.209999,25.26,25.110001,25.23,87000,25.23
2015-10-01,25.34,25.379999,25.200001,25.24,50600,25.24
2015-09-30,25.27,25.34,25.26,25.26,67200,25.26
2015-09-29,25.32,25.33,25.23,25.23,41500,25.23
2015-09-28,25.50,25.51,25.23,25.24,37300,25.24
2015-09-25,25.450001,25.540001,25.450001,25.48,79200,25.48
2015-09-24,25.370001,25.450001,25.34,25.450001,43300,25.450001
2015-09-23,25.35,25.40,25.309999,25.40,63900,25.40
2015-09-22,25.23,25.32,25.23,25.32,85400,25.32
2015-09-21,25.15,25.25,25.15,25.24,43400,25.24
2015-09-18,25.09,25.129999,25.049999,25.110001,63200,25.110001
2015-09-17,25.040001,25.120001,25.00,25.030001,61100,25.030001
2015-09-16,25.129999,25.15,25.02,25.02,43700,25.02
2015-09-15,25.209999,25.209999,25.049999,25.110001,64300,25.110001
2015-09-14,25.200001,25.200001,25.139999,25.16,26400,25.16
2015-09-11,25.129999,25.190001,25.040001,25.190001,33000,25.190001
2015-09-10,25.049999,25.10,25.00,25.059999,41900,25.059999
2015-09-09,25.10,25.10,25.00,25.00,44100,25.00
2015-09-08,25.120001,25.120001,25.02,25.08,48600,25.08
2015-09-04,25.07,25.120001,25.030001,25.120001,37500,25.120001
2015-09-03,25.02,25.10,25.00,25.09,28900,25.09
2015-09-02,25.139999,25.15,24.91,24.91,52700,24.91
2015-09-01,24.969999,25.059999,24.92,24.99,42900,24.99
2015-08-31,25.18,25.25,24.940001,25.00,99000,25.00
2015-08-28,25.08,25.209999,25.08,25.16,22700,25.16
2015-08-27,25.00,25.200001,24.98,25.129999,63300,25.129999
2015-08-26,24.799999,24.99,24.799999,24.98,53000,24.98
2015-08-25,24.83,24.83,24.65,24.780001,66500,24.780001
2015-08-24,24.85,24.85,24.40,24.559999,115000,24.559999
2015-08-21,25.209999,25.26,25.02,25.040001,55800,25.040001
2015-08-20,25.360001,25.370001,25.209999,25.219999,51800,25.219999
2015-08-19,25.379999,25.440001,25.33,25.360001,28700,25.360001
2015-08-18,25.43,25.48,25.40,25.450001,46200,25.450001
2015-08-17,25.370001,25.50,25.299999,25.469999,47700,25.469999
2015-08-14,25.41,25.43,25.370001,25.43,17700,25.43
2015-08-13,25.41,25.440001,25.34,25.389999,24900,25.389999
2015-08-12,25.280001,25.450001,25.280001,25.440001,33300,25.440001
2015-08-11,25.27,25.389999,25.26,25.389999,33900,25.389999
2015-08-10,25.23,25.33,25.15,25.33,35300,25.33
2015-08-07,25.25,25.25,25.209999,25.25,15800,25.25
2015-08-06,25.15,25.25,25.15,25.23,28900,25.23
2015-08-05,25.16,25.18,25.120001,25.15,33600,25.15
2015-08-04,25.26,25.33,25.16,25.200001,31700,25.200001
2015-08-03,25.280001,25.309999,25.200001,25.25,20700,25.25
2015-07-31,25.25,25.280001,25.16,25.219999,37100,25.219999
2015-07-30,25.120001,25.18,25.10,25.129999,59600,25.129999
2015-07-29,24.99,25.110001,24.99,25.040001,74400,25.040001
2015-07-28,24.950001,25.040001,24.91,24.99,136700,24.99
2015-07-27,25.02,25.040001,24.90,24.969999,83400,24.969999
2015-07-24,25.049999,25.049999,25.00,25.00,38400,25.00
2015-07-23,25.01,25.040001,24.93,25.00,40000,25.00
2015-07-22,25.129999,25.129999,24.950001,25.01,44800,25.01
2015-07-21,25.01,25.15,25.01,25.139999,51100,25.139999
2015-07-20,25.00,25.10,25.00,25.07,50800,25.07
2015-07-17,25.01,25.120001,24.98,25.040001,127300,25.040001
2015-07-16,24.799999,24.950001,24.790001,24.93,159200,24.93
2015-07-15,24.77,24.82,24.74,24.76,68000,24.76
2015-07-14,24.690001,24.75,24.68,24.75,45100,24.75
2015-07-13,24.620001,24.709999,24.620001,24.700001,30000,24.700001
2015-07-10,24.73,24.73,24.60,24.610001,41700,24.610001
2015-07-09,25.00,25.040001,24.93,24.93,29300,24.93
2015-07-08,25.049999,25.049999,24.950001,24.950001,36800,24.950001
2015-07-07,25.09,25.120001,25.02,25.02,29900,25.02
2015-07-06,25.15,25.15,24.959999,25.059999,41800,25.059999
2015-07-02,25.16,25.200001,25.059999,25.15,45500,25.15
2015-07-01,24.799999,25.049999,24.799999,24.92,60400,24.92
2015-06-30,24.90,25.00,24.780001,24.780001,71600,24.780001
2015-06-29,24.84,24.889999,24.799999,24.889999,45700,24.889999
2015-06-26,24.559999,24.940001,24.559999,24.91,46300,24.91
2015-06-25,25.110001,25.110001,24.780001,24.91,71400,24.91
2015-06-24,25.02,25.17,24.91,25.01,44300,25.01
2015-06-23,24.969999,25.030001,24.879999,24.959999,59400,24.959999
2015-06-22,25.10,25.209999,24.959999,24.98,31300,24.98
2015-06-19,25.02,25.10,24.959999,25.08,66100,25.08
2015-06-18,25.35,25.35,25.030001,25.049999,93900,25.049999
2015-06-17,25.379999,25.379999,25.290001,25.290001,50900,25.290001
2015-06-16,25.360001,25.389999,25.299999,25.32,57100,25.32
2015-06-15,25.33,25.370001,25.280001,25.32,38900,25.32
2015-06-12,25.26,25.40,25.26,25.299999,50800,25.299999
2015-06-11,25.299999,25.360001,25.219999,25.299999,62100,25.299999
2015-06-10,25.219999,25.34,25.129999,25.209999,96900,25.209999
2015-06-09,25.43,25.48,25.26,25.32,80800,25.32
2015-06-08,25.379999,25.559999,25.379999,25.48,92100,25.48
2015-06-05,25.360001,25.52,25.299999,25.450001,53500,25.450001
2015-06-04,25.34,25.50,25.34,25.459999,29900,25.459999
2015-06-03,25.200001,25.389999,25.200001,25.309999,47500,25.309999
2015-06-02,25.16,25.35,25.129999,25.309999,61100,25.309999
2015-06-01,25.35,25.41,25.26,25.299999,62400,25.299999
2015-05-29,25.450001,25.530001,25.35,25.35,53600,25.35
2015-05-28,25.50,25.58,25.450001,25.49,58600,25.49
2015-05-27,25.57,25.59,25.469999,25.540001,58700,25.540001
2015-05-26,25.559999,25.57,25.459999,25.540001,66500,25.540001
2015-05-22,25.469999,25.540001,25.469999,25.51,48500,25.51
2015-05-21,25.43,25.559999,25.43,25.50,77000,25.50
2015-05-20,25.50,25.51,25.43,25.459999,71600,25.459999
2015-05-19,25.52,25.58,25.42,25.440001,74500,25.440001
2015-05-18,25.700001,25.700001,25.58,25.610001,59200,25.610001
2015-05-15,25.73,25.799999,25.66,25.700001,50000,25.700001
2015-05-14,25.67,25.85,25.67,25.780001,56900,25.780001
2015-05-13,25.58,25.75,25.540001,25.66,98400,25.66
2015-05-12,25.27,25.59,25.27,25.559999,88300,25.559999
2015-05-11,25.610001,25.700001,25.49,25.540001,81000,25.540001
2015-05-08,25.67,25.790001,25.639999,25.690001,89400,25.690001
2015-05-07,25.290001,25.709999,25.290001,25.610001,199800,25.610001
2015-05-06,25.66,25.66,25.26,25.42,192400,25.42
2015-05-05,25.620001,25.66,25.459999,25.620001,148500,25.620001
2015-05-04,25.73,25.74,25.530001,25.74,104100,25.74
2015-05-01,25.879999,25.889999,25.66,25.67,105400,25.67
2015-04-30,25.90,25.90,25.75,25.76,157400,25.76
2015-04-29,25.790001,25.93,25.719999,25.889999,167700,25.889999
2015-04-28,25.700001,25.90,25.65,25.83,345500,25.83
2015-04-27,25.90,25.90,25.67,25.73,844100,25.73
2015-04-24,25.780001,25.940001,25.76,25.879999,113800,25.879999
2015-04-23,25.73,25.879999,25.66,25.85,86400,25.85
2015-04-22,25.60,25.719999,25.57,25.709999,94000,25.709999
2015-04-21,25.549999,25.639999,25.43,25.610001,81300,25.610001
2015-04-20,25.57,25.57,25.48,25.52,73000,25.52
2015-04-17,25.60,25.610001,25.379999,25.379999,169100,25.379999
2015-04-16,25.690001,25.719999,25.559999,25.60,66600,25.60
2015-04-15,25.50,25.73,25.50,25.709999,111100,25.709999
2015-04-14,25.43,25.52,25.360001,25.50,136200,25.50
2015-04-13,25.33,25.43,25.27,25.40,106700,25.40
2015-04-10,25.450001,25.549999,25.290001,25.33,117200,25.33
2015-04-09,25.639999,25.73,25.620001,25.73,66000,25.73
2015-04-08,25.469999,25.65,25.440001,25.610001,50900,25.610001
2015-04-07,25.370001,25.48,25.35,25.450001,53400,25.450001
2015-04-06,25.450001,25.469999,25.33,25.370001,49000,25.370001
2015-04-02,25.450001,25.530001,25.450001,25.459999,46800,25.459999
2015-04-01,25.549999,25.549999,25.440001,25.450001,56900,25.450001
2015-03-31,25.42,25.540001,25.360001,25.540001,39400,25.540001
2015-03-30,25.32,25.440001,25.309999,25.43,51100,25.43
2015-03-27,25.370001,25.440001,25.309999,25.309999,97200,25.309999
2015-03-26,25.450001,25.469999,25.26,25.280001,55400,25.280001
2015-03-25,25.35,25.50,25.35,25.41,63900,25.41
2015-03-24,25.459999,25.459999,25.360001,25.40,71300,25.40
2015-03-23,25.43,25.530001,25.43,25.48,41100,25.48
2015-03-20,25.52,25.629999,25.43,25.459999,63300,25.459999
2015-03-19,25.41,25.459999,25.40,25.41,44100,25.41
2015-03-18,25.24,25.549999,25.24,25.450001,68600,25.450001
2015-03-17,25.25,25.34,25.209999,25.299999,46000,25.299999
2015-03-16,25.25,25.280001,25.219999,25.23,51400,25.23
2015-03-13,25.23,25.280001,25.18,25.24,41800,25.24
2015-03-12,25.33,25.379999,25.25,25.25,60000,25.25
2015-03-11,25.32,25.43,25.290001,25.299999,70600,25.299999
2015-03-10,25.32,25.389999,25.280001,25.32,77000,25.32
2015-03-09,25.360001,25.41,25.16,25.290001,86900,25.290001
2015-03-06,25.389999,25.389999,25.209999,25.219999,63300,25.219999
2015-03-05,25.50,25.559999,25.41,25.50,59400,25.50
2015-03-04,25.450001,25.559999,25.40,25.48,100900,25.48
2015-03-03,25.469999,25.49,25.389999,25.43,53300,25.43
2015-03-02,25.43,25.469999,25.370001,25.469999,46600,25.469999
2015-02-27,25.33,25.440001,25.299999,25.440001,69100,25.440001
2015-02-26,25.280001,25.32,25.26,25.32,43500,25.32
2015-02-25,25.360001,25.43,25.26,25.26,60500,25.26
2015-02-24,25.280001,25.40,25.280001,25.35,65000,25.35
2015-02-23,25.25,25.280001,25.23,25.280001,49900,25.280001
2015-02-20,25.24,25.299999,25.190001,25.25,62600,25.25
2015-02-19,25.049999,25.24,25.030001,25.24,44700,25.24
2015-02-18,25.15,25.17,24.940001,25.10,95800,25.10
2015-02-17,25.25,25.290001,25.110001,25.120001,61400,25.120001
2015-02-13,25.32,25.34,25.26,25.299999,42900,25.299999
2015-02-12,25.280001,25.34,25.26,25.299999,64000,25.299999
2015-02-11,25.26,25.290001,25.200001,25.209999,89800,25.209999
2015-02-10,25.219999,25.25,25.219999,25.219999,83700,25.219999
2015-02-09,25.26,25.27,25.219999,25.23,78700,25.23
