Date,Open,High,Low,Close,Volume,Adj Close
2015-03-19,0.275,0.275,0.275,0.275,000,0.275
2015-03-18,0.275,0.275,0.275,0.275,000,0.275
2015-03-17,0.275,0.275,0.275,0.275,000,0.275
2015-03-16,0.275,0.275,0.275,0.275,000,0.275
2015-03-13,0.275,0.275,0.275,0.275,000,0.275
2015-03-12,0.275,0.275,0.275,0.275,000,0.275
2015-03-11,0.275,0.275,0.275,0.275,000,0.275
2015-03-10,0.275,0.275,0.275,0.275,000,0.275
2015-03-09,0.275,0.275,0.275,0.275,000,0.275
2015-03-05,0.275,0.275,0.275,0.275,000,0.275
2015-03-04,0.275,0.275,0.275,0.275,000,0.275
2015-03-03,0.275,0.275,0.275,0.275,000,0.275
2015-03-02,0.275,0.275,0.275,0.275,000,0.275
2015-02-27,0.275,0.275,0.275,0.275,000,0.275
2015-02-26,0.275,0.275,0.275,0.275,000,0.275
2015-02-25,0.275,0.275,0.275,0.275,000,0.275
2015-02-24,0.275,0.275,0.275,0.275,000,0.275
2015-02-23,0.275,0.275,0.275,0.275,000,0.275
2015-02-20,0.275,0.275,0.275,0.275,000,0.275
2015-02-19,0.275,0.275,0.275,0.275,000,0.275
2015-02-18,0.275,0.275,0.275,0.275,000,0.275
2015-02-17,0.275,0.275,0.275,0.275,000,0.275
2015-02-16,0.275,0.275,0.275,0.275,000,0.275
2015-02-13,0.275,0.275,0.275,0.275,000,0.275
2015-02-12,0.275,0.275,0.275,0.275,000,0.275
2015-02-11,0.275,0.275,0.275,0.275,000,0.275
2015-02-10,0.275,0.275,0.275,0.275,000,0.275
2015-02-09,0.275,0.275,0.275,0.275,000,0.275
2015-02-06,0.275,0.275,0.275,0.275,000,0.275
2015-02-05,0.275,0.275,0.275,0.275,000,0.275
2015-02-04,0.275,0.275,0.275,0.275,000,0.275
2015-02-03,0.275,0.275,0.275,0.275,000,0.275
2015-02-02,0.275,0.275,0.275,0.275,000,0.275
2015-01-30,0.275,0.275,0.275,0.275,000,0.275
2015-01-29,0.275,0.275,0.275,0.275,000,0.275
2015-01-28,0.275,0.275,0.275,0.275,000,0.275
2015-01-27,0.275,0.275,0.275,0.275,000,0.275
