Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,5.55,5.73,5.54,5.69,667800,5.467196
2015-10-08,5.42,5.60,5.39,5.48,537500,5.265418
2015-10-07,5.45,5.54,5.43,5.43,750800,5.217376
2015-10-06,5.32,5.45,5.32,5.38,579300,5.169334
2015-10-05,5.10,5.32,5.10,5.28,660900,5.07325
2015-10-02,4.95,5.14,4.94,5.08,560900,4.881081
2015-10-01,5.01,5.07,4.90,4.90,485200,4.70813
2015-09-30,5.05,5.09,4.99,4.99,544100,4.794605
2015-09-29,5.06,5.07,5.00,5.05,434100,4.852256
2015-09-28,5.21,5.25,5.05,5.09,416000,4.89069
2015-09-25,5.25,5.30,5.21,5.26,372200,5.054033
2015-09-24,5.14,5.34,5.11,5.33,718500,5.121292
2015-09-23,5.21,5.23,5.08,5.15,346400,4.94834
2015-09-22,5.14,5.19,5.08,5.14,446400,4.938732
2015-09-21,5.29,5.30,5.21,5.26,277600,5.054033
2015-09-18,5.27,5.35,5.24,5.24,623000,5.034816
2015-09-17,5.15,5.31,5.15,5.26,381300,5.054033
2015-09-16,5.09,5.18,5.08,5.15,359700,4.94834
2015-09-15,5.01,5.06,5.00,5.04,261100,4.842648
2015-09-14,5.09,5.09,5.00,5.01,380700,4.813823
2015-09-11,5.10,5.16,5.06,5.16,323200,4.89069
2015-09-10,5.18,5.19,5.11,5.15,328300,4.881212
2015-09-09,5.20,5.27,5.14,5.16,475000,4.89069
2015-09-08,5.18,5.24,5.11,5.21,242700,4.93808
2015-09-04,5.15,5.16,5.06,5.14,335900,4.871733
2015-09-03,5.12,5.28,5.12,5.18,291500,4.909646
2015-09-02,5.26,5.28,5.10,5.17,389000,4.900168
2015-09-01,5.27,5.31,5.20,5.22,363500,4.947558
2015-08-31,5.33,5.38,5.23,5.31,506000,5.032861
2015-08-28,5.26,5.39,5.25,5.33,453000,5.051817
2015-08-27,5.06,5.25,5.06,5.21,506500,4.93808
2015-08-26,5.11,5.16,5.03,5.06,571700,4.795909
2015-08-25,5.13,5.29,5.06,5.18,1026900,4.909646
2015-08-24,5.49,5.52,5.10,5.10,1224400,4.833821
2015-08-21,5.62,5.70,5.50,5.55,976300,5.260335
2015-08-20,5.52,5.70,5.50,5.62,909300,5.326681
2015-08-19,5.40,5.48,5.40,5.44,699900,5.156076
2015-08-18,5.39,5.40,5.35,5.40,374800,5.118164
2015-08-17,5.40,5.45,5.36,5.37,361600,5.089729
2015-08-14,5.50,5.54,5.37,5.37,615100,5.089729
2015-08-13,5.66,5.66,5.50,5.50,580800,5.212944
2015-08-12,5.51,5.75,5.46,5.75,953400,5.38355
2015-08-11,5.50,5.50,5.38,5.46,683500,5.112032
2015-08-10,5.28,5.49,5.26,5.45,645900,5.102669
2015-08-07,5.31,5.37,5.25,5.26,376100,4.924778
2015-08-06,5.25,5.31,5.23,5.31,478900,4.971591
2015-08-05,5.27,5.33,5.25,5.27,507300,4.934141
2015-08-04,5.24,5.31,5.21,5.27,708900,4.934141
2015-08-03,5.30,5.30,5.21,5.24,761700,4.906052
2015-07-31,5.40,5.42,5.26,5.27,511500,4.934141
2015-07-30,5.37,5.37,5.25,5.31,437600,4.971591
2015-07-29,5.27,5.39,5.26,5.39,599600,5.046493
2015-07-28,5.18,5.29,5.17,5.29,461600,4.952866
2015-07-27,5.27,5.36,5.15,5.17,931800,4.840514
2015-07-24,5.22,5.28,5.12,5.28,1298700,4.943504
2015-07-23,5.36,5.41,5.19,5.22,886900,4.887327
2015-07-22,5.35,5.42,5.30,5.36,677900,5.018405
2015-07-21,5.45,5.61,5.38,5.42,765800,5.074581
2015-07-20,5.68,5.69,5.46,5.46,1810200,5.112032
2015-07-17,6.00,6.05,5.83,5.89,1189000,5.514628
2015-07-16,6.08,6.12,6.01,6.05,712700,5.664431
2015-07-15,6.25,6.30,6.09,6.09,583300,5.701882
2015-07-14,6.34,6.37,6.32,6.36,217200,5.889136
2015-07-13,6.36,6.37,6.32,6.37,394700,5.898395
2015-07-10,6.35,6.40,6.31,6.37,288200,5.898395
2015-07-09,6.35,6.40,6.32,6.35,314500,5.879876
2015-07-08,6.43,6.45,6.30,6.34,417700,5.870616
2015-07-07,6.39,6.48,6.33,6.48,481800,6.000251
2015-07-06,6.40,6.53,6.22,6.53,460200,6.04655
2015-07-02,6.41,6.52,6.38,6.50,448200,6.018771
2015-07-01,6.52,6.55,6.39,6.44,697500,5.963213
2015-06-30,6.55,6.62,6.51,6.51,551300,6.02803
2015-06-29,6.67,6.70,6.53,6.53,648600,6.04655
2015-06-26,6.80,6.85,6.72,6.72,441300,6.222483
2015-06-25,6.94,6.99,6.82,6.82,354900,6.31508
2015-06-24,6.92,7.00,6.90,6.96,337400,6.444714
2015-06-23,6.99,6.99,6.92,6.92,288200,6.407676
2015-06-22,6.98,6.98,6.92,6.96,258700,6.444714
2015-06-19,7.07,7.07,6.96,6.96,206500,6.444714
2015-06-18,7.02,7.07,7.02,7.06,374900,6.537311
2015-06-17,6.99,7.01,6.94,6.98,452900,6.463234
2015-06-16,6.98,7.01,6.96,7.01,267300,6.491013
2015-06-15,6.98,7.00,6.95,6.98,229500,6.463234
2015-06-12,7.00,7.02,6.97,7.00,278400,6.481753
2015-06-11,7.13,7.15,7.10,7.11,323400,6.518792
2015-06-10,7.12,7.14,7.10,7.13,612600,6.537129
2015-06-09,7.09,7.11,7.05,7.10,338900,6.509623
2015-06-08,7.06,7.08,7.01,7.06,268700,6.472949
2015-06-05,7.05,7.10,7.01,7.08,259900,6.491286
2015-06-04,7.09,7.09,7.03,7.06,291500,6.472949
2015-06-03,7.11,7.15,7.08,7.11,460500,6.518792
2015-06-02,7.03,7.13,7.03,7.13,335800,6.537129
2015-06-01,7.07,7.07,7.00,7.02,292700,6.436275
2015-05-29,7.03,7.09,7.02,7.04,257700,6.454612
2015-05-28,7.01,7.09,6.99,7.06,309000,6.472949
