Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.22,10.30,10.22,10.30,9600,10.30
2015-10-08,10.15,10.24,10.11,10.23,13400,10.23
2015-10-07,10.12,10.22,10.12,10.20,12200,10.20
2015-10-06,10.01,10.10,10.01,10.07,9300,10.07
2015-10-05,9.97,10.05,9.97,10.03,18400,10.03
2015-10-02,9.81,9.99,9.77,9.91,10700,9.91
2015-10-01,9.87,9.94,9.87,9.90,4000,9.90
2015-09-30,9.82,9.92,9.80,9.92,20000,9.92
2015-09-29,9.75,9.85,9.74,9.79,17800,9.79
2015-09-28,9.89,9.97,9.79,9.79,9600,9.79
2015-09-25,10.09,10.12,9.99,10.00,14200,10.00
2015-09-24,10.06,10.08,10.02,10.06,11900,10.06
2015-09-23,10.10,10.15,10.10,10.13,3600,10.13
2015-09-22,10.18,10.22,10.14,10.14,7800,10.14
2015-09-21,10.27,10.35,10.23,10.23,18300,10.23
2015-09-18,10.28,10.33,10.28,10.28,13100,10.28
2015-09-17,10.21,10.35,10.19,10.31,7900,10.31
2015-09-16,10.25,10.33,10.24,10.30,9600,10.30
2015-09-15,10.12,10.40,10.09,10.34,10900,10.34
2015-09-14,10.15,10.20,10.15,10.15,10200,10.15
2015-09-11,10.05,10.21,10.04,10.20,12900,10.20
2015-09-10,10.07,10.14,10.03,10.10,14700,10.10
2015-09-09,10.09,10.15,10.09,10.11,18500,10.11
2015-09-08,10.04,10.08,10.04,10.08,8700,10.08
2015-09-04,10.00,10.00,9.95,9.97,13700,9.97
2015-09-03,10.05,10.10,10.03,10.03,13200,10.03
2015-09-02,10.04,10.07,10.00,10.01,12400,10.01
2015-09-01,10.09,10.11,9.99,10.01,24900,10.01
2015-08-31,10.18,10.26,10.18,10.18,20200,10.18
2015-08-28,10.09,10.29,10.09,10.25,15200,10.25
2015-08-27,10.05,10.27,10.03,10.17,22800,10.17
2015-08-26,10.06,10.10,10.01,10.08,25500,10.08
2015-08-25,9.90,10.07,9.86,9.97,67500,9.97
2015-08-24,9.66,9.91,9.40,9.76,36300,9.76
2015-08-21,10.21,10.28,9.98,9.98,19800,9.98
2015-08-20,10.33,10.39,10.28,10.29,19300,10.29
2015-08-19,10.52,10.52,10.46,10.46,24100,10.46
2015-08-18,10.56,10.57,10.51,10.56,14700,10.56
2015-08-17,10.59,10.61,10.51,10.56,12600,10.56
2015-08-14,10.52,10.66,10.51,10.63,27200,10.63
2015-08-13,10.42,10.55,10.42,10.55,41100,10.55
2015-08-12,10.43,10.45,10.36,10.42,35300,10.42
2015-08-11,10.44,10.49,10.42,10.43,15200,10.43
2015-08-10,10.43,10.52,10.43,10.50,14300,10.50
2015-08-07,10.46,10.46,10.40,10.40,19000,10.40
2015-08-06,10.47,10.49,10.44,10.46,4500,10.46
2015-08-05,10.46,10.56,10.46,10.49,11600,10.49
2015-08-04,10.41,10.49,10.41,10.45,14700,10.45
2015-08-03,10.49,10.50,10.43,10.43,13900,10.43
2015-07-31,10.51,10.57,10.50,10.50,10000,10.50
2015-07-30,10.46,10.55,10.43,10.50,36000,10.50
2015-07-29,10.35,10.49,10.35,10.49,14400,10.49
2015-07-28,10.36,10.45,10.34,10.35,10300,10.35
2015-07-27,10.38,10.42,10.34,10.36,7800,10.36
2015-07-24,10.50,10.56,10.43,10.43,13300,10.43
2015-07-23,10.52,10.60,10.51,10.51,10500,10.51
2015-07-22,10.54,10.55,10.52,10.53,12000,10.53
2015-07-21,10.61,10.64,10.57,10.59,17600,10.59
2015-07-20,10.61,10.65,10.61,10.63,10300,10.63
2015-07-17,10.66,10.70,10.62,10.62,13000,10.62
2015-07-16,10.72,10.75,10.65,10.67,16500,10.67
2015-07-15,10.70,10.73,10.70,10.72,18700,10.72
2015-07-14,10.56,10.71,10.56,10.70,26600,10.70
2015-07-13,10.53,10.62,10.53,10.59,24400,10.59
2015-07-10,10.44,10.54,10.44,10.54,9300,10.54
2015-07-09,10.45,10.48,10.39,10.41,17400,10.41
2015-07-08,10.44,10.50,10.40,10.40,20800,10.40
2015-07-07,10.52,10.58,10.46,10.51,13200,10.51
2015-07-06,10.60,10.60,10.53,10.53,8600,10.53
2015-07-02,10.63,10.69,10.63,10.63,19400,10.63
2015-07-01,10.71,10.74,10.65,10.65,18900,10.65
2015-06-30,10.65,10.66,10.61,10.65,14200,10.65
2015-06-29,10.70,10.74,10.62,10.62,21700,10.62
2015-06-26,10.84,10.89,10.78,10.79,21200,10.79
2015-06-25,10.87,10.89,10.83,10.88,20400,10.88
2015-06-24,10.82,10.90,10.82,10.89,17800,10.89
2015-06-23,10.89,10.94,10.87,10.87,16100,10.87
2015-06-22,10.89,10.95,10.86,10.92,23100,10.92
2015-06-19,10.82,10.87,10.81,10.86,13000,10.86
2015-06-18,10.75,10.85,10.75,10.84,20500,10.84
