Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,585.669983,588.780029,580.099976,586.070007,14300,584.891839
2015-10-08,583.940002,603.440002,582.00,585.179993,22500,584.003614
2015-10-07,584.97998,594.619995,580.049988,582.330017,30200,581.159367
2015-10-06,588.650024,607.880005,580.25,581.580017,45100,580.410875
2015-10-05,580.809998,597.919983,575.809998,587.650024,59500,586.46868
2015-10-02,574.210022,582.299988,566.659973,575.320007,44600,574.16345
2015-10-01,577.809998,581.609985,565.00,578.820007,44500,577.656414
2015-09-30,580.950012,580.950012,572.280029,577.00,20400,575.840065
2015-09-29,575.00,580.50,572.97998,574.890015,23300,573.734321
2015-09-28,576.02002,579.059998,565.419983,573.809998,29400,572.656475
2015-09-25,581.929993,584.960022,574.48999,577.390015,21900,576.229296
2015-09-24,572.25,579.00,567.48999,574.080017,22000,572.925952
2015-09-23,578.00,586.48999,569.00,575.169983,18300,574.013727
2015-09-22,580.289978,585.00,575.00,578.00,57600,576.838055
2015-09-21,599.460022,599.460022,583.26001,584.48999,58000,583.314998
2015-09-18,594.169983,600.00,590.289978,594.719971,25000,593.524414
2015-09-17,601.98999,609.960022,590.01001,600.25,74100,599.043326
2015-09-16,633.340027,633.340027,585.429993,601.25,85900,600.041316
2015-09-15,625.340027,634.719971,620.01001,632.840027,20000,631.567838
2015-09-14,639.00,639.97998,617.659973,624.150024,36700,622.895304
2015-09-11,616.960022,639.960022,611.00,639.880005,21500,638.593663
2015-09-10,636.909973,636.909973,612.309998,619.349976,51700,618.104905
2015-09-09,656.47998,656.47998,638.809998,640.830017,29900,639.541766
2015-09-08,653.570007,656.390015,645.969971,653.47998,28300,652.166299
2015-09-04,640.00,643.98999,635.97998,640.27002,13200,638.982894
2015-09-03,647.890015,659.469971,646.309998,650.599976,19400,649.292084
2015-09-02,647.650024,658.960022,638.840027,647.830017,22400,646.527694
2015-09-01,651.559998,658.960022,634.01001,643.73999,24200,642.445889
2015-08-31,649.200012,666.00,648.380005,661.559998,21600,660.230073
2015-08-28,651.440002,657.75,642.369995,654.900024,30800,653.583488
2015-08-27,655.299988,683.169983,638.309998,654.109985,34000,652.795037
2015-08-26,630.00,649.97998,624.50,647.109985,49300,645.809109
2015-08-25,627.00,639.00,611.099976,621.27002,56700,620.021089
2015-08-24,618.00,625.900024,611.00,625.900024,60700,624.641786
2015-08-21,666.869995,666.869995,642.47998,644.440002,54000,643.144494
2015-08-20,689.840027,689.840027,659.22998,673.609985,53200,672.255837
2015-08-19,692.039978,696.390015,690.280029,693.919983,27000,692.525005
2015-08-18,698.460022,699.969971,692.210022,697.679993,38700,696.277456
2015-08-17,698.799988,715.00,695.00,698.929993,32200,697.524944
2015-08-14,701.00,701.00,685.859985,696.72998,15000,695.329354
2015-08-13,701.159973,713.890015,696.400024,700.450012,16900,699.041907
2015-08-12,691.150024,709.51001,672.849976,700.72998,35900,699.321313
2015-08-11,696.00,703.52002,692.50,695.299988,25700,693.902236
2015-08-10,687.27002,703.97998,672.169983,698.98999,51500,697.584821
2015-08-07,672.119995,687.059998,665.01001,683.880005,29400,682.505211
2015-08-06,687.809998,692.77002,650.72998,675.719971,32900,674.36158
2015-08-05,674.049988,697.25,674.049988,686.01001,42500,684.630934
2015-08-04,691.450012,693.809998,670.00,674.00,50700,672.645067
2015-08-03,688.559998,695.00,683.00,688.77002,40900,687.385395
2015-07-31,695.890015,696.97998,677.98999,689.559998,54100,688.173785
2015-07-30,688.820007,693.159973,683.960022,688.460022,50700,687.076021
2015-07-29,686.00,695.00,667.909973,687.940002,39400,686.557046
2015-07-28,664.659973,689.039978,660.799988,686.669983,62200,685.28958
2015-07-27,662.109985,668.929993,661.00,661.52002,37000,660.190175
2015-07-24,672.130005,674.97998,660.109985,663.97998,29100,662.645191
2015-07-23,697.950012,711.210022,671.830017,674.030029,52500,672.675036
2015-07-22,690.190002,705.349976,684.090027,698.820007,47500,697.415179
2015-07-21,702.23999,707.080017,685.299988,690.01001,33500,688.622892
2015-07-20,701.00,709.039978,692.070007,706.909973,56300,705.488882
2015-07-17,704.98999,708.50,691.809998,702.099976,55400,700.688554
2015-07-16,711.00,713.840027,700.049988,703.200012,35800,701.786379
2015-07-15,708.00,719.599976,705.219971,707.869995,43600,703.802316
2015-07-14,705.849976,711.700012,700.01001,707.409973,40600,703.344938
2015-07-13,707.679993,719.950012,699.710022,706.890015,46500,702.827967
2015-07-10,712.099976,717.98999,699.789978,703.679993,51500,699.636391
2015-07-09,702.02002,711.799988,701.450012,704.320007,54500,700.272728
2015-07-08,718.00,719.00,693.380005,695.23999,103200,691.244888
2015-07-07,714.50,723.700012,710.039978,718.700012,114700,714.5701
2015-07-06,687.98999,717.52002,675.039978,717.52002,108900,713.396888
2015-07-02,692.630005,697.400024,680.099976,693.98999,105300,690.002071
2015-07-01,653.099976,709.549988,647.50,693.630005,161600,689.644154
2015-06-30,1073.500014,1083.000001,1069.129982,1075.04996,70800,645.844309
2015-06-29,1078.949978,1079.289988,1065.249964,1070.05001,51800,642.840551
2015-06-26,1084.99996,1095.929991,1074.489943,1080.01001,49700,648.824096
2015-06-25,1075.999989,1119.540004,1075.999989,1082.249978,66400,650.169773
2015-06-24,1070.999938,1077.539935,1064.229933,1073.730021,44200,645.051345
2015-06-23,1069.770001,1078.169954,1065.409969,1073.130003,52500,644.69088
2015-06-22,1069.800002,1081.389951,1065.819982,1069.870004,50800,642.732411
2015-06-19,1072.999999,1094.129936,1050.000004,1062.999997,45200,638.605203
2015-06-18,1055.389966,1079.750002,1055.389966,1069.990008,27300,642.804505
2015-06-17,1054.259932,1066.019988,1051.519949,1063.11,26600,638.671288
2015-06-16,1054.000025,1064.689947,1046.499998,1052.909992,26100,632.543557
2015-06-15,1063.400009,1070.550025,1050.490019,1051.899961,59700,631.936774
2015-06-12,1077.050021,1083.000001,1059.980005,1068.699968,56800,642.029504
2015-06-11,1071.869964,1089.990012,1065.049958,1084.99996,46200,651.821846
2015-06-10,1065.999987,1074.999959,1064.749949,1070.490023,73500,643.104892
2015-06-09,1070.000008,1070.580026,1055.889982,1068.999978,45700,642.209737
2015-06-08,1065.819881,1074.999959,1059.199982,1071.109941,42900,643.477313
2015-06-05,1071.999968,1071.999968,1063.510012,1069.029978,29100,642.22776
2015-06-04,1059.599994,1074.979958,1055.949883,1071.999968,67200,644.012003
2015-06-03,1069.75,1083.069902,1056.139989,1061.810061,23700,637.890341
2015-06-02,1077.999949,1077.999949,1061.329946,1066.319896,28000,640.599657
2015-06-01,1078.560067,1087.250029,1069.389989,1080.00001,91900,648.818088
2015-05-29,1072.779992,1072.779992,1063.979925,1070.999938,37700,643.411227
2015-05-28,1080.630029,1098.359964,1071.839963,1072.779992,37200,644.480608
2015-05-27,1074.999959,1089.31989,1052.009964,1084.499945,41900,651.521458
2015-05-26,1084.000031,1097.999953,1069.489992,1073.219904,46300,644.744889
2015-05-22,1085.949888,1097.430037,1082.719992,1085.999991,39200,652.422622
2015-05-21,1085.469975,1090.670032,1075.759982,1086.510007,78000,652.729017
2015-05-20,1047.999943,1098.989983,1044.989952,1092.339982,123600,656.231419
2015-05-19,1021.400041,1037.869937,1018.09994,1037.869937,32400,623.508132
2015-05-18,986.389983,1019.999998,981.010021,1015.889974,27600,610.303504
2015-05-15,999.999994,999.999994,980.089993,991.819947,43500,595.843255
2015-05-14,994.89004,1030.010001,983.049982,999.989994,82400,600.751472
2015-05-13,981.599938,992.749975,979.079962,987.370013,59100,593.169925
2015-05-12,958.629945,981.759943,951.450029,981.489935,41700,589.637423
2015-05-11,964.000007,964.000007,951.299923,961.999946,61700,577.928667
2015-05-08,971.000019,974.979938,960.219993,964.989937,40900,579.724926
2015-05-07,962.629966,975.479954,960.169992,966.679988,73000,580.740237
2015-05-06,987.750025,987.750025,957.350007,962.609965,73300,578.29514
2015-05-05,999.999994,999.999994,979.99999,982.999981,53600,590.544595
2015-05-04,1009.999996,1024.999949,995.030045,1000.680015,24000,601.166008
2015-05-01,1025.02005,1025.02005,1007.000006,1014.76004,41700,609.624688
2015-04-30,1037.030013,1037.030013,1015.030049,1022.929987,39700,614.532845
2015-04-29,1041.999962,1042.93989,1027.900037,1031.99996,41500,619.981699
2015-04-28,1059.80,1059.80,1045.499968,1048.649963,46800,629.984313
2015-04-27,1072.999999,1079.02998,1056.309995,1057.000016,28000,635.00067
2015-04-24,1069.259985,1072.300078,1060.000006,1068.389959,27100,641.843263
2015-04-23,1048.23995,1079.910007,1048.23995,1066.439899,28800,640.67175
2015-04-22,1043.689913,1076.620008,1043.689913,1068.930076,41400,642.167743
2015-04-21,1025.469963,1044.59994,1025.469963,1044.010023,67200,627.196835
2015-04-20,1015.979977,1027.839934,1014.999947,1026.819903,77000,616.869741
2015-04-17,1009.939994,1013.75001,997.799927,1010.029997,42400,606.78308
2015-04-16,1032.439974,1032.97999,1012.339967,1015.659967,69700,610.165326
2015-04-15,1028.800065,1034.999951,1028.270048,1032.279969,100500,620.149916
2015-04-14,1046.249991,1049.279982,1023.099992,1032.589978,57900,620.336157
2015-04-13,1056.900013,1056.900013,1044.999953,1048.160049,43500,629.689993
2015-04-10,1061.499951,1062.219973,1056.060088,1058.079948,16400,634.057428
2015-04-09,1065.899984,1065.899984,1052.109967,1059.539992,36900,634.932364
2015-04-08,1066.149992,1068.139951,1055.999985,1059.019976,48500,634.620743
2015-04-07,1053.089997,1072.479983,1053.089997,1064.680048,21300,638.012557
2015-04-06,1043.989922,1061.829961,1043.989922,1055.339965,48000,632.415485
2015-04-02,1041.359943,1049.920002,1041.359943,1049.589992,20400,628.969797
2015-04-01,1045.019953,1048.969973,1034.150026,1045.219959,37200,626.351043
2015-03-31,1039.649991,1049.990004,1038.979971,1049.629993,47700,628.993768
2015-03-30,1045.219959,1047.999943,1034.489935,1040.000002,39200,623.222969
2015-03-27,1052.060067,1056.439898,1040.469915,1042.999993,50100,625.020722
2015-03-26,1072.189873,1074.999959,1052.889991,1054.709946,40700,632.037945
2015-03-25,1087.999951,1094.629951,1072.289977,1074.390041,72000,643.831298
2015-03-24,1082.399982,1089.449894,1074.290038,1086.350002,27500,650.998338
2015-03-23,1081.819965,1095.099966,1076.969918,1077.510035,24000,645.700963
2015-03-20,1080.00001,1085.050063,1074.509944,1085.050063,98600,650.219346
2015-03-19,1080.969939,1080.969939,1069.75,1078.68997,38100,646.408043
2015-03-18,1084.000031,1085.449974,1071.999968,1082.589988,43500,648.745139
2015-03-17,1084.349941,1090.739934,1072.249976,1081.759963,53100,648.247744
2015-03-16,1082.419983,1098.939881,1076.059991,1092.039973,56800,654.40807
2015-03-13,1064.060029,1084.939959,1056.429998,1079.629999,71200,646.971357
2015-03-12,1022.009959,1065.11996,1022.009959,1065.11996,50100,638.276175
2015-03-11,1017.200014,1042.129966,1014.999947,1029.759993,44400,617.086614
2015-03-10,1028.069941,1031.000031,1018.889964,1022.999989,19000,613.035662
2015-03-09,1042.58998,1047.999943,1035.479965,1041.59995,30600,624.181742
2015-03-06,1037.329921,1063.560014,1037.329921,1047.240021,43900,627.561571
2015-03-05,1055.949883,1066.389999,1035.069953,1049.289982,42900,628.790016
2015-03-04,1003.50,1061.899963,999.999994,1053.439907,70000,631.27687
2015-03-03,992.699974,1004.159919,989.699983,1004.159919,99100,601.745697
2015-03-02,991.070025,998.289942,984.95004,996.649993,133400,597.245352
2015-02-27,983.94001,989.999992,978.539946,986.379983,27500,591.091019
2015-02-26,989.999992,989.999992,979.65998,983.990011,27500,589.658822
2015-02-25,989.999992,999.999994,977.900027,986.879998,121500,591.390655
