Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.46,14.68,14.46,14.58,361200,14.132451
2015-10-08,14.22,14.53,14.15,14.53,311700,14.083985
2015-10-07,13.96,14.22,13.95,14.22,211900,13.783502
2015-10-06,13.80,13.96,13.80,13.96,140700,13.531483
2015-10-05,13.71,13.88,13.68,13.80,262900,13.376394
2015-10-02,13.61,13.68,13.57,13.59,208600,13.17284
2015-10-01,13.80,13.80,13.62,13.71,128800,13.289157
2015-09-30,13.90,13.92,13.73,13.79,240800,13.366701
2015-09-29,13.83,13.97,13.74,13.87,305700,13.444245
2015-09-28,14.07,14.07,13.83,13.85,180200,13.424859
2015-09-25,14.10,14.13,14.07,14.08,80000,13.647799
2015-09-24,14.02,14.11,14.02,14.07,318600,13.638106
2015-09-23,14.01,14.14,14.01,14.10,207000,13.667185
2015-09-22,14.06,14.06,13.99,14.03,96900,13.599334
2015-09-21,14.11,14.14,14.09,14.13,114000,13.696264
2015-09-18,13.97,14.13,13.97,14.11,100700,13.676878
2015-09-17,13.89,14.07,13.86,14.05,128700,13.61872
2015-09-16,13.87,13.95,13.81,13.89,143000,13.463632
2015-09-15,13.93,13.97,13.91,13.93,127500,13.395781
2015-09-14,14.04,14.04,13.91,13.92,86200,13.386164
2015-09-11,13.98,14.07,13.97,14.07,131800,13.530411
2015-09-10,14.08,14.09,13.99,14.02,162400,13.482329
2015-09-09,14.22,14.25,14.03,14.04,181900,13.501562
2015-09-08,14.23,14.23,14.15,14.20,123100,13.655426
2015-09-04,14.08,14.17,14.07,14.11,151500,13.568877
2015-09-03,13.91,14.21,13.91,14.13,402500,13.588111
2015-09-02,14.18,14.36,14.08,14.36,251900,13.80929
2015-09-01,14.00,14.19,14.00,14.16,170400,13.61696
2015-08-31,14.25,14.29,14.06,14.06,194800,13.520795
2015-08-28,14.25,14.33,14.17,14.29,83500,13.741974
2015-08-27,14.14,14.29,14.14,14.22,168800,13.674659
2015-08-26,14.12,14.12,13.97,14.11,179900,13.568877
2015-08-25,13.93,14.03,13.91,13.95,176400,13.415013
2015-08-24,13.65,13.73,13.45,13.73,253000,13.20345
2015-08-21,14.20,14.24,14.09,14.13,240100,13.588111
2015-08-20,14.24,14.30,14.17,14.19,304400,13.645809
2015-08-19,14.37,14.37,14.23,14.28,143300,13.732358
2015-08-18,14.45,14.48,14.43,14.48,122200,13.804481
2015-08-17,14.45,14.49,14.42,14.44,154600,13.766347
2015-08-14,14.46,14.54,14.44,14.54,127000,13.861682
2015-08-13,14.47,14.55,14.43,14.50,97600,13.823548
2015-08-12,14.43,14.52,14.43,14.49,116000,13.814015
2015-08-11,14.52,14.55,14.48,14.54,92900,13.861682
2015-08-10,14.60,14.61,14.57,14.59,86100,13.90935
2015-08-07,14.61,14.65,14.53,14.56,109900,13.88075
2015-08-06,14.74,14.74,14.59,14.71,216700,14.023751
2015-08-05,14.79,14.85,14.63,14.74,108800,14.052352
2015-08-04,14.67,14.78,14.66,14.76,80500,14.071419
2015-08-03,14.67,14.73,14.64,14.69,148700,14.004684
2015-07-31,14.56,14.74,14.55,14.70,202000,14.014218
2015-07-30,14.53,14.56,14.45,14.54,152400,13.861682
2015-07-29,14.47,14.57,14.45,14.56,184800,13.88075
2015-07-28,14.47,14.54,14.44,14.48,211700,13.804481
2015-07-27,14.40,14.49,14.40,14.46,144200,13.785414
2015-07-24,14.65,14.71,14.50,14.51,177600,13.833082
2015-07-23,14.81,14.81,14.62,14.65,206700,13.96655
2015-07-22,14.81,14.85,14.67,14.74,186800,14.052352
2015-07-21,14.96,14.96,14.76,14.87,185300,14.176287
2015-07-20,14.96,15.01,14.86,14.90,153500,14.204887
2015-07-17,15.05,15.06,14.96,15.02,74700,14.31929
2015-07-16,14.98,15.09,14.95,15.09,138600,14.386024
2015-07-15,14.95,14.99,14.91,14.93,144700,14.233488
2015-07-14,15.16,15.17,15.07,15.09,84600,14.266855
2015-07-13,15.08,15.23,15.06,15.19,155900,14.3614
2015-07-10,15.23,15.23,15.07,15.11,76200,14.285764
2015-07-09,15.09,15.15,15.07,15.14,112900,14.314128
2015-07-08,15.06,15.09,14.93,15.04,85800,14.219582
2015-07-07,15.07,15.11,15.03,15.10,138600,14.27631
2015-07-06,15.10,15.12,15.04,15.12,85700,14.295218
2015-07-02,15.22,15.26,15.14,15.18,59000,14.351946
2015-07-01,15.12,15.25,15.10,15.25,244300,14.418127
2015-06-30,14.88,15.10,14.82,15.10,263200,14.27631
2015-06-29,14.77,14.89,14.75,14.77,256100,13.964311
2015-06-26,15.01,15.01,14.86,14.87,251000,14.058856
2015-06-25,15.07,15.14,15.00,15.00,242500,14.181764
2015-06-24,15.20,15.23,15.06,15.13,217900,14.304673
2015-06-23,15.17,15.23,15.14,15.21,117400,14.380309
2015-06-22,15.20,15.26,15.13,15.18,117300,14.351946
2015-06-19,15.02,15.19,15.02,15.17,173600,14.342491
2015-06-18,15.05,15.11,15.01,15.05,270600,14.229037
2015-06-17,15.14,15.18,15.05,15.08,208100,14.2574
2015-06-16,15.24,15.29,15.24,15.29,179200,14.337764
2015-06-15,15.33,15.39,15.25,15.26,180600,14.309633
2015-06-12,15.40,15.44,15.34,15.40,175800,14.440913
2015-06-11,15.49,15.53,15.41,15.44,93500,14.478422
2015-06-10,15.48,15.52,15.42,15.49,115100,14.525308
2015-06-09,15.58,15.62,15.39,15.49,200900,14.525308
2015-06-08,15.60,15.61,15.54,15.59,115500,14.619081
2015-06-05,15.62,15.66,15.56,15.61,126600,14.637835
2015-06-04,15.68,15.68,15.56,15.66,148800,14.684721
2015-06-03,15.77,15.80,15.61,15.67,118100,14.694099
2015-06-02,15.74,15.80,15.70,15.79,195000,14.806625
2015-06-01,15.67,15.80,15.65,15.75,103000,14.769116
2015-05-29,15.69,15.70,15.63,15.64,127500,14.665967
2015-05-28,15.69,15.72,15.65,15.68,95900,14.703476
2015-05-27,15.60,15.71,15.59,15.71,151900,14.731607
2015-05-26,15.70,15.74,15.57,15.61,335000,14.637835
2015-05-22,15.73,15.76,15.71,15.71,115200,14.731607
2015-05-21,15.81,15.88,15.70,15.74,173600,14.759739
2015-05-20,15.78,15.79,15.70,15.78,145600,14.797248
2015-05-19,15.88,15.88,15.75,15.80,130900,14.816003
2015-05-18,15.95,15.96,15.85,15.87,149600,14.881643
2015-05-15,15.91,15.95,15.85,15.95,134500,14.95666
2015-05-14,15.87,15.96,15.84,15.91,111300,14.919152
2015-05-13,15.87,15.92,15.82,15.87,147500,14.881643
2015-05-12,15.94,15.99,15.89,15.99,128900,14.876954
2015-05-11,16.00,16.030001,15.92,15.95,97300,14.839738
2015-05-08,16.040001,16.040001,15.94,15.99,106900,14.876954
2015-05-07,15.92,16.040001,15.90,15.98,117700,14.86765
2015-05-06,16.01,16.02,15.87,15.93,168400,14.821131
2015-05-05,16.07,16.07,15.96,16.030001,151900,14.91417
2015-05-04,16.139999,16.15,16.040001,16.059999,88100,14.942081
2015-05-01,16.110001,16.18,16.049999,16.129999,130700,15.007208
2015-04-30,16.139999,16.16,16.02,16.09,159000,14.969993
2015-04-29,16.09,16.129999,16.02,16.129999,101600,15.007208
2015-04-28,16.09,16.120001,16.030001,16.120001,131300,14.997906
2015-04-27,16.139999,16.16,16.040001,16.049999,93800,14.932777
2015-04-24,16.10,16.10,16.059999,16.10,63300,14.979298
2015-04-23,16.030001,16.16,16.00,16.07,158800,14.951385
2015-04-22,16.030001,16.049999,15.99,16.02,118700,14.904866
2015-04-21,16.049999,16.049999,16.02,16.030001,74600,14.91417
2015-04-20,16.040001,16.07,16.00,16.049999,89600,14.932777
2015-04-17,16.00,16.040001,15.96,15.99,68400,14.876954
2015-04-16,16.049999,16.08,16.01,16.040001,91800,14.923475
2015-04-15,16.049999,16.10,16.030001,16.030001,156900,14.91417
2015-04-14,16.120001,16.200001,16.120001,16.16,139000,14.918821
2015-04-13,16.07,16.16,16.059999,16.110001,175300,14.872662
2015-04-10,16.139999,16.16,16.00,16.049999,279800,14.81727
2015-04-09,16.07,16.17,16.059999,16.10,88800,14.86343
2015-04-08,16.09,16.139999,16.030001,16.040001,85700,14.808039
2015-04-07,16.07,16.129999,16.059999,16.10,100500,14.86343
2015-04-06,15.98,16.15,15.94,16.10,117000,14.86343
2015-04-02,16.030001,16.059999,15.90,15.93,158000,14.706487
2015-04-01,15.94,16.07,15.93,16.00,127500,14.771111
2015-03-31,16.049999,16.049999,15.92,15.93,249800,14.706487
2015-03-30,16.07,16.08,16.02,16.030001,77800,14.798807
2015-03-27,16.059999,16.110001,16.02,16.09,56300,14.854198
2015-03-26,16.01,16.129999,16.00,16.120001,113000,14.881895
2015-03-25,16.02,16.07,15.94,16.01,174700,14.780343
2015-03-24,16.030001,16.08,15.96,16.02,98800,14.789575
2015-03-23,16.049999,16.110001,16.02,16.049999,102800,14.81727
2015-03-20,15.98,16.129999,15.95,16.030001,108100,14.798807
2015-03-19,16.00,16.02,15.95,15.99,100600,14.761878
2015-03-18,15.97,16.10,15.92,16.059999,84000,14.826502
2015-03-17,16.139999,16.219999,16.00,16.059999,210600,14.711102
2015-03-16,16.32,16.33,16.129999,16.15,184500,14.793543
2015-03-13,16.42,16.440001,16.32,16.34,113500,14.967585
2015-03-12,16.40,16.459999,16.370001,16.379999,109000,15.004225
2015-03-11,16.43,16.459999,16.33,16.370001,120500,14.995066
