Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.00,12.265,11.67,12.06,146200,12.06
2015-10-08,12.18,12.18,11.64,11.99,120100,11.99
2015-10-07,12.21,12.85,11.55,12.24,139200,12.24
2015-10-06,12.02,12.08,11.25,11.71,172300,11.71
2015-10-05,11.62,12.12,11.52,12.03,200200,12.03
2015-10-02,10.95,11.74,10.51,11.68,178300,11.68
2015-10-01,11.46,11.46,10.75,11.02,353200,11.02
2015-09-30,11.92,12.94,11.07,11.36,1149400,11.36
2015-09-29,11.87,12.24,11.36,11.69,324500,11.69
2015-09-28,12.90,13.09,11.54,11.69,253900,11.69
2015-09-25,13.17,13.40,12.71,12.99,151400,12.99
2015-09-24,13.34,13.47,12.59,13.12,183600,13.12
2015-09-23,13.95,14.04,13.32,13.51,57900,13.51
2015-09-22,13.60,14.05,13.50,13.90,154500,13.90
2015-09-21,14.26,14.33,13.68,13.78,476900,13.78
2015-09-18,14.89,15.52,14.06,14.06,372700,14.06
2015-09-17,15.40,15.63,14.79,15.02,164000,15.02
2015-09-16,15.99,16.01,15.31,15.41,118400,15.41
2015-09-15,16.07,16.23,15.54,15.99,112300,15.99
2015-09-14,16.40,16.549999,16.00,16.10,57000,16.10
2015-09-11,16.35,16.559999,16.01,16.35,57100,16.35
2015-09-10,16.23,16.639999,16.200001,16.459999,66600,16.459999
2015-09-09,16.93,17.07,15.83,16.34,76100,16.34
2015-09-08,16.129999,17.09,16.129999,16.85,86700,16.85
2015-09-04,16.059999,16.65,15.99,16.57,28200,16.57
2015-09-03,16.040001,16.43,15.64,16.219999,94400,16.219999
2015-09-02,16.190001,16.43,15.82,16.09,108600,16.09
2015-09-01,16.790001,16.809999,15.77,16.02,124400,16.02
2015-08-31,17.120001,17.139999,16.50,16.90,111800,16.90
2015-08-28,16.469999,17.15,16.10,17.07,100100,17.07
2015-08-27,16.209999,17.059999,16.120001,16.49,176100,16.49
2015-08-26,16.200001,16.35,15.81,16.190001,213800,16.190001
2015-08-25,15.72,16.32,15.62,16.07,212900,16.07
2015-08-24,15.90,16.02,15.58,15.65,114100,15.65
2015-08-21,15.90,16.08,15.58,15.86,174700,15.86
2015-08-20,16.00,16.311001,15.78,16.02,186000,16.02
2015-08-19,16.34,16.459999,15.85,16.219999,141300,16.219999
2015-08-18,16.15,16.60,15.755,16.49,134300,16.49
2015-08-17,16.139999,16.35,15.88,16.139999,43900,16.139999
2015-08-14,15.72,16.190001,15.39,16.01,124800,16.01
2015-08-13,16.129999,16.129999,15.325,15.79,141700,15.79
2015-08-12,15.96,16.059999,15.55,16.049999,64900,16.049999
2015-08-11,16.00,16.24,15.86,16.040001,106300,16.040001
2015-08-10,16.15,16.32,15.63,16.27,210400,16.27
2015-08-07,16.040001,16.219999,15.894,16.049999,94800,16.049999
2015-08-06,16.200001,16.459999,15.64,15.97,333600,15.97
2015-08-05,16.50,16.65,16.16,16.450001,120700,16.450001
2015-08-04,16.469999,16.549999,15.99,16.450001,37500,16.450001
2015-08-03,16.110001,16.549999,15.70,16.49,72300,16.49
2015-07-31,16.34,16.389999,15.57,16.200001,103300,16.200001
2015-07-30,16.200001,16.450001,16.059999,16.26,137600,16.26
2015-07-29,16.26,16.42,16.09,16.32,81700,16.32
2015-07-28,16.299999,16.40,16.049999,16.40,139200,16.40
2015-07-27,16.25,16.50,16.049999,16.25,57600,16.25
2015-07-24,16.540001,16.65,16.51,16.60,89200,16.60
2015-07-23,16.32,16.639999,16.129999,16.41,55600,16.41
2015-07-22,15.97,16.42,15.88,16.42,83400,16.42
2015-07-21,16.32,16.375,15.86,16.02,62600,16.02
2015-07-20,16.25,16.35,15.942,16.030001,44300,16.030001
2015-07-17,15.90,16.25,15.574,16.129999,500800,16.129999
2015-07-16,16.49,16.49,15.50,16.00,66500,16.00
2015-07-15,15.60,16.285,15.60,16.129999,99700,16.129999
2015-07-14,15.00,15.60,15.00,15.55,52100,15.55
2015-07-13,15.51,15.51,15.00,15.04,102100,15.04
2015-07-10,15.19,15.51,15.00,15.09,73700,15.09
2015-07-09,15.37,15.85,14.82,15.00,169100,15.00
2015-07-08,15.50,15.50,14.62,15.23,263900,15.23
2015-07-07,16.50,16.558001,15.63,15.90,119100,15.90
2015-07-06,16.67,16.879999,16.10,16.15,56300,16.15
2015-07-02,16.75,16.766001,16.41,16.57,56200,16.57
2015-07-01,16.57,16.98,16.34,16.459999,136100,16.459999
2015-06-30,16.26,17.177999,16.120001,16.35,333900,16.35
2015-06-29,16.00,16.379999,15.51,16.09,96800,16.09
2015-06-26,16.10,16.139999,15.81,15.86,35400,15.86
2015-06-25,16.00,16.360001,15.77,16.02,104900,16.02
2015-06-24,16.459999,16.674999,16.00,16.049999,95900,16.049999
2015-06-23,17.00,17.073,16.42,16.65,65700,16.65
2015-06-22,16.48,17.129999,16.459999,16.780001,98600,16.780001
2015-06-19,16.73,16.875999,16.43,16.43,124800,16.43
2015-06-18,16.139999,16.879999,16.139999,16.700001,142500,16.700001
2015-06-17,16.01,16.33,16.00,16.209999,75000,16.209999
2015-06-16,16.00,16.219999,16.00,16.00,164000,16.00
2015-06-15,16.10,16.49,15.90,16.10,149000,16.10
2015-06-12,16.16,16.780001,16.16,16.51,91100,16.51
2015-06-11,16.91,17.139999,15.17,16.41,192300,16.41
2015-06-10,17.40,17.60,16.610001,17.10,273600,17.10
2015-06-09,19.299999,19.688999,17.10,17.60,761400,17.60
2015-06-08,17.50,19.67,17.32,19.25,916400,19.25
2015-06-05,14.50,17.76,14.26,17.00,4440200,17.00
