Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,4.04,4.04,3.86,3.97,40500,3.97
2015-10-08,4.00,4.20,4.00,4.20,23900,4.20
2015-10-07,4.05,4.05,4.00,4.00,500,4.00
2015-10-06,4.00,4.00,4.00,4.00,200,4.00
2015-10-05,4.05,4.05,4.04,4.04,300,4.04
2015-10-02,4.05,4.05,4.05,4.05,400,4.05
2015-10-01,4.05,4.05,3.95,3.99,2600,3.99
2015-09-30,4.09,4.09,3.91,3.91,29700,3.876
2015-09-29,4.17,4.17,4.09,4.09,700,4.054435
2015-09-28,4.06,4.12,4.06,4.06,1000,4.024696
2015-09-25,4.14,4.14,4.06,4.07,1400,4.034609
2015-09-24,4.14,4.14,4.14,4.14,000,4.104
2015-09-23,4.14,4.14,4.14,4.14,600,4.104
2015-09-22,4.14,4.14,4.05,4.10,2100,4.064348
2015-09-21,4.13,4.15,4.13,4.15,2900,4.113913
2015-09-18,4.09,4.16,3.97,4.16,14700,4.123826
2015-09-17,4.08,4.09,4.05,4.05,2400,4.014783
2015-09-16,4.06,4.07,4.03,4.04,1400,4.004869
2015-09-15,3.88,4.05,3.88,4.04,700,4.004869
2015-09-14,4.00,4.00,3.88,4.00,5600,3.965217
2015-09-11,4.05,4.05,4.00,4.05,4200,4.014783
2015-09-10,3.93,4.04,3.93,4.00,500,3.965217
2015-09-09,3.97,4.05,3.93,3.98,13800,3.945391
2015-09-08,3.97,4.05,3.97,4.05,1900,4.014783
2015-09-04,3.97,4.04,3.97,3.97,4900,3.935478
2015-09-03,4.09,4.09,4.00,4.01,3100,3.975131
2015-09-02,4.09,4.10,3.97,3.97,4500,3.935478
2015-09-01,4.04,4.04,3.94,4.03,4700,3.994957
2015-08-31,3.98,4.04,3.98,4.00,800,3.965217
2015-08-28,4.04,4.04,4.00,4.00,5800,3.965217
2015-08-27,3.95,4.10,3.95,4.06,1300,4.024696
2015-08-26,4.10,4.10,4.00,4.00,1600,3.965217
2015-08-25,4.00,4.10,4.00,4.10,1600,4.064348
2015-08-24,4.10,4.10,4.07,4.07,1100,4.034609
2015-08-21,4.10,4.10,4.07,4.07,3800,4.034609
2015-08-20,4.05,4.05,4.05,4.05,500,4.014783
2015-08-19,4.05,4.15,4.05,4.10,1200,4.064348
2015-08-18,4.05,4.05,4.05,4.05,100,4.014783
2015-08-17,4.12,4.12,4.12,4.12,400,4.084174
2015-08-14,4.18,4.18,4.10,4.10,1100,4.064348
