Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,11.16,11.16,11.05,11.12,189400,10.814404
2015-10-08,11.00,11.16,11.00,11.14,134800,10.833855
2015-10-07,10.91,11.12,10.87,11.08,358700,10.775504
2015-10-06,10.90,10.96,10.89,10.94,94400,10.639351
2015-10-05,10.80,10.99,10.80,10.98,128000,10.678251
2015-10-02,10.63,10.79,10.62,10.79,176800,10.493473
2015-10-01,10.71,10.72,10.62,10.70,166300,10.405947
2015-09-30,10.72,10.78,10.70,10.70,252800,10.405947
2015-09-29,10.71,10.79,10.63,10.65,204000,10.35732
2015-09-28,10.89,10.91,10.72,10.76,265000,10.464298
2015-09-25,11.00,11.08,10.95,10.97,93500,10.668527
2015-09-24,10.93,10.99,10.90,10.99,94200,10.687977
2015-09-23,10.99,11.05,10.99,11.02,69700,10.717153
2015-09-22,11.06,11.06,10.97,11.01,94100,10.707428
2015-09-21,11.10,11.19,11.09,11.10,52000,10.794954
2015-09-18,11.14,11.17,11.06,11.07,101500,10.765778
2015-09-17,11.14,11.25,11.13,11.19,67700,10.88248
2015-09-16,11.14,11.19,11.06,11.18,56700,10.872756
2015-09-15,11.15,11.23,11.15,11.21,102800,10.804679
2015-09-14,11.21,11.21,11.12,11.14,104000,10.737211
2015-09-11,11.16,11.18,11.12,11.18,85500,10.775764
2015-09-10,11.17,11.22,11.14,11.20,120000,10.795041
2015-09-09,11.34,11.34,11.12,11.16,143100,10.756487
2015-09-08,11.26,11.30,11.23,11.25,294100,10.843233
2015-09-04,11.07,11.14,11.03,11.14,166200,10.737211
2015-09-03,11.17,11.26,11.17,11.22,257700,10.814318
2015-09-02,11.01,11.17,10.96,11.17,335200,10.766126
2015-09-01,10.95,11.03,10.88,10.94,365900,10.544441
2015-08-31,11.24,11.25,11.16,11.17,408100,10.766126
2015-08-28,11.19,11.30,11.15,11.27,251400,10.86251
2015-08-27,11.24,11.37,11.23,11.29,635100,10.881787
2015-08-26,11.23,11.34,11.13,11.22,429200,10.814318
2015-08-25,11.34,11.38,11.13,11.16,507800,10.756487
2015-08-24,11.16,11.18,10.86,11.15,199300,10.746848
2015-08-21,11.81,11.92,11.55,11.64,162700,11.219132
2015-08-20,12.03,12.16,11.92,11.92,116200,11.489008
2015-08-19,12.10,12.12,12.03,12.08,71800,11.643223
2015-08-18,12.13,12.13,12.07,12.11,77300,11.672138
2015-08-17,11.99,12.10,11.99,12.10,61100,11.6625
2015-08-14,12.09,12.15,12.07,12.15,144000,11.614307
2015-08-13,12.13,12.19,11.98,12.07,101500,11.537834
2015-08-12,11.99,12.12,11.96,12.12,77800,11.58563
2015-08-11,12.15,12.16,12.05,12.08,109600,11.547394
2015-08-10,12.23,12.27,12.20,12.23,55700,11.69078
2015-08-07,12.28,12.28,12.20,12.20,38100,11.662103
2015-08-06,12.31,12.36,12.25,12.28,62100,11.738576
2015-08-05,12.44,12.49,12.32,12.36,64700,11.815048
2015-08-04,12.45,12.46,12.38,12.43,55900,11.881963
2015-08-03,12.32,12.43,12.27,12.41,91700,11.862844
2015-07-31,12.36,12.36,12.26,12.31,102300,11.767254
2015-07-30,12.24,12.33,12.24,12.27,42800,11.729017
2015-07-29,12.20,12.33,12.15,12.30,136500,11.757694
2015-07-28,12.08,12.23,12.08,12.16,51100,11.623867
2015-07-27,12.18,12.22,12.07,12.07,58200,11.537834
2015-07-24,12.35,12.36,12.26,12.26,18800,11.719458
2015-07-23,12.40,12.40,12.31,12.36,93200,11.815048
2015-07-22,12.35,12.37,12.30,12.33,53700,11.786371
2015-07-21,12.36,12.36,12.30,12.36,70800,11.815048
2015-07-20,12.42,12.42,12.35,12.35,61600,11.80549
2015-07-17,12.39,12.39,12.32,12.39,40400,11.843726
2015-07-16,12.39,12.40,12.30,12.39,82100,11.843726
2015-07-15,12.37,12.39,12.31,12.36,100100,11.815048
2015-07-14,12.39,12.47,12.39,12.44,55300,11.79593
2015-07-13,12.32,12.42,12.32,12.40,45000,11.758001
2015-07-10,12.34,12.34,12.24,12.28,98200,11.644214
2015-07-09,12.33,12.36,12.19,12.23,91300,11.596803
2015-07-08,12.26,12.30,12.18,12.22,140600,11.587321
2015-07-07,12.32,12.40,12.18,12.38,186400,11.739037
2015-07-06,12.18,12.27,12.15,12.27,77500,11.634732
2015-07-02,12.28,12.30,12.16,12.25,101400,11.615767
2015-07-01,12.12,12.29,12.09,12.29,159100,11.653696
2015-06-30,12.18,12.18,12.05,12.05,185100,11.426122
2015-06-29,12.26,12.27,12.05,12.05,98400,11.426122
2015-06-26,12.41,12.41,12.33,12.37,116700,11.729554
2015-06-25,12.39,12.42,12.35,12.38,53000,11.739037
2015-06-24,12.40,12.44,12.37,12.40,43100,11.758001
2015-06-23,12.46,12.49,12.42,12.44,65500,11.79593
2015-06-22,12.44,12.46,12.42,12.44,80900,11.79593
2015-06-19,12.40,12.49,12.36,12.38,72500,11.739037
2015-06-18,12.38,12.47,12.38,12.44,106300,11.79593
2015-06-17,12.42,12.48,12.35,12.39,45500,11.748519
2015-06-16,12.36,12.43,12.35,12.43,64800,11.786448
2015-06-15,12.44,12.48,12.41,12.46,74500,11.720072
2015-06-12,12.49,12.49,12.42,12.47,93900,11.729478
2015-06-11,12.50,12.52,12.48,12.48,76300,11.738884
2015-06-10,12.49,12.53,12.46,12.50,74100,11.757696
2015-06-09,12.41,12.45,12.39,12.44,71300,11.701259
2015-06-08,12.50,12.51,12.38,12.44,80600,11.701259
2015-06-05,12.41,12.48,12.41,12.48,161600,11.738884
2015-06-04,12.43,12.46,12.38,12.46,149100,11.720072
2015-06-03,12.41,12.47,12.40,12.47,141500,11.729478
2015-06-02,12.38,12.48,12.37,12.48,69100,11.738884
2015-06-01,12.30,12.46,12.29,12.42,167900,11.682447
2015-05-29,12.44,12.44,12.20,12.20,115200,11.475512
2015-05-28,12.45,12.45,12.36,12.40,155000,11.663634
2015-05-27,12.47,12.51,12.47,12.50,90100,11.757696
2015-05-26,12.53,12.57,12.42,12.46,58700,11.720072
2015-05-22,12.54,12.60,12.51,12.54,86400,11.795321
2015-05-21,12.55,12.60,12.49,12.58,73600,11.832946
2015-05-20,12.50,12.56,12.43,12.56,90000,11.814134
2015-05-19,12.41,12.47,12.40,12.47,81800,11.729478
2015-05-18,12.37,12.42,12.30,12.40,56800,11.663634
2015-05-15,12.37,12.37,12.30,12.36,113100,11.62601
2015-05-14,12.27,12.34,12.27,12.34,82800,11.607198
2015-05-13,12.36,12.38,12.31,12.33,1116100,11.503731
2015-05-12,12.35,12.37,12.28,12.37,952800,11.54105
2015-05-11,12.38,12.41,12.32,12.36,152000,11.53172
2015-05-08,12.38,12.42,12.36,12.42,79300,11.5877
2015-05-07,12.23,12.29,12.23,12.28,287000,11.457081
2015-05-06,12.32,12.37,12.24,12.27,585500,11.447752
2015-05-05,12.46,12.49,12.32,12.35,107300,11.522391
2015-05-04,12.55,12.64,12.50,12.50,112300,11.662339
2015-05-01,12.49,12.60,12.45,12.60,146700,11.755638
2015-04-30,12.55,12.55,12.42,12.47,108300,11.634349
2015-04-29,12.47,12.59,12.47,12.52,74900,11.680999
2015-04-28,12.58,12.62,12.45,12.62,100900,11.774297
2015-04-27,12.71,12.74,12.63,12.63,56900,11.783627
2015-04-24,12.73,12.75,12.67,12.74,45500,11.886255
2015-04-23,12.85,12.85,12.75,12.75,69700,11.895585
2015-04-22,12.75,12.81,12.72,12.81,99700,11.951565
2015-04-21,12.71,12.76,12.61,12.70,105300,11.848936
2015-04-20,12.69,12.73,12.68,12.71,61200,11.858266
2015-04-17,12.72,12.72,12.60,12.64,52300,11.792957
2015-04-16,12.82,12.86,12.70,12.73,97000,11.876925
2015-04-15,12.73,12.86,12.73,12.86,154400,11.998214
2015-04-14,12.74,12.84,12.73,12.82,85900,11.867595
2015-04-13,12.81,12.85,12.71,12.74,61200,11.793539
2015-04-10,12.82,12.82,12.74,12.75,115600,11.802796
2015-04-09,12.60,12.78,12.60,12.78,73300,11.830567
2015-04-08,12.56,12.62,12.55,12.60,87900,11.66394
2015-04-07,12.59,12.65,12.57,12.63,113400,11.691711
2015-04-06,12.48,12.72,12.48,12.65,88300,11.710225
2015-04-02,12.55,12.59,12.50,12.57,125200,11.636168
2015-04-01,12.52,12.62,12.46,12.62,151500,11.682454
2015-03-31,12.56,12.56,12.46,12.46,170600,11.53434
2015-03-30,12.52,12.60,12.52,12.59,53500,11.654683
2015-03-27,12.50,12.54,12.47,12.48,78700,11.552854
2015-03-26,12.57,12.59,12.53,12.55,62200,11.617654
2015-03-25,12.62,12.65,12.59,12.64,121400,11.700968
2015-03-24,12.63,12.66,12.60,12.62,68200,11.682454
2015-03-23,12.63,12.71,12.60,12.65,93800,11.710225
2015-03-20,12.65,12.72,12.64,12.65,76600,11.710225
