Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,17.969999,18.040001,17.51,17.52,9482600,17.407992
2015-10-08,17.799999,18.040001,17.76,17.969999,8112700,17.855114
2015-10-07,17.959999,18.129999,17.74,17.84,9491800,17.725946
2015-10-06,17.68,17.93,17.60,17.809999,7738400,17.696137
2015-10-05,17.24,17.709999,17.24,17.639999,8598000,17.527223
2015-10-02,16.639999,17.059999,16.360001,17.049999,10396000,16.940995
2015-10-01,17.15,17.24,16.67,16.83,9414200,16.722402
2015-09-30,16.969999,17.18,16.93,17.120001,10471300,17.010549
2015-09-29,16.32,16.73,16.23,16.700001,11541000,16.593234
2015-09-28,16.48,16.50,16.280001,16.35,13183900,16.245472
2015-09-25,16.629999,16.84,16.42,16.57,14809200,16.464064
2015-09-24,16.59,16.76,16.24,16.68,14593300,16.573362
2015-09-23,16.950001,16.969999,16.700001,16.77,8381400,16.662787
2015-09-22,17.219999,17.280001,16.85,16.98,14266200,16.871443
2015-09-21,17.690001,17.76,17.43,17.52,10460900,17.407992
2015-09-18,18.02,18.030001,17.549999,17.620001,16717900,17.507353
2015-09-17,18.290001,18.48,18.10,18.17,8404500,18.053836
2015-09-16,18.00,18.43,17.959999,18.309999,11141400,18.19294
2015-09-15,17.950001,18.059999,17.709999,18.030001,7823600,17.914731
2015-09-14,17.68,17.75,17.469999,17.620001,5972100,17.507353
2015-09-11,17.469999,17.67,17.42,17.67,5698200,17.557032
2015-09-10,17.559999,17.780001,17.469999,17.610001,9943100,17.497416
2015-09-09,18.00,18.16,17.52,17.559999,10537600,17.447735
2015-09-08,17.549999,17.82,17.50,17.790001,11553000,17.676266
2015-09-04,17.01,17.35,17.01,17.24,10529700,17.129781
2015-09-03,17.01,17.620001,17.01,17.26,10944700,17.149654
2015-09-02,17.00,17.00,16.65,16.99,8524800,16.881379
2015-09-01,16.77,16.90,16.57,16.700001,14692300,16.593234
2015-08-31,17.049999,17.27,16.969999,17.209999,9809600,17.099972
2015-08-28,16.92,17.25,16.90,17.18,11534100,17.070165
2015-08-27,16.60,17.02,16.57,16.959999,11897400,16.851571
2015-08-26,16.35,16.57,15.83,16.52,16739000,16.295152
2015-08-25,16.879999,16.879999,15.95,15.97,20076600,15.752638
2015-08-24,15.83,16.77,15.42,16.290001,22789600,16.068283
2015-08-21,17.08,17.27,16.790001,16.790001,13337700,16.561478
2015-08-20,17.60,17.629999,17.219999,17.23,8687400,16.995488
