Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.52,12.79,12.40,12.65,133400,12.240596
2015-10-08,12.35,12.63,12.10,12.46,234500,12.056745
2015-10-07,12.16,12.52,12.07,12.42,285300,12.01804
2015-10-06,11.60,12.31,11.52,12.06,349200,11.669691
2015-10-05,11.01,11.56,10.95,11.43,474600,11.06008
2015-10-02,10.31,10.84,10.26,10.84,279400,10.489175
2015-10-01,10.55,10.82,10.37,10.52,483600,10.179532
2015-09-30,10.42,10.68,9.95,10.43,682200,10.092444
2015-09-29,11.09,11.16,10.30,10.34,289900,10.005357
2015-09-28,11.72,11.72,11.10,11.10,214300,10.740761
2015-09-25,12.27,12.36,11.66,11.77,238400,11.389077
2015-09-24,12.01,12.40,11.68,12.27,304800,11.872895
2015-09-23,12.62,12.73,12.10,12.12,141200,11.727749
2015-09-22,12.40,12.71,12.26,12.57,169200,12.163185
2015-09-21,12.44,12.58,12.36,12.52,103700,12.114804
2015-09-18,12.57,12.74,12.35,12.44,159100,12.037392
2015-09-17,12.55,12.94,12.37,12.83,210900,12.41477
2015-09-16,12.51,12.71,12.35,12.45,197500,12.047069
2015-09-15,12.44,12.67,12.27,12.31,255300,11.9116
2015-09-14,12.65,12.69,12.30,12.34,124000,11.940629
2015-09-11,12.88,12.90,12.34,12.73,215500,12.318006
2015-09-10,13.23,13.45,12.87,12.96,198200,12.540563
2015-09-09,13.86,13.86,13.33,13.34,184600,12.908265
2015-09-08,13.79,13.88,13.65,13.77,137200,13.324349
2015-09-04,13.65,13.75,13.48,13.74,70700,13.295319
2015-09-03,13.52,13.86,13.49,13.70,219800,13.256614
2015-09-02,13.64,13.78,13.10,13.49,251800,13.05341
2015-09-01,13.00,13.55,12.98,13.38,250000,12.94697
2015-08-31,13.05,13.57,12.92,13.32,140100,12.888912
2015-08-28,12.41,13.25,12.41,13.04,176400,12.617974
2015-08-27,12.15,12.92,12.10,12.60,190200,12.192215
2015-08-26,12.14,12.27,11.68,12.05,244600,11.660015
2015-08-25,12.70,12.74,12.00,12.13,373500,11.737425
2015-08-24,12.23,12.31,11.01,12.28,431700,11.88257
2015-08-21,13.12,13.33,12.75,12.91,300100,12.492181
2015-08-20,13.26,13.47,13.11,13.22,220200,12.792149
2015-08-19,13.99,14.29,13.32,13.36,331400,12.927617
2015-08-18,14.16,14.16,13.90,14.01,161900,13.556581
2015-08-17,14.12,14.37,13.78,14.06,202200,13.604963
2015-08-14,14.25,14.65,14.16,14.18,129500,13.721079
2015-08-13,14.50,14.78,14.25,14.36,172200,13.561419
2015-08-12,13.69,14.69,13.56,14.49,299300,13.684189
2015-08-11,13.41,13.73,13.24,13.57,270500,12.815352
2015-08-10,13.67,13.93,13.51,13.64,263400,12.88146
2015-08-07,13.75,13.85,13.45,13.49,135400,12.739801
2015-08-06,13.60,13.94,13.39,13.50,204700,12.749245
2015-08-05,14.15,14.60,13.40,13.54,522100,12.78702
2015-08-04,14.20,14.40,14.07,14.29,257900,13.495312
2015-08-03,14.29,14.29,13.91,14.13,174000,13.34421
2015-07-31,14.30,14.48,14.20,14.36,286800,13.561419
2015-07-30,14.19,14.40,14.19,14.36,246500,13.561419
2015-07-29,13.91,14.38,13.91,14.30,198300,13.504756
2015-07-28,13.65,14.10,13.56,13.93,192000,13.155332
2015-07-27,13.89,13.94,13.50,13.61,311100,12.853127
2015-07-24,13.81,14.29,13.81,14.05,240800,13.268659
2015-07-23,13.85,13.97,13.64,13.78,234000,13.013673
2015-07-22,14.02,14.07,13.64,13.71,358800,12.947566
2015-07-21,14.00,14.16,13.75,14.06,301800,13.278103
2015-07-20,14.34,14.49,14.01,14.05,220400,13.268659
2015-07-17,14.51,14.64,14.40,14.44,151500,13.63697
2015-07-16,14.86,14.89,14.63,14.69,192700,13.873067
2015-07-15,15.33,15.48,14.86,14.86,240300,14.033613
2015-07-14,15.09,15.38,15.07,15.35,148400,14.496364
2015-07-13,14.96,15.29,14.87,15.17,245400,14.326374
2015-07-10,14.67,15.01,14.59,14.99,169000,14.156384
2015-07-09,14.77,14.84,14.53,14.60,197200,13.788073
2015-07-08,14.95,15.07,14.45,14.57,251700,13.75974
2015-07-07,14.77,15.07,14.40,15.07,209300,14.231935
2015-07-06,14.70,14.86,14.61,14.77,108800,13.948619
2015-07-02,14.50,15.00,14.50,14.96,162400,14.128052
2015-07-01,15.15,15.18,14.56,14.56,217000,13.750297
2015-06-30,15.33,15.39,14.78,14.97,234700,14.137496
2015-06-29,15.48,15.60,15.24,15.26,131200,14.411369
2015-06-26,15.95,15.95,15.61,15.61,131900,14.741904
2015-06-25,16.110001,16.120001,15.85,15.95,135600,15.062997
2015-06-24,15.88,16.42,15.80,16.049999,278200,15.157435
2015-06-23,15.72,15.94,15.41,15.85,227000,14.968558
2015-06-22,16.120001,16.129999,15.74,15.76,123900,14.883563
2015-06-19,16.10,16.17,16.00,16.049999,77600,15.157435
2015-06-18,16.25,16.35,16.16,16.16,122300,15.261318
2015-06-17,16.42,16.549999,16.219999,16.219999,170200,15.317981
2015-06-16,16.40,16.629999,16.40,16.40,141500,15.487971
2015-06-15,16.459999,16.610001,16.41,16.459999,91500,15.544634
2015-06-12,16.370001,16.57,16.299999,16.52,143600,15.601299
2015-06-11,16.709999,16.75,16.469999,16.48,83800,15.563522
2015-06-10,16.99,17.17,16.74,16.75,96100,15.818508
