Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,9.13,9.19,9.05,9.15,760900,8.962518
2015-10-08,9.10,9.15,9.04,9.14,840600,8.952724
2015-10-07,9.02,9.15,9.00,9.15,837200,8.962518
2015-10-06,9.04,9.18,8.98,9.02,751300,8.835183
2015-10-05,9.12,9.20,9.03,9.11,1291900,8.865547
2015-10-02,9.11,9.18,9.01,9.14,275200,8.894742
2015-10-01,9.00,9.19,9.00,9.16,1194400,8.914205
2015-09-30,8.95,9.20,8.81,9.20,1093300,8.953132
2015-09-29,8.89,9.07,8.81,9.07,623300,8.82662
2015-09-28,8.96,8.99,8.75,8.88,467000,8.641719
2015-09-25,9.15,9.18,8.96,9.02,1133200,8.777963
2015-09-24,9.05,9.15,8.97,9.13,623100,8.88501
2015-09-23,8.94,9.15,8.89,9.15,1505000,8.904473
2015-09-22,8.56,8.90,8.51,8.89,796000,8.651451
2015-09-21,8.65,8.97,8.60,8.96,880800,8.719572
2015-09-18,8.71,8.79,8.40,8.67,9048300,8.437354
2015-09-17,8.80,8.80,8.71,8.79,1249000,8.554134
2015-09-16,8.98,8.99,8.71,8.80,1252000,8.563866
2015-09-15,8.99,9.00,8.90,9.00,979700,8.758499
2015-09-14,8.93,9.00,8.80,8.98,770500,8.739035
2015-09-11,8.88,8.94,8.72,8.94,887500,8.700108
2015-09-10,8.60,8.92,8.60,8.86,994100,8.622255
2015-09-09,8.83,8.95,8.51,8.69,942800,8.456817
2015-09-08,8.67,8.98,8.66,8.75,2188500,8.515207
2015-09-04,8.42,8.77,8.37,8.63,727200,8.398427
2015-09-03,8.51,8.75,8.50,8.75,860300,8.515207
2015-09-02,8.41,8.60,8.41,8.50,471400,8.214499
2015-09-01,8.64,8.64,8.27,8.53,492400,8.243491
2015-08-31,8.75,8.75,8.45,8.63,425800,8.340133
2015-08-28,8.56,8.84,8.50,8.77,662700,8.475431
2015-08-27,8.15,8.60,8.12,8.48,427600,8.19517
2015-08-26,8.28,8.30,8.10,8.27,382900,7.992225
2015-08-25,8.27,8.30,8.00,8.10,499300,7.827935
2015-08-24,8.26,8.36,7.83,8.08,719000,7.808606
2015-08-21,8.77,8.90,8.36,8.45,588200,8.166178
2015-08-20,8.52,9.00,8.52,8.68,954400,8.388453
2015-08-19,8.69,8.864,8.50,8.73,1001900,8.436773
2015-08-18,8.51,8.71,8.51,8.68,574100,8.388453
2015-08-17,8.50,8.57,8.30,8.53,556900,8.243491
2015-08-14,8.32,8.483,8.13,8.38,563700,8.09853
2015-08-13,8.18,8.25,8.00,8.22,339400,7.943904
2015-08-12,7.97,8.165,7.75,8.09,579400,7.81827
2015-08-11,8.01,8.04,7.30,7.81,764300,7.547675
2015-08-10,8.20,8.20,8.02,8.02,370600,7.750622
2015-08-07,8.06,8.21,8.06,8.15,262300,7.876255
2015-08-06,8.14,8.24,8.10,8.13,365500,7.856927
2015-08-05,8.15,8.29,8.09,8.15,420900,7.876255
2015-08-04,8.23,8.40,8.175,8.29,316400,7.954534
2015-08-03,8.22,8.25,8.08,8.20,187700,7.868176
2015-07-31,8.30,8.40,8.15,8.16,202500,7.829795
2015-07-30,8.42,8.49,8.25,8.30,252200,7.96413
2015-07-29,8.20,8.51,8.20,8.50,221600,8.156036
2015-07-28,8.25,8.25,8.20,8.23,264600,7.896962
2015-07-27,8.05,8.24,8.05,8.19,365600,7.858581
2015-07-24,8.19,8.20,8.05,8.09,244700,7.762628
2015-07-23,8.11,8.21,8.06,8.10,285200,7.772223
2015-07-22,8.20,8.20,8.05,8.11,449700,7.781818
2015-07-21,8.16,8.28,8.08,8.15,378000,7.820199
2015-07-20,8.48,8.49,8.09,8.25,412000,7.916153
2015-07-17,8.44,8.54,8.30,8.37,250800,8.031297
2015-07-16,8.55,8.70,8.44,8.44,421000,8.098464
2015-07-15,8.56,8.68,8.51,8.59,561800,8.242395
2015-07-14,8.50,8.59,8.45,8.56,312800,8.213609
2015-07-13,8.54,8.69,8.38,8.52,393700,8.175227
2015-07-10,8.15,8.73,8.10,8.67,787400,8.319157
2015-07-09,8.50,8.62,8.01,8.26,654900,7.925749
2015-07-08,8.60,8.73,8.51,8.54,611900,8.194418
2015-07-07,8.58,8.62,8.44,8.58,170300,8.232799
2015-07-06,8.44,8.67,8.44,8.50,187100,8.156036
2015-07-02,8.88,8.90,8.74,8.76,166700,8.348903
2015-07-01,8.89,8.93,8.80,8.82,133600,8.406086
2015-06-30,8.96,8.994,8.80,8.84,219500,8.425148
