Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,6.43,6.55,6.43,6.53,96700,6.303124
2015-10-08,6.31,6.47,6.28,6.41,69200,6.187293
2015-10-07,6.24,6.34,6.24,6.32,52100,6.10042
2015-10-06,6.15,6.29,6.13,6.24,73800,6.023199
2015-10-05,5.90,6.09,5.79,6.09,125600,5.878411
2015-10-02,5.78,5.93,5.74,5.87,92900,5.666055
2015-10-01,5.71,5.82,5.67,5.71,45300,5.511614
2015-09-30,5.74,5.79,5.66,5.79,95900,5.588834
2015-09-29,5.76,5.78,5.69,5.71,71100,5.511614
2015-09-28,5.90,5.91,5.75,5.76,56300,5.559877
2015-09-25,6.00,6.04,5.94,6.00,91300,5.791538
2015-09-24,5.94,6.04,5.88,6.01,150900,5.801191
2015-09-23,6.00,6.00,5.85,5.86,61500,5.656402
2015-09-22,5.98,5.98,5.90,5.92,42900,5.714318
2015-09-21,6.08,6.10,6.03,6.09,34900,5.878411
2015-09-18,6.19,6.19,6.04,6.10,98800,5.888064
2015-09-17,6.05,6.22,6.03,6.13,65500,5.917021
2015-09-16,5.88,6.07,5.88,6.07,133000,5.859106
2015-09-15,5.78,5.87,5.78,5.85,65800,5.646749
2015-09-14,5.89,5.90,5.79,5.81,53900,5.608139
2015-09-11,5.98,5.99,5.87,5.97,81900,5.695012
2015-09-10,6.06,6.06,5.99,5.99,67500,5.714091
2015-09-09,6.05,6.16,6.00,6.05,58000,5.771327
2015-09-08,6.13,6.14,6.04,6.09,66600,5.809485
2015-09-04,6.05,6.08,6.01,6.05,27600,5.771327
2015-09-03,6.11,6.22,6.10,6.15,45800,5.866721
2015-09-02,6.11,6.17,6.04,6.12,70400,5.838103
2015-09-01,6.18,6.19,6.09,6.13,71800,5.847642
2015-08-31,6.20,6.25,6.10,6.23,49300,5.943036
2015-08-28,6.01,6.24,6.01,6.23,70700,5.943036
2015-08-27,5.90,6.14,5.90,6.12,80200,5.838103
2015-08-26,5.94,6.06,5.89,5.93,118700,5.656854
2015-08-25,6.22,6.26,5.97,5.99,160400,5.714091
