Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.50,14.64,14.43,14.59,81500,14.234195
2015-10-08,14.38,14.53,14.35,14.47,192700,14.117121
2015-10-07,14.21,14.38,14.18,14.38,98200,14.029316
2015-10-06,14.19,14.32,14.12,14.23,99700,13.882973
2015-10-05,14.13,14.28,14.13,14.26,155400,13.912242
2015-10-02,14.01,14.09,13.80,14.06,130700,13.71712
2015-10-01,14.15,14.20,13.93,14.09,88700,13.746388
2015-09-30,14.26,14.40,13.99,14.11,162800,13.7659
2015-09-29,13.93,14.31,13.90,14.15,120500,13.804924
2015-09-28,13.91,14.04,13.80,13.89,140500,13.551266
2015-09-25,14.37,14.37,13.80,13.85,102300,13.512241
2015-09-24,14.02,14.38,13.95,14.31,74800,13.961023
2015-09-23,14.00,14.12,13.84,14.08,53400,13.736632
2015-09-22,14.08,14.24,13.93,14.00,106100,13.658583
2015-09-21,14.15,14.25,14.13,14.20,164500,13.853705
2015-09-18,13.98,14.14,13.94,14.04,148900,13.697607
2015-09-17,13.98,14.17,13.78,14.04,130100,13.697607
2015-09-16,13.91,14.09,13.83,14.07,108100,13.604924
2015-09-15,13.93,13.98,13.83,13.97,91400,13.50823
2015-09-14,13.98,14.16,13.83,13.90,57700,13.440543
2015-09-11,13.83,13.93,13.80,13.92,98200,13.459883
2015-09-10,13.78,13.93,13.72,13.84,83500,13.382527
2015-09-09,14.08,14.09,13.75,13.76,96400,13.305172
2015-09-08,14.00,14.10,13.96,14.00,92400,13.537238
2015-09-04,14.00,14.07,13.81,13.86,95100,13.401866
2015-09-03,14.28,14.37,14.06,14.10,76600,13.633933
2015-09-02,14.36,14.39,14.11,14.28,108400,13.807983
2015-09-01,14.21,14.48,14.07,14.24,102400,13.769305
2015-08-31,14.63,14.82,14.20,14.40,120700,13.924016
2015-08-28,14.59,14.78,14.31,14.64,98100,14.156084
2015-08-27,14.37,14.73,14.09,14.52,128400,14.04005
2015-08-26,14.30,14.49,14.03,14.24,148400,13.769305
2015-08-25,14.71,14.85,13.95,14.00,192400,13.537238
2015-08-24,14.75,15.20,12.00,14.50,272700,14.020711
2015-08-21,15.40,15.68,15.22,15.44,124200,14.929639
2015-08-20,15.65,15.76,15.58,15.60,45700,15.084352
2015-08-19,15.75,15.79,15.57,15.68,71500,15.161707
2015-08-18,15.80,15.85,15.72,15.79,58000,15.268071
2015-08-17,15.94,16.030001,15.77,15.95,94000,15.301914
2015-08-14,15.92,15.96,15.73,15.94,106400,15.29232
2015-08-13,15.90,16.00,15.71,15.89,57000,15.244352
2015-08-12,15.88,15.94,15.62,15.87,83500,15.225164
2015-08-11,15.88,15.97,15.80,15.93,64400,15.282727
2015-08-10,15.89,15.99,15.69,15.98,93600,15.330694
2015-08-07,15.72,15.87,15.34,15.78,74900,15.138821
2015-08-06,15.75,15.82,15.36,15.74,118600,15.100446
2015-08-05,16.040001,16.09,15.66,15.78,86800,15.138821
2015-08-04,16.57,16.620001,15.91,16.01,64700,15.359476
2015-08-03,16.10,16.110001,15.85,16.030001,73500,15.378664
2015-07-31,15.87,16.09,15.81,16.02,72300,15.36907
2015-07-30,15.87,15.98,15.76,15.84,55600,15.196383
2015-07-29,15.90,16.00,15.65,15.94,63000,15.29232
2015-07-28,15.95,15.95,15.66,15.82,80300,15.177196
2015-07-27,15.86,15.91,14.61,15.73,213800,15.090852
2015-07-24,16.10,16.139999,15.93,15.95,141100,15.301914
2015-07-23,16.57,16.610001,16.040001,16.09,142700,15.436225
2015-07-22,16.76,16.93,16.559999,16.620001,65800,15.944691
2015-07-21,16.860001,17.02,16.799999,16.84,54300,16.03583
2015-07-20,17.129999,17.129999,16.799999,16.870001,90800,16.064398
2015-07-17,16.83,17.040001,16.799999,16.82,85100,16.016785
2015-07-16,16.860001,16.92,16.77,16.84,80200,16.03583
2015-07-15,16.76,16.76,16.65,16.73,52900,15.931082
2015-07-14,16.73,16.860001,16.73,16.76,50600,15.95965
2015-07-13,16.90,17.02,16.74,16.76,75800,15.95965
2015-07-10,16.799999,16.92,16.709999,16.879999,101600,16.073919
2015-07-09,16.959999,16.969999,16.700001,16.709999,63000,15.912037
2015-07-08,16.75,16.889999,16.690001,16.790001,65600,15.988218
2015-07-07,16.74,16.85,16.639999,16.82,83500,16.016785
2015-07-06,16.50,16.74,16.50,16.719999,91300,15.92156
2015-07-02,16.73,16.83,16.57,16.58,57900,15.788246
2015-07-01,16.67,16.68,16.57,16.66,69900,15.864425
2015-06-30,16.690001,16.690001,16.51,16.559999,142600,15.7692
2015-06-29,16.68,16.77,16.51,16.52,129300,15.731111
2015-06-26,16.66,16.690001,16.50,16.67,300000,15.873948
2015-06-25,16.780001,16.85,16.58,16.620001,58000,15.826336
2015-06-24,16.91,17.00,16.709999,16.76,91200,15.95965
2015-06-23,16.99,17.040001,16.870001,16.950001,103300,16.140578
2015-06-22,17.190001,17.24,17.02,17.07,70700,16.254846
2015-06-19,17.309999,17.309999,17.059999,17.129999,139900,16.311981
2015-06-18,17.120001,17.299999,17.120001,17.280001,84600,16.454819
2015-06-17,17.16,17.17,17.00,17.139999,59600,16.321503
2015-06-16,17.209999,17.23,16.860001,17.18,72600,16.240563
2015-06-15,17.23,17.25,17.01,17.139999,71400,16.20275
2015-06-12,17.24,17.309999,17.15,17.219999,70000,16.278375
2015-06-11,17.200001,17.27,17.129999,17.23,75400,16.287828
2015-06-10,17.129999,17.15,17.049999,17.129999,76000,16.193296
2015-06-09,17.15,17.18,17.02,17.049999,72800,16.117671
2015-06-08,17.280001,17.33,17.17,17.17,68400,16.23111
2015-06-05,17.299999,17.32,17.129999,17.280001,93600,16.335095
2015-06-04,17.360001,17.42,17.299999,17.32,79500,16.372907
2015-06-03,17.40,17.50,17.32,17.43,88500,16.476893
2015-06-02,17.459999,17.50,17.40,17.40,69700,16.448533
2015-06-01,17.469999,17.51,17.360001,17.48,90900,16.524158
2015-05-29,17.559999,17.66,17.33,17.33,124100,16.382361
2015-05-28,17.57,17.629999,17.50,17.51,52800,16.552518
2015-05-27,17.50,17.58,17.48,17.559999,95400,16.599783
2015-05-26,17.59,17.60,17.41,17.49,101700,16.533611
2015-05-22,17.700001,17.73,17.50,17.58,91200,16.61869
2015-05-21,17.780001,17.82,17.639999,17.68,72700,16.713222
2015-05-20,17.790001,17.84,17.620001,17.629999,112500,16.665955
2015-05-19,17.879999,17.879999,17.719999,17.799999,114400,16.826659
2015-05-18,17.82,17.82,17.700001,17.809999,91000,16.836113
2015-05-15,17.780001,17.809999,17.66,17.77,96900,16.798301
2015-05-14,17.68,17.889999,17.67,17.83,125600,16.736856
2015-05-13,18.040001,18.040001,17.58,17.629999,104600,16.549117
2015-05-12,17.90,18.00,17.719999,17.950001,99800,16.849499
2015-05-11,17.98,18.17,17.91,17.950001,78400,16.849499
2015-05-08,18.15,18.17,18.00,18.059999,77100,16.952754
2015-05-07,17.780001,17.940001,17.780001,17.940001,111900,16.840112
2015-05-06,17.959999,17.959999,17.77,17.870001,103700,16.774404
2015-05-05,18.120001,18.120001,17.719999,17.870001,99400,16.774404
2015-05-04,17.90,18.049999,17.76,17.84,78200,16.746243
2015-05-01,17.83,18.00,17.83,17.90,69200,16.802564
2015-04-30,18.32,18.370001,17.719999,17.809999,168700,16.718081
2015-04-29,18.57,18.57,18.299999,18.299999,78400,17.178039
2015-04-28,18.610001,18.620001,18.50,18.620001,84000,17.478422
2015-04-27,18.65,18.690001,18.50,18.58,87200,17.440874
2015-04-24,18.60,18.67,18.58,18.629999,57300,17.487807
2015-04-23,18.49,18.690001,18.49,18.610001,66100,17.469035
2015-04-22,18.620001,18.709999,18.549999,18.629999,118700,17.487807
2015-04-21,18.66,18.74,18.60,18.690001,100900,17.426794
2015-04-20,18.549999,18.629999,18.469999,18.629999,117200,17.370848
2015-04-17,18.42,18.549999,18.42,18.50,80400,17.249635
2015-04-16,18.530001,18.530001,18.40,18.50,92000,17.249635
2015-04-15,18.459999,18.549999,18.40,18.459999,80300,17.212337
2015-04-14,18.549999,18.549999,18.370001,18.459999,63400,17.212337
2015-04-13,18.50,18.549999,18.309999,18.48,66500,17.230986
2015-04-10,18.370001,18.530001,18.370001,18.50,86900,17.249635
2015-04-09,18.52,18.59,18.15,18.290001,90500,17.053829
2015-04-08,18.530001,18.620001,18.440001,18.52,88000,17.268283
2015-04-07,18.76,18.76,18.549999,18.549999,70300,17.296255
2015-04-06,18.57,18.790001,18.57,18.76,113400,17.492062
2015-04-02,18.450001,18.709999,18.440001,18.65,81100,17.389496
2015-04-01,18.52,18.610001,18.370001,18.58,74900,17.324228
2015-03-31,18.66,18.690001,18.440001,18.610001,87100,17.352201
2015-03-30,18.50,18.620001,18.379999,18.610001,88600,17.352201
2015-03-27,18.389999,18.48,18.25,18.459999,90400,17.212337
2015-03-26,18.299999,18.52,18.25,18.389999,57100,17.147069
2015-03-25,18.68,18.809999,18.26,18.299999,92900,17.063151
2015-03-24,18.690001,18.83,18.67,18.68,78900,17.417469
2015-03-23,18.790001,18.84,18.66,18.68,123500,17.417469
2015-03-20,18.629999,18.84,18.530001,18.77,201300,17.501387
2015-03-19,18.51,18.68,18.469999,18.52,70700,17.268283
2015-03-18,18.299999,18.639999,18.26,18.620001,127600,17.361525
2015-03-17,18.25,18.450001,18.15,18.42,107800,17.05849
2015-03-16,18.15,18.48,18.15,18.33,101500,16.975142
2015-03-13,18.07,18.15,17.959999,18.129999,86500,16.789925
2015-03-12,18.07,18.219999,17.950001,18.030001,130800,16.697317
2015-03-11,18.129999,18.129999,17.940001,18.02,65800,16.688056
2015-03-10,18.15,18.15,17.91,18.08,72300,16.743621
2015-03-09,18.120001,18.24,18.02,18.120001,119300,16.780665
2015-03-06,18.129999,18.17,17.91,17.969999,101900,16.641751
2015-03-05,18.07,18.24,18.049999,18.200001,66900,16.854752
2015-03-04,18.27,18.27,17.90,18.08,122600,16.743621
2015-03-03,18.290001,18.290001,18.00,18.16,91200,16.817708
2015-03-02,18.200001,18.35,18.02,18.190001,170900,16.845491
2015-02-27,18.049999,18.33,18.00,18.17,275800,16.826969
2015-02-26,17.959999,18.049999,17.82,18.01,110100,16.678795
2015-02-25,17.790001,18.00,17.709999,17.950001,153200,16.623231
2015-02-24,17.74,17.75,17.549999,17.74,83600,16.428752
2015-02-23,17.639999,17.790001,17.549999,17.75,85600,16.438013
2015-02-20,17.620001,17.799999,17.57,17.60,114800,16.2991
2015-02-19,17.41,17.65,17.25,17.629999,161500,16.326882
2015-02-18,17.32,17.450001,17.190001,17.40,93100,16.113883
2015-02-17,17.41,17.540001,17.219999,17.290001,93600,16.012015
2015-02-13,17.389999,17.469999,17.26,17.389999,66500,16.104622
2015-02-12,17.32,17.58,17.27,17.48,54700,16.072208
2015-02-11,17.360001,17.50,17.200001,17.23,71100,15.842343
2015-02-10,17.48,17.48,17.18,17.360001,120300,15.961874
2015-02-09,17.52,17.65,17.389999,17.389999,115000,15.989456
2015-02-06,17.870001,17.870001,17.50,17.50,116200,16.090598
2015-02-05,17.700001,17.90,17.66,17.870001,89300,16.4308
2015-02-04,17.52,17.690001,17.42,17.66,77100,16.237712
2015-02-03,17.450001,17.549999,17.379999,17.540001,125600,16.127377
2015-02-02,17.450001,17.450001,17.049999,17.41,105400,16.007846
2015-01-30,17.700001,17.76,17.389999,17.40,122300,15.998651
2015-01-29,17.790001,17.84,17.60,17.799999,160700,16.366436
2015-01-28,17.85,17.91,17.68,17.719999,82100,16.292879
2015-01-27,17.57,17.83,17.57,17.790001,124600,16.357243
2015-01-26,17.700001,17.780001,17.60,17.75,130200,16.320464
2015-01-23,17.75,17.799999,17.66,17.719999,102100,16.292879
2015-01-22,17.60,17.719999,17.50,17.719999,183200,16.292879
2015-01-21,17.49,17.559999,17.450001,17.49,100600,16.081403
2015-01-20,17.66,17.68,17.51,17.610001,160300,16.076807
2015-01-16,17.370001,17.559999,17.35,17.559999,208300,16.031159
2015-01-15,17.34,17.43,17.32,17.43,165800,15.912478
2015-01-14,17.360001,17.41,17.26,17.389999,88300,15.87596
2015-01-13,17.43,17.43,17.309999,17.379999,77400,15.866831
2015-01-12,17.32,17.40,17.299999,17.34,82600,15.830314
2015-01-09,17.41,17.440001,17.25,17.35,56100,15.839444
2015-01-08,17.40,17.43,17.33,17.389999,82800,15.87596
2015-01-07,17.450001,17.450001,17.26,17.370001,108800,15.857703
2015-01-06,17.360001,17.40,17.18,17.280001,80900,15.775538
2015-01-05,17.200001,17.389999,17.18,17.34,107000,15.830314
2015-01-02,17.23,17.35,17.17,17.290001,116200,15.784668
2014-12-31,17.50,17.50,17.15,17.17,153500,15.675115
2014-12-30,17.379999,17.50,17.35,17.41,89200,15.894219
2014-12-29,17.35,17.469999,17.35,17.459999,108300,15.939865
2014-12-26,17.43,17.43,17.34,17.41,73600,15.894219
2014-12-24,17.40,17.43,17.309999,17.379999,27400,15.866831
2014-12-23,17.43,17.450001,17.200001,17.389999,91400,15.87596
2014-12-22,17.25,17.43,17.25,17.35,110000,15.839444
