Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,9.61,9.61,9.61,9.61,000,9.61
2015-10-08,9.61,9.61,9.61,9.61,000,9.61
2015-10-07,9.62,9.65,9.61,9.61,34400,9.61
2015-10-06,9.65,9.65,9.61,9.61,19200,9.61
2015-10-05,9.65,9.65,9.65,9.65,000,9.65
2015-10-02,9.65,9.65,9.65,9.65,000,9.65
2015-10-01,9.65,9.65,9.65,9.65,000,9.65
2015-09-30,9.65,9.65,9.65,9.65,000,9.65
2015-09-29,9.65,9.65,9.65,9.65,000,9.65
2015-09-28,9.65,9.65,9.65,9.65,150000,9.65
2015-09-25,9.64,9.64,9.64,9.64,100,9.64
2015-09-24,9.64,9.70,9.64,9.70,28700,9.70
2015-09-23,9.60,9.60,9.60,9.60,000,9.60
2015-09-22,9.60,9.60,9.60,9.60,100,9.60
2015-09-21,9.65,9.65,9.61,9.61,200,9.61
2015-09-18,9.61,9.61,9.61,9.61,5000,9.61
2015-09-10,9.70,9.70,9.70,9.70,6000,9.70
2015-09-09,9.70,9.70,9.70,9.70,000,9.70
2015-09-08,9.70,9.70,9.70,9.70,4000,9.70
2015-09-04,9.75,9.75,9.75,9.75,000,9.75
2015-09-03,9.75,9.75,9.75,9.75,10900,9.75
2015-09-02,9.75,9.75,9.75,9.75,000,9.75
2015-09-01,9.75,9.75,9.75,9.75,000,9.75
2015-08-31,9.75,9.75,9.75,9.75,000,9.75
2015-08-28,9.75,9.75,9.75,9.75,200,9.75
