Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,9.90,9.90,9.90,9.90,100,9.90
2015-10-08,10.04,10.04,10.04,10.04,000,10.04
2015-10-07,9.98,10.04,9.90,10.04,6600,10.04
2015-10-06,9.90,9.939,9.90,9.935,17800,9.935
2015-10-05,9.90,9.90,9.90,9.90,000,9.90
2015-10-02,9.90,9.90,9.90,9.90,000,9.90
2015-10-01,9.90,9.90,9.90,9.90,000,9.90
2015-09-30,9.95,9.95,9.90,9.90,19400,9.90
2015-09-29,9.93,9.93,9.90,9.90,30000,9.90
2015-09-28,9.94,9.94,9.93,9.94,6000,9.94
2015-09-25,9.95,9.95,9.95,9.95,000,9.95
2015-09-24,9.95,9.95,9.95,9.95,000,9.95
2015-09-23,9.95,9.95,9.95,9.95,000,9.95
2015-09-22,9.95,9.95,9.95,9.95,000,9.95
2015-09-21,9.95,9.95,9.95,9.95,000,9.95
2015-09-18,9.95,9.95,9.95,9.95,000,9.95
2015-09-17,9.95,9.95,9.95,9.95,000,9.95
2015-09-16,9.95,9.95,9.95,9.95,11500,9.95
2015-09-15,9.95,9.95,9.95,9.95,000,9.95
2015-09-14,9.95,9.95,9.95,9.95,000,9.95
2015-09-11,9.95,9.95,9.95,9.95,000,9.95
2015-09-10,9.95,9.95,9.95,9.95,000,9.95
2015-09-09,9.95,9.95,9.95,9.95,000,9.95
2015-09-08,9.95,9.96,9.95,9.95,2300,9.95
2015-09-04,9.95,9.95,9.95,9.95,000,9.95
2015-09-03,10.00,10.00,9.95,9.95,1400,9.95
2015-09-02,10.00,10.00,9.95,9.98,13100,9.98
2015-09-01,9.95,9.95,9.95,9.95,000,9.95
2015-08-31,9.95,9.95,9.95,9.95,000,9.95
2015-08-28,9.95,9.95,9.95,9.95,600,9.95
2015-08-27,9.95,9.95,9.95,9.95,000,9.95
2015-08-26,9.95,9.95,9.95,9.95,000,9.95
2015-08-25,9.98,9.98,9.94,9.95,4800,9.95
2015-08-24,10.00,10.00,9.92,9.92,51500,9.92
2015-08-21,10.05,10.05,10.05,10.05,400,10.05
2015-08-20,10.10,10.10,10.00,10.00,10000,10.00
2015-08-19,10.10,10.10,10.10,10.10,000,10.10
2015-08-18,10.08,10.10,10.08,10.10,300,10.10
2015-08-17,10.03,10.03,10.03,10.03,000,10.03
2015-08-14,10.03,10.03,10.03,10.03,000,10.03
2015-08-13,10.03,10.03,10.03,10.03,200,10.03
2015-08-12,10.10,10.10,10.10,10.10,000,10.10
2015-08-11,10.10,10.10,10.10,10.10,000,10.10
2015-08-10,10.10,10.10,10.10,10.10,100,10.10
2015-08-07,10.07,10.07,10.07,10.07,000,10.07
2015-08-06,10.08,10.08,10.07,10.07,4200,10.07
2015-08-05,10.10,10.10,10.07,10.07,15500,10.07
2015-08-04,10.07,10.09,10.05,10.09,1500,10.09
2015-08-03,10.10,10.10,10.10,10.10,3900,10.10
2015-07-31,10.06,10.13,10.06,10.13,11200,10.13
2015-07-30,10.11,10.11,10.06,10.06,3000,10.06
2015-07-29,10.20,10.20,10.20,10.20,000,10.20
2015-07-28,10.12,10.20,10.11,10.20,8900,10.20
2015-07-27,10.03,10.03,10.03,10.03,000,10.03
2015-07-24,10.03,10.03,10.03,10.03,000,10.03
2015-07-23,10.07,10.07,10.03,10.03,600,10.03
2015-07-22,10.04,10.04,10.02,10.02,700,10.02
2015-07-21,10.04,10.04,10.04,10.04,000,10.04
2015-07-20,10.04,10.04,10.04,10.04,000,10.04
2015-07-17,10.08,10.08,10.04,10.04,4000,10.04
2015-07-16,10.08,10.08,10.08,10.08,000,10.08
2015-07-15,10.08,10.08,10.08,10.08,000,10.08
2015-07-14,10.08,10.08,10.08,10.08,54800,10.08
2015-07-13,10.00,10.10,10.00,10.10,22800,10.10
2015-07-10,10.05,10.05,10.05,10.05,000,10.05
2015-07-09,10.05,10.05,10.05,10.05,000,10.05
2015-07-08,10.05,10.05,10.05,10.05,000,10.05
2015-07-07,10.05,10.05,10.05,10.05,2000,10.05
2015-07-06,10.051,10.051,10.05,10.05,3600,10.05
2015-07-02,10.03,10.03,10.03,10.03,000,10.03
2015-07-01,10.03,10.03,10.03,10.03,000,10.03
2015-06-30,10.03,10.03,10.03,10.03,300,10.03
2015-06-29,10.08,10.08,10.08,10.08,000,10.08
2015-06-26,10.08,10.08,10.08,10.08,000,10.08
2015-06-25,10.08,10.08,10.08,10.08,000,10.08
2015-06-24,10.03,10.11,10.03,10.08,46400,10.08
2015-06-23,10.03,10.08,10.02,10.05,3300,10.05
2015-06-22,10.10,10.10,10.08,10.09,2300,10.09
2015-06-19,10.111,10.111,10.10,10.10,1700,10.10
2015-06-18,10.10,10.11,10.10,10.10,5700,10.10
2015-06-17,10.04,10.04,10.04,10.04,100,10.04
2015-06-16,10.10,10.10,10.10,10.10,000,10.10
2015-06-15,10.10,10.10,10.10,10.10,000,10.10
2015-06-12,10.10,10.15,10.10,10.10,1000,10.10
2015-06-11,10.17,10.18,10.17,10.17,3100,10.17
2015-06-10,10.15,10.15,10.15,10.15,100,10.15
2015-06-09,10.12,10.12,10.08,10.08,6100,10.08
2015-06-08,10.10,10.14,10.10,10.14,2800,10.14
2015-06-05,10.06,10.06,10.06,10.06,000,10.06
2015-06-04,10.06,10.06,10.06,10.06,000,10.06
2015-06-03,10.10,10.10,10.03,10.06,63700,10.06
