Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,3.27,3.32,3.23,3.30,17400,3.287308
2015-10-08,3.30,3.33,3.28,3.33,2100,3.317192
2015-10-07,3.29,3.33,3.23,3.25,10700,3.2375
2015-10-06,3.21,3.33,3.21,3.31,8100,3.297269
2015-10-05,3.26,3.32,3.15,3.30,21700,3.287308
2015-10-02,3.28,3.28,3.20,3.20,15900,3.187692
2015-10-01,3.32,3.33,3.20,3.20,15100,3.187692
2015-09-30,3.18,3.30,3.16,3.28,14400,3.267385
2015-09-29,3.37,3.37,3.13,3.14,61700,3.127923
2015-09-28,3.32,3.32,3.28,3.29,29300,3.277346
2015-09-25,3.37,3.37,3.30,3.30,10700,3.287308
2015-09-24,3.36,3.44,3.33,3.34,4600,3.327154
2015-09-23,3.46,3.46,3.31,3.32,5200,3.307231
2015-09-22,3.35,3.36,3.28,3.34,29900,3.327154
2015-09-21,3.30,3.40,3.30,3.40,37100,3.386923
2015-09-18,3.38,3.38,3.30,3.30,43200,3.287308
2015-09-17,3.35,3.40,3.30,3.37,19900,3.357038
2015-09-16,3.35,3.45,3.30,3.38,23400,3.367
2015-09-15,3.44,3.46,3.35,3.38,22000,3.367
2015-09-14,3.50,3.53,3.37,3.39,25900,3.376962
2015-09-11,3.50,3.55,3.48,3.54,10400,3.526385
2015-09-10,3.49,3.56,3.49,3.56,29100,3.546308
2015-09-09,3.56,3.60,3.48,3.48,45700,3.466615
2015-09-08,3.50,3.60,3.44,3.44,15100,3.426769
2015-09-04,3.38,3.55,3.38,3.39,33100,3.376962
2015-09-03,3.36,3.40,3.30,3.36,26400,3.347077
2015-09-02,3.44,3.44,3.28,3.28,8100,3.267385
2015-09-01,3.33,3.43,3.33,3.39,8500,3.376962
2015-08-31,3.31,3.45,3.29,3.34,10300,3.327154
2015-08-28,3.28,3.38,3.28,3.31,24000,3.297269
2015-08-27,3.40,3.42,3.31,3.35,12600,3.337115
2015-08-26,3.27,3.38,3.27,3.37,13600,3.357038
2015-08-25,3.44,3.44,3.30,3.34,10500,3.327154
2015-08-24,3.15,3.33,3.13,3.32,90500,3.307231
2015-08-21,3.39,3.47,3.14,3.38,68100,3.367
2015-08-20,3.35,3.45,3.31,3.35,56900,3.337115
2015-08-19,3.26,3.53,3.23,3.52,28100,3.491519
2015-08-18,3.44,3.50,3.27,3.30,35900,3.273299
2015-08-17,3.44,3.44,3.33,3.39,29800,3.362571
2015-08-14,3.39,3.44,3.35,3.38,25500,3.352652
2015-08-13,3.49,3.50,3.39,3.39,43600,3.362571
2015-08-12,3.47,3.53,3.36,3.49,21700,3.461762
2015-08-11,3.50,3.50,3.42,3.44,25700,3.412166
2015-08-10,3.40,3.50,3.38,3.48,84400,3.451843
2015-08-07,3.42,3.46,3.35,3.39,32300,3.362571
2015-08-06,3.40,3.48,3.35,3.39,20000,3.362571
2015-08-05,3.41,3.43,3.38,3.39,17200,3.362571
2015-08-04,3.48,3.48,3.32,3.33,20800,3.303056
2015-08-03,3.50,3.55,3.18,3.50,59400,3.471681
2015-07-31,3.50,3.63,3.50,3.54,150300,3.511357
2015-07-30,3.20,3.42,3.19,3.34,31600,3.312975
2015-07-29,3.15,3.27,3.15,3.18,21200,3.15427
2015-07-28,3.16,3.38,3.15,3.16,92100,3.134432
2015-07-27,3.20,3.20,3.17,3.17,5400,3.144351
2015-07-24,3.30,3.30,3.18,3.21,19400,3.184027
2015-07-23,3.32,3.34,3.29,3.29,4000,3.26338
2015-07-22,3.35,3.35,3.25,3.27,7100,3.243542
2015-07-21,3.28,3.32,3.19,3.31,15700,3.283218
2015-07-20,3.36,3.40,3.15,3.21,27200,3.184027
2015-07-17,3.28,3.30,3.22,3.30,4900,3.273299
2015-07-16,3.25,3.40,3.20,3.31,22400,3.283218
2015-07-15,3.35,3.35,3.22,3.22,5800,3.193947
2015-07-14,3.38,3.38,3.25,3.25,3500,3.223704
2015-07-13,3.25,3.37,3.17,3.28,14700,3.253461
2015-07-10,3.19,3.20,3.15,3.16,9600,3.134432
2015-07-09,3.24,3.24,3.17,3.17,7700,3.144351
2015-07-08,3.21,3.27,3.19,3.20,11500,3.174108
2015-07-07,3.30,3.33,3.17,3.24,6600,3.213785
2015-07-06,3.19,3.30,3.19,3.27,9400,3.243542
2015-07-02,3.20,3.25,3.15,3.25,40100,3.223704
2015-07-01,3.35,3.35,3.15,3.22,18600,3.193947
2015-06-30,3.41,3.41,3.26,3.29,11000,3.26338
2015-06-29,3.41,3.44,3.30,3.30,14300,3.273299
2015-06-26,3.16,3.44,3.16,3.37,70000,3.342733
2015-06-25,3.26,3.30,3.15,3.16,25100,3.134432
2015-06-24,3.43,3.43,3.25,3.35,8800,3.322895
2015-06-23,3.40,3.47,3.27,3.41,20700,3.382409
2015-06-22,3.30,3.47,3.25,3.41,44000,3.382409
2015-06-19,3.26,3.35,3.25,3.35,15200,3.322895
2015-06-18,3.18,3.35,3.18,3.31,37000,3.283218
2015-06-17,3.29,3.29,3.18,3.18,19700,3.15427
2015-06-16,3.07,3.34,3.07,3.18,29300,3.15427
2015-06-15,3.12,3.15,3.08,3.09,13000,3.064998
2015-06-12,3.07,3.11,3.07,3.11,10800,3.084836
2015-06-11,3.15,3.19,3.10,3.10,5800,3.074917
2015-06-10,3.14,3.15,3.09,3.15,17300,3.124513
2015-06-09,3.19,3.19,3.12,3.15,9700,3.124513
2015-06-08,3.21,3.23,3.17,3.17,24700,3.144351
2015-06-05,3.22,3.24,3.15,3.19,6500,3.164189
2015-06-04,3.25,3.25,3.18,3.19,3300,3.164189
2015-06-03,3.17,3.24,3.14,3.22,28300,3.193947
2015-06-02,3.14,3.18,3.14,3.17,18900,3.144351
2015-06-01,3.11,3.18,3.11,3.14,26200,3.114594
2015-05-29,3.15,3.20,3.11,3.13,20300,3.104675
2015-05-28,3.20,3.20,3.10,3.12,42500,3.094755
2015-05-27,3.10,3.18,3.10,3.11,32700,3.084836
2015-05-26,3.27,3.33,3.09,3.15,32900,3.124513
2015-05-22,3.21,3.33,3.21,3.23,11400,3.203866
2015-05-21,3.24,3.33,3.24,3.25,12000,3.223704
2015-05-20,3.37,3.37,3.22,3.29,62200,3.26338
2015-05-19,3.37,3.37,3.31,3.34,16500,3.312975
2015-05-18,3.36,3.39,3.31,3.36,20200,3.332814
2015-05-15,3.35,3.35,3.28,3.34,12000,3.312975
2015-05-14,3.36,3.38,3.28,3.34,16500,3.298097
2015-05-13,3.43,3.43,3.32,3.40,12600,3.357344
2015-05-12,3.40,3.40,3.26,3.38,36800,3.337595
2015-05-11,3.25,3.38,3.22,3.36,16600,3.317846
2015-05-08,3.33,3.44,3.27,3.34,56200,3.298097
2015-05-07,3.19,3.42,3.15,3.38,49400,3.337595
2015-05-06,3.13,3.20,3.12,3.19,10400,3.149979
2015-05-05,3.24,3.25,3.13,3.20,33300,3.159853
2015-05-04,3.25,3.46,3.19,3.25,63300,3.209226
2015-05-01,3.20,3.38,3.18,3.27,79600,3.228975
2015-04-30,3.35,3.40,3.32,3.38,16700,3.337595
2015-04-29,3.38,3.47,3.33,3.39,20400,3.34747
2015-04-28,3.36,3.42,3.31,3.39,21500,3.34747
2015-04-27,3.37,3.40,3.31,3.40,24100,3.357344
2015-04-24,3.42,3.42,3.35,3.40,11000,3.357344
2015-04-23,3.40,3.44,3.31,3.40,16900,3.357344
2015-04-22,3.28,3.40,3.26,3.37,19600,3.32772
2015-04-21,3.26,3.34,3.25,3.34,49700,3.298097
2015-04-20,3.24,3.27,3.20,3.24,47500,3.199352
2015-04-17,3.28,3.28,3.17,3.24,18600,3.199352
2015-04-16,3.28,3.28,3.23,3.27,23100,3.228975
2015-04-15,3.24,3.28,3.24,3.28,4400,3.23885
2015-04-14,3.29,3.30,3.24,3.28,3700,3.23885
2015-04-13,3.25,3.32,3.24,3.29,15900,3.248724
2015-04-10,3.18,3.30,3.18,3.29,31400,3.248724
2015-04-09,3.24,3.28,3.15,3.22,62600,3.179602
2015-04-08,3.33,3.35,3.25,3.29,10000,3.248724
2015-04-07,3.33,3.35,3.30,3.30,41700,3.258599
2015-04-06,3.30,3.35,3.23,3.30,41000,3.258599
2015-04-02,3.41,3.44,3.09,3.30,146500,3.258599
2015-04-01,3.49,3.49,3.35,3.45,26600,3.406717
2015-03-31,3.49,3.50,3.35,3.42,77400,3.377093
2015-03-30,3.40,3.50,3.40,3.50,29400,3.45609
2015-03-27,3.42,3.50,3.42,3.42,9300,3.377093
2015-03-26,3.51,3.51,3.43,3.44,20700,3.396842
2015-03-25,3.67,3.67,3.45,3.52,52200,3.475839
2015-03-24,3.30,3.73,3.30,3.67,157200,3.623957
2015-03-23,3.27,3.35,3.21,3.30,52400,3.258599
2015-03-20,3.35,3.35,3.22,3.27,15200,3.228975
2015-03-19,3.24,3.35,3.20,3.28,20300,3.23885
2015-03-18,3.22,3.22,3.20,3.21,49000,3.169728
2015-03-17,3.08,3.22,3.06,3.20,40300,3.159853
2015-03-16,3.14,3.20,3.05,3.05,41200,3.011735
2015-03-13,3.12,3.20,3.07,3.18,22500,3.140104
2015-03-12,3.15,3.22,3.12,3.21,16100,3.169728
2015-03-11,3.02,3.22,3.01,3.17,35300,3.13023
2015-03-10,3.23,3.23,3.02,3.03,72700,2.991986
2015-03-09,3.17,3.24,3.10,3.23,18000,3.189477
2015-03-06,3.20,3.24,3.16,3.22,30000,3.179602
2015-03-05,3.24,3.25,3.15,3.22,18000,3.179602
2015-03-04,3.25,3.26,3.10,3.20,26100,3.159853
2015-03-03,3.24,3.40,3.14,3.14,101000,3.100606
2015-03-02,3.19,3.47,3.19,3.24,128300,3.199352
2015-02-27,3.15,3.26,3.08,3.21,85200,3.169728
2015-02-26,3.34,3.34,3.20,3.22,27400,3.179602
2015-02-25,3.16,3.35,3.16,3.35,64000,3.307971
2015-02-24,3.14,3.27,3.10,3.26,63200,3.219101
2015-02-23,3.30,3.34,3.01,3.02,105900,2.982112
2015-02-20,3.39,3.39,3.30,3.30,55400,3.258599
2015-02-19,3.45,3.49,3.37,3.39,79400,3.34747
2015-02-18,3.25,3.41,3.24,3.41,124400,3.367219
2015-02-17,3.15,3.26,3.02,3.25,103200,3.209226
2015-02-13,3.09,3.15,3.05,3.15,107300,3.110481
2015-02-12,3.05,3.19,2.91,3.04,169600,3.001861
2015-02-11,3.15,3.15,3.02,3.05,60300,3.011735
2015-02-10,3.12,3.29,3.01,3.06,110400,3.02161
2015-02-09,3.09,3.31,3.05,3.20,463100,3.159853
2015-02-06,2.76,3.10,2.64,3.01,941100,2.972237
2015-02-05,2.34,2.38,2.31,2.38,37500,2.350141
2015-02-04,2.25,2.36,2.25,2.30,39700,2.271145
2015-02-03,2.17,2.28,2.11,2.25,84500,2.221772
2015-02-02,2.31,2.36,2.25,2.30,20200,2.271145
2015-01-30,2.36,2.37,2.30,2.32,13200,2.290894
2015-01-29,2.35,2.40,2.35,2.40,3700,2.36989
2015-01-28,2.30,2.37,2.26,2.36,17900,2.330392
2015-01-27,2.26,2.33,2.25,2.27,17400,2.241521
2015-01-26,2.40,2.40,2.30,2.30,50000,2.271145
2015-01-23,2.35,2.42,2.35,2.38,5600,2.350141
2015-01-22,2.34,2.43,2.34,2.38,12800,2.350141
2015-01-21,2.39,2.40,2.34,2.39,17800,2.360016
2015-01-20,2.44,2.48,2.36,2.43,10300,2.399514
2015-01-16,2.50,2.50,2.43,2.47,61300,2.439012
2015-01-15,2.50,2.56,2.33,2.38,59700,2.350141
2015-01-14,2.37,2.40,2.31,2.33,22200,2.300768
2015-01-13,2.38,2.43,2.33,2.35,18600,2.320517
2015-01-12,2.35,2.44,2.35,2.41,10600,2.379765
2015-01-09,2.42,2.42,2.30,2.40,38500,2.36989
2015-01-08,2.30,2.35,2.28,2.34,19700,2.310643
2015-01-07,2.29,2.39,2.28,2.30,15400,2.271145
2015-01-06,2.42,2.50,2.25,2.30,27700,2.271145
