Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,26.620001,26.690001,26.620001,26.66,23700,26.66
2015-10-08,26.58,26.620001,26.51,26.620001,33500,26.620001
2015-10-07,26.57,26.58,26.540001,26.58,24500,26.58
2015-10-06,26.49,26.59,26.49,26.52,16900,26.52
2015-10-05,26.43,26.540001,26.42,26.51,18800,26.51
2015-10-02,26.35,26.469999,26.35,26.450001,39500,26.450001
2015-10-01,26.42,26.469999,26.40,26.41,9700,26.41
2015-09-30,26.450001,26.530001,26.370001,26.40,33900,26.40
2015-09-29,26.530001,26.530001,26.450001,26.469999,7500,26.469999
2015-09-28,26.57,26.57,26.459999,26.459999,17900,26.459999
2015-09-25,26.52,26.59,26.52,26.57,24100,26.57
2015-09-24,26.469999,26.559999,26.469999,26.549999,17100,26.549999
2015-09-23,26.51,26.51,26.450001,26.51,11900,26.51
2015-09-22,26.450001,26.49,26.450001,26.48,10000,26.48
2015-09-21,26.459999,26.52,26.440001,26.48,18800,26.48
2015-09-18,26.469999,26.540001,26.450001,26.450001,17100,26.450001
2015-09-17,26.49,26.57,26.459999,26.51,17200,26.51
2015-09-16,26.540001,26.540001,26.469999,26.49,16300,26.49
2015-09-15,26.50,26.57,26.48,26.52,73300,26.52
2015-09-14,26.48,26.58,26.459999,26.559999,65100,26.559999
2015-09-11,26.43,26.48,26.40,26.459999,46800,26.459999
2015-09-10,26.41,26.43,26.360001,26.41,49800,26.41
2015-09-09,26.280001,26.42,26.24,26.41,38800,26.41
2015-09-08,26.190001,26.280001,26.129999,26.27,27100,26.27
2015-09-04,26.059999,26.18,26.059999,26.18,15700,26.18
2015-09-03,26.01,26.129999,26.01,26.120001,17000,26.120001
2015-09-02,26.07,26.09,25.959999,25.959999,19800,25.959999
2015-09-01,25.950001,26.09,25.950001,26.040001,16900,26.040001
2015-08-31,26.23,26.24,26.01,26.040001,34800,26.040001
2015-08-28,26.10,26.23,26.10,26.23,20300,26.23
2015-08-27,26.08,26.24,26.030001,26.15,28200,26.15
2015-08-26,25.969999,26.08,25.969999,26.049999,18000,26.049999
2015-08-25,26.01,26.110001,26.00,26.00,12700,26.00
2015-08-24,25.83,26.08,25.00,26.059999,78300,26.059999
2015-08-21,26.27,26.309999,26.219999,26.219999,35300,26.219999
2015-08-20,26.35,26.360001,26.27,26.290001,48300,26.290001
2015-08-19,26.360001,26.43,26.360001,26.41,14300,26.41
2015-08-18,26.360001,26.450001,26.32,26.43,24400,26.43
2015-08-17,26.40,26.459999,26.35,26.389999,16100,26.389999
2015-08-14,26.379999,26.459999,26.379999,26.459999,14700,26.459999
2015-08-13,26.35,26.440001,26.35,26.43,13400,26.43
2015-08-12,26.32,26.389999,26.32,26.389999,8000,26.389999
2015-08-11,26.34,26.40,26.34,26.35,17400,26.35
2015-08-10,26.360001,26.40,26.32,26.370001,39700,26.370001
2015-08-07,26.35,26.43,26.34,26.370001,14600,26.370001
2015-08-06,26.309999,26.43,26.309999,26.41,22000,26.41
2015-08-05,26.42,26.42,26.33,26.34,17100,26.34
2015-08-04,26.450001,26.450001,26.35,26.370001,27700,26.370001
2015-08-03,26.459999,26.459999,26.389999,26.42,21300,26.42
2015-07-31,26.52,26.52,26.379999,26.42,55700,26.42
2015-07-30,26.43,26.48,26.41,26.43,9000,26.43
2015-07-29,26.459999,26.49,26.42,26.459999,11500,26.459999
2015-07-28,26.41,26.459999,26.40,26.459999,14400,26.459999
2015-07-27,26.389999,26.450001,26.389999,26.42,6600,26.42
2015-07-24,26.450001,26.48,26.379999,26.48,21200,26.48
2015-07-23,26.40,26.48,26.40,26.450001,48700,26.450001
2015-07-22,26.82,26.860001,26.77,26.82,20000,26.82
2015-07-21,26.809999,26.879999,26.809999,26.879999,12200,26.879999
2015-07-20,26.85,26.889999,26.790001,26.83,29200,26.83
2015-07-17,26.82,26.889999,26.73,26.889999,23400,26.889999
2015-07-16,26.83,26.889999,26.76,26.85,24600,26.85
2015-07-15,26.74,26.77,26.65,26.76,18500,26.76
2015-07-14,26.65,26.77,26.58,26.77,30500,26.77
2015-07-13,26.469999,26.65,26.469999,26.620001,22100,26.620001
2015-07-10,26.51,26.549999,26.50,26.540001,13500,26.540001
2015-07-09,26.530001,26.549999,26.50,26.530001,18100,26.530001
2015-07-08,26.440001,26.65,26.440001,26.530001,44300,26.530001
2015-07-07,26.440001,26.52,26.379999,26.469999,36300,26.469999
2015-07-06,26.469999,26.639999,26.389999,26.440001,38300,26.440001
2015-07-02,26.43,26.629999,26.43,26.58,21100,26.58
2015-07-01,26.32,26.450001,26.32,26.360001,19600,26.360001
2015-06-30,26.48,26.51,26.25,26.26,40400,26.26
2015-06-29,26.610001,26.610001,26.450001,26.48,7600,26.48
2015-06-26,26.440001,26.65,26.440001,26.620001,54300,26.620001
2015-06-25,26.459999,26.57,26.43,26.57,41500,26.57
2015-06-24,26.389999,26.559999,26.32,26.52,40100,26.52
2015-06-23,26.370001,26.450001,26.309999,26.41,43800,26.41
2015-06-22,26.219999,26.34,26.219999,26.290001,17000,26.290001
2015-06-19,26.200001,26.24,26.16,26.200001,23600,26.200001
2015-06-18,26.280001,26.360001,26.23,26.23,29600,26.23
2015-06-17,26.290001,26.33,26.219999,26.299999,16400,26.299999
2015-06-16,26.35,26.35,26.27,26.280001,47600,26.280001
2015-06-15,26.33,26.370001,26.33,26.35,10800,26.35
2015-06-12,26.33,26.40,26.32,26.34,23800,26.34
2015-06-11,26.40,26.40,26.32,26.360001,23700,26.360001
2015-06-10,26.299999,26.32,26.299999,26.309999,19900,26.309999
2015-06-09,26.35,26.370001,26.299999,26.299999,27600,26.299999
2015-06-08,26.309999,26.40,26.309999,26.370001,30800,26.370001
2015-06-05,26.34,26.379999,26.26,26.309999,35900,26.309999
2015-06-04,26.379999,26.389999,26.309999,26.34,85900,26.34
2015-06-03,26.299999,26.41,26.299999,26.34,43900,26.34
2015-06-02,26.309999,26.41,26.26,26.299999,78900,26.299999
2015-06-01,26.530001,26.530001,26.360001,26.41,36000,26.41
2015-05-29,26.52,26.57,26.42,26.42,47500,26.42
2015-05-28,26.57,26.59,26.51,26.52,45800,26.52
2015-05-27,26.57,26.66,26.50,26.60,39600,26.60
2015-05-26,26.59,26.66,26.549999,26.610001,24000,26.610001
2015-05-22,26.700001,26.74,26.639999,26.65,14700,26.65
2015-05-21,26.700001,26.790001,26.690001,26.690001,20600,26.690001
2015-05-20,26.73,26.780001,26.690001,26.73,20700,26.73
2015-05-19,26.780001,26.799999,26.65,26.690001,29100,26.690001
2015-05-18,26.82,26.85,26.73,26.83,24100,26.83
2015-05-15,26.83,26.91,26.809999,26.860001,21200,26.860001
2015-05-14,26.85,26.93,26.84,26.93,30800,26.93
2015-05-13,26.42,26.870001,26.42,26.809999,51100,26.809999
2015-05-12,26.309999,26.59,26.24,26.549999,25300,26.549999
2015-05-11,26.620001,26.629999,26.35,26.40,21500,26.40
2015-05-08,26.43,26.67,26.42,26.59,19100,26.59
2015-05-07,26.360001,26.50,26.33,26.41,31200,26.41
2015-05-06,26.50,26.530001,26.27,26.280001,194800,26.280001
2015-05-05,26.52,26.59,26.280001,26.40,65100,26.40
2015-05-04,26.75,26.75,26.549999,26.59,42400,26.59
2015-05-01,26.60,26.690001,26.49,26.49,28000,26.49
2015-04-30,26.66,26.66,26.49,26.49,26300,26.49
2015-04-29,26.48,26.68,26.48,26.68,15300,26.68
2015-04-28,26.83,26.870001,26.66,26.66,23000,26.66
2015-04-27,26.809999,26.83,26.77,26.77,29200,26.77
2015-04-24,26.799999,26.889999,26.799999,26.809999,34100,26.809999
2015-04-23,26.74,26.889999,26.73,26.809999,33600,26.809999
2015-04-22,26.82,26.84,26.700001,26.799999,39400,26.799999
2015-04-21,27.08,27.18,27.040001,27.18,72500,27.18
2015-04-20,27.08,27.139999,27.030001,27.129999,36200,27.129999
2015-04-17,27.09,27.17,26.959999,27.17,40400,27.17
2015-04-16,27.07,27.10,27.01,27.01,34200,27.01
2015-04-15,27.030001,27.15,27.030001,27.15,32100,27.15
2015-04-14,27.08,27.120001,27.07,27.08,15400,27.08
2015-04-13,27.059999,27.129999,27.059999,27.09,24700,27.09
2015-04-10,27.10,27.10,26.969999,27.07,42100,27.07
2015-04-09,27.10,27.139999,27.10,27.110001,14900,27.110001
2015-04-08,27.129999,27.15,27.10,27.120001,17700,27.120001
2015-04-07,27.10,27.139999,27.059999,27.129999,34900,27.129999
2015-04-06,27.120001,27.120001,27.059999,27.10,29300,27.10
2015-04-02,27.07,27.110001,27.059999,27.08,20200,27.08
2015-04-01,27.07,27.09,27.040001,27.07,7700,27.07
2015-03-31,27.040001,27.129999,27.040001,27.129999,12900,27.129999
2015-03-30,27.10,27.10,26.98,27.09,14200,27.09
2015-03-27,26.99,27.08,26.98,27.08,15700,27.08
2015-03-26,27.09,27.10,26.93,27.030001,25400,27.030001
2015-03-25,27.10,27.15,27.08,27.129999,26300,27.129999
2015-03-24,27.049999,27.110001,27.02,27.08,29500,27.08
2015-03-23,27.09,27.17,27.07,27.17,28000,27.17
2015-03-20,26.91,27.10,26.870001,27.059999,33400,27.059999
2015-03-19,26.91,26.99,26.83,26.879999,51500,26.879999
2015-03-18,26.719999,26.99,26.719999,26.91,20500,26.91
2015-03-17,26.809999,26.82,26.719999,26.790001,14600,26.790001
2015-03-16,26.73,26.77,26.709999,26.74,14000,26.74
2015-03-13,26.73,26.82,26.629999,26.75,22400,26.75
2015-03-12,26.780001,26.799999,26.74,26.75,22800,26.75
2015-03-11,26.76,26.85,26.75,26.75,26100,26.75
2015-03-10,26.690001,26.870001,26.67,26.85,34800,26.85
2015-03-09,26.65,26.73,26.60,26.610001,25200,26.610001
2015-03-06,26.889999,26.950001,26.610001,26.68,33000,26.68
2015-03-05,26.99,27.07,26.950001,26.959999,28500,26.959999
2015-03-04,26.91,27.030001,26.91,27.030001,15700,27.030001
2015-03-03,26.879999,26.950001,26.860001,26.91,22600,26.91
2015-03-02,27.040001,27.049999,26.889999,26.90,38000,26.90
2015-02-27,26.91,27.09,26.91,27.09,30400,27.09
2015-02-26,26.889999,26.950001,26.870001,26.950001,32900,26.950001
2015-02-25,26.91,26.959999,26.879999,26.889999,35300,26.889999
2015-02-24,26.950001,26.99,26.90,26.959999,76700,26.959999
2015-02-23,26.870001,26.959999,26.870001,26.90,22600,26.90
2015-02-20,26.889999,26.950001,26.870001,26.870001,19400,26.870001
2015-02-19,26.879999,26.98,26.85,26.889999,34000,26.889999
2015-02-18,26.950001,26.99,26.82,26.889999,57100,26.889999
2015-02-17,26.959999,27.02,26.92,26.950001,35800,26.950001
2015-02-13,26.99,27.049999,26.959999,27.040001,20400,27.040001
2015-02-12,26.879999,27.00,26.879999,26.969999,21800,26.969999
2015-02-11,26.85,26.940001,26.85,26.90,19500,26.90
