Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,40.75,41.07,40.700001,41.00,33100,41.00
2015-10-08,40.360001,40.630001,40.310001,40.349998,36700,40.349998
2015-10-07,40.73,40.830002,40.59,40.599998,25400,40.599998
2015-10-06,40.549999,40.98,40.50,40.740002,49900,40.740002
2015-10-05,40.549999,40.57,40.099998,40.279999,45600,40.279999
2015-10-02,40.150002,40.549999,40.150002,40.349998,59900,40.349998
2015-10-01,39.860001,39.860001,39.400002,39.599998,66200,39.599998
2015-09-30,39.73,39.759998,39.470001,39.68,23200,39.68
2015-09-29,40.110001,40.279999,39.849998,40.02,40200,40.02
2015-09-28,40.48,40.48,40.110001,40.119999,37900,40.119999
2015-09-25,40.82,41.040001,40.709999,40.830002,71900,40.830002
2015-09-24,40.48,41.259998,40.48,40.919998,49400,40.919998
2015-09-23,40.200001,40.490002,40.200001,40.23,25300,40.23
2015-09-22,39.869999,40.200001,39.759998,40.200001,28800,40.200001
2015-09-21,40.00,40.099998,39.75,40.09,51200,40.09
2015-09-18,40.349998,40.349998,39.610001,40.00,188800,40.00
2015-09-17,38.490002,39.119999,38.490002,38.939999,48800,38.939999
2015-09-16,38.27,38.830002,38.27,38.66,28900,38.66
2015-09-15,37.790001,38.189999,37.740002,38.060001,23400,38.060001
2015-09-14,38.049999,38.34,38.040001,38.34,41800,38.34
2015-09-11,37.849998,38.150002,37.849998,38.099998,38400,38.099998
2015-09-10,38.200001,38.299999,38.110001,38.240002,33500,38.240002
2015-09-09,38.419998,38.419998,37.849998,38.150002,51600,38.150002
2015-09-08,38.709999,38.779999,38.540001,38.639999,13600,38.639999
2015-09-04,38.689999,38.689999,38.490002,38.639999,32400,38.639999
2015-09-03,38.950001,38.950001,38.669998,38.73,12400,38.73
2015-09-02,39.150002,39.43,38.959999,39.02,33500,39.02
2015-09-01,39.400002,39.540001,39.240002,39.369999,24800,39.369999
2015-08-31,38.970001,39.189999,38.849998,39.18,27500,39.18
2015-08-28,38.990002,39.459999,38.990002,39.220001,18700,39.220001
2015-08-27,39.220001,39.220001,38.639999,38.849998,29800,38.849998
2015-08-26,38.740002,39.25,38.549999,39.25,55500,39.25
2015-08-25,39.630001,39.73,39.209999,39.299999,39900,39.299999
2015-08-24,40.25,40.439999,39.77,39.810001,76700,39.810001
2015-08-21,39.950001,40.139999,39.66,40.080002,25100,40.080002
2015-08-20,39.310001,39.98,39.310001,39.709999,82400,39.709999
