Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,0.589999,0.589999,0.47,0.47,12900,14.099987
2015-10-08,0.54,0.54,0.44,0.46,9900,13.799987
2015-10-07,0.49,0.54,0.45,0.45,14200,13.499987
2015-10-06,0.54,0.599999,0.46,0.47,12500,14.099987
2015-10-05,0.549999,0.599999,0.529999,0.529999,7200,15.899984
2015-10-02,0.549999,0.609999,0.529999,0.529999,25900,15.899984
2015-10-01,0.629999,0.629999,0.50,0.52,1200,15.599986
2015-09-30,0.599999,0.599999,0.549999,0.599999,5300,17.999983
2015-09-29,0.709999,0.709999,0.589999,0.599999,1500,17.999983
2015-09-28,0.749999,0.769999,0.529999,0.699999,2300,20.99998
2015-09-25,0.799999,0.799999,0.619999,0.749999,3400,22.499979
2015-09-24,0.819999,0.829999,0.749999,0.769999,900,23.099978
2015-09-23,0.829999,0.829999,0.759999,0.819999,2300,24.599977
2015-09-22,0.859999,0.859999,0.819999,0.829999,2600,24.899976
2015-09-21,0.879999,0.889999,0.819999,0.839999,1600,25.199977
2015-09-18,0.819999,0.869999,0.819999,0.839999,4100,25.199977
2015-09-17,0.859999,0.909999,0.839999,0.839999,11900,25.199977
2015-09-16,0.859999,0.899999,0.819999,0.869999,5600,26.099975
2015-09-15,0.799999,0.909999,0.779999,0.849999,3200,25.499976
2015-09-14,0.829999,0.829999,0.779999,0.819999,1100,24.599977
2015-09-11,0.879999,0.899999,0.809999,0.829999,5900,24.899976
2015-09-10,0.889999,0.909999,0.849999,0.879999,2400,26.399974
2015-09-09,0.799999,0.899999,0.769999,0.899999,6000,26.999974
2015-09-08,0.839999,0.849999,0.719999,0.799999,5100,23.999977
2015-09-04,0.719999,0.799999,0.54,0.779999,5900,23.399977
2015-09-03,0.789999,0.979999,0.749999,0.779999,50400,23.399977
2015-09-02,0.839999,0.859999,0.769999,0.769999,27200,23.099978
2015-09-01,0.879999,0.879999,0.799999,0.819999,7600,24.599977
2015-08-31,0.849999,0.909999,0.799999,0.849999,39000,25.499976
2015-08-28,0.569999,0.849999,0.569999,0.799999,51000,23.999977
2015-08-27,0.46,0.549999,0.46,0.52,3300,15.599986
2015-08-26,0.46,0.50,0.41,0.45,7800,13.499987
2015-08-25,0.45,0.45,0.40,0.45,5000,13.499987
2015-08-24,0.43,0.43,0.41,0.41,6300,12.299988
2015-08-21,0.42,0.44,0.40,0.43,2200,12.899987
2015-08-20,0.40,0.44,0.40,0.41,2500,12.299988
2015-08-19,0.40,0.46,0.38,0.38,16000,11.399989
2015-08-18,0.30,0.41,0.30,0.38,8800,11.399989
2015-08-17,0.33,0.33,0.29,0.29,1000,8.699992
2015-08-14,0.34,0.35,0.28,0.32,3700,9.599991
2015-08-13,0.33,0.35,0.31,0.35,2900,10.49999
2015-08-12,0.30,0.33,0.30,0.32,1400,9.599991
2015-08-11,0.33,0.33,0.29,0.30,5900,8.999991
2015-08-10,0.31,0.34,0.31,0.33,1200,9.89999
2015-08-07,0.34,0.34,0.31,0.31,3800,9.299991
2015-08-06,0.33,0.36,0.31,0.35,1900,10.49999
2015-08-05,0.33,0.34,0.30,0.33,5200,9.89999
2015-08-04,0.35,0.37,0.29,0.30,6500,8.999991
2015-08-03,0.40,0.40,0.31,0.34,5100,10.19999
2015-07-31,0.44,0.44,0.36,0.37,9400,11.09999
2015-07-30,0.40,0.43,0.39,0.40,4400,11.999989
2015-07-29,0.42,0.45,0.39,0.39,9700,11.699989
2015-07-28,0.44,0.46,0.42,0.44,3100,13.199987
2015-07-27,0.46,0.46,0.41,0.44,8100,13.199987
2015-07-24,0.43,0.44,0.40,0.40,3600,11.999989
2015-07-23,0.42,0.44,0.41,0.41,5400,12.299988
2015-07-22,0.43,0.46,0.40,0.41,6300,12.299988
2015-07-21,0.39,0.48,0.39,0.43,14700,12.899987
2015-07-20,0.43,0.46,0.37,0.38,18200,11.399989
2015-07-17,0.51,0.569999,0.41,0.43,39700,12.899987
2015-07-16,0.559999,0.579999,0.52,0.52,7500,15.599986
2015-07-15,0.609999,0.639999,0.529999,0.529999,19400,15.899984
2015-07-14,0.679999,0.729999,0.599999,0.609999,6200,18.299982
2015-07-13,0.679999,0.699999,0.599999,0.699999,3000,20.99998
2015-07-10,0.669999,0.669999,0.589999,0.629999,10100,18.899982
2015-07-09,0.599999,0.639999,0.579999,0.589999,9000,17.699984
2015-07-08,0.699999,0.719999,0.579999,0.579999,8900,17.399983
2015-07-07,0.739999,0.739999,0.599999,0.689999,21200,20.699981
2015-07-06,0.729999,0.809999,0.649999,0.649999,14900,19.499981
2015-07-02,0.619999,0.919999,0.609999,0.699999,65400,20.99998
2015-07-01,0.889999,0.939999,0.609999,0.619999,30900,18.599983
2015-06-30,1.109999,1.269999,0.889999,0.889999,29100,26.699975
2015-06-29,1.169999,1.239999,1.099999,1.099999,11000,32.999969
2015-06-26,1.249999,1.339999,1.099999,1.199999,75900,35.999966
2015-06-25,1.229999,1.299999,1.199999,1.249999,7900,37.499964
2015-06-24,1.229999,1.279999,1.199999,1.219999,18000,36.599964
2015-06-23,1.139999,1.269999,1.089999,1.249999,6300,37.499964
2015-06-22,1.199999,1.199999,1.099999,1.159999,5300,34.799966
2015-06-19,1.239999,1.239999,1.169999,1.189999,8300,35.699967
2015-06-18,1.169999,1.219999,1.159999,1.179999,7100,35.399968
2015-06-17,1.229999,1.269999,1.179999,1.189999,4600,35.699967
2015-06-16,1.259999,1.259999,1.169999,1.219999,5800,36.599964
2015-06-15,1.369999,1.399999,1.239999,1.259999,7200,37.799963
2015-06-12,1.429999,1.429999,1.339999,1.379999,4400,41.399962
2015-06-11,1.519998,1.519998,1.419999,1.429999,3400,42.899961
2015-06-10,1.529999,1.549999,1.499999,1.529999,3400,45.899958
2015-06-09,1.419999,1.559998,1.409999,1.509999,5500,45.299956
2015-06-08,1.509999,1.519998,1.379999,1.409999,2400,42.299959
2015-06-05,1.419999,1.569998,1.399999,1.519998,3200,45.599955
2015-06-04,1.409999,1.429999,1.339999,1.409999,1500,42.299959
2015-06-03,1.349999,1.419999,1.339999,1.399999,2400,41.99996
2015-06-02,1.289999,1.449999,1.289999,1.369999,4500,41.099959
2015-06-01,1.349999,1.349999,1.209999,1.279999,7200,38.399965
2015-05-29,1.489999,1.489999,1.329999,1.329999,9800,39.899963
2015-05-28,1.539999,1.559998,1.429999,1.489999,3400,44.699958
2015-05-27,1.629998,1.649998,1.499999,1.529999,3100,45.899958
2015-05-26,1.579999,1.589999,1.499999,1.569998,4400,47.099954
2015-05-22,1.679998,1.699998,1.589999,1.599998,2900,47.999954
2015-05-21,1.689998,1.739998,1.659998,1.679998,5800,50.399953
2015-05-20,1.699998,1.719998,1.669998,1.699998,2300,50.999951
2015-05-19,1.699998,1.719998,1.619998,1.699998,10600,50.999951
2015-05-18,1.839998,1.839998,1.719998,1.719998,5200,51.599949
2015-05-15,1.699998,1.859998,1.699998,1.819998,4900,54.599946
2015-05-14,1.869998,1.869998,1.669998,1.709998,6200,51.29995
2015-05-13,1.629998,1.899998,1.629998,1.809998,9500,54.299947
2015-05-12,1.709998,1.709998,1.579999,1.649998,5000,49.499953
2015-05-11,1.719998,1.799998,1.679998,1.709998,9400,51.29995
2015-05-08,1.399999,1.799998,1.399999,1.709998,20100,51.29995
2015-05-07,1.389999,1.409999,1.269999,1.399999,10300,41.99996
2015-05-06,1.389999,1.429999,1.359999,1.399999,8200,41.99996
2015-05-05,1.199999,1.359999,1.189999,1.349999,16700,40.499961
2015-05-04,1.199999,1.219999,1.149999,1.199999,5600,35.999966
2015-05-01,1.179999,1.189999,1.149999,1.169999,3300,35.099965
2015-04-30,1.139999,1.209999,1.099999,1.189999,6900,35.699967
2015-04-29,1.219999,1.339999,1.139999,1.149999,12800,34.499967
2015-04-28,1.139999,1.259999,1.099999,1.239999,31600,37.199965
2015-04-27,1.109999,1.139999,1.069999,1.129999,6000,33.899969
2015-04-24,1.139999,1.169999,1.089999,1.109999,4600,33.299967
2015-04-23,1.079999,1.179999,1.079999,1.169999,11900,35.099965
2015-04-22,1.109999,1.149999,1.079999,1.119999,8000,33.599966
2015-04-21,1.179999,1.179999,1.099999,1.139999,22800,34.199968
2015-04-20,1.269999,1.269999,1.129999,1.169999,14700,35.099965
2015-04-17,1.249999,1.259999,1.219999,1.229999,7400,36.899966
2015-04-16,1.279999,1.289999,1.229999,1.249999,10200,37.499964
2015-04-15,1.189999,1.339999,1.169999,1.269999,25500,38.099962
2015-04-14,1.169999,1.199999,1.139999,1.159999,12700,34.799966
2015-04-13,1.219999,1.239999,1.159999,1.159999,9600,34.799966
2015-04-10,1.249999,1.249999,1.199999,1.239999,11100,37.199965
2015-04-09,1.239999,1.279999,1.209999,1.239999,13000,37.199965
2015-04-08,1.379999,1.459999,1.199999,1.209999,14900,36.299965
2015-04-07,1.469999,1.499999,1.379999,1.389999,11500,41.699961
2015-04-06,1.309999,1.499999,1.299999,1.489999,16700,44.699958
2015-04-02,1.339999,1.359999,1.279999,1.329999,6900,39.899963
2015-04-01,1.269999,1.359999,1.269999,1.349999,8600,40.499961
2015-03-31,1.239999,1.349999,1.229999,1.329999,12100,39.899963
2015-03-30,1.289999,1.289999,1.219999,1.249999,10700,37.499964
2015-03-27,1.279999,1.279999,1.219999,1.269999,9300,38.099962
2015-03-26,1.339999,1.349999,1.249999,1.279999,10600,38.399965
2015-03-25,1.269999,1.359999,1.229999,1.339999,12500,40.199962
2015-03-24,1.269999,1.289999,1.229999,1.269999,19000,38.099962
2015-03-23,1.299999,1.349999,1.249999,1.279999,12100,38.399965
2015-03-20,1.259999,1.319999,1.199999,1.299999,22700,38.999963
2015-03-19,1.279999,1.329999,1.239999,1.269999,18800,38.099962
2015-03-18,1.149999,1.299999,1.099999,1.289999,27700,38.699964
2015-03-17,1.439999,1.449999,1.089999,1.129999,66600,33.899969
2015-03-16,1.679998,1.699998,1.349999,1.449999,63000,43.499959
2015-03-13,1.769998,1.769998,1.639998,1.649998,10600,49.499953
2015-03-12,1.909998,1.949998,1.699998,1.759998,7500,52.799949
2015-03-11,1.999998,1.999998,1.819998,1.889998,6300,56.699947
2015-03-10,1.919998,1.999998,1.899998,1.969998,4700,59.099942
2015-03-09,2.099998,2.099998,1.949998,1.959998,10700,58.799943
2015-03-06,2.049998,2.129998,2.049998,2.069998,3200,62.099939
2015-03-05,2.159998,2.189998,2.059998,2.069998,21200,62.099939
2015-03-04,2.279998,2.279998,2.099998,2.159998,4000,64.799941
2015-03-03,2.339998,2.349998,2.259998,2.289998,4000,68.699931
2015-03-02,2.459998,2.459998,2.279998,2.379998,13700,71.399933
2015-02-27,2.439998,2.479998,2.329998,2.459998,4500,73.799933
2015-02-26,2.529998,2.529998,2.409998,2.449998,3500,73.49993
2015-02-25,2.379998,2.529998,2.309998,2.509998,4800,75.299931
2015-02-24,2.239998,2.369998,2.209998,2.349998,2900,70.499933
2015-02-23,2.279998,2.279998,2.159998,2.239998,4800,67.199933
2015-02-20,2.109998,2.289998,2.089998,2.279998,2700,68.399936
2015-02-19,2.159998,2.159998,2.049998,2.099998,3300,62.99994
2015-02-18,2.149998,2.229998,2.119998,2.169998,2200,65.099936
2015-02-17,2.149998,2.189998,1.999998,2.179998,2800,65.399939
2015-02-13,2.139998,2.209998,2.079998,2.109998,3300,63.299939
2015-02-12,2.109998,2.189998,2.039998,2.079998,5500,62.399942
2015-02-11,2.189998,2.189998,1.999998,2.089998,3500,62.699941
2015-02-10,2.419998,2.419998,2.069998,2.159998,7000,64.799941
2015-02-09,2.249998,2.399998,2.199998,2.309998,7000,69.299937
2015-02-06,2.149998,2.239998,2.099998,2.189998,7600,65.699934
2015-02-05,1.879998,2.159998,1.879998,2.149998,7000,64.499938
2015-02-04,1.949998,1.959998,1.839998,1.879998,6600,56.399948
2015-02-03,2.059998,2.099998,1.899998,1.949998,20900,58.499944
2015-02-02,1.879998,1.969998,1.849998,1.949998,4500,58.499944
2015-01-30,1.849998,2.009998,1.749998,1.899998,6600,56.999946
2015-01-29,1.799998,1.799998,1.649998,1.779998,5300,53.399951
2015-01-28,1.949998,1.949998,1.749998,1.799998,4600,53.999949
2015-01-27,1.969998,2.139998,1.929998,1.949998,11300,58.499944
2015-01-26,2.009998,2.059998,1.949998,1.989998,10000,59.699944
2015-01-23,1.979998,2.079998,1.869998,2.029998,3000,60.899943
2015-01-22,1.939998,2.019998,1.879998,1.959998,11700,58.799943
2015-01-21,2.009998,2.029998,1.869998,1.909998,11300,57.299945
2015-01-20,2.219998,2.229998,1.949998,2.009998,12900,60.299942
2015-01-16,2.329998,2.389998,2.219998,2.229998,21700,66.899938
2015-01-15,2.449998,2.489998,2.309998,2.339998,17600,70.19993
2015-01-14,2.129998,2.459998,2.129998,2.449998,15400,73.49993
2015-01-13,2.719997,2.719997,2.399998,2.469998,14800,74.099928
2015-01-12,2.649997,2.679997,2.519998,2.669997,5600,80.099922
2015-01-09,2.679997,2.709998,2.579998,2.659998,3600,79.799927
2015-01-08,2.559998,2.679997,2.519998,2.649997,6000,79.499924
2015-01-07,2.579998,2.619997,2.369998,2.519998,19500,75.599926
2015-01-06,2.929997,2.929997,2.309998,2.329998,28200,69.899935
2015-01-05,2.999997,3.109997,2.849997,2.879997,73500,86.399919
2015-01-02,2.999997,3.089997,2.849997,3.029997,12600,90.899915
2014-12-31,3.199997,3.339997,3.199997,3.219997,5400,96.599906
2014-12-30,3.319997,3.359997,3.149997,3.209997,4600,96.299911
2014-12-29,3.379997,3.449997,3.309997,3.319997,3600,99.599903
2014-12-26,3.389997,3.499997,3.299997,3.379997,2400,101.399905
2014-12-24,3.539997,3.619996,3.319997,3.369997,4400,101.099902
2014-12-23,3.799996,3.799996,3.539997,3.579997,4600,107.399899
2014-12-22,3.869996,3.969996,3.679997,3.799996,10300,113.999891
2014-12-19,3.909996,3.939996,3.799996,3.889996,13000,116.699886
2014-12-18,3.999996,3.999996,3.889996,3.929996,4200,117.899889
2014-12-17,3.759997,3.959996,3.709997,3.949996,7100,118.499887
2014-12-16,3.599997,3.789996,3.509997,3.729996,7600,111.899895
2014-12-15,3.629997,3.789996,3.569997,3.639996,7000,109.199893
2014-12-12,3.569997,3.659997,3.519997,3.619996,8600,108.599895
2014-12-11,3.709997,3.809996,3.569997,3.659997,34100,109.799898
2014-12-10,4.399996,4.579995,3.539997,3.699996,78000,110.999894
2014-12-09,3.989996,4.389996,3.989996,4.379996,7000,131.399869
2014-12-08,4.249996,4.299996,3.879996,4.079996,7200,122.399885
2014-12-05,4.299996,4.459996,4.249996,4.299996,10000,128.999877
2014-12-04,4.769996,4.989995,4.379996,4.429996,13400,132.899867
2014-12-03,4.649996,4.819996,4.579995,4.789995,5800,143.69986
2014-12-02,4.469996,4.759996,4.419996,4.629995,4900,138.899861
2014-12-01,4.559996,4.669996,4.399996,4.459996,8400,133.799875
2014-11-28,5.019995,5.129995,4.379996,4.599996,9000,137.999868
2014-11-26,5.199995,5.199995,5.019995,5.039995,3200,151.199853
2014-11-25,5.199995,5.289995,5.099995,5.199995,5600,155.999851
2014-11-24,5.179995,5.209995,5.099995,5.199995,3100,155.999851
2014-11-21,5.289995,5.289995,5.139995,5.149995,3400,154.499853
2014-11-20,5.229995,5.279995,5.099995,5.189995,7200,155.699848
2014-11-19,5.619995,5.669995,5.249995,5.269995,2700,158.099855
2014-11-18,5.689994,5.769995,5.579994,5.659995,4000,169.799841
2014-11-17,5.719995,5.869995,5.659995,5.669995,3100,170.099844
2014-11-14,5.569995,5.989994,5.559995,5.759995,3900,172.799838
2014-11-13,5.619995,5.709995,5.459995,5.559995,4100,166.799844
2014-11-12,5.819995,5.869995,5.659995,5.689994,5200,170.699834
2014-11-11,5.929994,6.059994,5.749995,5.829994,2900,174.899827
2014-11-10,5.809995,6.009994,5.749995,5.899994,6400,176.999831
2014-11-07,5.759995,5.959994,5.719995,5.799994,4900,173.999834
2014-11-06,5.879994,5.999994,5.629994,5.749995,15500,172.499835
