Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,24.43,24.709999,24.35,24.58,147100,24.295509
2015-10-08,24.07,24.51,23.809999,24.40,383700,24.117592
2015-10-07,24.25,24.605,23.85,24.120001,217500,23.840834
2015-10-06,24.690001,24.879999,24.190001,24.209999,208700,23.92979
2015-10-05,24.65,25.059999,24.556,24.799999,157600,24.512962
2015-10-02,24.129999,24.77,24.00,24.549999,192000,24.265855
2015-10-01,23.67,24.25,23.209999,24.23,294000,23.949559
2015-09-30,23.50,23.700001,23.120001,23.68,303500,23.405926
2015-09-29,23.309999,23.690001,23.27,23.43,181900,23.158819
2015-09-28,24.49,24.690001,23.110001,23.32,467400,23.050092
2015-09-25,25.379999,25.50,24.32,24.76,449700,24.25103
2015-09-24,25.959999,25.959999,24.879999,25.25,356500,24.730957
2015-09-23,26.09,26.51,25.700001,26.030001,283000,25.494924
2015-09-22,26.76,26.76,25.99,26.00,330200,25.46554
2015-09-21,26.540001,27.07,26.540001,26.799999,287200,26.249094
2015-09-18,26.690001,27.26,26.35,26.389999,1228000,25.847523
2015-09-17,27.290001,27.802,26.790001,26.98,631500,26.425395
2015-09-16,28.200001,28.200001,27.10,27.42,676400,26.85635
2015-09-15,28.469999,28.469999,28.07,28.23,318400,27.649699
2015-09-14,28.60,28.68,28.305,28.440001,77200,27.855384
2015-09-11,28.370001,28.610001,28.10,28.540001,250000,27.953328
2015-09-10,28.16,28.65,28.16,28.459999,171900,27.874971
2015-09-09,29.040001,29.49,28.129999,28.209999,176600,27.63011
2015-09-08,27.809999,29.040001,27.799999,28.959999,293600,28.364693
2015-09-04,27.42,27.610001,27.02,27.530001,179500,26.96409
2015-09-03,27.82,28.190001,27.59,27.629999,206900,27.062033
2015-09-02,27.860001,28.10,27.51,27.780001,235800,27.208951
2015-09-01,27.90,28.055,27.42,27.639999,265000,27.071827
2015-08-31,28.860001,29.08,28.10,28.18,340900,27.600728
2015-08-28,28.860001,29.280001,28.379999,29.139999,200300,28.540993
2015-08-27,27.540001,29.125,27.530001,28.93,319900,28.335311
2015-08-26,27.360001,27.52,27.09,27.360001,278300,26.797584
2015-08-25,28.34,28.51,26.879999,26.92,369700,26.366628
2015-08-24,28.540001,28.969999,27.889999,27.940001,300700,27.365662
2015-08-21,29.16,29.83,28.99,29.25,246000,28.648733
2015-08-20,29.700001,29.860001,29.459999,29.610001,198900,29.001333
2015-08-19,29.799999,29.98,29.49,29.799999,322000,29.187426
2015-08-18,29.76,29.93,29.440001,29.84,280300,29.226605
2015-08-17,29.57,30.049999,29.309999,29.799999,255100,29.187426
2015-08-14,29.889999,29.889999,29.40,29.60,272800,28.991538
2015-08-13,29.65,30.045,29.309999,29.969999,638300,29.353931
2015-08-12,29.549999,30.27,29.120001,29.709999,1175300,29.099276
2015-08-11,31.43,31.49,28.77,29.74,975900,29.12866
2015-08-10,32.00,33.939999,31.10,31.50,1103200,30.852481
2015-08-07,32.00,32.27,30.82,31.98,345500,31.322614
2015-08-06,33.139999,33.139999,31.950001,32.169998,508800,31.508707
2015-08-05,33.880001,33.880001,32.779999,33.00,172400,32.321647
2015-08-04,33.959999,34.470001,33.400002,33.619999,220700,32.928901
2015-08-03,33.540001,34.009998,33.349998,33.939999,110800,33.242323
2015-07-31,33.59,33.669998,33.349998,33.529999,147900,32.840751
2015-07-30,33.720001,33.790001,33.189999,33.389999,286800,32.703629
2015-07-29,33.400002,34.040001,33.064999,33.77,356400,33.075819
2015-07-28,33.59,33.799999,33.060001,33.290001,454900,32.605687
2015-07-27,32.880001,33.75,32.610001,33.540001,509100,32.850548
2015-07-24,31.799999,33.619999,31.799999,32.610001,1513500,31.939664
