Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,6.92,6.98,6.88,6.94,510400,6.726781
2015-10-08,6.75,6.89,6.71,6.87,617200,6.658931
2015-10-07,6.60,6.75,6.60,6.74,439600,6.532925
2015-10-06,6.53,6.59,6.51,6.58,334400,6.377841
2015-10-05,6.50,6.55,6.48,6.55,423000,6.348763
2015-10-02,6.37,6.47,6.35,6.45,339900,6.251835
2015-10-01,6.44,6.50,6.40,6.47,369000,6.271221
2015-09-30,6.50,6.51,6.41,6.47,826100,6.271221
2015-09-29,6.59,6.64,6.40,6.50,666600,6.300299
2015-09-28,6.71,6.73,6.55,6.64,495000,6.435998
2015-09-25,6.77,6.78,6.71,6.73,176900,6.523233
2015-09-24,6.78,6.78,6.72,6.75,321200,6.542618
2015-09-23,6.74,6.82,6.72,6.79,640700,6.581389
2015-09-22,6.70,6.76,6.68,6.74,511000,6.532925
2015-09-21,6.73,6.77,6.73,6.75,116900,6.542618
2015-09-18,6.70,6.76,6.67,6.73,104200,6.523233
2015-09-17,6.67,6.75,6.67,6.73,129900,6.523233
2015-09-16,6.73,6.74,6.68,6.70,302600,6.494154
2015-09-15,6.79,6.81,6.77,6.80,186400,6.524202
2015-09-14,6.83,6.83,6.80,6.80,206700,6.524202
2015-09-11,6.82,6.84,6.81,6.83,167500,6.552985
2015-09-10,6.81,6.83,6.80,6.83,154700,6.552985
2015-09-09,6.80,6.83,6.78,6.82,227400,6.543391
2015-09-08,6.79,6.82,6.77,6.80,210900,6.524202
2015-09-04,6.77,6.81,6.76,6.76,147100,6.485825
2015-09-03,6.80,6.83,6.78,6.82,246200,6.543391
2015-09-02,6.77,6.82,6.76,6.78,260900,6.505013
2015-09-01,6.70,6.79,6.70,6.79,324900,6.514608
2015-08-31,6.72,6.79,6.72,6.73,301200,6.457041
2015-08-28,6.73,6.78,6.71,6.76,295900,6.485825
2015-08-27,6.74,6.79,6.72,6.73,499100,6.457041
2015-08-26,6.70,6.75,6.67,6.74,729000,6.466635
2015-08-25,6.61,6.73,6.60,6.64,369300,6.370691
2015-08-24,6.66,6.70,6.46,6.51,497300,6.245964
2015-08-21,6.80,6.80,6.72,6.76,493000,6.485825
2015-08-20,6.83,6.83,6.74,6.80,437000,6.524202
2015-08-19,6.91,6.91,6.83,6.84,250600,6.56258
2015-08-18,6.92,6.97,6.91,6.97,235700,6.621105
2015-08-17,6.91,6.95,6.90,6.94,364200,6.592607
2015-08-14,6.92,6.98,6.91,6.94,205100,6.592607
2015-08-13,6.95,6.97,6.93,6.95,172900,6.602107
2015-08-12,6.95,7.00,6.91,6.99,292100,6.640104
2015-08-11,6.91,7.00,6.91,7.00,185900,6.649604
2015-08-10,7.00,7.00,6.90,6.96,410800,6.611606
2015-08-07,6.99,7.01,6.98,7.00,141000,6.649604
2015-08-06,7.09,7.10,7.03,7.03,194500,6.678102
2015-08-05,7.09,7.12,7.09,7.11,113200,6.754098
2015-08-04,7.09,7.12,7.09,7.09,163700,6.735099
2015-08-03,7.11,7.13,7.08,7.10,270700,6.744598
2015-07-31,7.13,7.14,7.10,7.12,231900,6.763597
2015-07-30,7.07,7.12,7.06,7.10,169700,6.744598
2015-07-29,7.05,7.10,7.04,7.10,171500,6.744598
2015-07-28,7.04,7.07,7.00,7.07,392800,6.7161
2015-07-27,7.05,7.05,6.98,7.02,546200,6.668603
2015-07-24,7.15,7.16,7.05,7.06,473600,6.706601
2015-07-23,7.15,7.18,7.14,7.15,232900,6.792096
2015-07-22,7.27,7.28,7.15,7.16,636800,6.801595
2015-07-21,7.39,7.41,7.32,7.35,301700,6.916538
2015-07-20,7.46,7.46,7.40,7.40,157400,6.963589
2015-07-17,7.50,7.50,7.46,7.46,258700,7.020051
2015-07-16,7.51,7.53,7.48,7.50,288600,7.057692
2015-07-15,7.48,7.52,7.47,7.52,204000,7.076512
2015-07-14,7.53,7.53,7.48,7.49,117400,7.048281
2015-07-13,7.54,7.54,7.52,7.53,220500,7.085923
2015-07-10,7.51,7.52,7.48,7.51,215100,7.067102
2015-07-09,7.50,7.51,7.47,7.48,194000,7.038871
2015-07-08,7.48,7.54,7.45,7.46,174100,7.020051
2015-07-07,7.49,7.54,7.45,7.54,298800,7.095333
2015-07-06,7.52,7.54,7.46,7.54,181400,7.095333
2015-07-02,7.52,7.57,7.50,7.57,276000,7.123564
2015-07-01,7.55,7.56,7.49,7.52,277700,7.076512
2015-06-30,7.41,7.54,7.41,7.54,348300,7.095333
2015-06-29,7.39,7.46,7.31,7.38,652800,6.944769
2015-06-26,7.62,7.63,7.46,7.46,532800,7.020051
2015-06-25,7.70,7.70,7.61,7.61,225800,7.161205
2015-06-24,7.76,7.76,7.69,7.70,155200,7.245897
2015-06-23,7.65,7.78,7.64,7.75,497000,7.292948
2015-06-22,7.63,7.69,7.63,7.64,253400,7.189435
2015-06-19,7.61,7.65,7.60,7.62,257800,7.170615
2015-06-18,7.67,7.68,7.63,7.64,300400,7.189435
2015-06-17,7.73,7.73,7.64,7.69,305800,7.236487
2015-06-16,7.72,7.78,7.70,7.78,408600,7.256248
2015-06-15,7.73,7.76,7.71,7.73,246600,7.209614
2015-06-12,7.79,7.80,7.73,7.76,220200,7.237595
2015-06-11,7.80,7.82,7.77,7.79,150700,7.265575
2015-06-10,7.84,7.85,7.74,7.80,298600,7.274902
2015-06-09,7.83,7.85,7.77,7.81,197700,7.284229
2015-06-08,7.84,7.91,7.80,7.84,324500,7.312209
2015-06-05,7.94,7.96,7.88,7.89,236500,7.358843
2015-06-04,7.96,7.98,7.94,7.98,161500,7.442784
2015-06-03,8.01,8.01,7.97,7.99,122700,7.452111
2015-06-02,7.99,8.01,7.96,8.01,237000,7.470765
2015-06-01,7.99,8.02,7.98,7.99,218800,7.452111
2015-05-29,8.04,8.04,7.99,7.99,240400,7.452111
2015-05-28,8.02,8.04,8.00,8.04,167700,7.498745
2015-05-27,7.98,8.04,7.97,8.04,236100,7.498745
2015-05-26,8.03,8.03,7.97,8.00,233500,7.461438
2015-05-22,8.04,8.08,8.01,8.01,170700,7.470765
2015-05-21,8.08,8.08,8.04,8.05,204300,7.508072
2015-05-20,8.10,8.10,8.06,8.07,149100,7.526725
2015-05-19,8.15,8.16,8.12,8.15,173500,7.536984
2015-05-18,8.15,8.16,8.13,8.15,126100,7.536984
2015-05-15,8.13,8.16,8.11,8.14,177300,7.527737
2015-05-14,8.15,8.17,8.13,8.14,145900,7.527737
2015-05-13,8.13,8.16,8.11,8.13,122400,7.518489
2015-05-12,8.10,8.16,8.10,8.15,159800,7.536984
2015-05-11,8.13,8.15,8.12,8.13,137700,7.518489
2015-05-08,8.12,8.16,8.12,8.14,164300,7.527737
2015-05-07,8.12,8.14,8.10,8.10,135500,7.490746
2015-05-06,8.15,8.16,8.11,8.14,164100,7.527737
2015-05-05,8.15,8.17,8.12,8.15,187500,7.536984
2015-05-04,8.19,8.19,8.15,8.16,179700,7.546232
2015-05-01,8.16,8.20,8.16,8.20,141900,7.583224
2015-04-30,8.19,8.19,8.12,8.15,201600,7.536984
2015-04-29,8.16,8.20,8.15,8.19,175500,7.573976
2015-04-28,8.14,8.19,8.14,8.18,87300,7.564729
2015-04-27,8.18,8.20,8.14,8.17,198500,7.555481
2015-04-24,8.18,8.19,8.15,8.18,211600,7.564729
2015-04-23,8.18,8.19,8.15,8.15,223600,7.536984
2015-04-22,8.15,8.17,8.12,8.16,309000,7.546232
2015-04-21,8.13,8.15,8.12,8.14,207000,7.527737
2015-04-20,8.05,8.14,8.05,8.11,285600,7.499993
2015-04-17,8.10,8.10,8.01,8.06,413700,7.453755
2015-04-16,8.10,8.12,8.08,8.11,151000,7.499993
2015-04-15,8.11,8.12,8.08,8.11,252900,7.499993
2015-04-14,8.17,8.18,8.14,8.18,182300,7.500918
2015-04-13,8.15,8.18,8.13,8.17,196900,7.491748
2015-04-10,8.12,8.15,8.10,8.15,227300,7.473408
2015-04-09,8.11,8.14,8.09,8.09,282100,7.41839
2015-04-08,8.09,8.12,8.09,8.11,179100,7.436729
2015-04-07,8.09,8.12,8.09,8.10,198900,7.42756
2015-04-06,8.07,8.11,8.07,8.10,133300,7.42756
2015-04-02,8.09,8.12,8.08,8.10,153500,7.42756
2015-04-01,8.02,8.11,8.02,8.10,159100,7.42756
2015-03-31,8.04,8.07,8.03,8.03,168400,7.36337
2015-03-30,8.08,8.10,8.03,8.05,269200,7.381711
2015-03-27,8.04,8.09,8.02,8.07,187300,7.40005
2015-03-26,8.01,8.05,8.01,8.04,173700,7.37254
2015-03-25,8.07,8.09,8.01,8.03,164900,7.36337
2015-03-24,8.04,8.07,8.01,8.06,252200,7.390881
2015-03-23,8.02,8.05,8.02,8.03,180000,7.36337
2015-03-20,7.99,8.05,7.99,8.04,261000,7.37254
2015-03-19,8.05,8.07,7.96,7.97,230200,7.308352
2015-03-18,8.05,8.10,8.02,8.09,193800,7.41839
2015-03-17,8.19,8.19,8.11,8.12,174500,7.382628
2015-03-16,8.22,8.22,8.15,8.18,216900,7.437179
2015-03-13,8.17,8.19,8.11,8.15,174900,7.409903
2015-03-12,8.16,8.20,8.13,8.16,178500,7.418995
2015-03-11,8.15,8.17,8.13,8.17,163500,7.428087
2015-03-10,8.15,8.15,8.13,8.13,216300,7.39172
2015-03-09,8.20,8.23,8.17,8.17,186500,7.428087
2015-03-06,8.24,8.24,8.18,8.20,192100,7.455363
2015-03-05,8.24,8.28,8.24,8.27,185400,7.519007
2015-03-04,8.27,8.28,8.24,8.24,231300,7.49173
2015-03-03,8.24,8.27,8.21,8.27,362700,7.519007
2015-03-02,8.27,8.29,8.23,8.27,330400,7.519007
2015-02-27,8.21,8.27,8.20,8.27,396400,7.519007
2015-02-26,8.18,8.20,8.18,8.19,188300,7.446271
2015-02-25,8.12,8.18,8.12,8.18,278400,7.437179
2015-02-24,8.10,8.13,8.10,8.12,307500,7.382628
2015-02-23,8.11,8.12,8.09,8.09,315500,7.355352
2015-02-20,8.09,8.11,8.07,8.10,228800,7.364444
2015-02-19,8.10,8.10,8.06,8.08,171900,7.34626
2015-02-18,8.05,8.09,8.03,8.09,154500,7.355352
2015-02-17,8.11,8.13,8.05,8.10,429300,7.30171
2015-02-13,8.10,8.14,8.10,8.13,212800,7.328753
2015-02-12,8.08,8.09,8.07,8.07,170100,7.274666
2015-02-11,8.07,8.07,8.04,8.07,197400,7.274666
2015-02-10,8.07,8.08,8.05,8.07,171000,7.274666
2015-02-09,8.02,8.08,8.02,8.07,201000,7.274666
2015-02-06,8.03,8.04,8.00,8.03,184300,7.238608
2015-02-05,8.00,8.03,7.99,8.03,259700,7.238608
2015-02-04,7.98,8.00,7.98,7.99,310900,7.20255
2015-02-03,7.95,8.01,7.93,8.01,295100,7.22058
2015-02-02,7.98,7.98,7.91,7.92,269700,7.139449
2015-01-30,8.00,8.00,7.94,7.96,230200,7.175507
2015-01-29,8.00,8.00,7.97,7.99,134000,7.20255
2015-01-28,8.00,8.01,7.95,7.98,231800,7.193536
2015-01-27,8.00,8.01,7.97,8.00,242900,7.211565
2015-01-26,8.01,8.03,7.99,8.01,297800,7.22058
2015-01-23,8.01,8.04,8.00,8.02,246500,7.229594
2015-01-22,8.00,8.04,7.99,7.99,361200,7.20255
2015-01-21,7.98,8.03,7.96,7.99,466400,7.20255
2015-01-20,8.10,8.11,8.02,8.02,234600,7.167395
2015-01-16,8.07,8.10,8.05,8.10,130900,7.23889
2015-01-15,8.10,8.10,8.01,8.05,160200,7.194205
2015-01-14,8.12,8.14,8.06,8.06,321200,7.203142
2015-01-13,8.18,8.19,8.11,8.17,211200,7.301448
