Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,22.549999,22.610001,22.157,22.26,38400,22.1252
2015-10-08,22.969999,23.049999,22.27,22.74,92000,22.602293
2015-10-07,22.50,23.09,22.18,23.040001,205100,22.900477
2015-10-06,22.35,22.700001,22.09,22.26,99400,22.1252
2015-10-05,21.57,22.469999,21.57,22.469999,268600,22.333927
2015-10-02,21.50,21.83,20.85,21.49,122700,21.359863
2015-10-01,21.780001,22.17,21.60,21.879999,83600,21.7475
2015-09-30,21.40,22.046,21.01,21.799999,1919100,21.667985
2015-09-29,20.90,21.40,20.709999,21.209999,107500,21.081557
2015-09-28,20.99,21.209999,20.700001,20.93,105900,20.803254
2015-09-25,22.25,22.25,21.07,21.379999,63200,21.250528
2015-09-24,22.280001,22.48,21.940001,21.99,171800,21.856835
2015-09-23,22.370001,22.50,21.870001,22.27,58800,22.13514
2015-09-22,21.67,22.280001,21.51,22.24,116600,22.105321
2015-09-21,22.190001,22.200001,21.50,21.950001,160800,21.817078
2015-09-18,21.82,22.16,21.530001,21.969999,180700,21.836955
2015-09-17,21.52,21.91,21.50,21.879999,59300,21.7475
2015-09-16,21.50,22.00,21.450001,21.799999,162100,21.667985
2015-09-15,21.139999,22.15,21.139999,21.92,97600,21.787259
2015-09-14,22.049999,22.049999,21.00,21.280001,101000,21.151135
2015-09-11,21.75,22.10,21.559999,21.690001,65700,21.558652
2015-09-10,21.719999,22.219999,21.719999,21.950001,141100,21.817078
2015-09-09,22.299999,22.299999,21.681999,21.969999,119700,21.836955
2015-09-08,22.200001,22.440001,21.620001,21.90,198000,21.76738
2015-09-04,22.719999,22.82,22.09,22.35,75700,22.214655
2015-09-03,22.41,22.75,22.24,22.610001,111000,22.473081
2015-09-02,21.549999,22.98,21.549999,22.75,232900,22.612233
2015-09-01,21.51,22.415001,21.51,22.040001,260300,21.906533
2015-08-31,21.00,22.00,21.00,22.00,117900,21.866774
2015-08-28,21.48,21.809999,21.02,21.43,214400,21.300226
2015-08-27,21.120001,21.940001,20.959999,21.82,57200,21.687864
2015-08-26,21.200001,21.870001,20.969999,21.42,277300,21.290287
2015-08-25,22.450001,22.450001,21.25,21.50,116200,21.369802
2015-08-24,20.360001,21.32,18.219999,21.120001,183700,20.992104
2015-08-21,21.950001,21.999001,21.65,21.690001,148900,21.558652
2015-08-20,21.870001,22.10,21.76,22.00,123200,21.866774
2015-08-19,22.26,22.40,22.10,22.10,85100,21.966169
2015-08-18,22.219999,22.52,21.879999,22.50,248900,22.363746
2015-08-17,22.74,22.780001,22.01,22.450001,234100,22.31405
2015-08-14,22.42,23.040001,22.42,22.75,667600,22.612233
2015-08-13,22.75,23.10,21.65,22.40,4714900,22.264352
