Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,46.689999,47.060001,46.32,46.799999,118400,46.507222
2015-10-08,45.709999,46.59,45.41,46.560001,147800,46.268726
2015-10-07,44.549999,46.02,44.400002,45.889999,189500,45.602915
2015-10-06,44.66,44.950001,44.009998,44.290001,164900,44.012926
2015-10-05,43.889999,44.919998,43.75,44.830002,163500,44.549549
2015-10-02,42.709999,43.73,42.360001,43.689999,195200,43.416677
2015-10-01,42.93,43.439999,42.369999,43.299999,141600,43.029118
2015-09-30,42.709999,43.23,42.279999,42.900002,169800,42.631622
2015-09-29,42.040001,42.419998,41.290001,42.330002,226700,42.065189
2015-09-28,42.720001,43.18,41.91,42.139999,182400,41.876375
2015-09-25,44.299999,44.299999,43.009998,43.110001,145200,42.840308
2015-09-24,43.900002,44.099998,43.169998,43.860001,122700,43.585616
2015-09-23,44.459999,44.779999,43.939999,44.16,120400,43.883738
2015-09-22,44.720001,44.990002,44.029999,44.25,104900,43.973175
2015-09-21,45.16,46.00,45.02,45.169998,105700,44.887418
2015-09-18,45.130001,45.630001,44.560001,44.709999,321600,44.430297
2015-09-17,46.279999,46.669998,45.509998,45.970001,203600,45.682416
2015-09-16,45.490002,46.25,45.419998,46.209999,91300,45.920913
2015-09-15,45.099998,45.509998,44.509998,45.41,144100,45.125918
2015-09-14,44.939999,44.939999,44.439999,44.689999,59600,44.410421
2015-09-11,44.599998,44.93,43.84,44.91,121400,44.629046
2015-09-10,45.290001,45.580002,44.75,44.919998,99400,44.638982
2015-09-09,46.00,46.029999,45.290001,45.41,121200,45.125918
2015-09-08,45.459999,45.889999,45.32,45.700001,153200,45.414105
2015-09-04,44.220001,44.98,44.220001,44.689999,135000,44.410421
2015-09-03,45.18,45.59,44.75,44.860001,149400,44.57936
2015-09-02,44.77,45.00,44.040001,44.990002,222300,44.708548
2015-09-01,45.59,46.029999,44.220001,44.259998,216400,43.983111
2015-08-31,45.880001,46.939999,45.700001,46.740002,188700,46.4476
2015-08-28,45.950001,46.689999,45.709999,46.029999,179200,45.742039
2015-08-27,45.759998,46.290001,45.110001,46.09,172100,45.801665
2015-08-26,45.189999,45.599998,43.939999,45.380001,147300,45.096107
2015-08-25,46.700001,46.799999,44.32,44.400002,186200,44.122238
2015-08-24,44.830002,46.740002,44.82,45.619999,316200,45.334604
2015-08-21,46.91,48.040001,45.77,46.91,240500,46.616534
2015-08-20,48.889999,49.75,48.68,48.709999,190400,48.405273
2015-08-19,49.68,50.080002,49.00,49.419998,132400,49.11083
2015-08-18,49.970001,50.279999,49.66,49.919998,93100,49.607702
2015-08-17,48.759998,50.110001,48.540001,50.009998,102400,49.69714
2015-08-14,48.049999,49.119999,48.009998,48.98,86400,48.673584
2015-08-13,48.200001,48.84,47.970001,48.18,75600,47.87859
2015-08-12,48.689999,48.689999,47.889999,48.259998,96400,47.958087
2015-08-11,49.060001,49.810001,48.900002,49.209999,134200,48.638804
2015-08-10,48.889999,49.849998,48.880001,49.560001,106900,48.984744
2015-08-07,49.009998,49.349998,48.040001,48.529999,163700,47.966697
2015-08-06,50.200001,50.50,48.889999,49.27,144700,48.698109
2015-08-05,49.889999,50.490002,49.630001,50.110001,128100,49.528359
2015-08-04,49.310001,49.990002,48.34,49.59,122800,49.014395
2015-08-03,49.580002,49.599998,48.84,49.279999,87800,48.707992
2015-07-31,49.720001,50.00,49.349998,49.59,124600,49.014395
2015-07-30,49.119999,49.84,49.060001,49.580002,105900,49.004512
2015-07-29,48.709999,49.529999,48.630001,49.32,96000,48.747528
2015-07-28,48.619999,49.029999,47.880001,48.82,120200,48.253332
2015-07-27,48.490002,48.98,48.220001,48.299999,162000,47.739367
2015-07-24,49.669998,50.290001,48.810001,48.900002,168200,48.332405
2015-07-23,51.619999,52.52,49.560001,49.720001,205000,49.142887
2015-07-22,50.529999,51.040001,50.200001,50.630001,143800,50.042324
2015-07-21,51.049999,51.799999,50.560001,50.66,144800,50.071975
2015-07-20,50.880001,51.630001,50.52,51.189999,104300,50.595822
2015-07-17,51.66,51.799999,50.68,50.950001,133400,50.358609
2015-07-16,52.02,52.150002,51.389999,51.68,128500,51.080136
2015-07-15,51.50,51.82,51.080002,51.630001,115000,51.030717
2015-07-14,51.169998,51.650002,50.84,51.540001,86900,50.941761
2015-07-13,51.060001,51.779999,50.709999,51.16,156700,50.566171
2015-07-10,50.57,51.049999,50.27,50.790001,102600,50.200467
2015-07-09,50.540001,50.669998,49.700001,49.880001,107900,49.301029
2015-07-08,49.82,50.799999,49.310001,49.799999,246200,49.221956
2015-07-07,50.599998,50.889999,49.50,50.48,143400,49.894064
2015-07-06,49.82,50.939999,49.540001,50.580002,150700,49.992905
2015-07-02,51.439999,51.630001,50.110001,50.349998,120200,49.765571
2015-07-01,51.700001,51.810001,50.759998,51.240002,195400,50.645244
2015-06-30,52.23,52.23,50.880001,51.150002,160900,50.556289
2015-06-29,52.810001,53.349998,51.619999,51.720001,140700,51.119672
2015-06-26,52.77,53.75,52.549999,53.200001,355100,52.582493
2015-06-25,53.07,53.07,52.150002,52.700001,99700,52.088297
2015-06-24,52.75,52.93,52.299999,52.59,121700,51.979573
2015-06-23,52.799999,53.029999,52.310001,52.900002,86600,52.285976
2015-06-22,52.639999,52.939999,52.25,52.73,100800,52.117947
2015-06-19,52.66,53.02,52.040001,52.349998,238100,51.742357
2015-06-18,51.470001,52.860001,51.360001,52.529999,129700,51.920268
2015-06-17,51.790001,51.82,51.200001,51.310001,68600,50.714431
2015-06-16,50.84,51.889999,50.580002,51.59,91300,50.99118
2015-06-15,51.02,51.02,49.900002,50.810001,116200,50.220235
2015-06-12,51.529999,51.84,51.139999,51.509998,98800,50.912107
2015-06-11,51.279999,51.799999,51.060001,51.75,166400,51.149323
2015-06-10,50.360001,51.740002,50.360001,51.119999,131000,50.526634
2015-06-09,49.68,50.27,49.080002,50.080002,102300,49.498709
2015-06-08,49.759998,50.00,49.41,49.68,94300,49.10335
2015-06-05,48.619999,49.91,48.25,49.84,131500,49.261493
2015-06-04,49.27,49.599998,48.57,48.73,75600,48.164376
2015-06-03,49.349998,49.91,48.869999,49.599998,195800,49.024277
2015-06-02,48.389999,49.759998,48.34,49.130001,79300,48.559735
2015-06-01,50.610001,50.610001,48.119999,48.77,108900,48.203913
2015-05-29,49.029999,49.490002,48.18,48.490002,124800,47.927164
2015-05-28,48.849998,49.540001,48.66,49.189999,84000,48.619036
2015-05-27,48.07,49.34,47.73,49.150002,167800,48.579503
2015-05-26,48.400002,48.400002,47.630001,47.93,225100,47.373663
2015-05-22,49.560001,50.150002,48.509998,48.549999,181600,47.986465
2015-05-21,49.630001,50.450001,49.310001,49.799999,151700,49.221956
2015-05-20,49.560001,49.959999,49.25,49.709999,99300,49.133001
2015-05-19,49.689999,50.150002,49.529999,49.540001,121600,48.964976
2015-05-18,49.07,49.919998,48.540001,49.639999,178300,49.063814
2015-05-15,50.169998,50.169998,48.950001,49.150002,134800,48.579503
2015-05-14,49.139999,50.110001,48.799999,50.099998,180700,49.518473
2015-05-13,49.080002,49.439999,48.07,48.810001,138300,48.24345
2015-05-12,49.349998,49.700001,48.400002,49.18,190600,48.347228
