Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,15.03,15.40,15.03,15.27,59100,14.771988
2015-10-08,14.74,15.08,14.74,15.08,105400,14.588184
2015-10-07,14.73,14.89,14.73,14.89,46600,14.404381
2015-10-06,14.74,14.79,14.65,14.79,39000,14.307642
2015-10-05,14.63,14.73,14.60,14.70,65000,14.220577
2015-10-02,14.48,14.69,14.48,14.69,37000,14.210903
2015-10-01,14.71,14.71,14.59,14.67,31200,14.191555
2015-09-30,14.59,14.77,14.46,14.77,73600,14.288294
2015-09-29,14.66,14.75,14.62,14.63,38300,14.15286
2015-09-28,14.83,14.85,14.73,14.74,38400,14.259272
2015-09-25,14.98,14.98,14.84,14.93,18000,14.443076
2015-09-24,14.86,14.97,14.86,14.95,21000,14.462423
2015-09-23,14.93,15.03,14.89,14.96,21200,14.472097
2015-09-22,14.92,14.99,14.90,14.99,42100,14.501119
2015-09-21,15.00,15.04,14.98,15.03,11000,14.539814
2015-09-18,14.95,15.00,14.90,15.00,11100,14.510793
2015-09-17,14.75,14.92,14.75,14.91,23800,14.423728
2015-09-16,14.73,14.83,14.73,14.79,45600,14.307642
2015-09-15,14.83,14.83,14.76,14.80,26000,14.317316
2015-09-14,15.04,15.07,14.89,14.92,16100,14.302805
2015-09-11,15.09,15.09,14.98,14.99,21700,14.369909
2015-09-10,15.02,15.11,14.96,15.07,26900,14.4466
2015-09-09,15.06,15.10,14.96,15.02,23900,14.398669
2015-09-08,15.05,15.11,15.01,15.08,25400,14.456187
2015-09-04,15.08,15.22,14.99,15.03,52000,14.408255
2015-09-03,15.01,15.08,15.00,15.08,19200,14.456187
2015-09-02,14.98,15.04,14.92,15.01,29200,14.389083
2015-09-01,15.03,15.11,14.81,14.93,77600,14.312392
2015-08-31,14.95,15.17,14.95,15.05,36400,14.427428
2015-08-28,15.07,15.18,15.04,15.11,17600,14.484945
2015-08-27,15.06,15.13,14.93,15.03,46800,14.408255
2015-08-26,14.95,14.98,14.83,14.94,24400,14.321978
2015-08-25,14.79,14.99,14.77,14.84,42400,14.226115
2015-08-24,14.88,14.88,14.65,14.65,64600,14.043974
2015-08-21,15.31,15.46,15.08,15.14,39100,14.513705
2015-08-20,15.41,15.44,15.20,15.27,26900,14.638327
2015-08-19,15.44,15.55,15.26,15.46,29900,14.820467
2015-08-18,15.50,15.50,15.34,15.48,22000,14.839639
2015-08-17,15.50,15.56,15.21,15.47,30400,14.830054
2015-08-14,15.57,15.57,15.44,15.48,18400,14.839639
2015-08-13,15.63,15.69,15.52,15.65,39700,14.873191
2015-08-12,15.58,15.67,15.50,15.67,33000,14.892199
2015-08-11,15.53,15.70,15.45,15.70,31000,14.92071
2015-08-10,15.56,15.68,15.27,15.68,36800,14.901703
2015-08-07,15.70,15.73,15.58,15.65,34900,14.873191
2015-08-06,15.84,15.84,15.69,15.77,34000,14.987236
2015-08-05,15.85,15.90,15.82,15.88,15800,15.091776
2015-08-04,15.85,15.90,15.78,15.86,30900,15.072768
2015-08-03,15.83,15.95,15.80,15.90,19700,15.110782
2015-07-31,15.92,15.94,15.83,15.91,29100,15.120286
2015-07-30,15.81,16.00,15.80,15.89,35500,15.101279
2015-07-29,15.78,15.90,15.78,15.89,24300,15.101279
2015-07-28,15.84,15.84,15.71,15.76,21300,14.977732
2015-07-27,15.85,15.88,15.65,15.74,45200,14.958724
2015-07-24,16.08,16.08,15.76,15.88,45500,15.091776
2015-07-23,16.120001,16.129999,16.049999,16.059999,6600,15.26284
2015-07-22,16.17,16.17,16.02,16.10,29200,15.300856
2015-07-21,16.15,16.15,16.09,16.129999,21600,15.329366
2015-07-20,16.299999,16.299999,16.139999,16.17,22100,15.367381
2015-07-17,16.309999,16.40,16.219999,16.26,27200,15.452914
2015-07-16,16.26,16.440001,16.209999,16.360001,39800,15.547951
2015-07-15,16.26,16.299999,16.219999,16.299999,29400,15.490928
2015-07-14,16.41,16.48,16.379999,16.41,22200,15.467169
2015-07-13,16.50,16.57,16.459999,16.459999,18900,15.514296
