Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,66.550003,68.019997,66.510002,66.589996,361300,66.505685
2015-10-08,65.629997,66.510002,65.519997,66.400002,366600,66.315931
2015-10-07,64.199997,66.309998,63.93,65.68,607100,65.596841
2015-10-06,63.25,64.050003,62.610001,63.50,491800,63.419601
2015-10-05,63.349998,65.550003,63.029999,64.68,453900,64.598108
2015-10-02,61.52,62.84,59.029999,62.830002,422800,62.750451
2015-10-01,62.470001,63.299999,61.310001,61.950001,253900,61.871565
2015-09-30,63.189999,63.759998,62.310001,63.009998,382300,62.93022
2015-09-29,62.040001,62.650002,61.349998,62.540001,270100,62.460818
2015-09-28,63.279999,63.75,62.040001,62.110001,332000,62.031362
2015-09-25,63.77,64.68,62.970001,63.709999,224100,63.629334
2015-09-24,62.869999,63.41,62.509998,63.279999,274200,63.199879
2015-09-23,62.549999,63.240002,62.25,63.139999,309500,63.060056
2015-09-22,61.790001,62.50,61.209999,62.400002,262600,62.320996
2015-09-21,61.82,63.27,61.779999,62.330002,187900,62.251084
2015-09-18,61.029999,62.150002,60.77,61.080002,240400,61.002667
2015-09-17,61.459999,62.509998,61.360001,61.720001,155100,61.641856
2015-09-16,61.720001,61.880001,60.950001,61.610001,153000,61.531995
2015-09-15,60.959999,62.200001,60.900002,61.799999,106100,61.721753
2015-09-14,61.150002,61.560001,60.73,60.900002,152800,60.822895
2015-09-11,60.060001,61.00,59.57,60.849998,108400,60.772955
2015-09-10,60.32,61.27,60.209999,60.43,114300,60.353489
2015-09-09,61.580002,61.91,60.32,60.439999,223600,60.363474
2015-09-08,60.099998,61.560001,59.779999,61.169998,194200,61.092549
2015-09-04,59.16,59.860001,58.919998,59.029999,105900,58.95526
2015-09-03,59.610001,60.23,59.34,60.049999,174400,59.973969
2015-09-02,58.650002,59.57,57.799999,59.52,228900,59.444641
2015-09-01,58.790001,59.220001,57.450001,57.970001,167600,57.896604
2015-08-31,59.939999,60.59,59.330002,59.580002,168800,59.504566
2015-08-28,59.509998,60.59,59.50,60.310001,207700,60.233642
2015-08-27,59.25,60.32,58.240002,59.689999,335800,59.614424
2015-08-26,58.060001,59.029999,56.630001,58.68,333800,58.605704
2015-08-25,58.759998,58.860001,56.77,57.009998,337500,56.937817
2015-08-24,56.00,59.169998,55.889999,57.060001,375700,56.987756
2015-08-21,62.310001,62.310001,59.279999,59.610001,490900,59.534527
2015-08-20,62.700001,63.27,62.09,62.41,265500,62.231105
2015-08-19,63.310001,63.799999,62.869999,63.400002,276500,63.218269
2015-08-18,63.23,63.759998,62.630001,63.580002,210100,63.397753
2015-08-17,62.59,63.23,61.82,63.169998,253200,62.988925
2015-08-14,62.740002,63.119999,61.860001,62.75,212000,62.57013
2015-08-13,62.34,63.259998,61.880001,62.549999,150000,62.370703
2015-08-12,61.75,62.549999,61.099998,62.259998,211400,62.081533
2015-08-11,62.91,63.50,62.299999,62.48,211900,62.300904
2015-08-10,63.950001,64.449997,62.50,63.389999,327100,63.208295
2015-08-07,62.099998,63.759998,62.07,63.389999,322000,63.208295
