Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.24,10.34,10.24,10.27,701900,9.83699
2015-10-08,10.16,10.34,10.12,10.23,705300,9.798676
2015-10-07,10.07,10.21,10.06,10.21,312000,9.779519
2015-10-06,9.98,10.06,9.98,10.05,476200,9.626265
2015-10-05,9.87,10.01,9.87,10.00,839900,9.578373
2015-10-02,9.67,9.79,9.61,9.78,771900,9.367649
2015-10-01,9.82,9.88,9.75,9.76,791800,9.348493
2015-09-30,9.82,9.89,9.72,9.87,1053900,9.453854
2015-09-29,9.97,10.04,9.80,9.80,842500,9.386806
2015-09-28,10.13,10.13,9.91,9.95,406200,9.530481
2015-09-25,10.13,10.18,10.09,10.13,262600,9.702892
2015-09-24,10.10,10.16,10.06,10.14,359000,9.712471
2015-09-23,10.24,10.24,10.11,10.12,312200,9.693314
2015-09-22,10.16,10.26,10.15,10.24,526500,9.808254
2015-09-21,10.24,10.30,10.19,10.25,222600,9.817833
2015-09-18,10.14,10.29,10.14,10.26,387900,9.827411
2015-09-17,10.10,10.28,10.09,10.22,424600,9.789098
2015-09-16,10.14,10.19,10.11,10.14,286100,9.712471
2015-09-15,10.12,10.17,10.12,10.16,242300,9.731627
2015-09-14,10.15,10.16,10.10,10.10,221800,9.674158
2015-09-11,10.11,10.17,10.09,10.15,216400,9.722049
2015-09-10,10.09,10.21,10.09,10.18,193700,9.683736
2015-09-09,10.18,10.19,10.10,10.11,194200,9.617148
2015-09-08,10.08,10.20,10.08,10.19,286700,9.693248
2015-09-04,10.04,10.10,10.03,10.05,201800,9.560073
2015-09-03,10.02,10.14,10.01,10.08,467500,9.58861
2015-09-02,10.03,10.06,9.99,10.01,311600,9.522023
2015-09-01,9.89,10.01,9.89,10.00,352400,9.51251
2015-08-31,10.07,10.09,9.96,9.97,593400,9.483973
2015-08-28,10.01,10.13,9.99,10.08,630800,9.58861
2015-08-27,10.04,10.11,9.98,10.00,448700,9.51251
2015-08-26,9.87,10.00,9.87,9.99,829700,9.502998
2015-08-25,9.75,9.84,9.75,9.81,915700,9.331773
2015-08-24,9.66,9.67,9.16,9.67,978100,9.198598
2015-08-21,10.01,10.05,9.96,10.00,406100,9.51251
2015-08-20,10.05,10.07,10.01,10.03,287500,9.541048
2015-08-19,10.08,10.12,10.05,10.11,302700,9.617148
2015-08-18,10.09,10.14,10.07,10.12,352700,9.62666
2015-08-17,10.18,10.19,10.07,10.15,542100,9.655198
