Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,7.41,7.45,7.39,7.41,300800,7.181654
2015-10-08,7.31,7.42,7.30,7.42,170500,7.191347
2015-10-07,7.28,7.34,7.27,7.33,213700,7.10412
2015-10-06,7.11,7.25,7.11,7.25,277600,7.026585
2015-10-05,6.98,7.13,6.97,7.13,235600,6.910283
2015-10-02,6.80,6.96,6.80,6.96,204100,6.745522
2015-10-01,6.86,6.92,6.84,6.88,280600,6.667987
2015-09-30,6.92,6.98,6.91,6.95,335300,6.662172
2015-09-29,6.96,7.02,6.84,6.87,388800,6.585485
2015-09-28,7.06,7.07,6.94,6.98,288300,6.69093
2015-09-25,7.15,7.18,7.08,7.09,151700,6.796374
2015-09-24,7.10,7.13,7.04,7.13,557900,6.834718
2015-09-23,7.15,7.19,7.10,7.10,208700,6.80596
2015-09-22,7.12,7.19,7.09,7.15,248900,6.853889
2015-09-21,7.27,7.29,7.22,7.22,212500,6.92099
2015-09-18,7.22,7.28,7.22,7.27,231600,6.96892
2015-09-17,7.30,7.39,7.30,7.33,229700,7.026435
2015-09-16,7.23,7.32,7.21,7.32,560600,7.016849
2015-09-15,7.19,7.20,7.15,7.20,390500,6.901818
2015-09-14,7.17,7.18,7.14,7.16,235000,6.863475
2015-09-11,7.15,7.18,7.13,7.17,140800,6.873061
2015-09-10,7.18,7.23,7.16,7.19,321000,6.892233
2015-09-09,7.26,7.28,7.16,7.18,302700,6.882647
2015-09-08,7.18,7.21,7.13,7.19,302900,6.892233
2015-09-04,7.07,7.11,7.05,7.08,208100,6.786788
2015-09-03,7.17,7.23,7.13,7.16,193900,6.863475
2015-09-02,7.11,7.17,7.10,7.14,355200,6.844303
2015-09-01,6.99,7.13,6.99,7.08,461800,6.786788
2015-08-31,7.24,7.25,7.17,7.17,394300,6.800209
2015-08-28,7.25,7.31,7.23,7.27,427700,6.895051
2015-08-27,7.24,7.38,7.23,7.33,298900,6.951956
2015-08-26,7.13,7.22,7.09,7.20,381500,6.828661
2015-08-25,7.15,7.23,7.07,7.07,508000,6.705366
2015-08-24,7.06,7.19,5.54,7.03,1076600,6.667429
2015-08-21,7.59,7.60,7.38,7.43,704600,7.046799
2015-08-20,7.73,7.73,7.61,7.62,368200,7.227
2015-08-19,7.80,7.81,7.73,7.76,288800,7.35978
2015-08-18,7.83,7.86,7.82,7.83,231800,7.426169
2015-08-17,7.89,7.89,7.84,7.86,350700,7.454622
2015-08-14,7.84,7.89,7.81,7.89,276400,7.483074
2015-08-13,7.88,7.89,7.84,7.84,205200,7.435654
2015-08-12,7.87,7.90,7.81,7.89,302000,7.483074
2015-08-11,7.88,7.90,7.85,7.88,195100,7.47359
2015-08-10,7.87,7.95,7.87,7.92,353700,7.511527
2015-08-07,7.90,7.93,7.85,7.85,372800,7.445138
2015-08-06,7.97,7.98,7.90,7.91,565600,7.502043
2015-08-05,7.97,8.01,7.94,7.97,228600,7.558948
2015-08-04,7.96,7.98,7.90,7.92,237100,7.511527
2015-08-03,8.00,8.03,7.94,7.95,206700,7.53998
2015-07-31,8.08,8.11,8.06,8.08,237200,7.591195
2015-07-30,8.02,8.07,8.01,8.05,262500,7.56301
2015-07-29,7.95,8.05,7.95,8.05,280600,7.56301
2015-07-28,7.90,7.97,7.89,7.95,192400,7.469059
2015-07-27,7.90,7.92,7.87,7.89,286500,7.412689
2015-07-24,8.04,8.05,7.92,7.93,238000,7.450269
2015-07-23,8.08,8.09,8.01,8.04,347800,7.553615
2015-07-22,8.08,8.10,8.03,8.04,243400,7.553615
2015-07-21,8.12,8.12,8.09,8.10,188200,7.609985
2015-07-20,8.15,8.16,8.11,8.12,180000,7.628775
2015-07-17,8.15,8.18,8.12,8.15,210200,7.65696
2015-07-16,8.14,8.18,8.14,8.15,291600,7.65696
2015-07-15,8.15,8.19,8.12,8.12,369000,7.628775
2015-07-14,8.09,8.15,8.09,8.13,200200,7.63817
2015-07-13,8.05,8.11,8.05,8.09,365000,7.60059
2015-07-10,8.03,8.05,7.99,8.03,350800,7.544219
2015-07-09,7.99,8.00,7.91,7.93,277800,7.450269
2015-07-08,7.93,7.96,7.88,7.91,375400,7.431479
2015-07-07,8.01,8.04,7.94,8.04,398300,7.553615
2015-07-06,8.01,8.06,7.99,8.05,280700,7.56301
2015-07-02,8.14,8.15,8.04,8.10,430500,7.609985
2015-07-01,8.17,8.19,8.13,8.14,219500,7.647566
2015-06-30,8.24,8.24,8.17,8.17,456600,7.604348
2015-06-29,8.30,8.30,8.19,8.19,376300,7.622963
