Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,2.56,2.56,2.56,2.56,000,2.56
2015-10-08,2.56,2.56,2.56,2.56,200,2.56
2015-10-07,2.53,2.55,2.50,2.50,1600,2.50
2015-10-06,2.64,2.64,2.64,2.64,000,2.64
2015-10-05,2.64,2.64,2.64,2.64,200,2.64
2015-10-02,2.40,2.64,2.40,2.64,4200,2.64
2015-10-01,2.40,2.40,2.40,2.40,1500,2.40
2015-09-30,2.47,2.47,2.47,2.47,200,2.47
2015-09-29,2.40,2.40,2.40,2.40,000,2.40
2015-09-28,2.40,2.40,2.40,2.40,1100,2.40
2015-09-25,2.57,2.57,2.57,2.57,000,2.57
2015-09-24,2.57,2.57,2.57,2.57,000,2.57
2015-09-23,2.57,2.57,2.57,2.57,000,2.57
2015-09-22,2.49,2.57,2.49,2.57,700,2.57
2015-09-21,2.41,2.52,2.41,2.46,700,2.46
2015-09-18,2.63,2.64,2.40,2.40,5200,2.40
2015-09-17,2.63,2.63,2.63,2.63,1600,2.63
2015-09-16,2.50,2.62,2.50,2.62,1900,2.62
2015-09-15,2.50,2.61,2.50,2.60,2300,2.60
2015-09-14,2.60,2.60,2.53,2.60,1800,2.60
2015-09-11,2.60,2.60,2.60,2.60,2800,2.60
2015-09-10,2.58,2.60,2.58,2.60,2100,2.60
2015-09-09,2.55,2.60,2.50,2.50,1700,2.50
2015-09-08,2.55,2.55,2.47,2.47,400,2.47
2015-09-04,2.59,2.60,2.51,2.60,6700,2.60
2015-09-03,2.60,2.60,2.60,2.60,300,2.60
2015-09-02,2.49,2.60,2.43,2.51,2300,2.51
2015-09-01,2.39,2.39,2.39,2.39,000,2.39
2015-08-31,2.38,2.40,2.32,2.39,2000,2.39
2015-08-28,2.48,2.48,2.48,2.48,200,2.48
2015-08-27,2.52,2.52,2.52,2.52,000,2.52
2015-08-26,2.51,2.60,2.40,2.52,1800,2.52
2015-08-25,2.60,2.60,2.60,2.60,000,2.60
2015-08-24,2.58,2.66,2.57,2.60,900,2.60
2015-08-21,2.58,2.58,2.58,2.58,000,2.58
2015-08-20,2.58,2.66,2.57,2.58,900,2.58
2015-08-19,2.50,2.50,2.50,2.50,000,2.50
2015-08-18,2.50,2.50,2.50,2.50,000,2.50
2015-08-17,2.50,2.50,2.50,2.50,000,2.50
2015-08-14,2.50,2.50,2.50,2.50,000,2.50
2015-08-13,2.50,2.50,2.50,2.50,000,2.50
2015-08-12,2.40,2.55,2.40,2.50,2800,2.50
2015-08-11,2.36,2.36,2.36,2.36,000,2.36
2015-08-10,2.44,2.44,2.36,2.36,600,2.36
2015-08-07,2.48,2.48,2.48,2.48,000,2.48
2015-08-06,2.45,2.50,2.45,2.48,6000,2.48
2015-08-05,2.85,2.85,2.85,2.85,000,2.85
2015-08-04,2.78,2.85,2.76,2.85,3500,2.85
2015-08-03,3.10,3.10,2.60,2.80,16200,2.80
2015-07-31,2.31,2.31,2.31,2.31,000,2.31
2015-07-30,2.31,2.31,2.31,2.31,000,2.31
2015-07-29,2.31,2.31,2.31,2.31,000,2.31
2015-07-28,2.28,2.31,2.28,2.31,600,2.31
2015-07-27,2.36,2.36,2.36,2.36,000,2.36
2015-07-24,2.36,2.36,2.36,2.36,400,2.36
2015-07-23,2.45,2.45,2.45,2.45,000,2.45
2015-07-22,2.45,2.45,2.45,2.45,000,2.45
2015-07-21,2.45,2.45,2.45,2.45,000,2.45
2015-07-20,2.45,2.45,2.45,2.45,000,2.45
2015-07-17,2.45,2.45,2.45,2.45,000,2.45
2015-07-16,2.50,2.50,2.45,2.45,900,2.45
2015-07-15,2.69,2.69,2.49,2.51,1900,2.51
2015-07-14,2.79,2.79,2.79,2.79,000,2.79
2015-07-13,2.79,2.79,2.79,2.79,200,2.79
2015-07-10,2.79,2.79,2.79,2.79,000,2.79
2015-07-09,2.79,2.79,2.79,2.79,000,2.79
2015-07-08,2.80,2.80,2.70,2.79,500,2.79
2015-07-07,2.57,2.57,2.57,2.57,000,2.57
2015-07-06,2.57,2.57,2.57,2.57,000,2.57
2015-07-02,2.65,2.65,2.65,2.65,000,2.65
2015-07-01,2.78,2.78,2.65,2.65,2300,2.65
2015-06-30,2.75,2.79,2.75,2.79,500,2.79
2015-06-29,2.71,2.71,2.71,2.71,000,2.71
2015-06-26,2.71,2.71,2.71,2.71,000,2.71
2015-06-25,2.71,2.71,2.71,2.71,000,2.71
2015-06-24,2.71,2.71,2.71,2.71,000,2.71
2015-06-23,2.71,2.71,2.71,2.71,000,2.71
2015-06-22,2.71,2.71,2.71,2.71,000,2.71
2015-06-19,2.71,2.71,2.71,2.71,000,2.71
2015-06-18,2.75,2.75,2.71,2.71,200,2.71
2015-06-17,2.75,2.75,2.75,2.75,000,2.75
2015-06-16,2.75,2.75,2.75,2.75,000,2.75
2015-06-15,2.78,2.78,2.75,2.75,1100,2.75
2015-06-12,2.90,2.90,2.90,2.90,000,2.90
2015-06-11,2.90,2.90,2.90,2.90,000,2.90
2015-06-10,2.90,2.90,2.90,2.90,000,2.90
2015-06-09,2.90,2.90,2.90,2.90,400,2.90
2015-06-08,2.95,2.95,2.95,2.95,000,2.95
2015-06-05,2.95,2.95,2.95,2.95,000,2.95
2015-06-04,2.95,2.95,2.95,2.95,000,2.95
