Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,8.00,8.00,8.00,8.00,200,7.969697
2015-10-08,8.02,8.02,7.99,8.00,2900,7.969697
2015-10-07,7.79,8.00,7.79,8.00,1600,7.969697
2015-10-06,7.76,7.76,7.76,7.76,600,7.730606
2015-10-05,7.65,7.84,7.65,7.84,1100,7.810303
2015-10-02,7.83,7.85,7.83,7.85,1700,7.820265
2015-10-01,7.97,7.97,7.64,7.64,3900,7.611061
2015-09-30,7.87,8.50,7.71,8.12,9900,8.089242
2015-09-29,7.77,7.77,7.50,7.60,10700,7.571212
2015-09-28,7.85,7.98,7.85,7.86,2700,7.830227
2015-09-25,8.00,8.00,8.00,8.00,4700,7.969697
2015-09-24,7.75,8.00,7.67,7.99,2600,7.959735
2015-09-23,7.81,7.92,7.81,7.92,700,7.89
2015-09-22,8.03,8.03,8.00,8.00,1600,7.969697
2015-09-21,9.05,9.05,7.81,7.87,23600,7.840189
2015-09-18,7.29,10.50,7.26,10.50,53300,10.460227
2015-09-17,7.00,7.42,7.00,7.40,5900,7.37197
2015-09-16,7.65,7.65,7.40,7.60,4400,7.571212
2015-09-15,7.60,7.76,7.57,7.71,1800,7.680796
2015-09-14,7.50,7.60,7.49,7.59,2900,7.56125
2015-09-11,7.50,7.70,7.24,7.41,10100,7.381932
2015-09-10,6.99,7.50,6.99,7.50,1800,7.471591
2015-09-09,7.22,7.26,7.15,7.15,9500,7.122917
2015-09-08,6.63,7.10,6.63,7.10,2900,7.073106
2015-09-04,6.50,6.51,6.48,6.50,1700,6.475379
2015-09-03,5.99,6.50,5.99,6.43,25000,6.405644
2015-09-02,5.86,6.05,5.84,5.87,10900,5.847765
2015-09-01,5.83,6.05,5.83,6.00,6900,5.977273
2015-08-31,6.10,6.10,5.82,5.98,5400,5.957349
2015-08-28,5.65,6.10,5.65,6.10,2900,6.076894
2015-08-27,5.49,5.49,5.49,5.49,000,5.469204
2015-08-26,5.49,5.49,5.49,5.49,200,5.469204
2015-08-25,5.50,5.50,5.50,5.50,000,5.479167
2015-08-24,5.67,5.67,5.50,5.50,1200,5.479167
2015-08-21,5.67,5.67,5.67,5.67,600,5.648523
2015-08-20,5.81,5.81,5.81,5.81,100,5.787992
2015-08-19,5.65,5.65,5.65,5.65,200,5.628599
2015-08-18,5.80,5.80,5.51,5.75,2600,5.72822
2015-08-17,5.97,5.99,5.75,5.75,2000,5.72822
2015-08-14,6.15,6.15,6.15,6.15,000,6.126705
2015-08-13,6.15,6.15,6.15,6.15,000,6.126705
2015-08-12,6.15,6.15,6.15,6.15,000,6.126705
2015-08-11,6.29,6.29,6.15,6.15,400,6.126705
2015-08-10,6.38,6.39,6.25,6.25,6500,6.226326
2015-08-07,6.50,6.50,6.25,6.25,5400,6.226326
2015-08-06,7.00,7.00,7.00,7.00,000,6.973485
2015-08-05,7.00,7.00,7.00,7.00,000,6.973485
2015-08-04,7.00,7.00,7.00,7.00,300,6.973485
2015-08-03,7.15,7.15,7.10,7.10,600,7.073106
2015-07-31,7.10,7.10,7.10,7.10,500,7.073106
2015-07-30,7.13,7.13,7.13,7.13,200,7.102993
2015-07-29,7.27,7.27,7.24,7.27,400,7.242462
2015-07-28,7.40,7.40,7.40,7.40,1200,7.37197
2015-07-27,7.36,7.36,7.36,7.36,000,7.332121
2015-07-24,7.35,7.36,7.35,7.36,400,7.332121
2015-07-23,7.25,7.25,7.25,7.25,000,7.222538
2015-07-22,7.42,7.42,7.25,7.25,1400,7.222538
2015-07-21,7.50,7.60,7.42,7.42,4500,7.391894
2015-07-20,7.52,7.52,7.52,7.52,000,7.491515
2015-07-17,7.52,7.52,7.52,7.52,000,7.491515
2015-07-16,7.52,7.52,7.52,7.52,1000,7.491515
2015-07-15,7.77,7.77,7.57,7.57,200,7.541326
2015-07-14,7.89,7.90,7.76,7.76,4200,7.730606
2015-07-13,7.90,7.90,7.70,7.70,4400,7.670833
2015-07-10,7.91,7.91,7.91,7.91,000,7.880038
2015-07-09,7.91,7.91,7.91,7.91,000,7.880038
2015-07-08,7.91,7.91,7.91,7.91,000,7.880038
2015-07-07,7.91,7.91,7.91,7.91,000,7.880038
2015-07-06,7.95,7.95,7.90,7.91,1400,7.880038
2015-07-02,7.90,7.95,7.90,7.95,700,7.919886
2015-07-01,8.00,8.00,8.00,8.00,000,7.969697
2015-06-30,8.00,8.00,8.00,8.00,000,7.969697
2015-06-29,8.00,8.00,8.00,8.00,000,7.969697
2015-06-26,8.00,8.00,8.00,8.00,000,7.969697
2015-06-25,8.00,8.00,8.00,8.00,000,7.969697
