Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,3.61,3.66,3.55,3.55,41800,3.55
2015-10-08,3.66,3.74,3.58,3.58,34600,3.58
2015-10-07,3.81,3.92,3.68,3.72,38000,3.72
2015-10-06,3.92,3.99,3.72,3.76,13600,3.76
2015-10-05,3.69,3.99,3.65,3.84,29400,3.84
2015-10-02,3.81,3.81,3.58,3.69,29600,3.69
2015-10-01,3.85,3.91,3.75,3.75,12100,3.75
2015-09-30,4.00,4.00,3.81,3.83,23000,3.83
2015-09-29,4.01,4.01,3.85,3.95,9400,3.95
2015-09-28,4.20,4.30,3.96,4.06,30100,4.06
2015-09-25,4.44,4.44,4.19,4.24,22300,4.24
2015-09-24,4.48,4.48,4.30,4.33,19700,4.33
2015-09-23,4.51,4.54,4.40,4.40,11100,4.40
2015-09-22,4.56,4.56,4.44,4.51,20600,4.51
2015-09-21,4.46,4.64,4.46,4.62,5100,4.62
2015-09-18,4.83,4.83,4.27,4.65,38300,4.65
2015-09-17,4.87,4.90,4.76,4.85,3300,4.85
2015-09-16,4.64,4.90,4.64,4.80,19200,4.80
2015-09-15,4.40,4.70,4.40,4.55,14600,4.55
2015-09-14,4.81,4.81,4.20,4.43,35300,4.43
2015-09-11,4.90,4.96,4.85,4.88,15700,4.88
2015-09-10,5.00,5.12,4.88,4.90,16400,4.90
2015-09-09,5.10,5.27,4.95,4.95,13400,4.95
2015-09-08,4.95,5.18,4.95,5.13,19800,5.13
2015-09-04,5.07,5.09,4.86,4.95,19800,4.95
2015-09-03,5.36,5.36,5.04,5.06,23700,5.06
2015-09-02,5.80,5.80,5.15,5.26,27200,5.26
2015-09-01,5.95,5.95,5.75,5.76,15900,5.76
2015-08-31,5.82,6.16,5.63,6.04,31900,6.04
2015-08-28,5.25,5.94,5.25,5.89,18800,5.89
2015-08-27,5.07,5.90,4.93,5.20,146600,5.20
2015-08-26,4.88,5.08,4.81,5.06,64900,5.06
2015-08-25,5.10,5.13,4.82,4.82,19600,4.82
2015-08-24,5.26,5.34,5.01,5.01,23300,5.01
2015-08-21,5.14,5.40,5.06,5.31,17200,5.31
2015-08-20,5.52,5.56,5.25,5.25,22900,5.25
2015-08-19,5.46,5.80,5.46,5.67,22600,5.67
2015-08-18,5.12,5.51,5.06,5.46,39300,5.46
2015-08-17,5.71,5.71,5.13,5.17,34500,5.17
2015-08-14,5.45,5.80,5.23,5.75,220400,5.75
2015-08-13,5.50,5.53,5.32,5.47,17800,5.47
2015-08-12,5.36,5.50,5.19,5.45,62400,5.45
2015-08-11,5.42,5.50,5.25,5.45,12600,5.40
2015-08-10,5.76,5.79,5.50,5.53,22000,5.479266
2015-08-07,6.03,6.03,5.66,5.77,26300,5.717064
2015-08-06,5.14,6.13,5.06,6.09,50200,6.034129
2015-08-05,4.95,5.10,4.81,5.05,50000,5.00367
2015-08-04,4.94,4.95,4.80,4.81,42000,4.765872
2015-08-03,5.00,5.13,4.67,4.97,138900,4.924404
2015-07-31,5.06,5.17,5.01,5.01,46300,4.964037
2015-07-30,5.38,5.43,5.05,5.05,80400,5.00367
2015-07-29,5.62,5.72,5.38,5.50,19800,5.449541
2015-07-28,5.10,5.56,5.01,5.52,35900,5.469358
2015-07-27,5.30,5.38,5.10,5.12,42800,5.073028
2015-07-24,5.44,5.46,5.20,5.35,51600,5.300917
2015-07-23,5.80,5.80,5.33,5.44,44900,5.390092
2015-07-22,5.99,5.99,5.62,5.62,41200,5.56844
2015-07-21,6.14,6.25,5.93,5.93,72100,5.875596
2015-07-20,6.21,6.26,6.12,6.14,53500,6.08367
2015-07-17,6.04,6.22,6.01,6.12,22300,6.063853
2015-07-16,6.14,6.39,6.01,6.09,25500,6.034129
2015-07-15,6.29,6.29,6.05,6.16,18700,6.103486
2015-07-14,6.59,6.61,6.37,6.37,35300,6.31156
2015-07-13,6.35,6.67,6.24,6.67,29300,6.608808
2015-07-10,6.16,6.34,5.95,6.32,25800,6.262019
2015-07-09,6.11,6.18,5.91,6.05,26100,5.994496
2015-07-08,6.03,6.19,5.95,6.03,64700,5.974679
2015-07-07,5.97,6.22,5.97,6.08,63400,6.02422
2015-07-06,7.17,7.25,5.91,6.00,210700,5.944954
2015-07-02,6.39,7.62,6.36,7.29,196500,7.223119
2015-07-01,6.31,6.55,6.31,6.46,55400,6.400734
2015-06-30,6.54,6.55,6.34,6.38,44900,6.321468
2015-06-29,6.65,6.68,6.42,6.46,45800,6.400734
2015-06-26,6.57,6.87,6.57,6.70,416200,6.638532
2015-06-25,6.45,6.61,6.27,6.56,43700,6.499817
2015-06-24,6.77,6.78,6.41,6.48,89200,6.420551
2015-06-23,6.51,6.85,6.51,6.78,59900,6.717799
2015-06-22,6.55,6.75,6.52,6.60,42000,6.53945
2015-06-19,6.60,6.80,6.55,6.58,66600,6.519633
2015-06-18,6.57,6.80,6.53,6.62,80000,6.559266
2015-06-17,6.00,6.68,5.97,6.57,169200,6.509725
2015-06-16,6.27,6.28,5.62,6.01,278100,5.954863
2015-06-15,6.49,6.54,6.41,6.42,39300,6.361101
2015-06-12,6.67,6.72,6.45,6.50,51300,6.440367
2015-06-11,6.71,6.82,6.68,6.69,41100,6.628624
2015-06-10,6.83,6.95,6.70,6.71,50500,6.648441
2015-06-09,6.71,6.97,6.69,6.74,46200,6.678165
2015-06-08,6.85,6.99,6.70,6.73,47500,6.668257
2015-06-05,6.86,7.00,6.85,6.87,57000,6.806973
2015-06-04,6.90,6.99,6.83,6.89,34100,6.826789
2015-06-03,7.45,7.45,6.93,7.00,124200,6.93578
2015-06-02,7.71,7.77,7.35,7.39,85300,7.322202
2015-06-01,8.00,8.14,7.78,7.79,67800,7.718532
2015-05-29,8.50,8.50,7.94,8.01,81000,7.936514
2015-05-28,8.60,8.60,8.38,8.54,40200,8.461652
2015-05-27,8.75,8.81,8.64,8.65,48800,8.570642
2015-05-26,8.70,8.86,8.50,8.76,34400,8.679633
2015-05-22,8.88,8.96,8.77,8.79,36700,8.709358
2015-05-21,8.87,9.03,8.81,8.98,24400,8.897614
2015-05-20,9.04,9.04,8.80,8.91,32300,8.828257
2015-05-19,9.10,9.10,8.89,9.04,52000,8.957064
2015-05-18,9.11,9.20,8.99,9.11,54500,9.026422
2015-05-15,9.00,9.36,8.95,9.11,155600,9.026422
2015-05-14,9.14,9.14,8.96,9.00,26200,8.917431
2015-05-13,9.02,9.25,9.01,9.08,37900,8.996697
2015-05-12,9.66,9.74,8.80,9.02,514200,8.887707
2015-05-11,9.93,9.93,9.64,9.65,20000,9.508466
2015-05-08,9.84,10.08,9.76,9.93,25400,9.78436
2015-05-07,9.74,10.76,9.68,9.72,139800,9.57744
2015-05-06,9.91,10.15,9.76,9.77,28600,9.626707
2015-05-05,9.96,10.05,9.93,9.96,31500,9.81392
2015-05-04,10.55,10.92,9.95,10.01,59100,9.863187
2015-05-01,10.94,11.00,10.60,10.61,28700,10.454386
2015-04-30,11.56,11.75,10.90,10.98,70100,10.818959
2015-04-29,11.89,11.93,11.78,11.86,16000,11.686053
2015-04-28,11.70,11.95,11.65,11.90,22800,11.725466
2015-04-27,11.88,11.88,11.70,11.75,23100,11.577667
2015-04-24,11.95,11.95,11.75,11.77,14400,11.597374
2015-04-23,11.75,11.95,11.73,11.92,15900,11.745173
2015-04-22,11.80,11.82,11.70,11.75,15100,11.577667
2015-04-21,11.89,12.02,11.85,11.86,26200,11.686053
2015-04-20,11.81,12.03,11.76,11.92,17800,11.745173
2015-04-17,11.92,11.93,11.80,11.82,17100,11.64664
2015-04-16,11.87,12.10,11.77,11.99,21300,11.814146
2015-04-15,11.79,12.14,11.71,12.08,24700,11.902826
2015-04-14,11.72,11.83,11.70,11.71,24100,11.538253
2015-04-13,11.90,11.93,11.70,11.70,31900,11.5284
2015-04-10,12.11,12.22,11.76,11.84,28200,11.666347
2015-04-09,12.58,12.65,12.01,12.11,22500,11.932386
2015-04-08,12.95,12.95,12.38,12.50,15200,12.316667
2015-04-07,13.03,13.03,12.74,12.87,10800,12.68124
2015-04-06,12.70,13.02,12.70,12.94,13400,12.750213
2015-04-02,12.23,12.82,12.13,12.77,18300,12.582707
2015-04-01,11.97,12.29,11.93,12.26,11500,12.080187
2015-03-31,12.00,12.19,12.00,12.11,7500,11.932386
2015-03-30,12.15,12.28,12.00,12.09,27200,11.91268
2015-03-27,12.74,12.74,12.11,12.14,20800,11.961947
2015-03-26,12.96,12.96,12.55,12.70,22500,12.513733
2015-03-25,12.65,12.93,12.58,12.70,14500,12.513733
2015-03-24,12.58,12.74,12.55,12.70,13900,12.513733
2015-03-23,12.61,12.91,12.51,12.58,24200,12.395493
2015-03-20,13.46,13.72,12.64,12.65,62600,12.464466
2015-03-19,13.74,13.87,13.18,13.41,25000,13.21332
2015-03-18,13.04,13.99,12.74,13.87,16200,13.666573
2015-03-17,12.74,13.13,12.70,13.10,12200,12.907867
2015-03-16,12.75,13.00,12.75,12.86,19400,12.671386
2015-03-13,13.49,13.49,12.45,12.72,22500,12.53344
2015-03-12,12.81,13.52,12.50,13.49,18800,13.292146
2015-03-11,12.30,12.88,12.26,12.61,32700,12.425053
2015-03-10,11.75,12.40,11.51,12.24,42400,12.06048
2015-03-09,13.54,13.54,11.62,11.72,55700,11.548107
2015-03-06,13.47,13.64,13.30,13.39,23100,13.193614
2015-03-05,14.27,14.36,13.47,13.67,55600,13.469507
2015-03-04,14.14,14.54,14.00,14.36,21900,14.149386
2015-03-03,14.03,14.08,13.90,14.06,13900,13.853787
2015-03-02,14.00,14.17,14.00,14.01,15500,13.80452
2015-02-27,14.02,14.22,14.00,14.00,19600,13.794667
2015-02-26,14.29,14.34,14.02,14.03,14700,13.824226
2015-02-25,14.26,14.35,14.19,14.23,13200,14.021293
2015-02-24,14.52,14.60,14.26,14.26,11800,14.050853
2015-02-23,14.96,14.96,14.55,14.55,24800,14.3366
2015-02-20,15.64,15.65,15.01,15.14,45200,14.917947
2015-02-19,15.70,15.84,15.65,15.66,7500,15.43032
2015-02-18,16.51,16.629999,15.60,15.84,17900,15.60768
2015-02-17,16.530001,16.969999,16.530001,16.799999,29300,16.307265
2015-02-13,15.81,16.91,15.81,16.799999,32400,16.307265
2015-02-12,16.00,16.18,15.81,15.94,23700,15.472489
2015-02-11,16.200001,16.200001,15.82,16.030001,21900,15.55985
2015-02-10,16.76,16.780001,16.60,16.639999,9700,16.151958
2015-02-09,17.02,17.17,16.700001,16.719999,14700,16.229611
2015-02-06,17.16,17.24,17.00,17.059999,16800,16.55964
2015-02-05,16.74,17.17,16.309999,17.15,14700,16.647
2015-02-04,16.98,17.219999,16.85,16.879999,10600,16.384919
2015-02-03,16.58,17.309999,16.58,17.200001,15300,16.695535
2015-02-02,16.74,16.940001,16.35,16.68,16100,16.190786
2015-01-30,16.77,17.00,16.66,16.76,21800,16.268439
2015-01-29,17.049999,17.049999,16.26,16.75,17600,16.258732
2015-01-28,17.299999,17.299999,16.559999,16.780001,18800,16.287853
2015-01-27,17.17,17.440001,17.00,17.41,20500,16.899375
2015-01-26,15.90,17.290001,15.76,17.27,30400,16.763481
2015-01-23,15.26,16.610001,15.02,16.01,36600,15.540436
2015-01-22,14.50,15.33,14.44,15.26,12900,14.812433
2015-01-21,14.30,14.74,14.30,14.43,10800,14.006777
2015-01-20,14.38,14.50,14.30,14.30,10100,13.880589
2015-01-16,14.37,14.59,14.33,14.41,18000,13.987363
2015-01-15,14.95,14.95,14.37,14.38,14700,13.958243
2015-01-14,15.19,15.19,14.56,14.82,15200,14.385338
2015-01-13,15.29,15.75,15.12,15.22,25100,14.773606
2015-01-12,15.04,15.26,14.85,15.18,24000,14.73478
2015-01-09,14.87,15.29,14.79,15.10,51600,14.657126
2015-01-08,14.58,15.02,14.50,14.95,26500,14.511525
2015-01-07,14.90,14.90,14.46,14.51,13600,14.08443
2015-01-06,14.84,15.00,14.65,14.69,21100,14.25915
2015-01-05,14.80,14.83,14.65,14.77,17900,14.336805
2015-01-02,14.87,15.06,14.66,14.83,10500,14.395045
2014-12-31,14.69,15.09,14.58,14.90,31200,14.462991
2014-12-30,15.00,15.15,14.71,14.76,21100,14.327098
