Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,7.92,7.94,7.65,7.77,28171900,7.701491
2015-10-08,7.56,7.83,7.54,7.75,24291600,7.681668
2015-10-07,7.68,7.94,7.41,7.62,27102900,7.552814
2015-10-06,7.31,7.51,7.30,7.47,24005700,7.404136
2015-10-05,7.17,7.36,7.17,7.30,21029500,7.235636
2015-10-02,6.58,7.04,6.56,7.04,21323000,6.977928
2015-10-01,6.63,6.71,6.55,6.69,14486900,6.631014
2015-09-30,6.56,6.64,6.44,6.62,24427700,6.557666
2015-09-29,6.30,6.47,6.25,6.35,17309700,6.290208
2015-09-28,6.43,6.43,6.30,6.32,18841300,6.260491
2015-09-25,6.71,6.75,6.47,6.51,17310700,6.448702
2015-09-24,6.04,6.62,6.01,6.62,31058900,6.557666
2015-09-23,6.65,6.71,6.35,6.37,20351000,6.31002
2015-09-22,6.57,6.78,6.46,6.74,23927100,6.676536
2015-09-21,6.94,6.98,6.73,6.79,15030800,6.726065
2015-09-18,7.33,7.40,6.93,6.95,21206800,6.884559
2015-09-17,7.31,7.66,7.28,7.45,18129000,7.379851
2015-09-16,7.40,7.55,7.38,7.53,17969400,7.459098
2015-09-15,7.13,7.32,7.11,7.26,22412500,7.19164
2015-09-14,6.84,7.17,6.71,7.16,23695000,7.092581
2015-09-11,6.78,6.81,6.70,6.76,9161500,6.696348
2015-09-10,6.72,6.98,6.68,6.84,21385400,6.775595
2015-09-09,7.14,7.34,7.03,7.07,22924800,7.003429
2015-09-08,7.04,7.09,6.94,7.00,10034600,6.934088
2015-09-04,7.10,7.18,6.83,6.85,15335900,6.7855
2015-09-03,6.92,7.31,6.89,7.30,35044400,7.231264
2015-09-02,7.03,7.07,6.86,7.03,21277800,6.963806
2015-09-01,7.06,7.18,6.93,7.00,18942800,6.934088
2015-08-31,7.14,7.32,7.09,7.32,20133000,7.247113
2015-08-28,7.84,7.98,7.55,7.63,19518700,7.554026
2015-08-27,7.75,8.07,7.75,7.91,25108400,7.831238
2015-08-26,7.18,7.55,7.05,7.54,22671600,7.464922
2015-08-25,7.51,7.55,7.07,7.08,32068900,7.009503
2015-08-24,7.00,7.45,6.86,7.21,26829800,7.138208
2015-08-21,7.39,7.60,7.35,7.47,23854200,7.395619
2015-08-20,7.44,7.67,7.36,7.58,21058800,7.504524
2015-08-19,7.57,7.60,7.36,7.48,19134400,7.40552
2015-08-18,7.49,7.94,7.34,7.73,33316300,7.65303
2015-08-17,7.58,7.82,7.52,7.55,16381500,7.474823
2015-08-14,7.55,7.68,7.52,7.62,31729500,7.544126
2015-08-13,7.79,7.80,7.50,7.52,43170000,7.445121
2015-08-12,8.02,8.02,7.84,7.91,18666500,7.732233
2015-08-11,8.11,8.18,7.94,8.07,13923700,7.888637
2015-08-10,8.05,8.28,7.97,8.26,16334600,8.074368
2015-08-07,8.09,8.19,7.95,7.96,16330700,7.78111
2015-08-06,8.20,8.28,8.10,8.15,14024600,7.96684
2015-08-05,8.46,8.48,8.24,8.31,16307300,8.123245
2015-08-04,8.48,8.57,8.25,8.39,17070000,8.201447
2015-08-03,8.62,8.70,8.54,8.61,9857500,8.416502
2015-07-31,8.79,8.85,8.65,8.68,9155800,8.480042
2015-07-30,8.80,8.84,8.54,8.62,7183200,8.421423
2015-07-29,8.71,8.91,8.63,8.80,13052900,8.597277
2015-07-28,8.68,8.72,8.27,8.69,27581300,8.489811
2015-07-27,8.63,8.69,8.46,8.48,13222900,8.284648
2015-07-24,8.66,8.66,8.42,8.59,19029000,8.392115
2015-07-23,9.11,9.18,8.73,8.78,18192300,8.577737
2015-07-22,9.46,9.49,9.25,9.35,15203400,9.134607
2015-07-21,9.63,9.77,9.60,9.63,14292800,9.408157
2015-07-20,9.65,9.71,9.55,9.62,8260500,9.398387
2015-07-17,9.87,9.88,9.67,9.74,11938600,9.515622
2015-07-16,9.99,9.99,9.82,9.88,7107700,9.652397
2015-07-15,10.01,10.07,9.86,9.93,12791600,9.701246
2015-07-14,10.12,10.18,10.00,10.10,8572800,9.86733
2015-07-13,10.99,11.15,10.91,11.12,7908500,10.863832
2015-07-10,10.74,10.93,10.59,10.89,9111200,10.63913
2015-07-09,10.50,10.69,10.43,10.55,10847100,10.306963
2015-07-08,10.49,10.52,10.33,10.35,11665000,10.11157
2015-07-07,10.59,10.68,10.37,10.67,10973400,10.424198
2015-07-06,10.79,10.93,10.68,10.74,9534100,10.492585
2015-07-02,11.00,11.24,11.00,11.20,8277200,10.941989
2015-07-01,11.00,11.02,10.83,10.88,8628200,10.629361
2015-06-30,11.08,11.14,10.92,10.95,12837600,10.697748
2015-06-29,10.87,10.94,10.81,10.87,7454100,10.614706
2015-06-26,10.92,11.15,10.92,11.03,9503100,10.770948
2015-06-25,11.16,11.18,10.86,10.92,12418200,10.663532
2015-06-24,11.28,11.38,11.20,11.23,8240500,10.966251
2015-06-23,11.10,11.31,11.08,11.28,11284000,11.015077
2015-06-22,11.23,11.28,11.08,11.13,10317000,10.8686
2015-06-19,11.08,11.20,10.98,11.00,9989400,10.741653
2015-06-18,11.16,11.40,10.99,11.30,11207500,11.034608
2015-06-17,11.05,11.17,10.85,11.07,13399500,10.810009
2015-06-16,10.83,11.15,10.82,11.14,16327100,10.878365
2015-06-15,10.47,10.61,10.40,10.59,9222100,10.341283
2015-06-12,10.68,10.74,10.54,10.60,9685700,10.351048
2015-06-11,10.77,10.78,10.53,10.75,13873600,10.497525
2015-06-10,10.92,11.01,10.71,10.73,26716800,10.477994
2015-06-09,10.63,10.71,10.53,10.54,21902700,10.292457
2015-06-08,10.60,10.69,10.53,10.58,22614700,10.331517
2015-06-05,10.57,10.66,10.45,10.46,23406900,10.214336
2015-06-04,10.77,10.85,10.62,10.65,9930000,10.399873
2015-06-03,11.03,11.03,10.76,10.80,21309700,10.546351
2015-06-02,10.86,11.10,10.82,11.05,21980400,10.790479
2015-06-01,10.82,10.82,10.65,10.69,23551700,10.438933
2015-05-29,10.97,11.05,10.67,10.70,23953100,10.443816
2015-05-28,11.12,11.14,10.90,11.12,11181600,10.85376
2015-05-27,11.02,11.28,10.89,11.26,22034900,10.990409
2015-05-26,11.16,11.24,11.00,11.07,15139000,10.804957
2015-05-22,11.55,11.64,11.38,11.38,11794700,11.107535
2015-05-21,11.91,11.94,11.68,11.79,13457100,11.507719
2015-05-20,12.08,12.22,12.02,12.11,10233000,11.820057
2015-05-19,12.33,12.34,12.07,12.18,12158700,11.888382
2015-05-18,12.79,12.79,12.35,12.38,19488300,12.083593
2015-05-15,12.64,12.93,12.59,12.91,10670700,12.600903
2015-05-14,12.47,12.73,12.44,12.67,9000000,12.36665
2015-05-13,12.60,12.68,12.33,12.40,6899400,12.103114
2015-05-12,12.38,12.63,12.37,12.53,9935200,12.230001
2015-05-11,12.82,12.82,12.42,12.44,7017600,12.142156
2015-05-08,12.69,12.78,12.42,12.73,12273900,12.425213
2015-05-07,12.24,12.46,12.12,12.46,9209400,12.161678
2015-05-06,12.68,12.68,12.19,12.30,13378400,12.005509
2015-05-05,12.55,12.83,12.46,12.61,12030600,12.308086
2015-05-04,12.68,12.82,12.60,12.64,12164600,12.337368
2015-05-01,12.91,12.92,12.69,12.89,11756700,12.581383
2015-04-30,12.95,12.95,12.62,12.82,13988000,12.508177
2015-04-29,13.04,13.11,12.86,12.94,9701600,12.625259
2015-04-28,13.33,13.33,13.11,13.16,10252100,12.839908
2015-04-27,13.23,13.30,13.07,13.08,15280500,12.761854
2015-04-24,12.73,13.28,12.72,13.28,31444500,12.956989
2015-04-23,12.09,12.70,12.05,12.68,18802800,12.371583
2015-04-22,11.88,12.33,11.84,12.23,16694900,11.932528
2015-04-21,11.75,11.97,11.73,11.88,7432200,11.591042
2015-04-20,12.02,12.02,11.73,11.76,16491900,11.47396
2015-04-17,12.00,12.06,11.90,11.97,10432700,11.678853
2015-04-16,12.22,12.35,12.08,12.27,7845800,11.971556
2015-04-15,12.00,12.25,11.87,12.19,8625400,11.893501
2015-04-14,11.85,12.01,11.67,11.95,10316400,11.659339
2015-04-13,11.96,12.06,11.67,11.72,10590700,11.434933
2015-04-10,11.84,12.05,11.78,12.03,10416900,11.737393
2015-04-09,12.09,12.13,11.84,11.94,18864500,11.649582
2015-04-08,12.19,12.38,12.15,12.22,19032300,11.922772
2015-04-07,11.91,11.95,11.79,11.84,10258600,11.552015
2015-04-06,12.00,12.05,11.89,11.95,16551700,11.659339
2015-04-02,11.61,11.87,11.60,11.77,18961900,11.483717
2015-04-01,11.29,11.63,11.28,11.45,19071500,11.1715
2015-03-31,10.79,11.09,10.75,11.06,16078200,10.790987
2015-03-30,10.47,10.83,10.43,10.78,12004800,10.512919
2015-03-27,10.55,10.58,10.35,10.46,11997800,10.200847
2015-03-26,11.02,11.05,10.67,10.74,10485200,10.47391
2015-03-25,11.38,11.48,11.01,11.08,14310800,10.805486
2015-03-24,11.46,11.47,11.13,11.28,10398100,11.000531
2015-03-23,11.13,11.30,11.08,11.27,7920200,10.990779
2015-03-20,11.05,11.23,11.03,11.09,12258500,10.815238
2015-03-19,10.92,10.95,10.62,10.75,9632900,10.483662
2015-03-18,10.57,11.21,10.56,11.13,19725700,10.854247
2015-03-17,10.31,10.71,10.26,10.69,11816900,10.425148
2015-03-16,10.49,10.61,10.31,10.39,8759100,10.132582
2015-03-13,10.36,10.44,10.12,10.39,19285800,10.132582
2015-03-12,10.94,11.02,10.66,10.78,14308500,10.512919
2015-03-11,10.51,10.84,10.47,10.75,16729400,10.483662
2015-03-10,10.86,10.86,10.45,10.50,49661500,10.239856
2015-03-09,11.17,11.23,10.70,10.85,28906900,10.581185
2015-03-06,11.69,11.76,11.32,11.34,38714600,11.059045
2015-03-05,12.07,12.14,11.84,11.88,17044500,11.585666
2015-03-04,12.13,12.27,12.00,12.27,24116800,11.966004
2015-03-03,12.43,12.55,12.39,12.53,14986000,12.219561
2015-03-02,12.67,12.69,12.43,12.53,10726500,12.219561
2015-02-27,12.85,13.15,12.68,12.78,15554500,12.458491
