Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,22.459999,22.629999,22.459999,22.58,37300,22.202024
2015-10-08,22.43,22.57,22.43,22.50,57400,22.123363
2015-10-07,22.42,22.57,22.42,22.48,84700,22.103697
2015-10-06,22.42,22.549999,22.42,22.469999,64000,22.093864
2015-10-05,22.35,22.620001,22.35,22.50,118800,22.123363
2015-10-02,22.43,22.440001,22.23,22.41,53100,22.034869
2015-10-01,22.41,22.469999,22.370001,22.459999,35200,22.084032
2015-09-30,22.370001,22.52,22.25,22.40,95600,22.025036
2015-09-29,22.41,22.51,22.299999,22.35,48400,21.975874
2015-09-28,22.40,22.52,22.40,22.41,58900,22.034869
2015-09-25,22.48,22.65,22.450001,22.48,56200,22.103697
2015-09-24,22.450001,22.629999,22.450001,22.52,135200,22.143029
2015-09-23,22.549999,22.559999,22.469999,22.49,57800,22.11353
2015-09-22,22.51,22.58,22.379999,22.549999,55300,22.172525
2015-09-21,22.51,22.58,22.360001,22.559999,57800,22.182358
2015-09-18,22.209999,22.42,22.209999,22.40,26800,22.025036
2015-09-17,22.200001,22.309999,22.110001,22.299999,43800,21.92671
2015-09-16,22.129999,22.26,22.129999,22.190001,23900,21.818553
2015-09-15,22.129999,22.25,22.129999,22.18,42100,21.80872
2015-09-14,22.290001,22.299999,22.27,22.27,17700,21.897213
2015-09-11,22.219999,22.35,22.219999,22.299999,47200,21.92671
2015-09-10,22.309999,22.41,22.309999,22.35,78100,21.851
2015-09-09,22.299999,22.42,22.299999,22.35,90000,21.851
2015-09-08,22.32,22.440001,22.290001,22.299999,57400,21.802115
2015-09-04,22.379999,22.389999,22.290001,22.290001,46400,21.79234
2015-09-03,22.459999,22.530001,22.32,22.379999,61700,21.880329
2015-09-02,22.59,22.59,22.43,22.459999,30000,21.958543
2015-09-01,22.34,22.52,22.34,22.41,36600,21.90966
2015-08-31,22.43,22.469999,22.370001,22.43,23500,21.929214
2015-08-28,22.42,22.459999,22.309999,22.370001,16600,21.870554
2015-08-27,22.34,22.57,22.280001,22.370001,13300,21.870554
2015-08-26,22.48,22.48,22.209999,22.34,63100,21.841223
2015-08-25,22.18,22.370001,22.139999,22.309999,45000,21.811892
2015-08-24,22.190001,22.33,22.15,22.15,45700,21.655464
2015-08-21,22.549999,22.549999,22.379999,22.389999,32000,21.890106
2015-08-20,22.50,22.530001,22.450001,22.469999,27300,21.96832
2015-08-19,22.50,22.58,22.440001,22.530001,33900,22.026981
2015-08-18,22.49,22.549999,22.40,22.50,55700,21.99765
2015-08-17,22.34,22.43,22.34,22.42,29600,21.919437
2015-08-14,22.370001,22.43,22.35,22.389999,22300,21.890106
2015-08-13,22.25,22.450001,22.209999,22.42,22100,21.919437
2015-08-12,22.209999,22.299999,22.18,22.290001,15900,21.79234
2015-08-11,22.299999,22.360001,22.23,22.34,21400,21.717059
2015-08-10,22.360001,22.49,22.290001,22.41,36600,21.785107
2015-08-07,22.32,22.469999,22.32,22.370001,37800,21.746224
2015-08-06,22.549999,22.549999,22.459999,22.51,26900,21.882319
2015-08-05,22.65,22.65,22.50,22.58,20200,21.950367
2015-08-04,22.700001,22.700001,22.559999,22.639999,25700,22.008693
2015-08-03,22.540001,22.610001,22.49,22.51,24000,21.882319
2015-07-31,22.49,22.59,22.49,22.59,27300,21.960088
2015-07-30,22.42,22.49,22.33,22.49,13900,21.862876
2015-07-29,22.370001,22.450001,22.32,22.42,27200,21.794829
2015-07-28,22.27,22.32,22.27,22.290001,33700,21.668454
2015-07-27,22.40,22.40,22.27,22.34,37500,21.717059
2015-07-24,22.40,22.440001,22.35,22.370001,23300,21.746224
2015-07-23,22.51,22.51,22.43,22.440001,50200,21.814271
2015-07-22,22.48,22.540001,22.43,22.450001,17400,21.823993
2015-07-21,22.59,22.629999,22.50,22.51,19600,21.882319
2015-07-20,22.67,22.68,22.620001,22.629999,8300,21.998972
2015-07-17,22.66,22.68,22.60,22.66,18900,22.028136
2015-07-16,22.68,22.77,22.59,22.68,54400,22.047579
2015-07-15,22.809999,22.809999,22.67,22.719999,50300,22.086463
2015-07-14,22.690001,22.75,22.67,22.700001,15500,22.067022
2015-07-13,22.719999,22.74,22.67,22.74,51600,22.105905
2015-07-10,22.780001,22.85,22.74,22.799999,22900,22.040772
2015-07-09,22.790001,22.83,22.75,22.799999,56500,22.040772
2015-07-08,22.799999,22.82,22.66,22.66,70700,21.905434
2015-07-07,22.92,22.92,22.75,22.780001,16900,22.021439
2015-07-06,22.75,22.799999,22.66,22.73,41700,21.973103
2015-07-02,22.719999,22.74,22.68,22.719999,46500,21.963436
2015-07-01,22.76,22.76,22.66,22.73,25800,21.973103
2015-06-30,22.65,22.719999,22.65,22.690001,23000,21.934436
2015-06-29,22.709999,22.709999,22.629999,22.639999,25800,21.8861
2015-06-26,22.799999,22.799999,22.690001,22.74,22900,21.98277
2015-06-25,22.77,22.83,22.75,22.790001,79300,22.031107
2015-06-24,22.879999,22.90,22.83,22.83,22400,22.069774
