Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.04,12.25,11.93,12.19,25100,11.829673
2015-10-08,11.56,12.04,11.51,12.02,28000,11.664699
2015-10-07,11.61,12.18,11.31,11.64,65000,11.295931
2015-10-06,10.50,11.58,10.49,11.58,39100,11.237704
2015-10-05,10.19,10.49,10.19,10.49,72000,10.179924
2015-10-02,9.65,10.13,9.65,9.97,44600,9.675295
2015-10-01,9.90,10.17,9.84,9.85,25200,9.558842
2015-09-30,9.50,10.23,9.50,9.90,85100,9.607364
2015-09-29,9.81,10.06,9.38,9.53,80100,9.248301
2015-09-28,10.27,10.27,9.77,9.93,102500,9.636477
2015-09-25,10.94,11.02,10.27,10.32,72500,10.014949
2015-09-24,10.87,11.02,10.54,10.83,36700,10.509874
2015-09-23,11.41,11.49,10.97,11.00,34700,10.674849
2015-09-22,11.43,11.48,11.21,11.31,28700,10.975686
2015-09-21,11.47,11.62,11.40,11.62,22900,11.276522
2015-09-18,11.51,11.68,11.27,11.45,47800,11.111547
2015-09-17,11.56,11.83,11.41,11.74,32100,11.392975
2015-09-16,11.39,11.54,11.28,11.52,37700,11.179479
2015-09-15,10.92,11.22,10.86,11.21,41700,10.878641
2015-09-14,11.31,11.31,10.96,11.01,37200,10.684553
2015-09-11,11.73,11.73,11.28,11.41,34900,11.072729
2015-09-10,11.95,12.00,11.67,11.82,40900,11.47061
2015-09-09,12.46,12.52,11.97,12.04,34500,11.684107
2015-09-08,12.24,12.57,12.24,12.47,31900,12.101397
2015-09-04,11.90,12.22,11.83,12.20,31400,11.839378
2015-09-03,12.15,12.23,11.98,12.02,36800,11.664699
2015-09-02,12.29,12.32,11.97,12.08,60300,11.722925
2015-09-01,12.22,12.22,12.01,12.16,31900,11.80056
2015-08-31,12.31,12.93,12.04,12.42,37400,12.052875
2015-08-28,12.39,12.48,12.10,12.31,63900,11.946127
2015-08-27,11.47,12.45,11.45,12.42,171900,12.052875
2015-08-26,10.97,11.39,10.86,11.31,38500,10.975686
2015-08-25,11.54,11.54,10.67,10.67,77400,10.354603
2015-08-24,11.50,12.00,11.00,11.00,121400,10.674849
2015-08-21,13.09,13.09,12.29,12.41,56700,12.04317
2015-08-20,12.85,13.11,12.71,12.78,66800,12.402233
2015-08-19,12.78,12.98,12.59,12.88,51000,12.499278
2015-08-18,13.05,13.06,12.86,12.97,90400,12.586617
2015-08-17,12.54,13.11,12.47,12.99,73900,12.606026
2015-08-14,12.14,12.43,12.14,12.41,51800,12.04317
2015-08-13,12.22,12.43,12.06,12.11,70300,11.752038
2015-08-12,11.88,12.22,11.75,12.21,84300,11.849082
2015-08-11,11.46,11.83,11.41,11.82,68200,11.47061
2015-08-10,11.59,11.96,11.59,11.68,64500,11.334749
2015-08-07,11.40,11.66,11.37,11.42,50600,11.082434
2015-08-06,11.60,11.81,11.28,11.41,104700,11.072729
2015-08-05,12.50,12.77,11.64,11.64,89900,11.295931
2015-08-04,12.96,12.96,12.50,12.50,50900,12.13051
2015-08-03,13.04,13.13,12.82,12.83,38700,12.450755
2015-07-31,13.43,13.56,13.13,13.15,99000,12.761296
2015-07-30,13.15,13.51,13.02,13.40,101700,13.003906
2015-07-29,12.49,13.41,12.40,13.30,130500,12.906863
2015-07-28,12.15,12.57,12.04,12.43,98300,12.06258
2015-07-27,12.32,12.45,12.14,12.14,150000,11.781152
2015-07-24,12.25,12.49,12.17,12.41,114800,12.04317
2015-07-23,12.43,12.49,12.20,12.31,56400,11.946127
2015-07-22,12.71,12.71,12.29,12.32,86600,11.95583
2015-07-21,12.75,12.98,12.67,12.75,75700,12.37312
2015-07-20,13.14,13.18,12.67,12.72,102700,12.344007
2015-07-17,13.35,13.39,13.05,13.08,44500,12.693366
2015-07-16,13.60,13.60,13.35,13.41,60800,13.013611
2015-07-15,14.10,14.10,13.50,13.50,47500,13.100951
2015-07-14,14.10,14.34,14.06,14.10,48300,13.683216
2015-07-13,14.18,14.35,14.05,14.14,29600,13.722033
2015-07-10,14.25,14.42,14.13,14.30,33200,13.545413
2015-07-09,14.29,14.29,14.00,14.04,21500,13.299132
2015-07-08,14.14,14.29,13.94,13.96,26900,13.223354
2015-07-07,14.08,14.30,13.82,14.25,103900,13.498051
2015-07-06,14.07,14.28,14.00,14.16,43500,13.4128
2015-07-02,14.33,14.33,13.99,14.15,51100,13.403327
2015-07-01,14.63,14.63,14.20,14.24,112200,13.488578
2015-06-30,14.56,14.59,14.36,14.53,43200,13.763276
2015-06-29,14.53,14.60,14.39,14.52,106800,13.753804
2015-06-26,14.43,14.61,14.26,14.61,72300,13.839054
2015-06-25,14.49,14.52,14.30,14.45,88700,13.687497
2015-06-24,14.49,14.55,14.43,14.50,96500,13.734859
2015-06-23,14.23,14.45,14.19,14.37,66500,13.611719
2015-06-22,14.43,14.43,14.05,14.12,53500,13.374911
2015-06-19,14.43,14.43,14.23,14.23,19400,13.479106
2015-06-18,14.49,14.52,14.39,14.40,41200,13.640135
2015-06-17,14.37,14.54,14.24,14.54,56700,13.772748
2015-06-16,14.36,14.41,14.24,14.34,100100,13.583302
2015-06-15,14.35,14.42,14.25,14.41,52200,13.649608
2015-06-12,14.35,14.44,14.25,14.32,34200,13.564357
2015-06-11,14.63,14.64,14.38,14.43,50800,13.668553
2015-06-10,14.80,14.88,14.61,14.65,39900,13.876943
2015-06-09,14.66,14.80,14.52,14.71,75600,13.933778
2015-06-08,14.94,14.94,14.44,14.48,63200,13.715914
2015-06-05,15.13,15.22,14.84,14.89,47300,14.10428
2015-06-04,15.54,15.54,15.05,15.16,45600,14.360032
2015-06-03,15.70,15.73,15.49,15.51,38100,14.691563
2015-06-02,15.62,15.68,15.56,15.68,25700,14.852593
2015-06-01,15.60,15.62,15.54,15.61,19700,14.786286
2015-05-29,15.60,15.66,15.50,15.55,26500,14.729452
2015-05-28,15.92,15.92,15.43,15.47,57400,14.653674
2015-05-27,15.98,16.00,15.90,15.92,18400,15.079928
2015-05-26,16.15,16.15,15.89,15.92,21800,15.079928
2015-05-22,16.01,16.219999,15.93,16.18,29900,15.326208
2015-05-21,16.280001,16.280001,15.94,16.049999,57600,15.203067
2015-05-20,16.190001,16.23,16.10,16.17,21700,15.316736
2015-05-19,16.27,16.27,16.16,16.16,10600,15.307263
2015-05-18,16.360001,16.360001,16.18,16.23,30900,15.373569
2015-05-15,16.43,16.43,16.23,16.26,56600,15.401987
2015-05-14,16.299999,16.42,16.200001,16.32,25000,15.45882
2015-05-13,16.01,16.34,16.01,16.139999,39100,15.288318
2015-05-12,15.94,16.040001,15.80,15.96,31300,15.117817
2015-05-11,16.02,16.07,15.91,15.94,29500,15.098872
2015-05-08,16.219999,16.219999,16.030001,16.08,20700,15.231485
2015-05-07,16.26,16.26,16.02,16.030001,38900,15.184124
2015-05-06,16.66,16.66,16.200001,16.25,50500,15.392514
2015-05-05,16.700001,16.700001,16.459999,16.549999,20300,15.676683
2015-05-04,16.780001,16.780001,16.549999,16.559999,16800,15.686156
2015-05-01,16.67,16.77,16.639999,16.66,84600,15.780879
2015-04-30,16.559999,16.67,16.40,16.639999,58000,15.761934
2015-04-29,16.25,16.540001,16.23,16.49,44400,15.61985
2015-04-28,16.50,16.50,16.24,16.32,28000,15.45882
2015-04-27,16.50,16.76,16.34,16.34,101600,15.477765
2015-04-24,16.50,16.700001,16.50,16.58,57200,15.705101
2015-04-23,16.700001,16.870001,16.51,16.559999,65800,15.686156
2015-04-22,16.690001,16.75,16.469999,16.48,36200,15.610377
2015-04-21,16.98,16.98,16.620001,16.690001,47300,15.809297
2015-04-20,16.809999,17.02,16.60,16.85,59900,15.960854
2015-04-17,16.67,16.790001,16.48,16.74,60100,15.856658
2015-04-16,16.50,16.809999,16.48,16.719999,35100,15.837713
2015-04-15,16.290001,16.74,16.280001,16.41,87200,15.544071
2015-04-14,15.96,16.25,15.96,16.200001,28000,15.345153
2015-04-13,16.540001,16.540001,15.87,16.01,56200,15.165179
2015-04-10,16.48,16.65,16.27,16.65,75100,15.447454
2015-04-09,16.57,16.629999,16.43,16.57,42100,15.373232
2015-04-08,16.50,16.610001,16.389999,16.469999,33500,15.280454
2015-04-07,16.34,16.610001,16.34,16.530001,59100,15.336122
2015-04-06,16.290001,16.41,16.219999,16.33,35700,15.150566
2015-04-02,16.43,16.49,16.110001,16.190001,71600,15.020678
2015-04-01,16.26,16.48,16.26,16.35,61100,15.169122
2015-03-31,16.309999,16.780001,16.200001,16.299999,118500,15.122732
2015-03-30,16.35,16.35,16.209999,16.35,45500,15.169122
2015-03-27,16.219999,16.49,16.09,16.26,59000,15.085622
2015-03-26,16.32,16.389999,16.09,16.219999,44100,15.04851
2015-03-25,16.27,16.530001,16.049999,16.049999,77700,14.890788
2015-03-24,16.709999,16.799999,16.280001,16.299999,128400,15.122732
2015-03-23,16.18,16.65,16.129999,16.51,39600,15.317566
2015-03-20,15.89,16.209999,15.89,16.09,45200,14.9279
2015-03-19,15.56,15.75,15.50,15.71,51200,14.575346
2015-03-18,15.32,15.87,15.19,15.71,60800,14.575346
2015-03-17,15.26,15.51,15.19,15.33,59900,14.222791
2015-03-16,15.58,15.64,15.35,15.41,53500,14.297013
2015-03-13,15.94,15.94,15.55,15.64,99700,14.510402
2015-03-12,16.049999,16.110001,15.86,15.90,56100,14.751623
2015-03-11,16.379999,16.379999,15.96,15.97,87200,14.816567
2015-03-10,16.200001,16.389999,16.09,16.25,71200,15.076344
2015-03-09,16.60,16.66,16.26,16.35,31200,15.169122
2015-03-06,16.879999,16.879999,16.60,16.639999,33700,15.438176
2015-03-05,16.879999,17.07,16.790001,16.90,42300,15.679398
2015-03-04,17.10,17.10,16.780001,16.799999,171200,15.58662
2015-03-03,16.700001,17.25,16.700001,17.15,112700,15.911341
2015-03-02,16.84,17.030001,16.68,16.74,52200,15.530954
2015-02-27,16.90,16.99,16.74,16.780001,53400,15.568066
2015-02-26,17.110001,17.110001,16.82,16.85,62300,15.63301
2015-02-25,17.01,17.389999,17.01,17.139999,43500,15.902063
2015-02-24,16.950001,17.09,16.799999,16.959999,120200,15.735064
2015-02-23,16.799999,16.950001,16.719999,16.90,129700,15.679398
2015-02-20,16.65,16.870001,16.620001,16.84,75600,15.623732
2015-02-19,16.379999,16.700001,16.32,16.59,63700,15.391788
2015-02-18,16.459999,16.629999,16.40,16.51,52000,15.317566
2015-02-17,16.52,16.549999,16.26,16.42,68700,15.234066
2015-02-13,16.440001,16.48,16.299999,16.389999,67200,15.206232
2015-02-12,16.27,16.40,16.15,16.18,83000,15.0114
2015-02-11,16.15,16.190001,15.91,16.07,82900,14.909344
2015-02-10,16.290001,16.35,16.16,16.23,75900,15.057788
2015-02-09,16.549999,16.790001,16.02,16.129999,99700,14.96501
2015-02-06,16.66,16.74,16.469999,16.540001,136100,15.3454
2015-02-05,16.309999,16.690001,16.309999,16.549999,258500,15.354676
2015-02-04,16.40,16.50,16.27,16.290001,90200,15.113456
2015-02-03,16.10,16.57,16.09,16.450001,254800,15.2619
2015-02-02,15.90,16.16,15.74,16.10,127300,14.937178
2015-01-30,15.40,15.83,15.31,15.71,166500,14.575346
2015-01-29,15.38,15.58,15.20,15.43,137100,14.315569
2015-01-28,15.15,15.54,14.98,15.39,447700,14.278458
2015-01-27,14.84,15.17,14.76,15.10,113200,14.009403
2015-01-26,14.87,15.02,14.86,14.99,118800,13.907347
2015-01-23,14.87,15.00,14.80,14.87,149700,13.796015
2015-01-22,14.90,15.10,14.85,14.95,104800,13.870236
2015-01-21,14.59,14.90,14.59,14.88,60600,13.805292
2015-01-20,14.40,14.70,14.33,14.55,115800,13.499127
2015-01-16,14.22,14.55,14.22,14.50,143100,13.452738
2015-01-15,14.47,14.61,14.16,14.17,139600,13.146572
2015-01-14,14.34,14.38,14.00,14.35,117300,13.313572
2015-01-13,14.65,14.65,14.17,14.45,112900,13.406349
2015-01-12,15.26,15.26,14.76,14.82,102000,13.432326
2015-01-09,15.39,15.40,15.17,15.38,63400,13.939891
2015-01-08,15.10,15.34,15.10,15.30,87300,13.867382
2015-01-07,15.30,15.30,14.91,15.07,141800,13.658917
2015-01-06,15.18,15.22,14.69,14.98,113100,13.577344
2015-01-05,15.50,15.50,15.15,15.16,108500,13.74049
2015-01-02,15.36,15.62,15.23,15.62,66200,14.157418
2014-12-31,15.31,15.39,15.17,15.25,249600,13.822063
2014-12-30,15.35,15.40,15.10,15.21,307800,13.785809
2014-12-29,15.38,15.54,15.21,15.30,167800,13.867382
2014-12-26,15.49,15.59,15.15,15.42,121000,13.976145
2014-12-24,15.59,15.59,15.41,15.53,60900,14.075845
2014-12-23,15.40,15.70,15.40,15.55,174300,14.093973
2014-12-22,15.45,15.52,15.18,15.44,226700,13.994272
2014-12-19,15.40,15.53,15.20,15.53,289800,14.075845
2014-12-18,15.10,15.44,14.76,15.20,472600,13.776745
2014-12-17,13.88,14.72,13.88,14.65,314100,13.278244
2014-12-16,14.15,14.32,13.72,13.88,562200,12.580344
2014-12-15,15.04,15.06,14.30,14.42,126800,13.06978
2014-12-12,14.91,15.19,14.78,14.85,168100,13.459518
2014-12-11,14.82,15.60,14.75,15.15,400200,13.731426
2014-12-10,15.28,15.28,14.81,14.83,189600,13.44139
2014-12-09,15.18,15.55,15.03,15.54,167200,14.084909
2014-12-08,15.96,15.96,15.37,15.44,204700,13.994272
2014-12-05,16.049999,16.23,15.98,16.01,130700,14.510901
2014-12-04,15.96,16.200001,15.92,16.120001,161300,14.610601
2014-12-03,15.84,16.200001,15.84,16.07,165500,14.565282
2014-12-02,15.45,15.86,15.21,15.60,100700,14.139291
2014-12-01,16.190001,16.190001,15.18,15.46,172500,14.0124
2014-11-28,16.860001,16.879999,16.24,16.35,48800,14.819065
