Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.42,10.65,10.42,10.65,81900,10.403043
2015-10-08,10.27,10.50,10.27,10.50,38900,10.256522
2015-10-07,10.24,10.35,10.24,10.32,61500,10.080695
2015-10-06,10.17,10.29,10.17,10.24,86500,10.00255
2015-10-05,10.13,10.16,10.05,10.10,59500,9.865797
2015-10-02,10.04,10.07,9.89,10.07,117500,9.836492
2015-10-01,10.10,10.17,9.86,9.93,98100,9.699739
2015-09-30,9.94,10.14,9.90,10.05,115500,9.816957
2015-09-29,9.92,9.99,9.82,9.85,123300,9.621595
2015-09-28,10.14,10.16,9.91,9.97,60100,9.738812
2015-09-25,10.15,10.18,10.07,10.07,44100,9.836492
2015-09-24,10.10,10.22,10.04,10.22,41600,9.983015
2015-09-23,10.16,10.21,10.11,10.17,42200,9.934174
2015-09-22,10.26,10.29,10.05,10.08,57500,9.846261
2015-09-21,10.26,10.41,10.26,10.40,40900,10.15884
2015-09-18,10.12,10.38,10.12,10.30,33100,10.06116
2015-09-17,10.17,10.37,10.06,10.22,63100,9.983015
2015-09-16,10.08,10.25,10.06,10.19,43000,9.95371
2015-09-15,10.01,10.14,9.97,10.13,34800,9.895101
2015-09-14,10.05,10.12,10.00,10.07,29500,9.836492
2015-09-11,10.05,10.05,9.95,10.01,36700,9.777884
2015-09-10,10.18,10.31,10.17,10.20,44300,9.729043
2015-09-09,10.29,10.33,10.18,10.22,33800,9.74812
2015-09-08,10.15,10.32,10.15,10.31,33800,9.833965
2015-09-04,10.13,10.22,10.03,10.19,73200,9.719505
2015-09-03,10.16,10.28,10.15,10.23,33200,9.757658
2015-09-02,10.09,10.29,10.09,10.19,35500,9.719505
2015-09-01,10.07,10.17,10.00,10.08,47400,9.614584
2015-08-31,10.33,10.40,10.17,10.27,44500,9.795812
2015-08-28,10.31,10.51,10.30,10.38,90200,9.900733
2015-08-27,10.15,10.47,10.15,10.39,96100,9.910271
2015-08-26,10.02,10.20,10.02,10.20,78600,9.729043
2015-08-25,10.27,10.29,9.97,10.00,146200,9.538278
2015-08-24,10.26,10.26,10.08,10.10,103300,9.633661
2015-08-21,10.73,10.78,10.53,10.54,81700,10.053345
2015-08-20,10.80,10.90,10.68,10.74,63200,10.24411
2015-08-19,10.82,10.86,10.80,10.85,32000,10.349032
2015-08-18,10.82,10.95,10.73,10.91,45800,10.406261
2015-08-17,10.75,10.82,10.72,10.80,30700,10.30134
2015-08-14,10.73,10.80,10.69,10.80,25100,10.30134
2015-08-13,10.66,10.78,10.64,10.74,19700,10.24411
2015-08-12,10.70,10.76,10.64,10.69,34200,10.196419
2015-08-11,10.67,10.77,10.65,10.75,35400,10.253649
2015-08-10,10.77,10.77,10.65,10.65,31100,10.158266
2015-08-07,10.64,10.76,10.63,10.74,54400,10.24411
2015-08-06,10.67,10.72,10.59,10.68,61900,10.186881
2015-08-05,10.70,10.78,10.65,10.72,42200,10.225034
2015-08-04,10.75,10.82,10.71,10.71,19500,10.215496
2015-08-03,10.70,10.76,10.65,10.75,44600,10.253649
2015-07-31,10.64,10.75,10.61,10.70,46200,10.205957
2015-07-30,10.57,10.63,10.56,10.61,36700,10.120113
2015-07-29,10.47,10.62,10.47,10.58,22600,10.091498
2015-07-28,10.49,10.55,10.48,10.53,30000,10.043806
2015-07-27,10.63,10.63,10.44,10.44,63000,9.957962
2015-07-24,10.55,10.65,10.55,10.62,22500,10.129651
2015-07-23,10.73,10.73,10.57,10.59,49400,10.101037
2015-07-22,10.64,10.73,10.62,10.71,39800,10.215496
2015-07-21,10.63,10.69,10.60,10.63,23000,10.13919
2015-07-20,10.74,10.74,10.57,10.60,65500,10.110575
2015-07-17,10.75,10.76,10.64,10.69,36900,10.196419
2015-07-16,10.65,10.76,10.65,10.71,65200,10.215496
2015-07-15,10.54,10.68,10.53,10.59,87200,10.101037
2015-07-14,10.58,10.62,10.53,10.55,38100,10.062883
2015-07-13,10.55,10.65,10.55,10.60,62300,10.110575
2015-07-10,10.42,10.56,10.41,10.55,35200,10.062883
2015-07-09,10.44,10.46,10.36,10.41,43100,9.929347
2015-07-08,10.36,10.40,10.30,10.38,60100,9.900733
2015-07-07,10.33,10.44,10.29,10.35,96400,9.872118
2015-07-06,10.18,10.35,10.18,10.23,73200,9.757658
2015-07-02,10.22,10.40,10.22,10.25,87600,9.776735
2015-07-01,10.35,10.35,10.08,10.23,156200,9.757658
2015-06-30,10.23,10.23,10.06,10.21,75800,9.738582
2015-06-29,10.19,10.28,10.14,10.16,90800,9.69089
2015-06-26,10.26,10.29,10.16,10.23,44200,9.757658
2015-06-25,10.35,10.35,10.19,10.21,45900,9.738582
2015-06-24,10.45,10.47,10.24,10.29,98100,9.814888
2015-06-23,10.48,10.52,10.42,10.48,54900,9.996115
2015-06-22,10.54,10.65,10.50,10.53,40400,10.043806
2015-06-19,10.63,10.63,10.55,10.56,33000,10.072422
2015-06-18,10.48,10.69,10.48,10.66,52500,10.167804
2015-06-17,10.46,10.55,10.41,10.51,45200,10.02473
2015-06-16,10.40,10.51,10.40,10.48,76800,9.996115
2015-06-15,10.50,10.52,10.38,10.47,42600,9.986577
2015-06-12,10.60,10.60,10.50,10.52,53700,10.034269
2015-06-11,10.55,10.67,10.42,10.59,65900,10.101037
2015-06-10,10.67,10.84,10.67,10.83,77400,10.101036
2015-06-09,10.81,10.87,10.68,10.71,86200,9.989113
2015-06-08,10.91,10.95,10.84,10.85,41800,10.11969
2015-06-05,10.90,10.99,10.86,10.92,44500,10.184978
2015-06-04,11.07,11.09,10.81,10.99,123000,10.250266
2015-06-03,11.27,11.27,11.12,11.14,60800,10.390171
2015-06-02,11.20,11.37,11.11,11.32,52500,10.558054
2015-06-01,11.20,11.27,11.18,11.21,53500,10.455459
2015-05-29,11.30,11.30,11.16,11.19,32300,10.436804
2015-05-28,11.28,11.33,11.24,11.30,37700,10.539401
2015-05-27,11.24,11.34,11.23,11.31,33900,10.548728
2015-05-26,11.38,11.39,11.16,11.21,65600,10.455459
2015-05-22,11.29,11.39,11.27,11.34,35300,10.576708
2015-05-21,11.38,11.40,11.33,11.33,25600,10.567381
2015-05-20,11.38,11.43,11.35,11.37,29400,10.604689
2015-05-19,11.30,11.45,11.30,11.39,28000,10.623343
2015-05-18,11.37,11.46,11.34,11.41,27600,10.641996
2015-05-15,11.30,11.49,11.29,11.44,54100,10.669977
2015-05-14,11.23,11.36,11.18,11.28,67300,10.520747
2015-05-13,11.31,11.47,11.19,11.25,37100,10.492766
2015-05-12,11.23,11.28,11.12,11.25,52900,10.492766
2015-05-11,11.40,11.47,11.22,11.28,33000,10.520747
2015-05-08,11.37,11.55,11.35,11.42,27500,10.651324
2015-05-07,11.19,11.35,11.19,11.25,31200,10.492766
2015-05-06,11.32,11.37,11.21,11.21,62600,10.455459
2015-05-05,11.47,11.48,11.30,11.32,45600,10.558054
2015-05-04,11.56,11.59,11.42,11.47,47200,10.697958
2015-05-01,11.52,11.52,11.45,11.46,33300,10.688631
2015-04-30,11.58,11.65,11.42,11.42,43900,10.651324
2015-04-29,11.66,11.78,11.52,11.58,69000,10.800554
2015-04-28,11.75,11.78,11.67,11.78,40600,10.987092
2015-04-27,11.80,11.81,11.72,11.72,19500,10.931131
2015-04-24,11.76,11.84,11.71,11.73,29900,10.940457
2015-04-23,11.83,11.83,11.73,11.75,64400,10.959111
2015-04-22,11.63,11.78,11.57,11.75,87100,10.959111
2015-04-21,11.51,11.57,11.50,11.56,34300,10.781901
2015-04-20,11.55,11.69,11.47,11.49,37300,10.716612
2015-04-17,11.52,11.56,11.46,11.55,52000,10.772573
2015-04-16,11.48,11.69,11.46,11.60,45000,10.819208
2015-04-15,11.60,11.64,11.47,11.51,56400,10.735266
2015-04-14,11.50,11.60,11.48,11.57,60200,10.791227
2015-04-13,11.53,11.63,11.50,11.50,37800,10.725939
2015-04-10,11.61,11.63,11.50,11.50,49100,10.725939
2015-04-09,11.75,11.75,11.55,11.58,44400,10.800554
2015-04-08,11.73,11.81,11.69,11.69,45500,10.903149
2015-04-07,11.80,11.82,11.75,11.78,41100,10.987092
2015-04-06,11.58,11.87,11.58,11.77,86500,10.977766
2015-04-02,11.78,11.81,11.68,11.68,137700,10.893823
2015-04-01,11.99,12.09,11.74,11.87,83500,11.071034
2015-03-31,11.79,11.92,11.73,11.92,62900,11.117669
2015-03-30,11.85,11.92,11.74,11.92,90400,11.117669
2015-03-27,11.70,11.77,11.68,11.74,52500,10.949784
2015-03-26,11.70,11.73,11.63,11.65,30100,10.865842
2015-03-25,11.92,11.92,11.71,11.73,61400,10.940457
2015-03-24,11.94,11.94,11.79,11.90,109800,11.099014
2015-03-23,11.90,11.97,11.88,11.96,73900,11.154976
2015-03-20,11.64,11.95,11.62,11.93,97600,11.126996
2015-03-19,11.48,11.63,11.47,11.62,79500,10.837861
2015-03-18,11.42,11.60,11.35,11.59,51500,10.809881
2015-03-17,11.42,11.51,11.36,11.43,43100,10.660651
2015-03-16,11.39,11.54,11.39,11.40,59800,10.632669
2015-03-13,11.37,11.41,11.30,11.39,32100,10.623343
2015-03-12,11.36,11.46,11.35,11.39,54600,10.623343
2015-03-11,11.25,11.35,11.16,11.30,53800,10.539401
2015-03-10,11.40,11.46,11.40,11.44,51900,10.446132
2015-03-09,11.42,11.54,11.42,11.44,63200,10.446132
2015-03-06,11.66,11.66,11.35,11.42,121000,10.42787
2015-03-05,11.65,11.77,11.65,11.77,38900,10.747463
2015-03-04,11.63,11.65,11.55,11.64,84600,10.628757
2015-03-03,11.61,11.65,11.55,11.59,80500,10.583101
2015-03-02,11.63,11.75,11.60,11.63,59400,10.619626
