Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,27.15,27.299999,27.139999,27.139999,7000,26.619302
2015-10-08,26.98,27.25,26.98,27.24,9100,26.717384
2015-10-07,26.940001,27.040001,26.84,27.040001,16200,26.521222
2015-10-06,26.950001,27.02,26.950001,27.01,8200,26.491797
2015-10-05,26.92,27.07,26.83,26.90,10700,26.383907
2015-10-02,26.76,26.879999,26.639999,26.790001,14100,26.276019
2015-10-01,26.780001,26.98,26.77,26.83,13300,26.31525
2015-09-30,26.83,26.940001,26.77,26.82,13400,26.305442
2015-09-29,27.059999,27.059999,26.84,26.92,15700,26.403524
2015-09-28,26.969999,27.10,26.879999,27.049999,7000,26.531029
2015-09-25,27.25,27.42,27.01,27.040001,22500,26.521222
2015-09-24,27.059999,27.24,26.99,27.24,8000,26.717384
2015-09-23,26.940001,27.059999,26.93,27.059999,8700,26.540837
2015-09-22,26.83,27.00,26.83,26.93,15300,26.413332
2015-09-21,26.83,27.02,26.83,26.940001,13400,26.42314
2015-09-18,26.93,26.98,26.809999,26.92,14800,26.403524
2015-09-17,26.92,27.24,26.91,27.24,7200,26.717384
2015-09-16,26.90,27.01,26.90,27.01,8300,26.491797
2015-09-15,26.92,26.940001,26.90,26.90,5600,26.383907
2015-09-14,26.969999,27.07,26.969999,26.98,21100,26.462372
2015-09-11,27.110001,27.110001,26.950001,27.030001,9600,26.511414
2015-09-10,26.98,27.10,26.83,27.10,48300,26.580071
2015-09-09,26.950001,27.049999,26.92,27.040001,4300,26.521222
2015-09-08,26.959999,27.00,26.84,27.00,9000,26.481989
2015-09-04,26.870001,26.889999,26.82,26.84,11000,26.325059
2015-09-03,26.809999,26.950001,26.809999,26.84,14600,26.325059
2015-09-02,26.870001,27.01,26.84,26.889999,7800,26.374099
2015-09-01,26.950001,26.950001,26.799999,26.92,12000,26.403524
2015-08-31,27.07,27.07,26.860001,26.940001,22000,26.42314
2015-08-28,26.870001,27.059999,26.83,27.059999,28400,26.540837
2015-08-27,26.700001,26.870001,26.65,26.870001,10500,26.354484
2015-08-26,26.469999,26.690001,26.41,26.690001,6900,26.177937
2015-08-25,26.98,26.98,26.540001,26.540001,9900,26.030815
2015-08-24,26.700001,27.030001,26.379999,27.030001,35000,26.511414
2015-08-21,26.76,26.90,26.75,26.82,19100,26.305442
2015-08-20,26.76,26.809999,26.76,26.809999,10400,26.295633
2015-08-19,26.82,26.90,26.76,26.780001,9300,26.26621
2015-08-18,26.809999,26.92,26.809999,26.860001,20300,26.344675
2015-08-17,26.76,27.02,26.76,26.93,18700,26.413332
2015-08-14,26.92,27.00,26.780001,27.00,21600,26.481989
2015-08-13,26.889999,26.98,26.889999,26.940001,6800,26.42314
2015-08-12,27.120001,27.120001,26.90,26.93,18500,26.413332
2015-08-11,27.440001,27.530001,27.42,27.530001,15500,26.488854
2015-08-10,27.52,27.52,27.299999,27.50,11400,26.459988
2015-08-07,27.33,27.49,27.32,27.33,3400,26.296417
2015-08-06,27.35,27.459999,27.35,27.379999,6800,26.344526
2015-08-05,27.379999,27.540001,27.35,27.35,12000,26.315661
2015-08-04,27.469999,27.559999,27.459999,27.50,6000,26.459988
2015-08-03,27.370001,27.50,27.370001,27.459999,12400,26.4215
