Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,2.69,2.73,2.64,2.67,45600,2.653916
2015-10-08,2.63,2.66,2.61,2.66,43600,2.643976
2015-10-07,2.53,2.61,2.53,2.61,43200,2.594277
2015-10-06,2.51,2.53,2.51,2.53,41300,2.514759
2015-10-05,2.48,2.58,2.48,2.49,42700,2.475
2015-10-02,2.38,2.48,2.36,2.46,16800,2.445181
2015-10-01,2.39,2.44,2.34,2.42,81200,2.405422
2015-09-30,2.25,2.38,2.24,2.35,91100,2.335843
2015-09-29,2.33,2.43,2.21,2.26,141100,2.246385
2015-09-28,2.56,2.56,2.31,2.35,159900,2.335843
2015-09-25,2.63,2.63,2.52,2.56,60600,2.544578
2015-09-24,2.58,2.62,2.55,2.60,56200,2.584337
2015-09-23,2.56,2.65,2.55,2.60,33200,2.584337
2015-09-22,2.64,2.64,2.59,2.61,70700,2.561476
2015-09-21,2.70,2.70,2.55,2.63,95800,2.581104
2015-09-18,2.74,2.74,2.60,2.60,121800,2.551662
2015-09-17,2.70,2.73,2.69,2.72,35600,2.669431
2015-09-16,2.72,2.74,2.64,2.72,114700,2.669431
2015-09-15,2.65,2.72,2.60,2.70,53000,2.649803
2015-09-14,2.56,2.65,2.54,2.65,112600,2.600732
2015-09-11,2.51,2.57,2.48,2.57,154700,2.52222
2015-09-10,2.50,2.55,2.47,2.52,61100,2.473149
2015-09-09,2.51,2.56,2.47,2.51,50300,2.463335
2015-09-08,2.54,2.59,2.46,2.53,345700,2.482963
2015-09-04,2.53,2.55,2.46,2.55,184200,2.502591
2015-09-03,2.52,2.55,2.48,2.53,175300,2.482963
2015-09-02,2.55,2.55,2.41,2.48,133500,2.433893
2015-09-01,2.55,2.61,2.46,2.48,88500,2.433893
2015-08-31,2.53,2.61,2.49,2.55,74500,2.502591
2015-08-28,2.49,2.65,2.47,2.57,183100,2.52222
2015-08-27,2.50,2.65,2.48,2.49,164400,2.443707
2015-08-26,2.49,2.49,2.37,2.47,205800,2.424079
2015-08-25,2.34,2.43,2.30,2.34,211600,2.296496
2015-08-24,2.35,2.39,2.30,2.30,185300,2.257239
2015-08-21,2.40,2.41,2.36,2.39,103700,2.345566
2015-08-20,2.39,2.43,2.37,2.40,113600,2.35538
2015-08-19,2.44,2.44,2.37,2.38,40700,2.335752
2015-08-18,2.43,2.43,2.37,2.38,60100,2.335752
2015-08-17,2.37,2.42,2.31,2.40,189900,2.35538
2015-08-14,2.40,2.40,2.28,2.30,63000,2.257239
2015-08-13,2.36,2.45,2.26,2.37,116400,2.325938
2015-08-12,2.49,2.49,2.32,2.35,156400,2.30631
2015-08-11,2.16,2.45,2.16,2.44,357900,2.394637
2015-08-10,2.14,2.20,2.07,2.14,179000,2.100214
2015-08-07,2.08,2.20,2.08,2.08,123100,2.041329
2015-08-06,2.16,2.16,2.05,2.09,89400,2.051144
2015-08-05,2.15,2.28,2.15,2.16,58000,2.119842
2015-08-04,2.23,2.33,2.15,2.15,63200,2.110028
2015-08-03,2.20,2.25,2.17,2.20,84900,2.159099
2015-07-31,2.19,2.32,2.15,2.15,125800,2.110028
2015-07-30,2.23,2.25,2.15,2.18,65300,2.13947
2015-07-29,2.11,2.22,2.10,2.22,61200,2.178727
2015-07-28,2.06,2.24,1.96,2.15,282400,2.110028
2015-07-27,2.17,2.22,2.12,2.15,72000,2.110028
2015-07-24,2.31,2.39,2.07,2.23,177800,2.188541
2015-07-23,2.38,2.41,2.22,2.27,246600,2.227797
2015-07-22,2.34,2.45,2.33,2.42,82300,2.375008
2015-07-21,2.33,2.40,2.31,2.32,61000,2.276867
2015-07-20,2.33,2.54,2.33,2.36,97400,2.316124
2015-07-17,2.42,2.50,2.38,2.46,167800,2.414265
2015-07-16,2.44,2.53,2.36,2.40,104000,2.35538
2015-07-15,2.40,2.52,2.33,2.46,146500,2.414265
2015-07-14,2.47,2.55,2.45,2.45,58800,2.404451
2015-07-13,2.50,2.57,2.45,2.45,94900,2.404451
2015-07-10,2.44,2.49,2.37,2.45,64800,2.404451
2015-07-09,2.41,2.42,2.34,2.37,50900,2.325938
2015-07-08,2.33,2.39,2.30,2.35,123000,2.30631
2015-07-07,2.40,2.43,2.32,2.38,82000,2.335752
2015-07-06,2.37,2.38,2.30,2.30,89800,2.257239
2015-07-02,2.33,2.44,2.33,2.38,80900,2.335752
2015-07-01,2.32,2.46,2.32,2.37,123800,2.325938
2015-06-30,2.42,2.48,2.27,2.27,195600,2.227797
2015-06-29,2.49,2.53,2.37,2.37,722200,2.325938
2015-06-26,2.56,2.59,2.47,2.49,2169000,2.443707
2015-06-25,2.58,2.60,2.52,2.52,89800,2.473149
2015-06-24,2.59,2.66,2.47,2.55,142300,2.502591
2015-06-23,2.47,2.62,2.46,2.59,236000,2.509461
2015-06-22,2.66,2.66,2.59,2.63,131300,2.548218
2015-06-19,2.55,2.66,2.48,2.57,224900,2.490083
2015-06-18,2.47,2.55,2.45,2.55,151000,2.470705
2015-06-17,2.65,2.65,2.43,2.45,145600,2.373815
2015-06-16,2.48,2.49,2.45,2.45,122500,2.373815
2015-06-15,2.50,2.55,2.45,2.49,187900,2.412571
