Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,11.53,12.18,10.81,11.59,80500,11.59
2015-10-08,11.14,11.76,10.49,11.55,50100,11.55
2015-10-07,10.62,11.28,10.12,11.25,81000,11.25
2015-10-06,11.21,11.73,10.55,10.65,147800,10.65
2015-10-05,11.18,11.91,10.38,11.31,120200,11.31
2015-10-02,10.23,11.32,9.70,11.09,89700,11.09
2015-10-01,10.37,10.405,9.65,10.24,129700,10.24
2015-09-30,9.83,10.88,9.83,10.26,129100,10.26
2015-09-29,10.95,11.266,9.585,9.87,149000,9.87
2015-09-28,13.24,13.24,10.235,10.78,262800,10.78
2015-09-25,15.20,15.80,13.27,13.27,298500,13.27
2015-09-24,15.27,16.190001,13.795,15.19,125000,15.19
2015-09-23,15.63,15.88,14.90,15.33,104200,15.33
2015-09-22,16.290001,16.43,15.07,15.55,124500,15.55
2015-09-21,17.860001,18.040001,16.209999,16.549999,69000,16.549999
2015-09-18,18.280001,18.870001,17.75,17.870001,218900,17.870001
2015-09-17,18.799999,19.035,18.219999,18.50,53400,18.50
2015-09-16,19.219999,19.462,18.620001,18.780001,93600,18.780001
2015-09-15,18.91,19.667999,18.190001,19.190001,86400,19.190001
2015-09-14,16.969999,19.177999,16.940001,18.73,192800,18.73
2015-09-11,18.24,18.35,16.639999,16.959999,85500,16.959999
2015-09-10,15.45,18.549999,15.21,18.43,115700,18.43
2015-09-09,15.79,15.79,15.20,15.43,40600,15.43
2015-09-08,14.65,15.75,14.60,15.71,56800,15.71
2015-09-04,14.52,14.66,14.06,14.41,52600,14.41
2015-09-03,14.56,15.45,14.10,14.74,48400,14.74
2015-09-02,14.31,14.70,13.62,14.51,80300,14.51
2015-09-01,14.23,15.05,13.56,14.08,69200,14.08
2015-08-31,14.56,14.56,14.00,14.48,42000,14.48
2015-08-28,15.35,15.65,14.29,14.79,119800,14.79
2015-08-27,14.39,15.86,14.25,15.55,43900,15.55
2015-08-26,14.14,14.30,13.39,14.30,46100,14.30
2015-08-25,14.10,14.58,13.30,13.73,136000,13.73
2015-08-24,12.69,14.545,12.05,13.72,78800,13.72
2015-08-21,14.14,14.50,13.802,14.04,50000,14.04
2015-08-20,14.48,14.95,14.251,14.49,47600,14.49
2015-08-19,15.06,15.43,14.33,14.62,113000,14.62
2015-08-18,16.120001,16.190001,15.00,15.11,65100,15.11
2015-08-17,14.31,16.99,14.31,16.10,102000,16.10
2015-08-14,14.72,14.94,14.17,14.33,37600,14.33
2015-08-13,16.98,17.040001,14.63,14.76,81200,14.76
2015-08-12,17.02,17.450001,16.33,17.030001,31000,17.030001
2015-08-11,18.01,18.01,16.77,17.059999,52500,17.059999
2015-08-10,18.59,18.59,17.91,18.129999,67300,18.129999
2015-08-07,18.75,19.00,18.52,18.52,43700,18.52
2015-08-06,20.84,20.84,18.25,18.75,78000,18.75
2015-08-05,20.16,21.00,19.709999,20.85,57900,20.85
2015-08-04,19.620001,20.427,19.620001,19.879999,46600,19.879999
2015-08-03,18.67,20.299999,18.41,19.49,79000,19.49
2015-07-31,18.299999,19.308001,17.65,18.75,80600,18.75
2015-07-30,17.455999,18.610001,17.455999,18.139999,56900,18.139999
2015-07-29,18.799999,18.809999,17.459999,17.639999,113600,17.639999
2015-07-28,17.209999,19.49,17.200001,18.91,137400,18.91
2015-07-27,17.57,17.809999,17.114,17.52,30200,17.52
2015-07-24,16.66,18.34,15.326,17.709999,145100,17.709999
2015-07-23,17.50,17.587999,16.42,16.67,128600,16.67
2015-07-22,15.72,17.165001,15.72,16.700001,109200,16.700001
2015-07-21,16.10,16.10,15.45,15.80,64100,15.80
2015-07-20,17.209999,17.209999,15.82,15.99,107900,15.99
2015-07-17,17.950001,18.709999,16.950001,16.98,127600,16.98
2015-07-16,17.59,18.209999,17.389999,17.870001,85200,17.870001
2015-07-15,17.85,17.940001,16.559999,17.49,93400,17.49
2015-07-14,19.25,19.346001,17.700001,17.959999,126300,17.959999
2015-07-13,18.549999,19.639999,18.40,19.450001,156200,19.450001
2015-07-10,15.63,18.629999,15.51,18.360001,164200,18.360001
2015-07-09,15.08,15.662,15.08,15.33,58000,15.33
2015-07-08,16.059999,16.059999,14.76,14.96,127600,14.96
2015-07-07,16.17,16.639999,15.40,16.16,75700,16.16
2015-07-06,16.50,17.02,15.78,16.24,61100,16.24
