Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,3.72,3.815,3.55,3.63,31600,3.63
2015-10-08,3.71,3.77,3.53,3.73,118300,3.73
2015-10-07,3.50,3.90,3.48,3.75,80500,3.75
2015-10-06,4.23,4.23,3.50,3.53,83800,3.53
2015-10-05,4.06,4.10,3.72,3.72,128800,3.72
2015-10-02,4.73,4.73,4.01,4.07,123800,4.07
2015-10-01,4.38,4.79,4.26,4.76,225900,4.76
2015-09-30,4.74,4.74,3.82,4.30,1523500,4.30
2015-09-29,5.00,5.29,4.86,4.98,117800,4.98
2015-09-28,5.51,5.635,4.785,4.98,146600,4.98
2015-09-25,5.80,5.90,5.72,5.75,152200,5.75
2015-09-24,5.96,5.96,5.72,5.84,48800,5.84
2015-09-23,5.69,6.04,5.69,5.98,52000,5.98
2015-09-22,5.92,5.99,5.66,5.76,89600,5.76
2015-09-21,5.79,6.23,5.70,5.94,157100,5.94
2015-09-18,6.44,6.99,5.38,5.38,398200,5.38
2015-09-17,6.59,6.59,6.38,6.47,101300,6.47
2015-09-16,6.50,7.01,6.38,6.40,71000,6.40
2015-09-15,6.98,7.20,6.42,6.54,82700,6.54
2015-09-14,6.97,7.01,6.21,7.00,41500,7.00
2015-09-11,7.24,7.24,6.98,6.98,36600,6.98
2015-09-10,7.19,7.24,6.82,6.94,74300,6.94
2015-09-09,6.98,7.37,6.98,7.31,52600,7.31
2015-09-08,7.00,7.175,6.46,6.99,112600,6.99
2015-09-04,7.14,7.14,6.621,6.84,61200,6.84
2015-09-03,6.17,6.93,6.17,6.82,119200,6.82
2015-09-02,6.10,6.177,6.01,6.10,117700,6.10
2015-09-01,6.23,6.25,5.81,6.00,153300,6.00
2015-08-31,6.20,6.63,6.13,6.21,211300,6.21
2015-08-28,7.41,7.42,6.65,6.75,190300,6.75
2015-08-27,6.762,7.805,6.762,7.42,58300,7.42
2015-08-26,6.45,7.16,6.45,6.89,133800,6.89
2015-08-25,6.52,7.37,6.48,6.59,83000,6.59
2015-08-24,6.87,7.35,6.07,6.12,135900,6.12
2015-08-21,7.84,7.84,7.205,7.35,78900,7.35
2015-08-20,7.89,8.25,7.49,7.95,103200,7.95
2015-08-19,8.28,8.28,7.81,7.97,108500,7.97
2015-08-18,8.42,8.58,8.241,8.39,122200,8.39
2015-08-17,8.16,8.58,7.44,8.56,145800,8.56
2015-08-14,6.89,7.47,6.86,7.43,50300,7.43
2015-08-13,6.57,7.10,6.57,7.07,71800,7.07
2015-08-12,6.30,6.56,6.12,6.55,102700,6.55
2015-08-11,6.75,6.76,6.31,6.33,151700,6.33
2015-08-10,6.36,6.79,6.36,6.68,158600,6.68
2015-08-07,6.95,6.95,6.40,6.46,179900,6.46
2015-08-06,6.70,7.17,6.452,6.63,241800,6.63
2015-08-05,7.01,7.128,6.50,6.77,169000,6.77
2015-08-04,7.35,7.38,6.40,6.72,85800,6.72
2015-08-03,7.45,7.50,6.70,7.16,183900,7.16
2015-07-31,7.45,7.45,7.15,7.37,61000,7.37
2015-07-30,7.27,7.49,7.09,7.27,156600,7.27
2015-07-29,6.80,7.20,6.49,7.20,81600,7.20
2015-07-28,6.40,6.74,6.40,6.71,82100,6.71
2015-07-27,7.11,7.45,6.08,6.53,135100,6.53
2015-07-24,7.01,7.449,7.01,7.18,36000,7.18
2015-07-23,7.30,7.30,6.96,7.17,66600,7.17
2015-07-22,7.26,7.30,7.00,7.19,57000,7.19
2015-07-21,7.16,7.68,7.01,7.33,77000,7.33
2015-07-20,6.98,7.66,6.755,6.91,134300,6.91
2015-07-17,7.20,7.50,7.00,7.47,53000,7.47
2015-07-16,7.25,7.25,6.726,7.13,33800,7.13
2015-07-15,6.89,7.10,6.74,6.99,22400,6.99
2015-07-14,6.80,7.08,6.75,7.00,67600,7.00
2015-07-13,6.87,6.95,6.69,6.88,38900,6.88
2015-07-10,6.97,7.00,6.80,6.91,17700,6.91
2015-07-09,7.15,7.15,6.50,7.00,29100,7.00
2015-07-08,7.38,7.38,6.522,7.15,71300,7.15
2015-07-07,7.12,7.50,6.76,6.89,37400,6.89
2015-07-06,6.57,7.21,6.40,6.87,160100,6.87
2015-07-02,6.49,6.73,6.47,6.67,54900,6.67
2015-07-01,6.36,6.38,6.13,6.32,65600,6.32
2015-06-30,6.24,6.39,6.13,6.19,21500,6.19
2015-06-29,6.12,6.35,6.02,6.15,120100,6.15
2015-06-26,6.60,6.77,6.18,6.43,306300,6.43
2015-06-25,6.12,7.19,5.97,6.77,2066900,6.77
