Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,98.150002,98.25,94.730003,95.449997,5172600,94.666881
2015-10-08,95.57,97.510002,95.160004,97.50,3712300,96.700065
2015-10-07,95.230003,96.629997,92.769997,95.589996,5468700,94.805732
2015-10-06,90.879997,94.57,90.529999,93.629997,4996400,92.861814
2015-10-05,89.489998,91.290001,89.370003,90.550003,4334000,89.807089
2015-10-02,83.93,88.470001,83.839996,88.43,2967800,87.70448
2015-10-01,84.720001,87.040001,84.129997,85.980003,5318500,85.274584
2015-09-30,82.330002,84.059998,81.959999,83.360001,3580500,82.676077
2015-09-29,80.839996,81.900002,80.139999,80.959999,3733000,80.295766
2015-09-28,83.489998,83.660004,80.220001,80.599998,3504700,79.938719
2015-09-25,85.050003,85.230003,83.669998,84.510002,2758900,83.816643
2015-09-24,82.160004,84.300003,80.82,83.849998,4057700,83.162055
2015-09-23,84.93,85.860001,83.089996,83.199997,3066200,82.517386
2015-09-22,85.019997,85.690002,84.019997,84.93,3770900,84.233196
2015-09-21,86.220001,87.510002,85.739998,86.760002,3102100,86.048183
2015-09-18,84.529999,85.769997,84.010002,85.690002,6854800,84.986962
2015-09-17,86.269997,87.620003,85.860001,86.199997,4302200,85.492773
2015-09-16,84.300003,87.419998,83.669998,87.300003,3935700,86.583754
2015-09-15,82.800003,84.410004,82.650002,83.779999,3989700,83.092629
2015-09-14,83.68,83.730003,81.650002,82.389999,3496100,81.714034
2015-09-11,83.489998,83.970001,82.620003,83.769997,3845200,83.082709
2015-09-10,82.879997,85.029999,82.779999,84.110001,3701000,83.419923
2015-09-09,85.010002,86.080002,82.660004,83.120003,5653900,82.438048
2015-09-08,81.889999,83.50,81.699997,83.169998,3429000,82.487633
2015-09-04,80.82,81.760002,79.779999,80.25,4031700,79.591592
2015-09-03,83.339996,84.129997,82.150002,82.690002,3706800,82.011576
2015-09-02,82.980003,82.980003,80.940002,82.760002,3565800,82.081001
2015-09-01,82.309998,84.82,81.110001,81.550003,4562700,80.880929
2015-08-31,83.239998,86.169998,82.50,85.379997,3472500,84.6795
2015-08-28,84.019997,86.349998,84.019997,85.43,4249100,84.729093
2015-08-27,83.00,85.940002,82.610001,85.260002,6441000,84.56049
2015-08-26,80.769997,81.580002,79.739998,80.900002,7122200,80.236261
2015-08-25,81.75,82.230003,77.650002,77.720001,7428200,77.082351
2015-08-24,75.00,80.690002,72.760002,77.25,7916800,76.616205
2015-08-21,82.860001,83.470001,80.150002,80.25,6246500,79.591592
2015-08-20,84.480003,85.760002,83.790001,83.910004,4695800,82.447967
2015-08-19,85.309998,85.690002,82.800003,84.93,5802000,83.450191
2015-08-18,87.190002,87.690002,85.919998,86.18,3215300,84.678411
2015-08-17,86.760002,87.699997,85.50,87.32,3411200,85.798548
2015-08-14,89.089996,90.099998,86.550003,87.110001,4581000,85.592207
2015-08-13,89.489998,89.879997,88.489998,89.279999,3137300,87.724396
2015-08-12,87.93,89.82,87.300003,89.379997,3899300,87.822652
2015-08-11,89.269997,89.550003,88.150002,89.360001,3525400,87.803004
2015-08-10,87.50,91.50,86.360001,91.419998,4384200,89.827108
2015-08-07,89.800003,90.519997,86.870003,86.989998,4421800,85.474296
2015-08-06,91.400002,92.099998,90.010002,90.18,3443100,88.608716
2015-08-05,92.449997,93.459999,90.889999,91.639999,3867900,90.043276
2015-08-04,90.529999,91.93,90.440002,91.559998,3098800,89.964668
2015-08-03,93.349998,93.529999,89.059998,90.07,6221200,88.500632
2015-07-31,94.940002,95.75,93.50,93.830002,3303000,92.19512
2015-07-30,93.800003,94.199997,92.660004,94.150002,2351400,92.509544
2015-07-29,92.949997,94.989998,91.269997,93.760002,5471600,92.12634
2015-07-28,93.239998,93.360001,88.699997,92.459999,6223800,90.848988
2015-07-27,89.040001,90.699997,88.760002,89.849998,4871200,88.284464
2015-07-24,93.989998,93.989998,88.510002,90.370003,6388500,88.795408
2015-07-23,96.089996,96.110001,93.779999,93.800003,4504800,92.165644
2015-07-22,95.949997,96.279999,95.099998,95.709999,2980000,94.042361
2015-07-21,96.370003,97.559998,95.190002,96.059998,3223800,94.386261
2015-07-20,97.050003,97.50,95.32,96.230003,3873500,94.553304
2015-07-17,100.43,100.43,96.910004,97.50,3825200,95.801173
2015-07-16,100.75,101.489998,99.910004,100.75,1975700,98.994545
2015-07-15,100.980003,101.370003,99.50,100.300003,2225400,98.552389
2015-07-14,99.339996,101.400002,99.029999,101.120003,3021700,99.358101
2015-07-13,99.129997,99.959999,98.879997,99.449997,2078700,97.717193
2015-07-10,98.519997,99.059998,97.589996,98.379997,2130400,96.665837
2015-07-09,96.82,98.93,96.68,97.309998,3585400,95.614481
2015-07-08,96.449997,96.839996,94.459999,95.07,3426200,93.413513
2015-07-07,98.800003,99.00,94.290001,97.620003,9028200,95.919085
2015-07-06,100.00,101.559998,98.629997,98.75,3860400,97.029393
2015-07-02,101.50,102.029999,101.029999,101.650002,2396000,99.878865
2015-07-01,104.150002,104.660004,100.50,101.059998,4304700,99.299141
2015-06-30,102.370003,104.949997,102.25,103.519997,3005900,101.716278
2015-06-29,102.639999,103.620003,101.550003,101.620003,2936800,99.849389
2015-06-26,105.730003,106.360001,104.32,104.629997,2860200,102.806938
2015-06-25,105.169998,106.50,104.889999,106.129997,2883300,104.280802
2015-06-24,104.650002,105.099998,103.760002,104.809998,2980500,102.983802
2015-06-23,105.00,105.330002,103.709999,104.449997,3171600,102.630074
2015-06-22,104.970001,105.480003,104.010002,104.959999,2012100,103.13119
2015-06-19,104.519997,105.050003,103.93,103.940002,3179800,102.128966
2015-06-18,104.510002,105.379997,103.760002,104.82,3366200,102.99363
2015-06-17,105.220001,105.720001,102.559998,103.639999,4748200,101.83419
2015-06-16,103.389999,104.769997,102.720001,104.669998,1764000,102.846242
2015-06-15,103.059998,104.309998,102.489998,103.870003,1649800,102.060186
2015-06-12,103.949997,104.580002,103.50,104.279999,2091900,102.463038
2015-06-11,104.260002,104.790001,103.809998,104.32,1907800,102.502342
2015-06-10,103.00,104.910004,102.669998,104.059998,3442400,102.24687
2015-06-09,100.300003,102.699997,100.239998,101.830002,3013700,100.055729
2015-06-08,99.779999,100.379997,99.339996,99.480003,2726600,97.746677
2015-06-05,99.269997,100.620003,98.620003,99.68,3291900,97.943189
2015-06-04,100.839996,101.190002,99.400002,99.480003,5154400,97.746677
2015-06-03,103.029999,104.349998,102.610001,102.779999,4929600,100.989174
2015-06-02,101.360001,103.330002,101.360001,102.32,3617500,100.53719
2015-06-01,101.790001,102.410004,100.639999,101.43,2130800,99.662697
2015-05-29,101.120003,102.370003,100.739998,101.099998,4396700,99.338445
2015-05-28,99.639999,101.550003,99.639999,101.459999,2599700,99.692173
2015-05-27,100.730003,101.82,99.919998,101.339996,2669300,99.574262
2015-05-26,101.879997,102.110001,99.800003,100.620003,3000000,98.866813
2015-05-22,103.120003,103.849998,102.239998,102.900002,2071200,101.107085
2015-05-21,101.900002,104.120003,101.900002,103.419998,2077600,101.618022
2015-05-20,101.510002,102.43,100.82,101.809998,2459900,100.036074
2015-05-19,103.559998,104.07,100.169998,101.230003,4413200,99.466185
2015-05-18,104.199997,104.660004,103.339996,104.400002,1949400,102.58095
2015-05-15,103.769997,104.82,102.839996,104.739998,2438700,102.915022
2015-05-14,104.900002,105.779999,103.959999,104.209999,2451700,102.394258
2015-05-13,103.360001,105.18,103.209999,104.400002,3190600,102.58095
2015-05-12,103.150002,104.349998,102.339996,103.230003,2169300,101.431337
2015-05-11,103.839996,104.379997,103.269997,103.419998,2007600,101.618022
2015-05-08,107.029999,107.32,102.660004,103.830002,3905800,102.020882
2015-05-07,101.379997,102.480003,100.019997,101.790001,4461100,100.016425
