Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,29.35,29.48,28.780001,28.799999,260800,28.022033
2015-10-08,29.10,29.469999,28.969999,29.379999,214300,28.586366
2015-10-07,28.60,29.25,28.58,28.98,333300,28.197171
2015-10-06,28.01,28.59,27.959999,28.51,291400,27.739868
2015-10-05,27.799999,28.030001,27.74,28.01,280900,27.253374
2015-10-02,27.33,27.76,27.110001,27.74,217900,26.990667
2015-10-01,26.66,27.77,26.66,27.690001,356900,26.942019
2015-09-30,26.51,27.00,26.459999,26.66,545200,25.939841
2015-09-29,26.870001,26.91,26.17,26.379999,595000,25.667404
2015-09-28,27.709999,27.709999,26.08,26.860001,827200,26.134439
2015-09-25,27.870001,27.99,27.73,27.790001,190200,27.039318
2015-09-24,27.65,27.809999,27.52,27.719999,174900,26.971207
2015-09-23,28.00,28.219999,27.719999,27.77,266700,27.019858
2015-09-22,28.40,28.40,27.93,27.98,240300,27.224184
2015-09-21,28.200001,28.42,28.17,28.27,147500,27.506351
2015-09-18,27.98,28.200001,27.93,28.120001,189100,27.360404
2015-09-17,28.379999,28.559999,28.120001,28.219999,187600,27.457701
2015-09-16,28.459999,28.73,28.370001,28.66,179900,27.710679
2015-09-15,28.24,28.58,28.16,28.440001,151500,27.497967
2015-09-14,28.51,28.52,28.129999,28.200001,223600,27.265917
2015-09-11,28.360001,28.530001,28.209999,28.530001,165400,27.584986
2015-09-10,28.32,28.639999,28.200001,28.440001,222600,27.497967
2015-09-09,28.67,28.74,28.27,28.35,239400,27.410948
2015-09-08,28.17,28.52,28.02,28.50,184800,27.555979
2015-09-04,27.709999,27.959999,27.52,27.85,220700,26.927509
2015-09-03,27.90,28.00,27.73,27.799999,284000,26.879164
2015-09-02,28.00,28.18,27.52,27.83,204700,26.908171
2015-09-01,27.77,27.870001,27.450001,27.719999,285300,26.801814
2015-08-31,28.440001,28.440001,28.08,28.09,268100,27.15956
2015-08-28,28.299999,28.559999,28.07,28.540001,282600,27.594655
2015-08-27,28.08,28.50,28.049999,28.42,279500,27.478629
2015-08-26,27.76,27.969999,27.15,27.77,443000,26.850159
2015-08-25,28.00,28.41,27.27,27.299999,497400,26.395726
2015-08-24,27.77,28.190001,26.50,27.15,773100,26.250695
2015-08-21,28.620001,28.84,28.309999,28.379999,423700,27.439953
2015-08-20,29.23,29.299999,28.82,28.82,275400,27.865379
2015-08-19,29.459999,29.59,29.129999,29.389999,292600,28.416498
2015-08-18,29.530001,29.67,29.379999,29.58,288600,28.600205
2015-08-17,29.559999,29.860001,29.42,29.719999,391100,28.566364
2015-08-14,29.40,29.68,29.370001,29.559999,185300,28.412575
2015-08-13,29.309999,29.52,29.16,29.43,192700,28.287622
2015-08-12,29.209999,29.32,28.620001,29.27,300900,28.133832
2015-08-11,29.290001,29.40,29.129999,29.299999,173000,28.162667
2015-08-10,29.32,29.639999,28.940001,29.51,318900,28.364516
2015-08-07,28.700001,30.200001,28.690001,29.18,878500,28.047326
2015-08-06,29.940001,30.00,28.52,28.709999,871200,27.595569
2015-08-05,30.370001,30.530001,29.76,29.889999,328900,28.729765
2015-08-04,30.33,30.51,30.030001,30.200001,243000,29.027733
2015-08-03,30.370001,30.540001,30.209999,30.34,341300,29.162298
2015-07-31,30.559999,30.74,30.299999,30.389999,200800,29.210357
2015-07-30,30.690001,30.84,30.48,30.60,212400,29.412206
2015-07-29,30.73,30.940001,30.559999,30.67,232400,29.479489
2015-07-28,30.27,30.98,30.209999,30.59,290800,29.402594
2015-07-27,30.440001,30.49,30.139999,30.299999,452200,29.12385
2015-07-24,31.33,31.41,30.360001,30.610001,499700,29.421818
2015-07-23,31.77,31.950001,31.280001,31.309999,259900,30.094645
2015-07-22,32.34,32.439999,31.629999,31.74,285400,30.507954
2015-07-21,32.400002,32.48,32.169998,32.439999,168300,31.180781
2015-07-20,32.720001,32.77,32.27,32.310001,135100,31.05583
2015-07-17,32.849998,32.91,32.66,32.73,143400,31.459525
