Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,15.40,16.91,15.40,16.34,431700,16.34
2015-10-08,15.25,15.88,15.101,15.48,156100,15.48
2015-10-07,14.83,15.25,14.78,15.18,106000,15.18
2015-10-06,14.75,15.45,14.41,14.85,115500,14.85
2015-10-05,15.25,15.44,14.34,14.81,91500,14.81
2015-10-02,14.51,15.28,14.17,15.27,245600,15.27
2015-10-01,15.74,16.200001,14.60,14.67,333000,14.67
2015-09-30,15.95,16.40,15.52,15.63,1144700,15.63
2015-09-29,15.83,16.115,15.05,15.98,303200,15.98
2015-09-28,15.84,16.26,14.75,15.71,815300,15.71
2015-09-25,16.200001,17.450001,15.90,16.76,673000,16.76
2015-09-24,15.66,16.00,15.275,15.90,450100,15.90
2015-09-23,16.110001,16.17,15.59,15.87,139900,15.87
2015-09-22,15.38,16.23,15.38,15.75,269800,15.75
2015-09-21,15.74,15.90,15.45,15.66,92900,15.66
2015-09-18,15.61,16.10,15.22,15.66,633800,15.66
2015-09-17,15.43,16.07,15.41,15.77,151200,15.77
2015-09-16,15.79,15.85,15.15,15.73,205900,15.73
2015-09-15,15.50,15.85,15.00,15.69,275000,15.69
2015-09-14,14.54,15.90,14.16,15.51,265100,15.51
2015-09-11,14.83,14.98,14.12,14.27,169100,14.27
2015-09-10,15.18,15.18,14.27,14.87,261300,14.87
2015-09-09,15.92,16.00,15.01,15.14,118300,15.14
2015-09-08,15.27,15.75,15.184,15.68,165000,15.68
2015-09-04,15.16,15.65,15.134,15.45,121200,15.45
2015-09-03,14.95,15.63,14.44,15.54,207000,15.54
2015-09-02,14.10,15.28,13.78,14.96,168900,14.96
2015-09-01,14.00,14.10,13.56,14.03,184500,14.03
2015-08-31,13.79,14.135,13.34,14.02,111300,14.02
2015-08-28,13.25,13.80,13.07,13.74,144800,13.74
2015-08-27,12.30,13.18,11.80,13.18,166700,13.18
2015-08-26,13.26,13.474,11.92,12.06,261700,12.06
2015-08-25,13.93,14.20,12.78,12.80,421700,12.80
2015-08-24,12.82,14.04,11.94,13.74,229800,13.74
2015-08-21,13.11,13.815,12.72,13.74,115400,13.74
2015-08-20,12.92,13.60,12.86,13.37,256000,13.37
2015-08-19,13.01,13.435,12.93,13.28,217200,13.28
2015-08-18,12.80,13.14,12.461,13.02,226500,13.02
2015-08-17,12.37,13.03,12.37,12.80,157100,12.80
2015-08-14,12.01,12.55,11.82,12.33,129200,12.33
2015-08-13,11.65,11.92,11.08,11.82,272400,11.82
2015-08-12,11.42,11.87,11.21,11.58,255700,11.58
2015-08-11,11.60,11.695,10.96,11.54,198200,11.54
2015-08-10,10.46,11.59,10.41,11.50,176400,11.50
2015-08-07,10.18,10.51,9.90,10.335,392300,10.335
2015-08-06,10.00,10.37,9.92,9.99,113800,9.99
2015-08-05,9.78,11.27,9.571,9.98,851400,9.98
2015-08-04,9.80,9.831,9.14,9.24,260900,9.24
2015-08-03,9.98,10.11,9.39,9.55,256800,9.55
2015-07-31,10.12,10.238,9.35,9.80,161200,9.80
2015-07-30,10.41,10.49,9.69,9.99,173400,9.99
2015-07-29,10.87,11.12,10.145,10.30,122200,10.30
2015-07-28,11.09,11.25,10.55,11.01,234700,11.01
2015-07-27,11.52,11.52,10.91,11.24,82600,11.24
2015-07-24,12.18,12.18,10.75,11.63,127900,11.63
2015-07-23,12.00,12.11,11.88,12.02,133700,12.02
2015-07-22,12.18,12.25,11.88,11.90,161100,11.90
2015-07-21,12.00,12.41,12.00,12.14,79800,12.14
2015-07-20,12.60,12.74,12.00,12.04,116600,12.04
2015-07-17,12.95,12.95,12.30,12.51,143700,12.51
2015-07-16,12.99,13.216,12.85,12.88,41400,12.88
2015-07-15,12.77,13.47,12.508,13.11,186200,13.11
2015-07-14,13.55,13.556,12.70,12.78,538200,12.78
2015-07-13,13.16,13.55,13.03,13.36,182300,13.36
2015-07-10,12.35,13.64,12.35,13.24,227400,13.24
2015-07-09,12.12,12.42,12.12,12.32,152000,12.32
2015-07-08,11.95,12.27,11.76,12.07,153200,12.07
2015-07-07,12.50,12.50,11.28,12.26,300700,12.26
2015-07-06,13.00,13.11,12.59,12.65,103700,12.65
2015-07-02,13.49,13.50,12.61,13.02,377600,13.02
2015-07-01,13.67,13.70,13.261,13.50,118200,13.50
2015-06-30,14.41,14.41,13.28,13.83,125500,13.83
2015-06-29,13.40,13.99,13.05,13.75,102400,13.75
2015-06-26,14.49,14.49,13.61,13.82,323800,13.82
2015-06-25,13.93,14.49,13.85,14.25,384100,14.25
2015-06-24,13.93,13.94,13.75,13.90,434100,13.90
2015-06-23,13.28,13.90,13.00,13.90,640900,13.90
2015-06-22,12.05,13.09,12.00,12.95,1183700,12.95
2015-06-19,16.219999,16.25,11.56,11.56,10263300,11.56
