Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,16.93,17.10,16.91,17.049999,37100,16.774853
2015-10-08,17.110001,17.110001,16.799999,16.84,46100,16.568243
2015-10-07,17.030001,17.049999,16.879999,16.99,33800,16.715822
2015-10-06,17.299999,17.299999,16.92,17.049999,28200,16.774853
2015-10-05,16.780001,17.10,16.780001,16.91,42800,16.637113
2015-10-02,16.76,16.809999,16.76,16.790001,13600,16.519051
2015-10-01,16.780001,16.870001,16.76,16.76,23200,16.489534
2015-09-30,16.59,16.74,16.59,16.73,24800,16.460018
2015-09-29,16.51,16.66,16.51,16.620001,18700,16.351794
2015-09-28,16.48,16.57,16.42,16.50,44400,16.23373
2015-09-25,16.459999,16.540001,16.43,16.469999,10500,16.204213
2015-09-24,16.469999,16.48,16.43,16.43,7800,16.16486
2015-09-23,16.42,16.51,16.42,16.49,17900,16.223891
2015-09-22,16.60,16.610001,16.43,16.43,30400,16.16486
2015-09-21,16.620001,16.65,16.559999,16.57,6500,16.3026
2015-09-18,16.43,16.73,16.35,16.629999,41300,16.361631
2015-09-17,16.290001,16.450001,16.26,16.42,8400,16.155021
2015-09-16,16.309999,16.309999,16.190001,16.26,21100,15.997603
2015-09-15,16.469999,16.48,16.299999,16.299999,19100,16.036956
2015-09-14,16.610001,16.620001,16.469999,16.469999,7500,16.204213
2015-09-11,16.59,16.629999,16.52,16.57,14800,16.3026
2015-09-10,16.700001,16.76,16.65,16.65,4900,16.293745
2015-09-09,16.76,16.76,16.66,16.76,14500,16.401392
2015-09-08,16.559999,16.74,16.559999,16.73,18300,16.372033
2015-09-04,16.530001,16.66,16.50,16.66,13500,16.303531
2015-09-03,16.530001,16.57,16.48,16.530001,13200,16.176313
2015-09-02,16.41,16.50,16.40,16.450001,11900,16.098025
2015-09-01,16.389999,16.459999,16.309999,16.440001,31900,16.088239
2015-08-31,16.24,16.34,16.23,16.34,15100,15.990378
2015-08-28,16.18,16.299999,16.18,16.24,20400,15.892517
2015-08-27,16.10,16.25,16.10,16.25,23100,15.902304
2015-08-26,16.15,16.15,16.08,16.10,14500,15.755514
2015-08-25,16.049999,16.16,16.049999,16.139999,45300,15.794657
2015-08-24,16.43,16.43,16.10,16.10,22600,15.755514
2015-08-21,16.309999,16.309999,16.18,16.18,29300,15.833802
2015-08-20,16.25,16.309999,16.24,16.26,16800,15.91209
2015-08-19,16.27,16.299999,16.27,16.280001,14900,15.931662
2015-08-18,16.25,16.26,16.219999,16.25,11400,15.902304
2015-08-17,16.34,16.34,16.18,16.27,23600,15.921876
2015-08-14,16.40,16.40,16.26,16.280001,21700,15.931662
2015-08-13,16.34,16.40,16.309999,16.389999,14500,16.039308
2015-08-12,16.33,16.379999,16.32,16.379999,7200,16.029521
2015-08-11,16.33,16.40,16.309999,16.389999,17800,15.952212
2015-08-10,16.25,16.33,16.23,16.33,16300,15.893815
2015-08-07,16.200001,16.26,16.18,16.26,19600,15.825685
2015-08-06,16.129999,16.219999,16.129999,16.18,9800,15.747822
2015-08-05,16.24,16.26,16.139999,16.15,21500,15.718623
2015-08-04,16.200001,16.26,16.200001,16.219999,18900,15.786753
2015-08-03,16.280001,16.280001,16.219999,16.219999,15100,15.786753
2015-07-31,16.15,16.219999,16.15,16.219999,22500,15.786753
2015-07-30,16.16,16.16,16.110001,16.15,9500,15.718623
2015-07-29,16.110001,16.15,16.040001,16.09,23700,15.660226
2015-07-28,16.040001,16.10,16.040001,16.09,14600,15.660226
2015-07-27,16.120001,16.139999,16.059999,16.08,16700,15.650493
2015-07-24,16.10,16.16,16.049999,16.059999,25700,15.631027
2015-07-23,16.129999,16.18,16.08,16.08,44300,15.650493
2015-07-22,16.23,16.27,16.15,16.17,28700,15.738089
2015-07-21,16.200001,16.32,16.18,16.32,26100,15.884082
2015-07-20,16.27,16.290001,16.209999,16.25,22600,15.815952
2015-07-17,16.299999,16.33,16.280001,16.32,9700,15.884082
2015-07-16,16.379999,16.379999,16.299999,16.309999,27700,15.874349
2015-07-15,16.370001,16.42,16.35,16.42,25600,15.981412
2015-07-14,16.33,16.34,16.309999,16.33,21600,15.893815
2015-07-13,16.48,16.48,16.32,16.32,14000,15.884082
2015-07-10,16.309999,16.559999,16.25,16.559999,36000,16.031049
2015-07-09,16.26,16.389999,16.25,16.389999,33300,15.866479
2015-07-08,16.280001,16.379999,16.26,16.33,25700,15.808396
2015-07-07,16.25,16.379999,16.219999,16.280001,36500,15.759993
2015-07-06,16.16,16.280001,16.15,16.25,35000,15.730951
2015-07-02,15.96,16.17,15.96,16.16,56700,15.643826
2015-07-01,15.96,15.98,15.93,15.98,51600,15.469575
2015-06-30,15.97,16.02,15.90,15.92,49700,15.411492
2015-06-29,16.209999,16.209999,15.98,16.00,25800,15.488936
2015-06-26,16.23,16.25,16.190001,16.23,7300,15.711589
2015-06-25,16.299999,16.299999,16.219999,16.280001,21200,15.759993
2015-06-24,16.209999,16.26,16.190001,16.24,17500,15.72127
2015-06-23,16.17,16.25,16.139999,16.25,18400,15.730951
2015-06-22,16.190001,16.200001,16.09,16.200001,27000,15.682549
2015-06-19,16.139999,16.18,16.129999,16.17,18300,15.653506
2015-06-18,16.059999,16.139999,16.049999,16.139999,20200,15.624464
2015-06-17,16.01,16.07,15.98,16.07,17200,15.5567
2015-06-16,15.96,16.02,15.94,16.01,50400,15.498617
2015-06-15,16.00,16.08,15.95,15.95,58200,15.440533
2015-06-12,15.92,16.08,15.91,15.99,23100,15.479256
2015-06-11,15.81,15.92,15.81,15.92,28700,15.411492
2015-06-10,15.80,15.90,15.75,15.89,32500,15.296293
2015-06-09,15.87,15.89,15.77,15.80,34000,15.209655
2015-06-08,16.110001,16.110001,15.88,15.88,78300,15.286666
2015-06-05,16.26,16.26,16.049999,16.059999,52600,15.45994
2015-06-04,16.389999,16.41,16.32,16.32,16600,15.710226
2015-06-03,16.459999,16.49,16.33,16.35,68000,15.739106
2015-06-02,16.549999,16.57,16.48,16.48,34400,15.864248
2015-06-01,16.60,16.690001,16.59,16.59,25000,15.970138
2015-05-29,16.66,16.66,16.59,16.629999,12500,16.008643
2015-05-28,16.559999,16.629999,16.530001,16.60,12000,15.979765
2015-05-27,16.51,16.58,16.51,16.549999,34400,15.931632
2015-05-26,16.549999,16.57,16.52,16.530001,8600,15.912381
2015-05-22,16.65,16.65,16.51,16.52,25400,15.902754
2015-05-21,16.610001,16.65,16.59,16.65,25000,16.027896
2015-05-20,16.58,16.639999,16.559999,16.57,19700,15.950885
2015-05-19,16.60,16.66,16.549999,16.620001,41900,15.999018
2015-05-18,16.77,16.77,16.60,16.610001,17100,15.989391
2015-05-15,16.690001,16.84,16.690001,16.84,33400,16.210797
2015-05-14,16.59,16.719999,16.549999,16.700001,23800,16.076029
2015-05-13,16.559999,16.59,16.50,16.530001,37000,15.912381
2015-05-12,16.639999,16.67,16.59,16.639999,42500,15.932595
2015-05-11,16.82,16.82,16.610001,16.700001,53200,15.990045
2015-05-08,16.83,16.870001,16.780001,16.84,32300,16.124093
2015-05-07,16.90,16.969999,16.799999,16.799999,38600,16.085793
2015-05-06,17.08,17.10,16.91,16.91,30400,16.191117
2015-05-05,17.120001,17.190001,17.08,17.120001,42000,16.39219
2015-05-04,17.18,17.24,17.110001,17.120001,56000,16.39219
2015-05-01,17.27,17.280001,17.129999,17.17,34900,16.440064
2015-04-30,17.25,17.26,17.24,17.25,12500,16.516663
2015-04-29,17.25,17.290001,17.25,17.27,16900,16.535813
2015-04-28,17.26,17.32,17.25,17.32,16000,16.583687
2015-04-27,17.280001,17.360001,17.25,17.280001,18000,16.545388
2015-04-24,17.32,17.34,17.280001,17.33,12000,16.593262
2015-04-23,17.290001,17.360001,17.290001,17.360001,10000,16.621987
2015-04-22,17.280001,17.309999,17.25,17.309999,13300,16.574112
2015-04-21,17.290001,17.34,17.280001,17.309999,14800,16.574112
2015-04-20,17.280001,17.34,17.280001,17.34,18600,16.602837
2015-04-17,17.25,17.299999,17.25,17.27,16800,16.535813
2015-04-16,17.209999,17.32,17.209999,17.32,14700,16.583687
2015-04-15,17.299999,17.299999,17.219999,17.26,33200,16.526238
2015-04-14,17.27,17.290001,17.23,17.24,30800,16.507088
2015-04-13,17.25,17.27,17.18,17.24,24100,16.507088
2015-04-10,17.299999,17.35,17.25,17.280001,21700,16.460172
2015-04-09,17.48,17.48,17.25,17.35,37900,16.52685
2015-04-08,17.389999,17.57,17.379999,17.549999,36200,16.71736
2015-04-07,17.25,17.41,17.25,17.41,13200,16.584003
2015-04-06,17.309999,17.389999,17.280001,17.280001,21200,16.460172
2015-04-02,17.42,17.450001,17.299999,17.299999,16700,16.479221
2015-04-01,17.49,17.540001,17.43,17.49,17200,16.660208
