Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.25,13.25,13.19,13.25,6200,13.074997
2015-10-08,13.33,13.33,13.08,13.16,2400,12.986185
2015-10-07,13.24,13.24,13.06,13.24,1000,13.065129
2015-10-06,13.06,13.15,13.06,13.15,5400,12.976317
2015-10-05,13.08,13.08,13.05,13.05,2100,12.877638
2015-10-02,13.02,13.13,12.96,13.09,8100,12.91711
2015-10-01,12.90,13.09,12.90,13.09,1900,12.91711
2015-09-30,13.02,13.09,12.88,13.00,6100,12.828299
2015-09-29,13.09,13.09,13.09,13.09,000,12.91711
2015-09-28,13.13,13.18,13.08,13.09,3500,12.91711
2015-09-25,12.96,13.13,12.96,13.03,800,12.857902
2015-09-24,13.16,13.16,13.15,13.15,1200,12.976317
2015-09-23,13.10,13.13,13.04,13.04,5100,12.86777
2015-09-22,13.11,13.11,13.10,13.10,1100,12.926978
2015-09-21,13.10,13.10,13.06,13.09,2100,12.91711
2015-09-18,13.14,13.18,13.10,13.10,3100,12.926978
2015-09-17,13.05,13.05,13.05,13.05,200,12.877638
2015-09-16,13.18,13.18,12.97,13.01,9200,12.838167
2015-09-15,13.12,13.19,13.12,13.19,2200,13.015789
2015-09-14,13.19,13.22,13.19,13.22,4700,13.045393
2015-09-11,13.32,13.32,13.32,13.32,000,13.144072
2015-09-10,13.28,13.32,13.27,13.32,700,13.086838
2015-09-09,13.27,13.27,13.25,13.25,2900,13.018064
2015-09-08,13.29,13.31,13.29,13.31,1200,13.077014
2015-09-04,13.50,13.50,13.30,13.31,1600,13.077014
2015-09-03,13.25,13.28,13.25,13.28,2900,13.047538
2015-09-02,13.25,13.25,13.09,13.25,4500,13.018064
2015-09-01,13.34,13.34,13.20,13.27,10800,13.037714
2015-08-31,13.34,13.34,13.34,13.34,100,13.106488
2015-08-28,13.27,13.27,13.26,13.26,1500,13.027889
2015-08-27,13.45,13.46,13.27,13.27,3300,13.037714
2015-08-26,13.35,13.35,13.35,13.35,2000,13.116314
2015-08-25,13.37,13.40,13.19,13.22,5900,12.988589
2015-08-24,13.39,13.98,13.20,13.40,11500,13.165438
2015-08-21,13.39,13.39,13.20,13.24,3400,13.008238
2015-08-20,13.65,13.65,13.35,13.36,3800,13.126138
2015-08-19,13.31,13.35,13.26,13.35,4700,13.116314
2015-08-18,13.30,13.31,13.22,13.31,1800,13.077014
2015-08-17,13.26,13.26,13.25,13.25,1300,13.018064
2015-08-14,13.38,13.38,13.33,13.36,3800,13.126138
2015-08-13,13.36,13.36,13.35,13.35,300,13.116314
2015-08-12,13.32,13.37,13.30,13.30,1000,13.067189
2015-08-11,13.36,13.36,13.35,13.35,900,13.059329
2015-08-10,13.31,13.33,13.28,13.28,1800,12.990852
2015-08-07,13.35,13.35,13.35,13.35,200,13.059329
2015-08-06,13.30,13.30,13.30,13.30,000,13.010417
2015-08-05,13.21,13.30,13.20,13.30,800,13.010417
2015-08-04,13.27,13.32,13.27,13.32,400,13.029981
2015-08-03,13.29,13.29,13.29,13.29,200,13.000635
2015-07-31,13.21,13.27,13.21,13.25,1400,12.961506
2015-07-30,13.21,13.31,13.21,13.22,1000,12.932159
2015-07-29,13.30,13.30,13.12,13.28,6900,12.990852
2015-07-28,13.30,13.30,13.30,13.30,200,13.010417
2015-07-27,13.34,13.34,13.30,13.30,1200,13.010417
2015-07-24,13.36,13.36,13.36,13.36,000,13.06911
2015-07-23,13.38,13.38,13.33,13.36,3600,13.06911
2015-07-22,13.37,13.40,13.35,13.38,4000,13.088675
2015-07-21,13.37,13.37,13.37,13.37,200,13.078893
2015-07-20,13.37,13.37,13.37,13.37,800,13.078893
2015-07-17,13.34,13.41,13.34,13.35,2400,13.059329
2015-07-16,13.47,13.47,13.35,13.35,2500,13.059329
2015-07-15,13.41,13.41,13.41,13.41,000,13.118022
2015-07-14,13.41,13.41,13.41,13.41,800,13.118022
2015-07-13,13.35,13.41,13.35,13.38,1400,13.088675
2015-07-10,13.54,13.59,13.47,13.55,3500,13.198237
2015-07-09,13.53,13.55,13.48,13.53,2500,13.178756
2015-07-08,13.50,13.50,13.50,13.50,300,13.149535
2015-07-07,13.45,13.53,13.35,13.52,6100,13.169016
2015-07-06,13.50,13.50,13.38,13.48,3400,13.130054
2015-07-02,13.46,13.46,13.34,13.36,4400,13.013169
2015-07-01,13.38,13.39,13.38,13.39,4500,13.042391
2015-06-30,13.60,13.60,13.47,13.50,2500,13.149535
2015-06-29,13.51,13.51,13.51,13.51,1000,13.159275
2015-06-26,13.53,13.63,13.53,13.53,5200,13.178756
2015-06-25,13.55,13.64,13.53,13.53,6600,13.178756
2015-06-24,13.65,13.65,13.57,13.57,900,13.217717
2015-06-23,13.66,13.66,13.66,13.66,000,13.305381
2015-06-22,13.65,13.78,13.65,13.66,9100,13.305381
2015-06-19,13.70,13.70,13.70,13.70,700,13.344343
2015-06-18,13.75,13.75,13.58,13.60,2000,13.246939
2015-06-17,13.65,13.70,13.60,13.68,7200,13.324862
2015-06-16,13.71,13.71,13.55,13.55,5400,13.198237
2015-06-15,13.76,13.76,13.55,13.76,4700,13.402785
2015-06-12,13.63,13.63,13.63,13.63,000,13.27616
2015-06-11,13.63,13.63,13.63,13.63,400,13.27616
2015-06-10,13.69,13.69,13.60,13.60,800,13.190445
2015-06-09,13.67,13.69,13.60,13.60,3100,13.190445
2015-06-08,13.78,13.79,13.68,13.68,6800,13.268036
2015-06-05,13.77,13.77,13.72,13.73,1700,13.316529
2015-06-04,13.90,13.90,13.70,13.70,8300,13.287433
2015-06-03,13.87,14.00,13.87,13.90,1400,13.48141
2015-06-02,14.02,14.13,13.94,13.99,1500,13.5687
2015-06-01,13.95,14.15,13.92,14.15,3900,13.723882
2015-05-29,14.00,14.00,13.79,13.98,12900,13.559001
2015-05-28,13.91,14.10,13.90,14.00,14000,13.578399
2015-05-27,14.14,14.47,13.90,14.00,38100,13.578399
2015-05-26,14.08,14.09,14.00,14.08,3300,13.65599
2015-05-22,14.25,14.28,13.99,14.10,15000,13.675388
2015-05-21,14.22,14.24,14.17,14.17,2800,13.74328
2015-05-20,14.14,14.25,14.14,14.17,8900,13.74328
2015-05-19,14.16,14.26,14.14,14.15,13300,13.723882
2015-05-18,14.46,14.46,14.46,14.46,000,14.024546
2015-05-15,14.46,14.46,14.46,14.46,000,14.024546
2015-05-14,14.72,14.77,14.45,14.46,3600,14.024546
2015-05-13,14.62,14.74,14.62,14.71,2700,14.267018
2015-05-12,14.48,14.73,14.47,14.72,500,14.220463
2015-05-11,14.65,14.79,14.52,14.65,26500,14.152838
2015-05-08,14.31,14.68,14.30,14.67,18800,14.172159
2015-05-07,14.32,14.45,14.30,14.41,13000,13.920983
2015-05-06,14.55,14.55,14.55,14.55,100,14.056232
2015-05-05,14.56,14.56,14.54,14.54,200,14.046571
2015-05-04,14.54,14.55,14.35,14.38,3600,13.892001
2015-05-01,14.79,14.79,14.42,14.49,5600,13.998268
2015-04-30,14.63,14.71,14.43,14.57,6300,14.075553
2015-04-29,14.65,14.65,14.65,14.65,700,14.152838
2015-04-28,14.68,14.69,14.65,14.65,300,14.152838
2015-04-27,14.53,14.57,14.53,14.57,2000,14.075553
2015-04-24,14.67,14.72,14.50,14.71,3100,14.210802
2015-04-23,14.61,14.72,14.49,14.72,3900,14.220463
2015-04-22,14.56,14.85,14.32,14.85,12500,14.346051
2015-04-21,14.66,14.66,14.27,14.33,21400,13.843698
2015-04-20,14.81,14.84,14.57,14.57,7500,14.075553
2015-04-17,14.72,14.85,14.57,14.73,31500,14.230123
2015-04-16,14.42,15.19,14.38,15.05,39100,14.539264
2015-04-15,14.30,14.43,14.18,14.43,12900,13.940304
2015-04-14,14.28,14.28,14.28,14.28,000,13.795394
2015-04-13,14.23,14.29,14.23,14.28,900,13.795394
2015-04-10,14.37,14.42,14.37,14.42,1100,13.874612
2015-04-09,14.29,14.32,14.29,14.32,2100,13.778394
2015-04-08,14.18,14.37,14.17,14.27,2400,13.730285
2015-04-07,14.14,14.28,14.07,14.28,5600,13.739907
2015-04-06,14.19,14.19,14.19,14.19,000,13.65331
2015-04-02,14.16,14.25,14.16,14.19,800,13.65331
2015-04-01,14.38,14.38,14.17,14.17,500,13.634067
2015-03-31,14.28,14.34,14.17,14.34,2100,13.797638
2015-03-30,14.15,14.25,14.13,14.25,2300,13.711041
2015-03-27,14.24,14.28,14.10,14.28,5000,13.739907
2015-03-26,14.11,14.28,14.11,14.28,1100,13.739907
2015-03-25,14.35,14.35,14.34,14.34,1100,13.797638
2015-03-24,14.47,14.47,14.22,14.46,1600,13.913099
2015-03-23,14.41,14.41,14.36,14.36,1100,13.816881
2015-03-20,14.54,14.54,14.54,14.54,100,13.990073
2015-03-19,14.18,14.18,14.18,14.18,100,13.643689
2015-03-18,14.10,14.10,14.10,14.10,600,13.566715
2015-03-17,14.32,14.42,14.32,14.42,1500,13.874612
2015-03-16,14.38,14.38,14.38,14.38,000,13.836125
2015-03-13,14.10,14.38,14.10,14.38,2800,13.836125
2015-03-12,14.37,14.37,14.04,14.16,5100,13.624445
2015-03-11,14.26,14.50,14.26,14.40,4700,13.855368
2015-03-10,14.03,14.52,14.03,14.52,1400,13.915024
2015-03-09,14.43,14.43,14.43,14.43,1600,13.828774
2015-03-06,14.50,14.51,14.43,14.43,3600,13.828774
2015-03-05,14.50,14.52,14.50,14.52,1000,13.915024
2015-03-04,14.63,14.63,14.43,14.51,4900,13.905441
2015-03-03,14.47,14.47,14.44,14.45,2000,13.84794
2015-03-02,14.47,14.47,14.43,14.43,1400,13.828774
2015-02-27,14.08,14.41,14.08,14.41,3700,13.809607
2015-02-26,14.10,14.26,14.10,14.26,1000,13.665857
2015-02-25,14.46,14.46,14.30,14.30,4100,13.70419
2015-02-24,14.15,14.48,14.15,14.48,500,13.87669
2015-02-23,14.08,14.08,14.08,14.08,900,13.493356
2015-02-20,14.09,14.09,14.09,14.09,700,13.50294
2015-02-19,14.15,14.15,14.10,14.10,1000,13.512524
2015-02-18,14.15,14.24,14.15,14.23,8600,13.637106
2015-02-17,14.20,14.24,14.15,14.15,2700,13.56044
2015-02-13,14.22,14.22,14.20,14.21,2100,13.61794
2015-02-12,14.25,14.25,14.25,14.25,100,13.656273
2015-02-11,14.17,14.25,14.17,14.25,4000,13.656273
2015-02-10,14.47,14.47,14.00,14.17,29800,13.524023
2015-02-09,14.64,14.64,14.64,14.64,100,13.972597
2015-02-06,14.39,14.39,14.39,14.39,100,13.733994
2015-02-05,14.41,14.41,14.40,14.40,1400,13.743537
2015-02-04,14.44,14.44,14.40,14.40,1100,13.743537
2015-02-03,14.47,14.48,14.45,14.48,3000,13.81989
2015-02-02,14.52,14.52,14.41,14.41,300,13.753082
2015-01-30,14.46,14.46,14.42,14.45,1800,13.791258
2015-01-29,14.42,14.44,14.42,14.42,4800,13.762626
2015-01-28,14.48,14.48,14.37,14.40,2400,13.743537
2015-01-27,14.50,14.65,14.19,14.43,54600,13.77217
2015-01-26,14.53,14.60,14.52,14.58,8300,13.915332
2015-01-23,14.35,14.48,14.15,14.48,18100,13.81989
2015-01-22,14.23,14.34,14.23,14.34,16100,13.686273
2015-01-21,14.21,14.29,14.21,14.26,2000,13.60992
2015-01-20,14.25,14.40,14.13,14.35,7200,13.695817
2015-01-16,14.20,14.26,14.08,14.15,3400,13.504934
2015-01-15,14.26,14.26,14.12,14.21,1200,13.562199
2015-01-14,14.09,14.22,14.08,14.21,1900,13.562199
2015-01-13,14.25,14.31,14.18,14.18,5700,13.533567
2015-01-12,14.27,14.27,14.27,14.27,100,13.564109
2015-01-09,14.31,14.37,13.78,14.15,12700,13.450044
2015-01-08,14.42,14.42,14.30,14.30,1800,13.592624
2015-01-07,14.33,14.42,14.32,14.40,9900,13.687677
2015-01-06,14.30,14.30,14.30,14.30,000,13.592624
2015-01-05,14.30,14.30,14.30,14.30,1500,13.592624
2015-01-02,14.47,14.47,14.20,14.30,600,13.592624
2014-12-31,14.62,14.62,14.13,14.35,2300,13.640151
2014-12-30,14.33,14.66,14.13,14.44,6600,13.725698
2014-12-29,14.26,14.26,14.21,14.26,2900,13.554603
2014-12-26,14.27,14.27,14.10,14.10,1300,13.402518
2014-12-24,14.13,14.13,14.13,14.13,000,13.431034
2014-12-23,14.05,14.13,14.04,14.13,2700,13.431034
2014-12-22,13.82,14.19,13.82,13.95,8600,13.259937
2014-12-19,14.26,14.26,14.11,14.11,400,13.412022
2014-12-18,14.26,14.26,14.06,14.06,300,13.364497
2014-12-17,14.16,14.20,13.95,14.20,4400,13.497571
2014-12-16,14.05,14.05,14.05,14.05,000,13.354991
2014-12-15,14.20,14.30,14.00,14.05,1500,13.354991
2014-12-12,14.05,14.05,14.05,14.05,000,13.354991
2014-12-11,14.05,14.05,14.05,14.05,1900,13.354991
2014-12-10,14.20,14.20,14.20,14.20,000,13.497571
2014-12-09,14.12,14.29,14.05,14.20,3500,13.437687
2014-12-08,14.15,14.15,14.15,14.15,400,13.390371
2014-12-05,14.64,14.64,14.64,14.64,100,13.854067
2014-12-04,14.62,14.62,14.62,14.62,000,13.83514
2014-12-03,14.28,14.62,14.28,14.62,4100,13.83514
2014-12-02,14.27,14.28,14.10,14.28,10400,13.513392
2014-12-01,14.28,14.28,14.21,14.28,1300,13.513392
2014-11-28,14.21,14.28,14.21,14.28,500,13.513392
2014-11-26,14.22,14.22,14.22,14.22,000,13.456614
2014-11-25,14.22,14.22,14.22,14.22,800,13.456614
2014-11-24,14.24,14.24,14.20,14.20,900,13.437687
2014-11-21,14.25,14.25,14.25,14.25,000,13.485003
2014-11-20,14.00,14.25,13.96,14.25,9900,13.485003
2014-11-19,14.10,14.22,14.10,14.10,900,13.343056
2014-11-18,14.09,14.23,14.09,14.23,2800,13.466076
2014-11-17,14.55,14.61,14.14,14.23,1600,13.466076
2014-11-14,14.08,14.08,14.08,14.08,400,13.324129
2014-11-13,14.21,14.21,14.21,14.21,000,13.44715
2014-11-12,14.21,14.21,14.21,14.21,1400,13.44715
2014-11-11,14.34,14.34,14.17,14.32,1000,13.491627
