Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.31,13.40,13.26,13.28,239500,13.114251
2015-10-08,13.16,13.29,13.11,13.29,184200,13.124126
2015-10-07,13.25,13.26,13.04,13.15,170500,12.985873
2015-10-06,13.30,13.34,13.16,13.25,176300,13.084626
2015-10-05,13.10,13.18,13.00,13.07,189200,12.906872
2015-10-02,12.69,12.86,12.63,12.86,175900,12.699493
2015-10-01,12.62,12.66,12.43,12.47,148300,12.314361
2015-09-30,12.64,12.69,12.45,12.63,159900,12.472364
2015-09-29,12.45,12.47,12.32,12.34,202100,12.185983
2015-09-28,12.32,12.33,12.09,12.11,173900,11.958854
2015-09-25,12.28,12.50,12.28,12.40,49100,12.245234
2015-09-24,12.15,12.21,12.02,12.14,59400,11.98848
2015-09-23,12.15,12.20,12.03,12.04,34900,11.889728
2015-09-22,12.07,12.11,11.94,12.01,37100,11.860102
2015-09-21,12.38,12.38,12.25,12.30,45300,12.146483
2015-09-18,12.42,12.49,12.26,12.40,61400,12.245234
2015-09-17,12.40,12.56,12.32,12.45,35300,12.29461
2015-09-16,12.30,12.41,12.25,12.35,50700,12.195859
2015-09-15,11.98,12.08,11.96,12.07,100400,11.919353
2015-09-14,11.91,11.95,11.81,11.93,50700,11.781101
2015-09-11,11.77,12.02,11.77,12.01,78200,11.860102
2015-09-10,11.71,11.79,11.66,11.75,42300,11.603347
2015-09-09,11.74,11.79,11.56,11.61,93800,11.465094
2015-09-08,11.73,11.83,11.62,11.74,83700,11.593472
2015-09-04,11.56,11.58,11.46,11.49,23000,11.346592
2015-09-03,11.74,11.88,11.73,11.78,64900,11.632972
2015-09-02,11.80,11.83,11.65,11.80,38000,11.652723
2015-09-01,11.63,11.66,11.47,11.59,55900,11.445344
2015-08-31,11.79,12.04,11.79,12.03,68400,11.879852
2015-08-28,11.71,11.87,11.71,11.76,30900,11.613223
2015-08-27,11.75,11.86,11.72,11.77,51000,11.623098
2015-08-26,11.72,11.74,11.39,11.67,58700,11.524346
2015-08-25,11.85,11.88,11.55,11.66,379400,11.51447
2015-08-24,11.23,11.25,11.03,11.11,190000,10.971335
2015-08-21,11.69,11.75,11.53,11.66,75900,11.51447
2015-08-20,12.07,12.09,11.92,11.94,56800,11.790975
2015-08-19,12.36,12.41,12.21,12.40,81700,12.087231
2015-08-18,12.37,12.48,12.37,12.40,34900,12.087231
2015-08-17,12.38,12.43,12.33,12.38,22100,12.067736
2015-08-14,12.51,12.63,12.50,12.55,55800,12.233448
2015-08-13,12.59,12.59,12.42,12.48,65700,12.165213
2015-08-12,12.65,12.77,12.61,12.72,112700,12.39916
2015-08-11,12.54,12.63,12.46,12.49,32700,12.174961
2015-08-10,12.65,12.75,12.61,12.74,87300,12.418656
2015-08-07,12.36,12.46,12.27,12.36,32400,12.04824
2015-08-06,12.50,12.50,12.33,12.44,38400,12.126222
2015-08-05,12.60,12.66,12.54,12.59,30200,12.272439
2015-08-04,12.54,12.61,12.46,12.52,32500,12.204205
2015-08-03,12.58,12.67,12.50,12.58,56500,12.262691
2015-07-31,12.41,12.48,12.29,12.36,62100,12.04824
2015-07-30,12.21,12.29,12.16,12.21,73300,11.902024
2015-07-29,12.24,12.46,12.23,12.40,74100,12.087231
2015-07-28,12.09,12.19,12.01,12.13,72500,11.824042
2015-07-27,12.00,12.03,11.80,11.93,144400,11.629087
2015-07-24,12.14,12.24,12.05,12.10,88700,11.794799
2015-07-23,12.19,12.23,12.15,12.20,29200,11.892276
2015-07-22,12.23,12.27,12.11,12.15,55400,11.843537
2015-07-21,12.21,12.28,12.18,12.26,46200,11.950763
2015-07-20,12.20,12.20,12.08,12.11,30400,11.804546
2015-07-17,12.23,12.28,12.17,12.22,60900,11.911772
2015-07-16,12.15,12.22,12.12,12.21,71000,11.902024
2015-07-15,11.82,11.82,11.65,11.73,50700,11.434131
2015-07-14,11.77,11.77,11.63,11.73,30200,11.434131
2015-07-13,11.81,11.90,11.75,11.80,30100,11.502366
2015-07-10,11.89,11.91,11.78,11.85,38100,11.551105
2015-07-09,11.62,11.70,11.54,11.65,81000,11.356149
2015-07-08,11.31,11.32,11.13,11.23,53800,10.946742
2015-07-07,11.06,11.28,11.00,11.25,103700,10.966238
2015-07-06,11.10,11.26,11.10,11.17,73500,10.888256
2015-07-02,11.40,11.43,11.31,11.36,41200,11.073463
2015-07-01,11.46,11.49,11.33,11.39,53100,11.102707
2015-06-30,11.50,11.53,11.33,11.42,167500,11.131951
2015-06-29,11.55,11.62,11.33,11.34,241400,11.053968
2015-06-26,11.92,11.93,11.76,11.85,59500,11.551105
2015-06-25,12.01,12.06,11.93,12.01,60300,11.707069
2015-06-24,12.04,12.06,11.94,12.00,72400,11.697321
2015-06-23,12.11,12.19,12.09,12.15,40000,11.843537
2015-06-22,12.17,12.28,12.14,12.17,96000,11.863033
2015-06-19,11.82,11.95,11.77,11.93,164400,11.629087
2015-06-18,11.89,12.14,11.84,11.87,103600,11.5706
2015-06-17,11.79,11.95,11.79,11.91,54700,11.609591
2015-06-16,11.70,11.89,11.64,11.78,127600,11.48287
2015-06-15,11.97,12.06,11.91,12.03,100600,11.726564
2015-06-12,12.14,12.22,12.08,12.18,139400,11.872781
2015-06-11,12.06,12.06,11.91,11.96,86100,11.65833
2015-06-10,12.01,12.17,11.97,12.01,111800,11.707069
2015-06-09,11.92,12.00,11.87,11.89,69300,11.590096
2015-06-08,11.90,11.97,11.81,11.93,82500,11.629087
2015-06-05,11.78,11.90,11.72,11.74,112200,11.443879
2015-06-04,11.94,12.00,11.84,11.90,104200,11.599843
2015-06-03,12.02,12.09,11.92,11.92,151500,11.619339
2015-06-02,11.67,11.75,11.55,11.59,174700,11.297663
2015-06-01,11.48,11.58,11.31,11.44,340900,11.151446
2015-05-29,11.44,11.50,11.36,11.46,36300,11.170942
2015-05-28,11.45,11.51,11.37,11.47,51700,11.18069
2015-05-27,11.24,11.33,11.24,11.27,49700,10.985734
2015-05-26,11.46,11.48,11.29,11.33,52500,11.04422
2015-05-22,11.74,11.74,11.57,11.58,42700,11.118303
2015-05-21,11.89,11.97,11.80,11.87,149300,11.396741
2015-05-20,11.89,11.99,11.84,11.87,121800,11.396741
2015-05-19,12.17,12.19,11.99,12.12,67400,11.636773
2015-05-18,12.25,12.33,12.22,12.24,50600,11.751989
2015-05-15,12.32,12.46,12.26,12.43,61600,11.934414
2015-05-14,12.45,12.53,12.43,12.49,38500,11.992021
2015-05-13,12.39,12.44,12.31,12.38,88900,11.886407
2015-05-12,11.77,11.80,11.68,11.71,33800,11.24312
2015-05-11,11.80,11.87,11.76,11.80,62100,11.329532
2015-05-08,11.97,12.09,11.97,12.01,32600,11.531159
2015-05-07,11.99,12.03,11.80,11.87,44600,11.396741
2015-05-06,12.31,12.49,12.28,12.35,60100,11.857603
2015-05-05,12.04,12.07,11.81,11.85,91100,11.377538
2015-05-04,12.12,12.18,12.08,12.10,49300,11.617571
2015-05-01,12.27,12.27,12.00,12.15,27300,11.665577
2015-04-30,12.31,12.33,12.13,12.18,50300,11.694381
2015-04-29,12.38,12.49,12.30,12.34,153800,11.848002
2015-04-28,12.34,12.37,12.26,12.33,75700,11.8384
2015-04-27,12.67,12.74,12.60,12.63,205400,12.126439
2015-04-24,12.54,12.62,12.47,12.55,108700,12.049629
2015-04-23,11.83,12.09,11.82,12.01,53400,11.531159
2015-04-22,11.90,11.90,11.73,11.79,70700,11.31993
2015-04-21,11.93,12.00,11.89,11.92,52200,11.444747
2015-04-20,11.86,11.90,11.80,11.82,69700,11.348734
2015-04-17,12.25,12.25,12.08,12.15,43300,11.665577
2015-04-16,12.14,12.25,12.07,12.22,103200,11.732786
2015-04-15,11.90,12.08,11.87,12.05,155000,11.569564
2015-04-14,11.87,11.90,11.75,11.86,50100,11.387139
2015-04-13,11.90,11.90,11.81,11.85,153900,11.377538
2015-04-10,11.41,11.62,11.41,11.58,93000,11.118303
2015-04-09,11.61,11.62,11.46,11.50,54800,11.041493
