Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.92,12.94,12.86,12.90,27500,12.694823
2015-10-08,12.90,12.94,12.86,12.91,14500,12.704664
2015-10-07,12.90,12.90,12.86,12.88,31000,12.675142
2015-10-06,12.86,12.89,12.85,12.89,48200,12.684983
2015-10-05,12.83,12.88,12.81,12.83,50400,12.625937
2015-10-02,12.77,12.85,12.77,12.82,40900,12.616096
2015-10-01,12.70,12.80,12.68,12.80,82400,12.596414
2015-09-30,12.63,12.71,12.52,12.70,135400,12.498005
2015-09-29,12.59,12.63,12.51,12.63,85400,12.429118
2015-09-28,12.58,12.65,12.53,12.57,64600,12.370072
2015-09-25,12.63,12.65,12.58,12.58,34800,12.379913
2015-09-24,12.58,12.65,12.58,12.63,47600,12.429118
2015-09-23,12.60,12.64,12.56,12.57,47200,12.370072
2015-09-22,12.60,12.65,12.55,12.56,87100,12.360232
2015-09-21,12.63,12.64,12.53,12.61,28600,12.409436
2015-09-18,12.46,12.64,12.44,12.55,79300,12.350391
2015-09-17,12.36,12.52,12.36,12.48,52200,12.281503
2015-09-16,12.32,12.42,12.32,12.37,36900,12.173253
2015-09-15,12.37,12.37,12.30,12.30,22200,12.104367
2015-09-14,12.46,12.48,12.41,12.45,35400,12.183094
2015-09-11,12.54,12.56,12.45,12.46,46100,12.19288
2015-09-10,12.50,12.59,12.48,12.52,56000,12.251594
2015-09-09,12.55,12.55,12.51,12.53,40900,12.261379
2015-09-08,12.50,12.60,12.40,12.53,124200,12.261379
2015-09-04,12.34,12.51,12.31,12.50,107300,12.232023
2015-09-03,12.30,12.34,12.26,12.34,73300,12.075453
2015-09-02,12.28,12.30,12.22,12.26,33000,11.997168
2015-09-01,12.24,12.29,12.20,12.28,79800,12.016739
2015-08-31,12.18,12.24,12.15,12.21,72000,11.94824
2015-08-28,12.12,12.15,12.05,12.13,81400,11.869955
2015-08-27,12.10,12.13,12.05,12.06,19100,11.801456
2015-08-26,12.10,12.13,12.04,12.04,34800,11.781884
2015-08-25,12.05,12.10,11.97,12.06,289200,11.801456
2015-08-24,12.20,12.20,12.05,12.09,91300,11.830813
2015-08-21,12.23,12.31,12.22,12.22,58000,11.958026
2015-08-20,12.32,12.35,12.23,12.23,43900,11.967811
2015-08-19,12.33,12.38,12.28,12.30,43400,12.036311
2015-08-18,12.37,12.37,12.31,12.31,30700,12.046096
