Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,63.950001,64.470001,63.389999,63.810001,355500,63.768168
2015-10-08,61.950001,64.139999,61.459999,63.93,679300,63.888088
2015-10-07,59.799999,62.189999,59.32,62.18,487700,62.139236
2015-10-06,60.09,60.119999,59.110001,59.619999,451200,59.580913
2015-10-05,58.84,60.119999,58.66,59.950001,421700,59.910698
2015-10-02,57.860001,59.41,57.50,59.369999,324300,59.331076
2015-10-01,59.419998,59.84,57.470001,58.560001,335900,58.52161
2015-09-30,58.970001,59.869999,58.369999,59.560001,895500,59.520954
2015-09-29,58.880001,59.040001,58.02,58.48,457400,58.441661
2015-09-28,61.029999,61.599998,58.470001,58.849998,539100,58.811417
2015-09-25,63.169998,63.169998,61.189999,61.23,445900,61.189858
2015-09-24,61.860001,62.959999,61.860001,62.66,376600,62.61892
2015-09-23,62.02,62.389999,61.380001,62.200001,218600,62.159223
2015-09-22,61.689999,62.02,61.34,61.68,266200,61.639563
2015-09-21,62.529999,63.650002,62.23,62.529999,224300,62.489005
2015-09-18,63.09,63.75,62.009998,62.189999,499000,62.149227
2015-09-17,63.779999,64.639999,62.630001,63.799999,261600,63.758173
2015-09-16,63.009998,64.550003,62.66,63.959999,245900,63.918067
2015-09-15,62.66,63.490002,62.27,63.310001,185400,63.268496
2015-09-14,62.299999,62.799999,62.009998,62.630001,293500,62.588941
2015-09-11,60.790001,62.34,60.209999,62.259998,191900,62.219181
2015-09-10,61.029999,61.700001,60.639999,61.040001,302500,60.999984
2015-09-09,62.220001,62.709999,61.049999,61.18,249000,61.139891
2015-09-08,61.619999,61.959999,61.040001,61.799999,218200,61.759484
2015-09-04,61.119999,61.66,60.23,60.610001,196600,60.570265
2015-09-03,62.459999,62.900002,61.709999,61.919998,437200,61.879404
2015-09-02,60.720001,62.110001,60.259998,62.099998,498600,62.059286
2015-09-01,59.529999,60.380001,59.419998,59.98,963000,59.940677
2015-08-31,61.720001,62.279999,60.490002,60.549999,313100,60.510303
2015-08-28,61.689999,62.240002,61.279999,62.119999,284800,62.079274
2015-08-27,62.380001,62.549999,61.16,61.919998,581900,61.879404
2015-08-26,60.75,62.009998,59.950001,61.82,597500,61.779471
2015-08-25,60.189999,60.650002,59.09,59.619999,752600,59.580913
2015-08-24,56.080002,60.650002,55.990002,58.639999,763800,58.601556
2015-08-21,60.07,61.16,59.349998,59.93,620300,59.890711
2015-08-20,61.290001,62.880001,60.93,61.41,549300,61.36974
2015-08-19,60.669998,60.970001,59.93,60.549999,312000,60.510303
2015-08-18,61.880001,61.970001,61.130001,61.220001,283600,61.179866
2015-08-17,60.720001,61.82,59.34,61.82,354300,61.779471
2015-08-14,60.810001,61.32,60.330002,61.18,350200,61.139891
2015-08-13,60.419998,61.52,59.869999,60.759998,324800,60.720165
2015-08-12,59.619999,60.73,58.540001,60.509998,450700,60.470328
2015-08-11,59.380001,60.490002,59.00,60.099998,541700,60.015626
