Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.15,14.21,14.05,14.05,60200,13.85717
2015-10-08,14.10,14.20,14.06,14.14,51100,13.945935
2015-10-07,14.11,14.18,14.01,14.13,176000,13.936072
2015-10-06,14.05,14.22,14.04,14.09,120600,13.896621
2015-10-05,13.96,14.02,13.93,14.00,59400,13.807856
2015-10-02,13.95,13.97,13.91,13.93,84500,13.738817
2015-10-01,13.88,13.95,13.88,13.92,35800,13.728954
2015-09-30,13.88,13.90,13.85,13.87,55000,13.67964
2015-09-29,13.94,13.97,13.87,13.92,59400,13.728954
2015-09-28,14.04,14.05,13.88,13.91,49700,13.719091
2015-09-25,14.02,14.05,13.95,13.99,64200,13.797993
2015-09-24,14.12,14.12,13.96,14.00,49800,13.807856
2015-09-23,14.10,14.10,14.01,14.05,30400,13.85717
2015-09-22,13.87,14.09,13.87,14.09,72100,13.896621
2015-09-21,13.88,13.93,13.82,13.87,71400,13.67964
2015-09-18,13.86,13.98,13.78,13.83,75800,13.640189
2015-09-17,13.78,13.92,13.73,13.89,90100,13.699366
2015-09-16,13.86,13.88,13.69,13.76,112900,13.57115
2015-09-15,13.94,13.96,13.86,13.91,46500,13.654983
2015-09-14,14.00,14.04,13.97,14.01,47600,13.75315
2015-09-11,13.98,14.03,13.98,14.02,19000,13.762967
2015-09-10,14.03,14.04,13.95,14.00,26100,13.743334
2015-09-09,13.99,14.02,13.95,14.00,10900,13.743334
2015-09-08,13.95,14.00,13.88,14.00,43100,13.743334
2015-09-04,13.79,14.04,13.79,14.01,44600,13.75315
2015-09-03,13.76,13.86,13.76,13.81,39200,13.556817
2015-09-02,13.75,13.83,13.70,13.80,74800,13.547
2015-09-01,13.81,13.87,13.75,13.76,99300,13.507734
2015-08-31,13.80,13.87,13.72,13.77,79700,13.517551
2015-08-28,13.94,14.03,13.67,13.74,118500,13.4881
2015-08-27,13.80,13.90,13.62,13.80,119900,13.547
2015-08-26,13.88,13.94,13.78,13.83,81400,13.57645
2015-08-25,13.84,13.92,13.82,13.83,80500,13.57645
2015-08-24,13.85,13.93,13.83,13.84,65900,13.586267
2015-08-21,13.96,14.03,13.94,14.00,67400,13.743334
2015-08-20,14.13,14.13,13.90,13.96,40300,13.704067
2015-08-19,13.99,14.06,13.95,14.06,22500,13.802234
2015-08-18,14.02,14.06,13.94,14.04,64500,13.718791
2015-08-17,14.03,14.06,13.96,14.01,40200,13.689478
2015-08-14,14.01,14.04,13.99,14.03,21900,13.70902
2015-08-13,13.99,14.07,13.97,14.03,14500,13.70902
2015-08-12,14.01,14.15,13.98,13.99,64500,13.669935
2015-08-11,13.90,14.06,13.90,13.96,96500,13.640622
2015-08-10,14.04,14.15,13.89,13.90,59400,13.581994
2015-08-07,14.04,14.08,13.97,14.01,52000,13.689478
2015-08-06,13.97,14.10,13.92,13.99,86500,13.669935
2015-08-05,14.08,14.14,14.00,14.01,73200,13.689478
2015-08-04,14.19,14.23,14.04,14.06,94600,13.738334
2015-08-03,14.18,14.18,14.10,14.12,58200,13.796961
2015-07-31,14.44,14.44,14.02,14.10,110200,13.777419
2015-07-30,14.11,14.19,14.09,14.13,98600,13.806732
2015-07-29,14.43,14.43,14.07,14.12,118300,13.796961
2015-07-28,13.95,14.16,13.95,14.10,74200,13.777419
2015-07-27,13.88,14.14,13.83,14.02,105900,13.699249
2015-07-24,14.09,14.09,13.85,13.92,77100,13.601537
2015-07-23,14.03,14.07,13.92,14.04,59300,13.718791
2015-07-22,14.22,14.22,13.95,13.99,135900,13.669935
2015-07-21,14.40,14.40,13.95,14.12,153800,13.733448
2015-07-20,14.12,14.13,13.94,14.01,112800,13.62646
2015-07-17,13.95,14.11,13.87,14.11,128600,13.723722
2015-07-16,13.83,13.94,13.80,13.90,114400,13.519471
2015-07-15,13.82,13.84,13.75,13.82,62800,13.441661
2015-07-14,13.71,13.85,13.71,13.80,76100,13.422209
2015-07-13,13.82,13.82,13.70,13.74,87900,13.363851
2015-07-10,13.78,13.89,13.69,13.82,117700,13.441661
2015-07-09,13.87,13.87,13.80,13.81,122300,13.431935
2015-07-08,13.75,13.86,13.72,13.86,117600,13.480566
2015-07-07,13.66,13.82,13.62,13.74,144600,13.363851
2015-07-06,13.50,13.60,13.49,13.60,106500,13.227684
2015-07-02,13.58,13.60,13.34,13.48,227800,13.110969
2015-07-01,13.49,13.61,13.42,13.56,100000,13.188779
2015-06-30,13.35,13.48,13.32,13.48,148500,13.110969
2015-06-29,13.51,13.55,13.35,13.35,104600,12.984528
2015-06-26,13.70,13.71,13.49,13.50,133500,13.130422
2015-06-25,13.83,13.83,13.67,13.75,164300,13.373578
2015-06-24,13.69,13.83,13.65,13.83,99500,13.451387
2015-06-23,13.51,13.69,13.45,13.67,105500,13.295768
2015-06-22,13.58,13.59,13.47,13.51,117200,13.140148
2015-06-19,13.56,13.63,13.49,13.61,94900,13.23741
2015-06-18,13.54,13.56,13.46,13.55,116700,13.179053
2015-06-17,13.38,13.55,13.36,13.55,131500,13.179053
2015-06-16,13.45,13.48,13.31,13.42,107800,12.989391
2015-06-15,13.46,13.47,13.39,13.47,36900,13.037787
2015-06-12,13.29,13.42,13.29,13.40,117600,12.970033
2015-06-11,13.28,13.34,13.27,13.31,86800,12.882921
2015-06-10,13.15,13.28,13.15,13.24,104100,12.815167
2015-06-09,13.28,13.28,13.09,13.16,267000,12.737734
2015-06-08,13.43,13.50,13.26,13.29,136200,12.863563
2015-06-05,13.61,13.63,13.44,13.46,71700,13.028108
2015-06-04,13.76,13.81,13.65,13.65,84800,13.212011
2015-06-03,13.86,13.89,13.76,13.80,94700,13.357198
2015-06-02,13.97,13.97,13.88,13.88,54900,13.434631
2015-06-01,14.00,14.03,13.95,13.99,46900,13.541101
2015-05-29,14.00,14.10,13.93,13.96,79600,13.512064
2015-05-28,13.89,14.04,13.88,14.00,40400,13.550781
2015-05-27,13.89,13.94,13.87,13.90,79500,13.453989
2015-05-26,13.84,13.87,13.80,13.87,43800,13.424952
2015-05-22,13.77,13.84,13.76,13.82,57800,13.376556
2015-05-21,13.81,13.89,13.77,13.78,66700,13.33784
2015-05-20,13.99,14.03,13.77,13.77,89000,13.328161
2015-05-19,13.97,14.06,13.95,14.01,46700,13.497546
2015-05-18,14.17,14.17,13.97,14.01,73900,13.497546
2015-05-15,14.04,14.23,14.04,14.20,80800,13.680596
2015-05-14,14.03,14.12,13.98,14.02,55700,13.50718
2015-05-13,13.85,14.04,13.83,13.99,90600,13.478277
2015-05-12,13.87,13.88,13.80,13.82,97300,13.314495
2015-05-11,13.91,14.12,13.88,13.90,90800,13.391569
2015-05-08,14.00,14.02,13.93,13.93,75400,13.420472
2015-05-07,13.98,14.00,13.88,13.99,98000,13.478277
2015-05-06,14.20,14.20,13.94,13.94,78600,13.430106
2015-05-05,14.15,14.21,14.09,14.21,70400,13.69023
2015-05-04,14.11,14.20,14.11,14.13,63300,13.613156
2015-05-01,14.30,14.30,14.12,14.13,40800,13.613156
2015-04-30,14.24,14.34,14.22,14.28,62800,13.757669
2015-04-29,14.26,14.28,14.13,14.22,77200,13.699864
2015-04-28,14.32,14.34,14.30,14.30,61100,13.776938
2015-04-27,14.35,14.35,14.29,14.30,32900,13.776938
2015-04-24,14.29,14.34,14.24,14.31,74600,13.786573
2015-04-23,14.26,14.28,14.23,14.26,67200,13.738401
2015-04-22,14.27,14.28,14.18,14.23,43000,13.709498
2015-04-21,14.20,14.31,14.16,14.25,103700,13.728767
2015-04-20,14.10,14.20,14.07,14.20,39400,13.680596
2015-04-17,14.03,14.08,14.03,14.08,40000,13.564985
2015-04-16,14.08,14.08,13.93,14.06,131700,13.545717
2015-04-15,14.11,14.14,14.04,14.06,64700,13.545717
2015-04-14,14.06,14.15,14.05,14.13,45900,13.550534
2015-04-13,14.10,14.14,14.01,14.04,60100,13.464224
2015-04-10,14.05,14.16,14.04,14.09,85200,13.512174
2015-04-09,14.04,14.11,14.02,14.03,56100,13.454634
2015-04-08,14.08,14.12,14.04,14.04,55500,13.464224
2015-04-07,13.97,14.12,13.97,14.08,45200,13.502584
2015-04-06,14.05,14.10,13.99,13.99,38600,13.416275
2015-04-02,14.18,14.20,13.99,13.99,84000,13.416275
2015-04-01,14.19,14.25,14.15,14.16,28900,13.579303
2015-03-31,14.15,14.18,14.10,14.18,63300,13.598483
2015-03-30,14.17,14.21,14.12,14.13,59000,13.550534
2015-03-27,14.05,14.20,14.04,14.19,91700,13.608072
2015-03-26,13.99,14.03,13.90,14.02,64400,13.445045
2015-03-25,13.96,13.99,13.94,13.99,52700,13.416275
2015-03-24,13.94,14.02,13.90,13.94,103200,13.368325
2015-03-23,14.03,14.07,13.94,13.94,50200,13.368325
2015-03-20,13.87,14.05,13.86,14.03,72400,13.454634
2015-03-19,14.01,14.01,13.83,13.85,78500,13.282017
2015-03-18,13.88,14.02,13.80,14.01,59900,13.435455
2015-03-17,13.96,13.96,13.87,13.89,85000,13.258042
2015-03-16,14.11,14.11,13.94,13.95,66300,13.315312
2015-03-13,14.13,14.14,14.03,14.08,32800,13.439397
2015-03-12,14.08,14.17,14.08,14.12,52000,13.477577
2015-03-11,14.28,14.28,14.04,14.06,105200,13.420308
2015-03-10,14.15,14.26,14.15,14.24,33900,13.592117
2015-03-09,14.10,14.18,14.08,14.16,43100,13.515757
2015-03-06,14.14,14.17,14.05,14.10,104100,13.458488
2015-03-05,14.27,14.27,14.17,14.23,68600,13.582572
2015-03-04,14.15,14.30,14.15,14.26,82200,13.611208
2015-03-03,13.91,14.13,13.90,14.13,159800,13.487122
2015-03-02,13.99,14.00,13.85,13.85,74600,13.219862
2015-02-27,13.90,13.99,13.89,13.99,99300,13.353492
2015-02-26,13.94,13.94,13.83,13.89,95100,13.258042
2015-02-25,13.92,14.00,13.86,13.88,114800,13.248497
2015-02-24,13.75,13.94,13.72,13.90,89000,13.267586
2015-02-23,13.71,13.77,13.65,13.71,81700,13.086231
2015-02-20,13.65,13.96,13.62,13.64,88900,13.019416
2015-02-19,13.59,13.85,13.59,13.61,166100,12.990781
2015-02-18,13.65,13.74,13.54,13.74,113900,13.114866
2015-02-17,14.05,14.07,13.66,13.67,143200,12.986009
2015-02-13,14.02,14.07,14.01,14.05,49300,13.346995
2015-02-12,14.05,14.07,14.00,14.03,41900,13.327995
2015-02-11,14.01,14.07,13.99,14.04,65200,13.337495
2015-02-10,13.85,14.02,13.85,13.99,95600,13.289997
2015-02-09,14.08,14.08,13.93,13.94,58900,13.242498
2015-02-06,14.06,14.10,14.00,14.09,60000,13.384994
2015-02-05,14.11,14.14,14.06,14.10,36400,13.394493
2015-02-04,14.09,14.12,13.98,14.12,87100,13.413492
2015-02-03,14.13,14.16,14.10,14.11,51200,13.403992
2015-02-02,14.10,14.17,14.08,14.17,48700,13.460991
2015-01-30,14.07,14.15,14.05,14.09,84600,13.384994
2015-01-29,14.26,14.27,13.96,14.00,191700,13.299497
2015-01-28,14.06,14.30,14.06,14.24,124300,13.527488
2015-01-27,13.99,14.05,13.99,14.04,67600,13.337495
2015-01-26,13.92,13.97,13.91,13.93,59000,13.232999
2015-01-23,13.93,13.96,13.88,13.92,64200,13.2235
2015-01-22,13.89,13.96,13.89,13.90,58700,13.2045
2015-01-21,13.98,13.98,13.87,13.93,39400,13.232999
2015-01-20,14.06,14.10,13.96,14.00,71700,13.237749
2015-01-16,14.02,14.04,13.96,13.98,25000,13.218837
2015-01-15,13.95,14.04,13.91,13.99,76200,13.228293
2015-01-14,13.87,13.95,13.83,13.90,91400,13.143193
2015-01-13,13.76,13.84,13.74,13.83,93800,13.077005
2015-01-12,13.77,13.79,13.70,13.70,45600,12.954083
2015-01-09,13.72,13.79,13.67,13.73,91000,12.982449
2015-01-08,13.69,13.74,13.64,13.70,81400,12.954083
2015-01-07,13.66,13.74,13.60,13.71,150500,12.963538
2015-01-06,13.62,13.67,13.60,13.63,90900,12.887894
2015-01-05,13.62,13.62,13.54,13.56,69800,12.821706
2015-01-02,13.56,13.63,13.55,13.59,53800,12.850072
2014-12-31,13.56,13.65,13.52,13.59,73100,12.850072
2014-12-30,13.50,13.54,13.46,13.53,71500,12.793338
2014-12-29,13.44,13.50,13.41,13.47,70000,12.736606
2014-12-26,13.42,13.44,13.38,13.41,54600,12.679872
2014-12-24,13.32,13.43,13.32,13.39,56300,12.660961
2014-12-23,13.34,13.42,13.32,13.34,172500,12.613684
2014-12-22,13.41,13.41,13.30,13.31,77000,12.585317
2014-12-19,13.37,13.41,13.36,13.39,71300,12.660961
2014-12-18,13.44,13.44,13.36,13.40,74100,12.670416
2014-12-17,13.41,13.44,13.37,13.41,56400,12.679872
2014-12-16,13.44,13.46,13.39,13.44,69300,12.646777
2014-12-15,13.52,13.52,13.40,13.40,60600,12.609138
2014-12-12,13.43,13.48,13.20,13.47,99600,12.675008
2014-12-11,13.61,13.63,13.38,13.38,197200,12.590319
2014-12-10,13.61,13.67,13.57,13.61,93500,12.806744
2014-12-09,13.67,13.67,13.54,13.56,101600,12.759696
2014-12-08,13.60,13.68,13.59,13.65,66100,12.844383
2014-12-05,13.80,13.88,13.56,13.60,130500,12.797335
2014-12-04,14.09,14.14,13.83,13.83,117900,13.01376
2014-12-03,13.91,14.05,13.90,14.01,119000,13.183137
2014-12-02,13.78,13.91,13.67,13.91,42400,13.089039
2014-12-01,13.81,13.81,13.66,13.75,76200,12.938482
2014-11-28,13.84,13.86,13.70,13.76,33800,12.947892
2014-11-26,13.60,13.78,13.55,13.78,91100,12.966711
2014-11-25,13.49,13.60,13.49,13.57,125100,12.769105
2014-11-24,13.51,13.52,13.41,13.41,98200,12.618548
2014-11-21,13.50,13.57,13.50,13.53,57100,12.731466
2014-11-20,13.52,13.55,13.50,13.52,53300,12.722057
2014-11-19,13.42,13.53,13.39,13.50,73900,12.703237
2014-11-18,13.44,13.50,13.44,13.49,50800,12.632663
2014-11-17,13.51,13.53,13.41,13.43,67500,12.576477
2014-11-14,13.46,13.51,13.45,13.46,57500,12.60457
2014-11-13,13.47,13.50,13.43,13.45,40400,12.595205
2014-11-12,13.45,13.50,13.39,13.44,73100,12.58584
2014-11-11,13.40,13.45,13.36,13.39,39400,12.539019
2014-11-10,13.47,13.48,13.37,13.45,64400,12.595205
2014-11-07,13.58,13.58,13.40,13.51,101100,12.651392
2014-11-06,13.43,13.51,13.40,13.50,80200,12.642028
2014-11-05,13.35,13.39,13.31,13.35,52300,12.501561
2014-11-04,13.27,13.40,13.23,13.38,61400,12.529654
2014-11-03,13.36,13.43,13.27,13.27,108200,12.426645
2014-10-31,13.51,13.51,13.30,13.37,150000,12.520289
2014-10-30,13.37,13.48,13.37,13.46,142800,12.60457
2014-10-29,13.31,13.42,13.28,13.40,145300,12.548383
2014-10-28,13.25,13.34,13.21,13.29,106700,12.445374
2014-10-27,13.24,13.30,13.18,13.24,84000,12.398551
2014-10-24,13.11,13.32,13.11,13.24,128900,12.398551
2014-10-23,13.13,13.15,13.10,13.12,103600,12.286178
2014-10-22,13.17,13.18,13.13,13.14,70200,12.304907
2014-10-21,13.25,13.30,13.20,13.20,86700,12.300225
2014-10-20,13.31,13.37,13.26,13.26,67900,12.356135
2014-10-17,13.31,13.42,13.31,13.34,25600,12.430682
2014-10-16,13.26,13.35,13.22,13.33,58000,12.421364
2014-10-15,13.23,13.30,13.20,13.26,100100,12.356135
2014-10-14,13.28,13.31,13.21,13.23,66000,12.32818
2014-10-13,13.25,13.27,13.17,13.27,34400,12.365454
2014-10-10,13.26,13.27,13.21,13.21,55000,12.309543
2014-10-09,13.30,13.35,13.24,13.28,88000,12.374772
2014-10-08,13.21,13.32,13.20,13.27,73000,12.365454
2014-10-07,13.17,13.23,13.15,13.22,67600,12.318862
2014-10-06,13.06,13.16,13.06,13.15,50300,12.253633
2014-10-03,13.02,13.07,13.00,13.03,64500,12.141813
2014-10-02,13.04,13.07,12.96,13.01,72700,12.123177
2014-10-01,13.06,13.11,13.06,13.08,67300,12.188405
2014-09-30,13.05,13.10,13.01,13.07,120400,12.179086
2014-09-29,12.94,13.05,12.92,13.05,62300,12.16045
2014-09-26,12.96,12.96,12.90,12.91,61300,12.029993
2014-09-25,12.97,12.97,12.91,12.94,48000,12.057948
2014-09-24,12.98,13.04,12.93,12.95,71300,12.067266
2014-09-23,12.88,13.02,12.88,13.02,118400,12.132495
2014-09-22,12.91,12.95,12.87,12.88,73800,12.002038
2014-09-19,12.93,12.99,12.92,12.93,91800,12.04863
2014-09-18,12.90,12.94,12.89,12.93,41500,12.04863
2014-09-17,12.89,12.92,12.86,12.89,69600,12.011356
2014-09-16,12.92,12.92,12.86,12.92,91100,11.978742
2014-09-15,12.93,12.99,12.89,12.89,64200,11.950928
2014-09-12,12.95,12.97,12.88,12.88,114300,11.941656
2014-09-11,12.97,13.01,12.97,12.99,56600,12.043642
2014-09-10,12.96,13.00,12.96,12.99,77600,12.043642
2014-09-09,12.95,13.02,12.95,12.97,111800,12.0251
2014-09-08,13.03,13.07,12.95,12.97,141600,12.0251
2014-09-05,13.06,13.10,13.04,13.04,41200,12.09
2014-09-04,13.10,13.13,13.06,13.06,68500,12.108543
2014-09-03,13.12,13.16,13.10,13.10,68600,12.145629
2014-09-02,13.18,13.20,13.11,13.12,63900,12.164171
2014-08-29,13.20,13.22,13.16,13.18,97900,12.219801
2014-08-28,13.13,13.19,13.12,13.17,60200,12.210529
2014-08-27,13.14,13.19,13.10,13.11,83100,12.1549
2014-08-26,13.08,13.19,13.06,13.13,100800,12.173443
2014-08-25,13.14,13.17,13.05,13.05,64500,12.099271
2014-08-22,13.18,13.18,13.08,13.17,62300,12.210529
2014-08-21,13.18,13.20,13.15,13.18,71600,12.219801
2014-08-20,13.25,13.25,13.15,13.15,51100,12.191985
2014-08-19,13.20,13.30,13.20,13.30,88500,12.270793
2014-08-18,13.11,13.22,13.11,13.20,69800,12.178531
2014-08-15,13.15,13.18,13.11,13.13,77200,12.113948
2014-08-14,13.16,13.20,13.11,13.12,67500,12.104722
2014-08-13,13.08,13.15,13.08,13.13,66900,12.113948
2014-08-12,13.12,13.15,13.07,13.08,47400,12.067817
2014-08-11,13.00,13.20,12.97,13.16,75700,12.141626
2014-08-08,12.90,13.04,12.90,13.03,111200,12.021686
2014-08-07,12.88,12.88,12.83,12.87,62300,11.874068
2014-08-06,12.82,12.91,12.82,12.84,106200,11.84639
2014-08-05,12.79,12.83,12.77,12.82,63300,11.827937
2014-08-04,12.86,12.89,12.83,12.83,43400,11.837163
2014-08-01,12.83,12.93,12.83,12.89,66500,11.892521
2014-07-31,12.89,12.89,12.83,12.85,111600,11.855616
2014-07-30,13.02,13.02,12.91,12.92,38000,11.920199
2014-07-29,13.10,13.10,13.00,13.01,62300,12.003234
2014-07-28,13.07,13.08,13.05,13.08,40400,12.067817
2014-07-25,13.08,13.10,13.04,13.05,32300,12.040139
2014-07-24,13.02,13.04,12.99,13.02,52700,12.012461
2014-07-23,13.05,13.09,13.00,13.08,117700,12.067817
2014-07-22,13.06,13.10,13.03,13.08,73000,12.067817
2014-07-21,13.04,13.09,13.03,13.07,66400,12.058591
2014-07-18,12.99,13.03,12.98,13.02,36300,12.012461
2014-07-17,12.94,13.00,12.93,13.00,45900,11.994008
2014-07-16,12.91,12.94,12.88,12.92,53200,11.920199
2014-07-15,12.95,13.01,12.95,12.99,72700,11.924812
2014-07-14,13.05,13.05,12.98,13.00,37500,11.933992
2014-07-11,12.98,13.04,12.95,13.03,86600,11.961532
2014-07-10,12.99,13.00,12.95,12.95,86000,11.888092
2014-07-09,13.04,13.04,12.91,12.96,130000,11.897272
2014-07-08,13.05,13.06,13.00,13.02,57400,11.952352
2014-07-07,12.87,13.06,12.87,12.99,103400,11.924812
2014-07-03,13.00,13.00,12.89,12.91,51300,11.851372
2014-07-02,13.10,13.12,13.04,13.06,78100,11.989072
2014-07-01,13.11,13.18,13.09,13.13,50900,12.053332
2014-06-30,13.17,13.18,13.09,13.10,55100,12.025792
2014-06-27,13.10,13.15,13.09,13.13,72800,12.053332
2014-06-26,13.03,13.10,13.00,13.08,100800,12.007432
2014-06-25,13.00,13.04,12.99,13.00,52800,11.933992
2014-06-24,12.97,13.01,12.96,13.00,85200,11.933992
2014-06-23,12.91,12.96,12.91,12.95,64500,11.888092
2014-06-20,12.95,12.95,12.86,12.91,58200,11.851372
2014-06-19,12.97,12.97,12.88,12.90,66400,11.842192
2014-06-18,12.86,12.92,12.82,12.91,114400,11.851372
2014-06-17,12.90,12.92,12.85,12.90,89500,11.782522
2014-06-16,12.92,12.95,12.89,12.89,80900,11.773389
2014-06-13,12.93,12.95,12.91,12.92,49300,11.80079
2014-06-12,12.91,12.98,12.91,12.95,81300,11.828191
2014-06-11,12.89,12.95,12.89,12.94,59600,11.819057
2014-06-10,12.99,13.00,12.89,12.89,134200,11.773389
2014-06-09,12.91,12.97,12.91,12.93,141400,11.809924
2014-06-06,12.95,12.98,12.92,12.93,85400,11.809924
2014-06-05,12.95,12.96,12.89,12.89,113800,11.773389
2014-06-04,13.05,13.06,12.92,12.94,135200,11.819057
2014-06-03,13.16,13.19,13.04,13.06,99700,11.928663
2014-06-02,13.19,13.21,13.14,13.14,43700,12.001732
2014-05-30,13.25,13.26,13.16,13.17,68000,12.029133
2014-05-29,13.26,13.27,13.19,13.22,47500,12.074802
2014-05-28,13.22,13.26,13.20,13.26,75500,12.111337
2014-05-27,13.22,13.22,13.16,13.22,73000,12.074802
2014-05-23,13.21,13.25,13.18,13.20,99400,12.056534
2014-05-22,13.20,13.23,13.19,13.20,81600,12.056534
2014-05-21,13.19,13.23,13.19,13.21,69000,12.065668
2014-05-20,13.29,13.31,13.21,13.27,102900,12.061101
2014-05-19,13.29,13.32,13.27,13.29,54200,12.079279
2014-05-16,13.30,13.32,13.24,13.25,61500,12.042923
2014-05-15,13.28,13.31,13.27,13.28,69000,12.07019
2014-05-14,13.25,13.30,13.24,13.28,81400,12.07019
2014-05-13,13.23,13.30,13.22,13.23,71900,12.024745
2014-05-12,13.22,13.27,13.22,13.24,34200,12.033834
2014-05-09,13.24,13.29,13.21,13.24,84900,12.033834
2014-05-08,13.19,13.25,13.19,13.23,18600,12.024745
2014-05-07,13.13,13.24,13.13,13.22,38700,12.015656
2014-05-06,13.07,13.19,13.07,13.19,35000,11.988389
2014-05-05,13.08,13.12,13.08,13.11,30900,11.915677
2014-05-02,13.14,13.16,13.08,13.08,93700,11.88841
2014-05-01,13.15,13.25,13.13,13.22,60800,12.015656
2014-04-30,13.06,13.17,13.06,13.13,66100,11.933855
2014-04-29,13.09,13.11,13.04,13.06,64900,11.870232
2014-04-28,13.02,13.11,13.02,13.09,33700,11.897499
2014-04-25,13.09,13.10,12.99,12.99,79700,11.806609
2014-04-24,13.00,13.06,12.96,13.06,77600,11.870232
2014-04-23,12.95,13.00,12.91,12.97,70500,11.788431
2014-04-22,12.80,12.90,12.80,12.90,111200,11.724808
2014-04-21,12.70,12.79,12.70,12.79,74900,11.624829
2014-04-17,12.71,12.75,12.69,12.71,71800,11.552117
2014-04-16,12.65,12.76,12.65,12.75,71700,11.588473
2014-04-15,12.64,12.69,12.62,12.67,67200,11.515761
2014-04-14,12.70,12.70,12.67,12.67,84500,11.456683
2014-04-11,12.74,12.76,12.69,12.70,89900,11.483809
2014-04-10,12.70,12.75,12.70,12.75,68200,11.529021
2014-04-09,12.69,12.73,12.67,12.71,80300,11.492852
2014-04-08,12.68,12.73,12.67,12.68,59900,11.465725
2014-04-07,12.70,12.73,12.67,12.70,47900,11.483809
2014-04-04,12.67,12.72,12.64,12.70,64700,11.483809
2014-04-03,12.61,12.65,12.61,12.63,42700,11.420513
2014-04-02,12.67,12.72,12.56,12.60,135100,11.393386
2014-04-01,12.76,12.77,12.66,12.69,66600,11.474767
2014-03-31,12.75,12.77,12.69,12.75,122600,11.529021
2014-03-28,12.84,12.84,12.75,12.75,76900,11.529021
2014-03-27,12.80,12.88,12.79,12.82,84800,11.592318
2014-03-26,12.83,12.85,12.79,12.80,32100,11.574233
2014-03-25,12.75,12.81,12.73,12.78,98100,11.556148
2014-03-24,12.64,12.77,12.64,12.76,51800,11.538064
2014-03-21,12.54,12.66,12.54,12.64,48900,11.429556
2014-03-20,12.65,12.65,12.53,12.56,99900,11.357217
2014-03-19,12.69,12.74,12.65,12.65,41400,11.438597
2014-03-18,12.81,12.81,12.74,12.75,63000,11.470246
2014-03-17,12.78,12.83,12.76,12.77,67000,11.488239
2014-03-14,12.81,12.84,12.76,12.79,47300,11.506231
2014-03-13,12.77,12.83,12.75,12.79,65200,11.506231
2014-03-12,12.76,12.82,12.70,12.82,79200,11.53322
2014-03-11,12.67,12.72,12.65,12.72,46300,11.443258
