Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,15.01,15.01,14.90,15.01,26900,14.796376
2015-10-08,14.94,15.04,14.94,14.98,12100,14.766803
2015-10-07,14.99,15.01,14.92,14.93,21400,14.717515
2015-10-06,15.00,15.17,14.92,14.94,55600,14.727372
2015-10-05,14.95,14.97,14.88,14.92,15000,14.707657
2015-10-02,15.01,15.01,14.89,14.89,25900,14.678084
2015-10-01,14.98,14.99,14.93,14.99,22700,14.776661
2015-09-30,14.95,14.95,14.91,14.91,9800,14.697799
2015-09-29,14.92,14.92,14.83,14.91,24000,14.697799
2015-09-28,14.92,14.92,14.84,14.85,11700,14.638654
2015-09-25,14.91,14.94,14.87,14.87,17500,14.658369
2015-09-24,14.93,14.93,14.88,14.90,13900,14.687941
2015-09-23,14.81,14.89,14.81,14.88,8200,14.668226
2015-09-22,14.82,14.87,14.82,14.84,21200,14.628796
2015-09-21,14.90,14.90,14.77,14.78,14200,14.569649
2015-09-18,14.67,14.90,14.67,14.84,29800,14.628796
2015-09-17,14.73,14.79,14.64,14.76,27600,14.549934
2015-09-16,14.74,14.74,14.66,14.66,10200,14.451357
2015-09-15,14.79,14.83,14.79,14.80,15600,14.517405
2015-09-14,14.89,14.93,14.81,14.84,10600,14.556641
2015-09-11,14.88,14.88,14.80,14.86,23200,14.576259
2015-09-10,14.92,14.93,14.82,14.84,20000,14.556641
2015-09-09,14.94,14.94,14.91,14.92,9600,14.635113
2015-09-08,14.89,14.94,14.87,14.94,16200,14.654731
2015-09-04,14.83,14.95,14.80,14.94,11300,14.654731
2015-09-03,14.80,14.84,14.72,14.83,24400,14.546832
2015-09-02,14.69,14.75,14.65,14.70,28800,14.419314
2015-09-01,14.79,14.79,14.65,14.69,22800,14.409504
2015-08-31,14.74,14.74,14.65,14.70,22300,14.419314
2015-08-28,14.79,14.79,14.66,14.66,19700,14.380078
2015-08-27,14.69,14.77,14.65,14.70,22600,14.419314
2015-08-26,14.74,14.74,14.64,14.64,46000,14.36046
2015-08-25,14.75,14.75,14.65,14.69,39600,14.409504
2015-08-24,14.79,14.83,14.73,14.73,34700,14.448741
2015-08-21,14.97,15.00,14.91,14.95,22700,14.66454
2015-08-20,14.96,14.99,14.88,14.95,21100,14.66454
2015-08-19,14.98,15.02,14.98,15.01,15800,14.723395
2015-08-18,15.12,15.12,15.02,15.03,22900,14.671406
2015-08-17,15.08,15.12,15.07,15.12,7600,14.759259
2015-08-14,15.17,15.17,15.04,15.09,12000,14.729975
2015-08-13,15.24,15.24,15.13,15.15,11800,14.788543
2015-08-12,15.17,15.24,15.12,15.20,23400,14.83735
2015-08-11,15.02,15.17,15.01,15.17,14800,14.808066
