Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.40,10.40,10.25,10.33,150500,10.167802
2015-10-08,10.42,10.49,10.32,10.39,183400,10.22686
2015-10-07,10.33,10.40,10.21,10.40,314400,10.236702
2015-10-06,10.25,10.30,10.15,10.26,280800,10.098901
2015-10-05,10.00,10.25,9.95,10.24,360700,10.079215
2015-10-02,9.95,9.99,9.82,9.99,164700,9.83314
2015-10-01,9.78,9.94,9.72,9.93,205800,9.774083
2015-09-30,9.75,9.83,9.68,9.75,268000,9.596909
2015-09-29,9.44,9.76,9.43,9.73,299100,9.577222
2015-09-28,9.53,9.53,9.37,9.44,213100,9.291776
2015-09-25,9.63,9.68,9.52,9.54,177100,9.390206
2015-09-24,9.56,9.64,9.50,9.59,180200,9.439421
2015-09-23,9.59,9.70,9.52,9.60,90600,9.449265
2015-09-22,9.55,9.67,9.52,9.52,139900,9.370521
2015-09-21,9.56,9.64,9.53,9.62,133100,9.46895
2015-09-18,9.43,9.71,9.43,9.52,399600,9.370521
2015-09-17,9.23,9.61,9.22,9.52,328000,9.370521
2015-09-16,9.26,9.27,9.22,9.22,239900,9.075231
2015-09-15,9.24,9.28,9.19,9.24,202400,9.094917
2015-09-14,9.20,9.24,9.15,9.24,164800,9.094917
2015-09-11,9.10,9.27,9.09,9.21,269400,9.065388
2015-09-10,9.14,9.23,9.08,9.16,186100,9.016173
2015-09-09,9.30,9.31,9.15,9.16,158200,9.016173
2015-09-08,9.22,9.37,9.18,9.21,165700,9.065388
2015-09-04,9.15,9.22,9.02,9.10,216800,8.957115
2015-09-03,9.34,9.37,9.24,9.25,137000,9.10476
2015-09-02,9.33,9.37,9.22,9.30,139100,9.153975
2015-09-01,9.45,9.47,9.20,9.21,266100,9.065388
2015-08-31,9.51,9.58,9.47,9.52,273300,9.370521
2015-08-28,9.46,9.65,9.43,9.58,294000,9.429578
2015-08-27,9.44,9.54,9.28,9.49,255200,9.340991
2015-08-26,9.35,9.40,9.13,9.36,368400,9.213032
2015-08-25,9.59,9.59,9.06,9.20,419200,9.055545
2015-08-24,9.60,9.60,9.33,9.33,335900,9.183504
2015-08-21,9.77,9.85,9.70,9.74,229400,9.587066
2015-08-20,9.88,9.99,9.78,9.89,173600,9.734711
2015-08-19,9.98,9.99,9.80,9.91,215100,9.754396
2015-08-18,9.76,9.98,9.68,9.97,351000,9.813455
2015-08-17,9.70,9.82,9.65,9.80,293000,9.646124
2015-08-14,9.69,9.82,9.66,9.82,177500,9.665809
2015-08-13,9.59,9.76,9.55,9.74,254700,9.587066
2015-08-12,9.72,9.86,9.68,9.82,262200,9.518164
2015-08-11,9.50,9.80,9.50,9.79,203200,9.489087
2015-08-10,9.71,9.71,9.52,9.59,292900,9.295234
2015-08-07,9.73,9.78,9.60,9.64,178300,9.343698
