Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,7.07,7.07,7.00,7.06,3900,6.981664
2015-10-08,7.05,7.07,7.03,7.07,15000,6.991554
2015-10-07,7.00,7.07,6.96,7.05,16800,6.971775
2015-10-06,6.86,7.01,6.86,7.00,9400,6.92233
2015-10-05,6.96,7.03,6.82,6.99,24600,6.912441
2015-10-02,6.86,7.00,6.86,7.00,5200,6.92233
2015-10-01,7.01,7.01,6.76,6.91,11400,6.833329
2015-09-30,6.79,6.96,6.79,6.94,12800,6.862996
2015-09-29,6.72,6.88,6.68,6.81,8800,6.734438
2015-09-28,6.67,6.70,6.50,6.62,10100,6.546546
2015-09-25,6.76,6.76,6.60,6.61,17100,6.536658
2015-09-24,6.63,6.73,6.62,6.72,11800,6.645437
2015-09-23,6.90,6.90,6.78,6.81,9700,6.734438
2015-09-22,6.73,6.81,6.73,6.76,8500,6.684993
2015-09-21,6.79,6.80,6.67,6.75,4700,6.675104
2015-09-18,6.40,6.72,6.40,6.66,43600,6.586102
2015-09-17,6.52,6.63,6.46,6.51,8900,6.437767
2015-09-16,6.65,6.70,6.43,6.47,6900,6.398211
2015-09-15,6.68,6.80,6.64,6.70,7600,6.625659
2015-09-14,6.70,6.76,6.53,6.64,7100,6.566324
2015-09-11,6.39,6.72,6.39,6.72,4900,6.645437
2015-09-10,6.41,6.54,6.41,6.45,12400,6.378433
2015-09-09,6.69,6.69,6.31,6.36,5200,6.289431
2015-09-08,7.05,7.05,6.43,6.64,11600,6.566324
2015-09-04,6.87,7.07,6.87,6.99,5200,6.912441
2015-09-03,6.96,6.97,6.92,6.93,2000,6.853107
2015-09-02,6.82,7.04,6.82,6.99,8300,6.912441
2015-09-01,7.07,7.08,6.70,6.72,8900,6.645437
2015-08-31,7.07,7.07,6.95,7.02,5300,6.942108
2015-08-28,6.72,7.04,6.72,7.01,11600,6.932219
2015-08-27,6.90,7.00,6.57,6.73,17400,6.655326
2015-08-26,6.87,6.87,6.70,6.83,8600,6.754216
2015-08-25,7.30,7.30,6.71,6.71,14300,6.635548
2015-08-24,6.80,7.00,6.20,6.83,34000,6.754216
2015-08-21,6.92,7.10,6.92,6.94,20300,6.862996
2015-08-20,7.18,7.34,7.16,7.17,7500,7.090444
2015-08-19,7.36,7.36,7.16,7.22,10000,7.139889
2015-08-18,7.44,7.54,7.41,7.44,8400,7.357448
2015-08-17,7.16,7.55,7.16,7.50,12800,7.416782
2015-08-14,6.97,7.19,6.92,7.16,8000,7.080555
2015-08-13,6.93,7.08,6.93,6.97,2700,6.892663
2015-08-12,6.98,7.04,6.90,7.00,6100,6.92233
2015-08-11,7.01,7.04,6.83,7.00,10800,6.92233
2015-08-10,6.95,7.21,6.95,7.10,22300,7.02122
2015-08-07,6.50,6.99,6.50,6.87,42000,6.793772
2015-08-06,6.50,6.55,6.36,6.50,25400,6.427878
2015-08-05,6.19,6.50,6.18,6.44,37000,6.328988
2015-08-04,6.20,6.30,6.16,6.17,61300,6.063642
2015-08-03,6.22,6.29,6.15,6.22,42000,6.11278
2015-07-31,6.17,6.28,6.17,6.23,49200,6.122608
2015-07-30,6.16,6.20,6.15,6.15,27900,6.043987
2015-07-29,5.79,6.34,5.79,6.16,75600,6.053814
2015-07-28,5.76,5.81,5.76,5.77,8900,5.670537
2015-07-27,5.94,5.94,5.74,5.75,7700,5.650882
2015-07-24,6.20,6.20,5.73,5.75,48300,5.650882
2015-07-23,6.18,6.21,6.17,6.18,15300,6.073469
