Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.72,12.75,12.66,12.72,61900,12.525176
2015-10-08,12.72,12.76,12.68,12.71,41300,12.515329
2015-10-07,12.71,12.76,12.66,12.71,61300,12.515329
2015-10-06,12.72,12.75,12.66,12.71,49500,12.515329
2015-10-05,12.75,12.76,12.65,12.66,92800,12.466095
2015-10-02,12.71,12.77,12.67,12.74,60800,12.544869
2015-10-01,12.78,12.78,12.69,12.70,59500,12.505482
2015-09-30,12.72,12.74,12.69,12.74,56800,12.544869
2015-09-29,12.71,12.71,12.64,12.69,46000,12.495635
2015-09-28,12.67,12.70,12.65,12.65,33600,12.456248
2015-09-25,12.67,12.72,12.63,12.67,57000,12.475942
2015-09-24,12.76,12.78,12.62,12.67,182100,12.475942
2015-09-23,12.81,12.85,12.70,12.71,121100,12.515329
2015-09-22,12.80,12.87,12.78,12.87,14600,12.672878
2015-09-21,12.81,12.81,12.78,12.78,14700,12.584257
2015-09-18,12.72,12.83,12.72,12.76,76200,12.564563
2015-09-17,12.70,12.81,12.63,12.80,31500,12.603951
2015-09-16,12.64,12.68,12.64,12.67,8600,12.475942
2015-09-15,12.71,12.71,12.62,12.62,30500,12.426707
2015-09-14,12.70,12.74,12.69,12.70,19400,12.505482
2015-09-11,12.72,12.74,12.72,12.73,7600,12.535022
2015-09-10,12.80,12.83,12.75,12.78,19200,12.514344
2015-09-09,12.81,12.88,12.78,12.80,29800,12.533929
2015-09-08,12.78,12.86,12.78,12.86,12600,12.592681
2015-09-04,12.71,12.84,12.71,12.83,35900,12.563305
2015-09-03,12.71,12.72,12.67,12.72,33700,12.455592
2015-09-02,12.68,12.68,12.62,12.66,37400,12.396839
2015-09-01,12.72,12.74,12.66,12.66,41800,12.396839
2015-08-31,12.68,12.69,12.63,12.66,17100,12.396839
2015-08-28,12.67,12.69,12.62,12.68,32000,12.416423
2015-08-27,12.65,12.70,12.59,12.69,51800,12.426215
2015-08-26,12.67,12.67,12.55,12.65,47600,12.387046
2015-08-25,12.68,12.71,12.64,12.67,33600,12.406631
2015-08-24,12.78,12.79,12.64,12.64,111600,12.377255
2015-08-21,12.78,12.79,12.72,12.72,33700,12.455592
2015-08-20,12.72,12.79,12.68,12.77,59400,12.504553
2015-08-19,12.72,12.75,12.71,12.72,29900,12.455592
2015-08-18,12.78,12.78,12.71,12.72,27400,12.455592
2015-08-17,12.78,12.80,12.75,12.78,47300,12.514344
2015-08-14,12.76,12.76,12.72,12.75,29100,12.484968
2015-08-13,12.74,12.76,12.70,12.76,32200,12.49476
2015-08-12,12.74,12.78,12.68,12.73,49800,12.465383
2015-08-11,12.64,12.84,12.64,12.80,48800,12.464405
2015-08-10,12.68,12.71,12.61,12.61,17800,12.279386
2015-08-07,12.63,12.71,12.63,12.69,30300,12.357289
2015-08-06,12.64,12.67,12.54,12.67,30900,12.337814
2015-08-05,12.71,12.71,12.58,12.66,35200,12.328075
2015-08-04,12.70,12.74,12.64,12.72,53000,12.386503
2015-08-03,12.63,12.69,12.63,12.66,78300,12.328075
2015-07-31,12.65,12.66,12.58,12.62,117100,12.289124
2015-07-30,12.65,12.68,12.57,12.63,58800,12.298862
2015-07-29,12.59,12.65,12.53,12.65,54900,12.318337
2015-07-28,12.52,12.58,12.51,12.58,34300,12.250173
2015-07-27,12.51,12.56,12.49,12.54,27600,12.211222
2015-07-24,12.47,12.54,12.46,12.46,28800,12.133319
2015-07-23,12.44,12.51,12.43,12.46,69500,12.133319
2015-07-22,12.53,12.54,12.46,12.46,36600,12.133319
2015-07-21,12.50,12.58,12.45,12.56,32700,12.230698
2015-07-20,12.54,12.59,12.48,12.58,43300,12.250173
2015-07-17,12.59,12.60,12.51,12.56,30900,12.230698
2015-07-16,12.60,12.61,12.57,12.61,54500,12.279386
2015-07-15,12.61,12.65,12.56,12.61,23400,12.279386
2015-07-14,12.52,12.59,12.52,12.58,22500,12.250173
2015-07-13,12.60,12.62,12.53,12.57,41500,12.240435
2015-07-10,12.68,12.68,12.64,12.68,31100,12.278413
2015-07-09,12.67,12.75,12.67,12.70,32200,12.297779
2015-07-08,12.69,12.76,12.69,12.73,23700,12.326829
2015-07-07,12.65,12.75,12.65,12.71,47900,12.307463
2015-07-06,12.53,12.57,12.52,12.57,32200,12.171896
2015-07-02,12.57,12.58,12.45,12.50,79200,12.104113
2015-07-01,12.65,12.65,12.52,12.59,51400,12.191263
2015-06-30,12.52,12.60,12.42,12.60,50500,12.200947
2015-06-29,12.60,12.61,12.51,12.53,36000,12.133163
2015-06-26,12.55,12.62,12.53,12.57,71700,12.171896
2015-06-25,12.57,12.58,12.50,12.58,95600,12.18158
2015-06-24,12.55,12.61,12.55,12.56,34400,12.162214
2015-06-23,12.55,12.58,12.53,12.56,46600,12.162214
2015-06-22,12.58,12.61,12.54,12.56,26800,12.162214
2015-06-19,12.55,12.61,12.53,12.61,30900,12.210629
2015-06-18,12.52,12.57,12.50,12.55,48800,12.15253
2015-06-17,12.50,12.51,12.43,12.51,47600,12.113797
2015-06-16,12.45,12.50,12.45,12.48,37300,12.084746
2015-06-15,12.47,12.51,12.43,12.46,59900,12.06538
2015-06-12,12.41,12.47,12.41,12.42,46000,12.026647
2015-06-11,12.28,12.41,12.26,12.40,73500,12.00728
2015-06-10,12.36,12.44,12.34,12.39,73000,11.928846
2015-06-09,12.45,12.45,12.32,12.39,87100,11.928846
2015-06-08,12.51,12.55,12.37,12.47,99700,12.005868
2015-06-05,12.60,12.60,12.48,12.48,118000,12.015495
2015-06-04,12.69,12.71,12.63,12.65,48000,12.179168
