Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.66,10.67,10.04,10.59,1500,10.313505
2015-10-08,10.30,10.65,10.27,10.65,2900,10.371938
2015-10-07,10.67,10.95,10.52,10.66,3700,10.381677
2015-10-06,9.85,10.65,9.78,10.39,53400,10.118727
2015-10-05,9.53,10.35,9.53,10.11,9600,9.846037
2015-10-02,9.49,9.59,9.33,9.58,11400,9.329875
2015-10-01,9.86,9.99,9.76,9.78,6900,9.524653
2015-09-30,11.00,11.00,9.86,9.86,8700,9.602565
2015-09-29,11.75,11.75,11.02,11.02,10000,10.732279
2015-09-28,11.41,11.79,11.40,11.40,1800,11.102357
2015-09-25,11.90,12.05,11.50,11.73,5400,11.357516
2015-09-24,11.90,12.49,11.24,11.51,75100,11.144503
2015-09-23,11.56,11.64,11.56,11.56,1800,11.192915
2015-09-22,11.70,11.98,11.15,11.60,47000,11.231645
2015-09-21,11.69,11.70,11.39,11.70,1600,11.328469
2015-09-18,12.00,12.18,11.30,11.71,12200,11.338151
2015-09-17,11.91,12.00,11.31,12.00,23500,11.618942
2015-09-16,11.75,11.89,11.75,11.78,3100,11.405928
2015-09-15,12.01,12.01,12.01,12.01,000,11.628625
2015-09-14,11.82,12.21,11.82,12.01,3000,11.628625
2015-09-11,12.13,12.13,12.07,12.07,500,11.686719
2015-09-10,12.28,12.50,12.06,12.13,1800,11.744814
2015-09-09,11.91,12.16,11.91,12.06,3700,11.677038
2015-09-08,12.56,12.69,12.20,12.38,18100,11.986876
2015-09-04,12.36,12.80,12.01,12.80,2600,12.393539
2015-09-03,12.15,12.82,12.00,12.81,4900,12.403222
2015-09-02,12.00,12.27,11.75,11.99,20700,11.60926
2015-09-01,11.69,12.31,11.67,12.05,14100,11.667355
2015-08-31,11.69,12.49,11.56,11.99,8100,11.60926
2015-08-28,11.61,12.40,11.40,11.97,22800,11.589895
2015-08-27,10.49,11.55,9.91,11.36,31000,10.999265
2015-08-26,10.45,10.75,9.89,10.75,24100,10.353446
2015-08-25,9.00,10.10,9.00,10.09,21700,9.717793
2015-08-24,8.98,9.09,7.40,8.65,13000,8.330912
2015-08-21,9.40,9.55,9.20,9.55,16200,9.197713
2015-08-20,10.69,10.69,10.01,10.05,13400,9.679269
2015-08-19,11.07,11.07,10.20,10.35,33900,9.968202
2015-08-18,11.71,11.71,11.10,11.22,6300,10.806109
2015-08-17,11.88,12.06,11.71,11.71,12200,11.278033
2015-08-14,12.01,12.03,12.01,12.03,800,11.586228
2015-08-13,12.00,12.26,12.00,12.17,5500,11.721064
2015-08-12,11.91,12.09,11.88,12.06,6300,11.615122
2015-08-11,11.82,12.08,11.82,12.08,8300,11.634384
2015-08-10,11.99,12.00,11.88,11.88,5800,11.441762
2015-08-07,11.93,11.93,11.80,11.90,3400,11.461024
2015-08-06,11.86,12.02,11.81,11.88,8000,11.441762
2015-08-05,12.02,12.28,12.02,12.04,3800,11.59586
2015-08-04,12.41,12.41,12.11,12.11,8200,11.663277
2015-08-03,12.37,12.45,12.33,12.33,3300,11.875162
2015-07-31,12.44,12.54,12.44,12.44,14000,11.981104
2015-07-30,12.49,12.65,12.40,12.48,7300,12.019628
2015-07-29,12.18,12.56,12.18,12.31,3900,11.8559
2015-07-28,12.17,12.74,12.17,12.69,8000,12.163132
2015-07-27,12.06,12.45,12.06,12.16,7600,11.655137
2015-07-24,12.25,12.25,12.04,12.09,4500,11.588044
2015-07-23,12.38,12.70,12.11,12.44,14200,11.923512
2015-07-22,12.02,12.66,12.02,12.10,23200,11.597629
2015-07-21,12.52,12.55,12.04,12.05,24400,11.549704
2015-07-20,12.58,12.79,12.53,12.53,3300,12.009775
2015-07-17,12.51,12.79,12.51,12.71,11600,12.182302
2015-07-16,12.40,12.78,12.40,12.64,14600,12.115209
2015-07-15,12.87,12.87,12.40,12.41,14100,11.894757
2015-07-14,12.69,12.99,12.40,12.68,8900,12.153548
2015-07-13,12.84,12.97,12.61,12.80,9400,12.268566
2015-07-10,13.10,13.10,12.92,12.93,5700,12.393168
2015-07-09,12.83,13.10,12.83,12.99,10300,12.450677
2015-07-08,13.00,13.00,12.41,12.72,8900,12.191887
2015-07-07,12.65,12.87,12.51,12.72,20800,12.191887
2015-07-06,13.58,13.60,12.93,12.99,16200,12.450677
2015-07-02,13.77,14.05,13.76,13.86,6900,13.284556
2015-07-01,14.00,14.21,13.75,13.98,7000,13.399573
2015-06-30,14.64,14.64,13.75,14.00,20000,13.418743
2015-06-29,14.68,14.80,13.94,13.94,19900,13.361234
2015-06-26,15.44,15.44,14.96,14.97,9600,14.348471
2015-06-25,15.28,15.29,15.05,15.18,4800,14.465406
2015-06-24,15.20,15.29,15.09,15.27,5000,14.551169
2015-06-23,14.76,15.25,14.76,15.09,11100,14.379642
