Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,34.189999,34.740002,33.82,34.310001,63200,34.211189
2015-10-08,32.98,34.150002,32.98,33.959999,122100,33.862195
2015-10-07,32.75,33.200001,32.240002,33.200001,112000,33.104386
2015-10-06,32.610001,33.040001,32.189999,32.580002,98700,32.486172
2015-10-05,31.200001,32.700001,31.08,32.610001,159000,32.516085
2015-10-02,29.700001,31.059999,29.700001,30.93,170300,30.840923
2015-10-01,29.90,30.450001,29.129999,29.870001,218100,29.783976
2015-09-30,29.790001,30.26,29.58,30.02,102200,29.933544
2015-09-29,29.360001,30.360001,29.360001,29.66,152200,29.57458
2015-09-28,29.370001,29.629999,28.83,29.33,75700,29.24553
2015-09-25,30.35,30.450001,29.41,29.639999,144100,29.554637
2015-09-24,29.68,30.860001,29.68,30.24,149500,30.152909
2015-09-23,30.629999,30.629999,29.99,30.030001,89400,29.943515
2015-09-22,30.00,30.60,29.860001,30.290001,99900,30.202766
2015-09-21,31.559999,31.950001,30.110001,30.50,93700,30.412161
2015-09-18,31.34,31.91,31.049999,31.219999,174200,31.130086
2015-09-17,32.360001,32.950001,31.559999,31.83,103700,31.73833
2015-09-16,32.099998,32.830002,32.099998,32.450001,57400,32.356545
2015-09-15,30.709999,32.130001,30.67,31.969999,103000,31.877926
2015-09-14,31.16,31.16,29.870001,30.549999,99300,30.462016
2015-09-11,30.82,31.26,30.370001,31.110001,74000,31.020405
2015-09-10,30.59,31.84,30.549999,30.940001,86300,30.850894
2015-09-09,31.459999,31.93,30.67,30.73,108100,30.641498
2015-09-08,31.27,31.549999,30.74,31.190001,68500,31.100174
2015-09-04,30.700001,31.18,30.59,30.85,73300,30.761153
2015-09-03,31.120001,31.75,30.76,30.99,70200,30.900749
2015-09-02,30.450001,31.139999,29.99,31.02,76700,30.930664
2015-09-01,30.290001,31.110001,29.639999,29.959999,96400,29.873715
2015-08-31,31.02,31.85,30.60,30.959999,68400,30.870835
2015-08-28,31.48,31.93,30.780001,31.15,81500,31.060288
2015-08-27,30.459999,32.139999,30.280001,31.58,114500,31.48905
2015-08-26,29.530001,30.190001,29.10,30.120001,95700,30.033256
2015-08-25,30.549999,30.549999,28.83,28.93,146400,28.846683
2015-08-24,30.049999,31.040001,29.280001,29.709999,144700,29.624435
2015-08-21,30.07,31.889999,30.07,31.299999,90300,31.209856
2015-08-20,31.49,32.50,31.16,31.629999,67400,31.538905
2015-08-19,31.23,31.950001,30.889999,31.57,59400,31.479079
2015-08-18,31.99,32.34,31.360001,31.50,67200,31.409281
2015-08-17,31.709999,32.290001,31.309999,32.279999,59300,32.187033
