Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.55,13.58,13.50,13.54,18800,13.356812
2015-10-08,13.53,13.58,13.49,13.57,18700,13.386406
2015-10-07,13.56,13.61,13.49,13.56,84100,13.376542
2015-10-06,13.52,13.59,13.52,13.56,26600,13.376542
2015-10-05,13.48,13.53,13.46,13.51,54500,13.327219
2015-10-02,13.48,13.49,13.44,13.46,85800,13.277895
2015-10-01,13.52,13.53,13.47,13.47,60200,13.28776
2015-09-30,13.62,13.63,13.45,13.51,66600,13.327219
2015-09-29,13.52,13.62,13.52,13.60,23400,13.416001
2015-09-28,13.53,13.60,13.53,13.56,36700,13.376542
2015-09-25,13.54,13.58,13.52,13.57,20100,13.386406
2015-09-24,13.60,13.63,13.48,13.51,31100,13.327219
2015-09-23,13.59,13.65,13.56,13.58,24900,13.396271
2015-09-22,13.54,13.66,13.54,13.64,25900,13.45546
2015-09-21,13.55,13.59,13.54,13.57,22000,13.386406
2015-09-18,13.44,13.63,13.44,13.54,88000,13.356812
2015-09-17,13.43,13.59,13.42,13.55,58400,13.366677
2015-09-16,13.53,13.56,13.43,13.47,45700,13.28776
2015-09-15,13.58,13.60,13.54,13.57,47500,13.386406
2015-09-14,13.74,13.77,13.59,13.59,34700,13.406136
2015-09-11,13.81,13.82,13.73,13.76,27400,13.573836
2015-09-10,13.86,13.90,13.82,13.86,25800,13.610335
2015-09-09,13.86,13.90,13.80,13.90,26400,13.649615
2015-09-08,13.62,13.90,13.62,13.89,70100,13.639796
2015-09-04,13.48,13.67,13.48,13.67,40000,13.423758
2015-09-03,13.57,13.57,13.47,13.53,68800,13.28628
2015-09-02,13.49,13.56,13.45,13.54,63200,13.2961
2015-09-01,13.48,13.52,13.44,13.52,44300,13.276461
2015-08-31,13.43,13.53,13.41,13.43,39300,13.188082
2015-08-28,13.44,13.46,13.35,13.43,58700,13.188082
2015-08-27,13.40,13.50,13.39,13.45,93100,13.207721
2015-08-26,13.51,13.51,13.41,13.43,68600,13.188082
2015-08-25,13.50,13.60,13.47,13.57,71000,13.325559
2015-08-24,13.66,13.74,13.61,13.61,77400,13.364839
2015-08-21,13.66,13.74,13.64,13.70,68200,13.453218
2015-08-20,13.70,13.75,13.67,13.68,26100,13.433578
2015-08-19,13.76,13.76,13.70,13.71,20900,13.463038
2015-08-18,13.74,13.82,13.74,13.80,40400,13.551417
2015-08-17,13.79,13.84,13.77,13.77,46600,13.521957
2015-08-14,13.88,13.88,13.75,13.80,38300,13.551417
2015-08-13,13.83,13.89,13.82,13.86,16700,13.610335
2015-08-12,13.82,13.88,13.82,13.86,23200,13.610335
2015-08-11,13.74,13.92,13.72,13.91,43000,13.59757
2015-08-10,13.65,13.73,13.61,13.73,46600,13.421613
2015-08-07,13.64,13.71,13.62,13.70,27200,13.392287
2015-08-06,13.59,13.65,13.58,13.64,38500,13.333635
2015-08-05,13.80,13.80,13.52,13.61,105800,13.304308
2015-08-04,13.80,13.85,13.75,13.78,44800,13.47049
2015-08-03,13.81,13.86,13.79,13.82,71300,13.509591
2015-07-31,13.71,13.84,13.68,13.77,50600,13.460715
2015-07-30,13.67,13.72,13.67,13.71,18000,13.402062
2015-07-29,13.67,13.71,13.60,13.70,40100,13.392287
2015-07-28,13.60,13.66,13.59,13.64,25100,13.333635
2015-07-27,13.60,13.66,13.57,13.62,35900,13.314084
2015-07-24,13.58,13.64,13.52,13.56,58100,13.255432
2015-07-23,13.63,13.63,13.58,13.62,32000,13.314084
2015-07-22,13.58,13.64,13.57,13.60,37300,13.294533
2015-07-21,13.61,13.63,13.56,13.62,24000,13.314084
2015-07-20,13.63,13.70,13.57,13.59,26000,13.284758
2015-07-17,13.68,13.71,13.64,13.66,44400,13.353185
2015-07-16,13.68,13.72,13.66,13.70,32100,13.392287
2015-07-15,13.65,13.72,13.57,13.64,51100,13.333635
2015-07-14,13.66,13.75,13.58,13.67,57600,13.362961
2015-07-13,13.57,13.65,13.55,13.62,57700,13.314084
2015-07-10,13.68,13.69,13.54,13.68,25300,13.311151
2015-07-09,13.74,13.89,13.67,13.72,50000,13.350073
2015-07-08,13.74,13.84,13.67,13.81,100000,13.437646
2015-07-07,13.59,13.79,13.59,13.76,43600,13.388994
2015-07-06,13.54,13.60,13.54,13.56,34200,13.194387
2015-07-02,13.59,13.61,13.53,13.58,29300,13.213847
2015-07-01,13.62,13.62,13.49,13.53,47300,13.165195
2015-06-30,13.44,13.53,13.40,13.53,66600,13.165195
2015-06-29,13.57,13.57,13.49,13.49,36600,13.126274
2015-06-26,13.66,13.66,13.55,13.55,59900,13.184656
2015-06-25,13.70,13.70,13.56,13.61,39200,13.243038
2015-06-24,13.62,13.69,13.61,13.69,24900,13.320881
2015-06-23,13.64,13.67,13.55,13.63,77500,13.262499
2015-06-22,13.65,13.71,13.58,13.65,51500,13.28196
2015-06-19,13.62,13.66,13.58,13.65,42200,13.28196
2015-06-18,13.61,13.61,13.57,13.57,19900,13.204117
2015-06-17,13.61,13.61,13.46,13.58,63100,13.213847
2015-06-16,13.54,13.57,13.50,13.53,25400,13.165195
2015-06-15,13.56,13.57,13.49,13.56,40300,13.194387
2015-06-12,13.49,13.58,13.45,13.55,34600,13.184656
2015-06-11,13.43,13.49,13.39,13.47,61600,13.106814
2015-06-10,13.38,13.50,13.38,13.42,61000,12.99686
2015-06-09,13.43,13.45,13.36,13.41,112900,12.987175
2015-06-08,13.62,13.66,13.43,13.48,96100,13.054968
