Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.89,13.91,13.83,13.89,142200,13.515585
2015-10-08,13.85,13.91,13.82,13.89,135900,13.515585
2015-10-07,13.89,13.92,13.84,13.88,109300,13.505854
2015-10-06,13.83,13.92,13.83,13.89,51200,13.515585
2015-10-05,13.94,13.94,13.81,13.85,90400,13.476663
2015-10-02,13.93,13.94,13.88,13.92,76900,13.544776
2015-10-01,13.96,13.96,13.85,13.88,60300,13.505854
2015-09-30,13.91,13.93,13.84,13.92,28700,13.544776
2015-09-29,13.84,13.91,13.83,13.91,44200,13.535045
2015-09-28,13.81,13.88,13.79,13.84,105500,13.466932
2015-09-25,13.83,13.86,13.82,13.84,28200,13.466932
2015-09-24,13.94,13.95,13.81,13.81,57000,13.437741
2015-09-23,13.91,13.97,13.88,13.89,26600,13.515585
2015-09-22,13.88,13.96,13.87,13.92,34900,13.544776
2015-09-21,13.96,13.96,13.83,13.84,42700,13.466932
2015-09-18,13.85,13.99,13.81,13.95,46600,13.573967
2015-09-17,13.73,13.86,13.70,13.85,59700,13.476663
2015-09-16,13.64,13.71,13.61,13.70,50900,13.330706
2015-09-15,13.67,13.69,13.61,13.61,27400,13.243131
2015-09-14,13.75,13.75,13.71,13.71,45200,13.340436
2015-09-11,13.78,13.78,13.69,13.73,94300,13.359897
2015-09-10,13.87,13.88,13.81,13.81,46000,13.37352
2015-09-09,13.89,13.89,13.84,13.85,64300,13.412255
2015-09-08,13.82,13.91,13.82,13.90,48900,13.460674
2015-09-04,13.84,13.90,13.84,13.85,38900,13.412255
2015-09-03,13.84,13.89,13.82,13.83,40500,13.392887
2015-09-02,13.84,13.85,13.80,13.81,53200,13.37352
2015-09-01,13.87,13.89,13.78,13.89,52900,13.450991
2015-08-31,13.87,13.87,13.78,13.84,39900,13.402571
2015-08-28,13.84,13.84,13.77,13.83,35800,13.392887
2015-08-27,13.76,13.87,13.66,13.87,80500,13.431623
2015-08-26,13.78,13.79,13.67,13.76,104600,13.3251
2015-08-25,13.83,13.85,13.80,13.85,38100,13.412255
2015-08-24,13.90,13.99,13.83,13.84,94200,13.402571
2015-08-21,13.90,13.99,13.83,13.98,61500,13.538146
2015-08-20,13.91,13.94,13.87,13.93,56300,13.489727
2015-08-19,13.91,13.92,13.87,13.90,29600,13.460674
2015-08-18,14.00,14.00,13.87,13.89,85400,13.450991
2015-08-17,13.98,14.02,13.92,14.02,42400,13.576882
2015-08-14,13.93,13.98,13.90,13.98,59000,13.538146
2015-08-13,13.88,13.95,13.88,13.92,45000,13.480043
2015-08-12,13.90,13.97,13.80,13.92,50300,13.480043
2015-08-11,13.85,13.98,13.85,13.94,64600,13.435496
2015-08-10,13.84,13.87,13.81,13.85,60100,13.348754
2015-08-07,13.78,13.86,13.78,13.83,28900,13.329478
2015-08-06,13.72,13.80,13.72,13.78,44400,13.281287
2015-08-05,13.76,13.81,13.71,13.74,99000,13.242735
2015-08-04,13.76,13.83,13.76,13.78,62300,13.281287
2015-08-03,13.80,13.85,13.75,13.79,78300,13.290925
2015-07-31,13.71,13.81,13.71,13.81,34900,13.310202
2015-07-30,13.76,13.76,13.68,13.70,75800,13.204182
2015-07-29,13.74,13.80,13.74,13.75,34100,13.252373
2015-07-28,13.76,13.77,13.72,13.77,66900,13.27165
2015-07-27,13.72,13.77,13.71,13.77,50000,13.27165
2015-07-24,13.66,13.73,13.66,13.69,39600,13.194544
2015-07-23,13.64,13.66,13.61,13.66,53000,13.16563
2015-07-22,13.64,13.70,13.59,13.66,80300,13.16563
2015-07-21,13.64,13.64,13.59,13.63,48600,13.136716
2015-07-20,13.69,13.69,13.60,13.60,95300,13.107802
2015-07-17,13.74,13.74,13.68,13.69,34400,13.194544
2015-07-16,13.68,13.74,13.68,13.74,56500,13.242735
2015-07-15,13.72,13.74,13.68,13.72,34400,13.223459
2015-07-14,13.72,13.73,13.70,13.72,32500,13.223459
2015-07-13,13.72,13.73,13.68,13.71,51500,13.213821
2015-07-10,13.79,13.82,13.76,13.82,45200,13.256228
2015-07-09,13.83,13.83,13.77,13.82,70900,13.256228
2015-07-08,13.79,13.85,13.78,13.83,71000,13.26582
2015-07-07,13.76,13.87,13.74,13.75,88700,13.189084
2015-07-06,13.66,13.74,13.65,13.74,59800,13.179492
2015-07-02,13.67,13.67,13.61,13.63,44100,13.073979
2015-07-01,13.63,13.65,13.58,13.64,113100,13.083572
2015-06-30,13.59,13.65,13.57,13.60,52400,13.045203
2015-06-29,13.66,13.68,13.58,13.60,67400,13.045203
2015-06-26,13.64,13.68,13.60,13.67,97000,13.112348
2015-06-25,13.75,13.77,13.66,13.70,56300,13.141123
2015-06-24,13.74,13.77,13.72,13.74,90300,13.179492
2015-06-23,13.65,13.80,13.65,13.74,136900,13.179492
2015-06-22,13.66,13.71,13.63,13.70,140200,13.141123
2015-06-19,13.70,13.70,13.66,13.66,64800,13.102755
2015-06-18,13.58,13.67,13.58,13.65,121600,13.093163
2015-06-17,13.58,13.63,13.55,13.60,155900,13.045203
2015-06-16,13.61,13.62,13.56,13.58,263200,13.026019
2015-06-15,13.60,13.66,13.59,13.60,77700,13.045203
2015-06-12,13.50,13.68,13.50,13.57,114400,13.016427
2015-06-11,13.60,13.61,13.48,13.53,150500,12.978058
2015-06-10,13.56,13.66,13.55,13.55,91600,12.933935
2015-06-09,13.57,13.59,13.51,13.58,193900,12.962571
2015-06-08,13.65,13.65,13.56,13.60,198700,12.981662
2015-06-05,13.72,13.72,13.60,13.67,136100,13.048479
2015-06-04,13.78,13.85,13.72,13.77,168700,13.143933
2015-06-03,13.86,13.91,13.78,13.78,108000,13.153477
2015-06-02,13.93,13.93,13.85,13.92,79000,13.287112
2015-06-01,13.92,13.95,13.89,13.95,39900,13.315748
2015-05-29,13.85,13.91,13.85,13.91,51600,13.277567
