Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.93,13.00,12.93,12.96,28700,12.759695
2015-10-08,12.96,12.99,12.96,12.97,41200,12.76954
2015-10-07,12.95,12.99,12.95,12.96,19800,12.759695
2015-10-06,12.99,13.04,12.94,12.95,69400,12.749849
2015-10-05,12.96,12.96,12.93,12.95,38500,12.749849
2015-10-02,12.96,12.98,12.94,12.94,9900,12.740003
2015-10-01,12.91,12.96,12.90,12.92,19900,12.720313
2015-09-30,12.95,12.95,12.89,12.91,11600,12.710467
2015-09-29,12.96,12.96,12.91,12.93,8900,12.730159
2015-09-28,12.90,12.94,12.89,12.94,28000,12.740003
2015-09-25,12.89,12.94,12.89,12.94,7100,12.740003
2015-09-24,12.91,12.95,12.90,12.93,24600,12.730159
2015-09-23,12.87,12.92,12.87,12.91,5400,12.710467
2015-09-22,12.86,12.92,12.84,12.91,25900,12.710467
2015-09-21,12.90,12.90,12.85,12.87,22300,12.671086
2015-09-18,12.76,12.91,12.76,12.88,24600,12.680931
2015-09-17,12.72,12.80,12.67,12.80,15700,12.602168
2015-09-16,12.69,12.70,12.65,12.65,17600,12.454485
2015-09-15,12.77,12.77,12.68,12.70,24900,12.503713
2015-09-14,12.76,12.78,12.74,12.74,8300,12.543095
2015-09-11,12.76,12.79,12.75,12.75,8600,12.55294
2015-09-10,12.91,12.91,12.82,12.82,26900,12.554909
2015-09-09,12.90,12.92,12.89,12.91,8600,12.643048
2015-09-08,12.87,12.94,12.87,12.90,17300,12.633254
2015-09-04,12.81,12.94,12.81,12.94,27300,12.672427
2015-09-03,12.85,12.85,12.80,12.84,13100,12.574496
2015-09-02,12.77,12.81,12.76,12.80,37000,12.535323
2015-09-01,12.80,12.85,12.79,12.80,31600,12.535323
2015-08-31,12.74,12.82,12.74,12.78,20400,12.515736
2015-08-28,12.73,12.80,12.73,12.79,37400,12.525529
2015-08-27,12.70,12.80,12.64,12.79,52400,12.525529
2015-08-26,12.72,12.76,12.68,12.75,35900,12.486356
2015-08-25,12.68,12.77,12.68,12.73,48000,12.46677
2015-08-24,12.87,12.87,12.74,12.74,67300,12.476563
2015-08-21,12.87,12.90,12.86,12.86,37200,12.594082
2015-08-20,12.87,12.91,12.86,12.87,16700,12.603875
2015-08-19,12.90,12.90,12.86,12.87,25000,12.603875
2015-08-18,12.92,12.93,12.87,12.88,14600,12.613668
2015-08-17,12.93,12.98,12.90,12.91,22600,12.643048
2015-08-14,12.96,12.96,12.89,12.94,16500,12.672427
2015-08-13,12.94,12.94,12.91,12.94,17200,12.672427
2015-08-12,12.98,13.01,12.95,12.95,20400,12.682221
2015-08-11,12.88,13.02,12.88,13.02,21200,12.68418
2015-08-10,12.93,12.98,12.84,12.84,93800,12.508822
2015-08-07,12.89,12.97,12.89,12.97,8300,12.635469
2015-08-06,12.88,12.94,12.85,12.89,22300,12.557533
2015-08-05,12.87,12.95,12.85,12.86,59900,12.528306
2015-08-04,13.08,13.15,12.68,12.86,239500,12.528306
2015-08-03,13.23,13.25,13.08,13.08,78400,12.742632
2015-07-31,13.20,13.23,13.19,13.21,22200,12.869279
2015-07-30,13.24,13.24,13.16,13.18,12800,12.840053
2015-07-29,13.18,13.25,13.15,13.25,40100,12.908247
2015-07-28,13.11,13.16,13.10,13.15,12300,12.810826
2015-07-27,13.13,13.17,13.10,13.11,15100,12.771858
2015-07-24,13.12,13.21,13.12,13.12,14900,12.7816
2015-07-23,13.04,13.15,13.02,13.15,27700,12.810826
2015-07-22,13.12,13.17,13.02,13.09,17100,12.752374
2015-07-21,13.14,13.18,13.06,13.09,20600,12.752374
2015-07-20,13.25,13.28,13.17,13.19,26400,12.849794
2015-07-17,13.19,13.30,13.19,13.30,22400,12.956958
2015-07-16,13.21,13.24,13.18,13.24,48500,12.898505
2015-07-15,13.18,13.23,13.16,13.22,9900,12.879021
2015-07-14,13.13,13.19,13.08,13.18,11900,12.840053
2015-07-13,13.18,13.20,13.10,13.12,31300,12.7816
2015-07-10,13.27,13.28,13.19,13.23,19300,12.822517
2015-07-09,13.24,13.32,13.19,13.32,26500,12.909745
2015-07-08,13.14,13.28,12.96,13.21,21900,12.803133
2015-07-07,13.15,13.24,13.12,13.14,50500,12.735289
2015-07-06,13.05,13.07,12.99,13.02,13500,12.618985
2015-07-02,13.02,13.07,12.96,12.96,11400,12.560833
2015-07-01,13.03,13.04,12.95,12.97,16300,12.570525
2015-06-30,12.97,12.99,12.89,12.97,23400,12.570525
2015-06-29,13.06,13.06,12.92,12.97,37900,12.570525
2015-06-26,13.02,13.05,12.99,13.04,42800,12.638369
2015-06-25,13.12,13.15,13.06,13.06,16200,12.657753
2015-06-24,13.12,13.16,13.09,13.13,8700,12.725597
2015-06-23,13.04,13.18,13.03,13.16,30000,12.754673
2015-06-22,13.04,13.11,13.01,13.08,41100,12.677137
2015-06-19,13.08,13.08,13.00,13.04,11100,12.638369
2015-06-18,12.98,13.05,12.98,13.02,23100,12.618985
2015-06-17,12.94,12.98,12.93,12.96,30200,12.560833
2015-06-16,13.05,13.05,12.96,12.99,30200,12.589909
2015-06-15,12.86,13.03,12.86,13.03,44000,12.628677
2015-06-12,12.69,12.97,12.69,12.83,60500,12.434837
2015-06-11,12.58,12.76,12.58,12.74,24800,12.347609
2015-06-10,12.67,12.77,12.61,12.61,23200,12.155707
2015-06-09,12.73,12.74,12.65,12.70,38900,12.242465
2015-06-08,12.80,12.84,12.72,12.74,36700,12.281024
2015-06-05,12.88,12.90,12.72,12.77,34900,12.309944
2015-06-04,12.91,12.96,12.89,12.89,25900,12.425621
2015-06-03,12.96,12.96,12.92,12.92,17800,12.45454
2015-06-02,12.99,13.02,12.97,12.99,31100,12.522017
2015-06-01,13.00,13.04,12.97,12.99,23400,12.522017
2015-05-29,12.93,13.01,12.93,13.01,6100,12.541297
2015-05-28,12.96,12.96,12.91,12.93,38600,12.464179
2015-05-27,13.00,13.05,12.92,12.97,27500,12.502738
2015-05-26,13.01,13.01,12.97,13.00,37800,12.531657
2015-05-22,13.04,13.05,12.98,13.00,15900,12.531657
2015-05-21,13.05,13.06,13.01,13.04,19000,12.570216
2015-05-20,13.03,13.05,13.00,13.00,19300,12.531657
2015-05-19,13.03,13.06,13.01,13.03,6700,12.560576
2015-05-18,13.21,13.21,13.01,13.05,26600,12.579856
2015-05-15,13.19,13.21,13.16,13.19,30900,12.714812
2015-05-14,13.13,13.17,13.09,13.14,19800,12.666614
2015-05-13,13.11,13.13,13.05,13.05,24500,12.579856
2015-05-12,13.11,13.13,13.04,13.11,26600,12.572144
2015-05-11,13.22,13.22,13.09,13.13,22000,12.591324
2015-05-08,13.21,13.25,13.15,13.22,24100,12.677632
2015-05-07,13.11,13.15,13.08,13.15,52500,12.610503
2015-05-06,13.20,13.20,13.07,13.09,42500,12.552965
2015-05-05,13.27,13.27,13.20,13.22,16000,12.677632
2015-05-04,13.23,13.28,13.23,13.24,26100,12.696811
2015-05-01,13.32,13.33,13.24,13.24,37900,12.696811
2015-04-30,13.36,13.36,13.31,13.32,23500,12.773529
2015-04-29,13.34,13.36,13.33,13.33,16100,12.783119
2015-04-28,13.40,13.40,13.34,13.34,37200,12.792709
2015-04-27,13.43,13.47,13.35,13.35,25000,12.802299
2015-04-24,13.48,13.50,13.38,13.39,25600,12.840657
2015-04-23,13.50,13.51,13.44,13.44,12000,12.888605
2015-04-22,13.50,13.51,13.45,13.49,16500,12.936554
2015-04-21,13.53,13.54,13.45,13.47,31700,12.917375
2015-04-20,13.56,13.58,13.46,13.50,14900,12.946144
2015-04-17,13.52,13.54,13.48,13.54,24400,12.984503
2015-04-16,13.54,13.57,13.47,13.53,29100,12.974913
2015-04-15,13.56,13.56,13.45,13.46,15500,12.907785
2015-04-14,13.48,13.51,13.46,13.48,30200,12.926964
2015-04-13,13.53,13.54,13.43,13.43,19800,12.879016
2015-04-10,13.56,13.61,13.51,13.52,14900,12.900114
2015-04-09,13.56,13.61,13.53,13.55,41300,12.928738
2015-04-08,13.54,13.57,13.51,13.55,23400,12.928738
2015-04-07,13.43,13.56,13.39,13.51,35000,12.890572
2015-04-06,13.47,13.53,13.38,13.38,33100,12.766532
2015-04-02,13.51,13.51,13.37,13.37,20900,12.75699
2015-04-01,13.49,13.54,13.46,13.54,40200,12.919196
2015-03-31,13.36,13.48,13.36,13.48,17400,12.861947
2015-03-30,13.39,13.43,13.34,13.42,38000,12.804698
