Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,8.64,8.72,8.52,8.68,786100,8.660318
2015-10-08,8.27,8.61,8.25,8.61,684100,8.590476
2015-10-07,8.24,8.33,8.12,8.28,792200,8.261224
2015-10-06,8.21,8.31,8.13,8.17,619600,8.151474
2015-10-05,7.83,8.24,7.82,8.23,774700,8.211337
2015-10-02,7.48,7.77,7.45,7.77,774500,7.752381
2015-10-01,7.67,7.78,7.48,7.57,626600,7.552834
2015-09-30,7.50,7.69,7.50,7.66,1739200,7.64263
2015-09-29,7.57,7.64,7.39,7.46,1258500,7.443084
2015-09-28,7.74,7.80,7.56,7.57,1015200,7.552834
2015-09-25,7.98,7.98,7.73,7.78,1047800,7.762358
2015-09-24,7.78,7.91,7.68,7.87,679100,7.852154
2015-09-23,8.07,8.08,7.82,7.87,799200,7.852154
2015-09-22,8.23,8.33,7.92,8.03,1082500,8.011791
2015-09-21,8.29,8.42,8.17,8.33,553200,8.311111
2015-09-18,8.27,8.42,8.18,8.21,988700,8.191383
2015-09-17,8.45,8.51,8.39,8.41,994800,8.390929
2015-09-16,8.47,8.50,8.40,8.48,1520200,8.46077
2015-09-15,8.50,8.50,8.39,8.47,940800,8.450794
2015-09-14,8.49,8.51,8.37,8.47,793500,8.450794
2015-09-11,8.32,8.48,8.28,8.44,660900,8.420861
2015-09-10,8.46,8.59,8.37,8.38,797400,8.360998
2015-09-09,8.72,8.76,8.52,8.52,661300,8.500681
2015-09-08,8.69,8.74,8.62,8.68,545200,8.660318
2015-09-04,8.47,8.65,8.46,8.53,387900,8.510657
2015-09-03,8.57,8.67,8.51,8.60,1048800,8.580499
2015-09-02,8.67,8.67,8.50,8.57,627900,8.550566
2015-09-01,8.76,8.85,8.49,8.53,712700,8.510657
2015-08-31,8.93,9.03,8.76,8.95,1205700,8.929705
2015-08-28,8.52,9.07,8.51,9.01,2676700,8.989569
2015-08-27,8.40,8.56,8.28,8.51,1048000,8.490703
2015-08-26,8.22,8.40,8.08,8.32,1275500,8.301133
2015-08-25,8.61,8.66,8.03,8.06,946200,8.041724
2015-08-24,7.97,8.61,7.04,8.41,2023000,8.390929
2015-08-21,8.41,8.54,8.30,8.37,2005400,8.35102
2015-08-20,8.86,8.87,8.57,8.58,693900,8.560544
2015-08-19,8.80,9.04,8.79,8.93,1132200,8.909751
2015-08-18,8.89,8.93,8.82,8.87,597800,8.849886
2015-08-17,8.77,8.91,8.74,8.90,453800,8.879818
2015-08-14,8.72,8.84,8.72,8.82,482500,8.799999
2015-08-13,8.79,8.86,8.69,8.74,810100,8.720181
2015-08-12,8.82,8.84,8.68,8.81,524800,8.790023
2015-08-11,8.83,8.94,8.77,8.89,562500,8.869841
2015-08-10,8.85,8.96,8.79,8.92,800100,8.899773
2015-08-07,8.66,8.82,8.66,8.79,898200,8.770068
2015-08-06,8.98,9.02,8.69,8.74,1774800,8.720181
2015-08-05,8.84,9.03,8.81,9.00,1511200,8.959637
2015-08-04,9.13,9.15,8.74,8.77,1203700,8.730669
2015-08-03,8.92,9.19,8.91,9.11,2129000,9.069143
2015-07-31,8.58,9.27,8.27,8.93,3536300,8.889951
2015-07-30,8.42,8.59,8.37,8.53,840500,8.491745
2015-07-29,8.37,8.47,8.31,8.44,530900,8.402148
2015-07-28,8.30,8.40,8.17,8.38,1148300,8.342418
2015-07-27,8.33,8.37,8.24,8.28,465000,8.242866
2015-07-24,8.40,8.51,8.34,8.35,741800,8.312553
2015-07-23,8.64,8.66,8.48,8.50,956500,8.461879
2015-07-22,8.52,8.66,8.52,8.62,1173900,8.581341
2015-07-21,8.51,8.58,8.41,8.53,1165400,8.491745
2015-07-20,8.58,8.62,8.51,8.52,1173500,8.48179
2015-07-17,8.68,8.68,8.52,8.58,1056100,8.541521
2015-07-16,8.79,8.84,8.60,8.68,2056400,8.641072
2015-07-15,8.93,9.00,8.68,8.76,1124600,8.720714
2015-07-14,8.92,8.99,8.90,8.95,351500,8.909861
2015-07-13,8.88,8.94,8.85,8.93,444700,8.889951
2015-07-10,8.83,8.89,8.73,8.82,1135500,8.780444
2015-07-09,8.93,8.95,8.72,8.73,885100,8.690847
2015-07-08,8.93,8.99,8.70,8.82,632600,8.780444
2015-07-07,9.01,9.01,8.80,9.00,951600,8.959637
2015-07-06,9.06,9.14,8.86,8.98,1372700,8.939726
2015-07-02,9.24,9.25,9.05,9.16,591100,9.118919
2015-07-01,9.20,9.29,9.07,9.21,888500,9.168695
2015-06-30,9.19,9.20,9.06,9.10,763600,9.059189
2015-06-29,9.24,9.34,9.07,9.07,1032200,9.029323
2015-06-26,9.33,9.40,9.28,9.35,1225400,9.308068
2015-06-25,9.30,9.34,9.21,9.30,506200,9.258292
2015-06-24,9.36,9.39,9.23,9.25,803800,9.208516
2015-06-23,9.37,9.46,9.35,9.37,862100,9.327978
2015-06-22,9.32,9.40,9.25,9.38,636200,9.337933
2015-06-19,9.29,9.33,9.21,9.24,2885500,9.19856
2015-06-18,9.31,9.35,9.23,9.33,909300,9.288157
2015-06-17,9.37,9.37,9.24,9.30,907600,9.258292
2015-06-16,9.20,9.39,9.13,9.35,1693500,9.308068
2015-06-15,9.39,9.39,9.02,9.22,2469100,9.178651
2015-06-12,9.60,9.66,9.49,9.53,609100,9.48726
2015-06-11,9.60,9.68,9.57,9.66,811300,9.616677
2015-06-10,9.51,9.72,9.51,9.59,952900,9.546991
2015-06-09,9.34,9.56,9.33,9.48,708200,9.437484
2015-06-08,9.41,9.44,9.35,9.36,406400,9.318022
2015-06-05,9.36,9.44,9.26,9.44,892500,9.397663
2015-06-04,9.60,9.70,9.35,9.37,688500,9.327978
2015-06-03,9.55,10.11,9.42,9.69,1917900,9.646542
2015-06-02,9.34,9.61,9.27,9.48,864200,9.437484
2015-06-01,9.30,9.38,8.95,9.35,1121100,9.308068
2015-05-29,9.30,9.34,9.21,9.22,509300,9.178651
2015-05-28,9.38,9.41,9.22,9.32,679600,9.278202
2015-05-27,9.28,9.43,9.21,9.40,738000,9.357843
2015-05-26,9.26,9.30,9.14,9.26,759700,9.218471
2015-05-22,9.46,9.53,9.33,9.34,1193200,9.298112
2015-05-21,9.50,9.63,9.45,9.46,1456400,9.417574
2015-05-20,9.52,9.55,9.39,9.51,570600,9.46735
2015-05-19,9.58,9.62,9.50,9.56,1057200,9.517126
2015-05-18,9.49,9.62,9.38,9.61,701500,9.566901
2015-05-15,9.57,9.61,9.42,9.49,515600,9.447439
2015-05-14,9.49,9.66,9.49,9.55,1039200,9.507171
2015-05-13,9.49,9.57,9.43,9.49,808100,9.447439
2015-05-12,9.56,9.61,9.36,9.50,843800,9.457395
2015-05-11,9.58,9.72,9.55,9.61,526300,9.566901
2015-05-08,9.58,9.66,9.55,9.61,991300,9.566901
2015-05-07,9.48,9.56,9.40,9.51,518000,9.46735
2015-05-06,9.43,9.50,9.29,9.49,875500,9.447439
2015-05-05,9.69,9.79,9.41,9.44,750400,9.377753
2015-05-04,9.70,9.78,9.64,9.72,788900,9.655908
2015-05-01,9.37,9.69,9.32,9.66,1623500,9.596303
2015-04-30,9.64,9.74,9.32,9.36,1834400,9.298281
2015-04-29,10.14,10.19,9.70,9.71,4634100,9.645973
2015-04-28,10.27,10.33,10.18,10.20,2832500,10.132742
2015-04-27,10.34,10.49,10.26,10.27,1395700,10.202281
2015-04-24,10.26,10.34,10.23,10.34,797100,10.271819
2015-04-23,10.23,10.30,10.15,10.25,1431000,10.182413
2015-04-22,9.98,10.29,9.97,10.26,1092500,10.192347
2015-04-21,10.19,10.22,9.90,9.99,1613400,9.924127
2015-04-20,10.10,10.19,10.09,10.18,560400,10.112875
2015-04-17,10.02,10.10,9.96,10.05,1573900,9.983732
2015-04-16,10.31,10.33,10.10,10.11,1785200,10.043336
2015-04-15,10.19,10.39,10.18,10.36,1002300,10.291687
2015-04-14,10.10,10.17,10.05,10.17,1243400,10.10294
2015-04-13,9.96,10.10,9.91,10.10,603800,10.033402
2015-04-10,9.98,10.01,9.91,9.95,1082000,9.884391
2015-04-09,10.04,10.07,9.84,9.95,549700,9.884391
2015-04-08,10.13,10.16,9.98,10.02,769700,9.95393
2015-04-07,10.12,10.17,10.09,10.16,848100,10.093006
2015-04-06,9.92,10.12,9.89,10.12,1009900,10.05327
2015-04-02,9.98,10.09,9.89,9.97,1828000,9.904259
2015-04-01,9.84,9.94,9.80,9.86,760300,9.794984
2015-03-31,9.87,9.92,9.79,9.85,695400,9.785051
2015-03-30,9.83,9.98,9.80,9.95,716100,9.884391
2015-03-27,9.73,9.78,9.65,9.76,1051700,9.695644
2015-03-26,9.69,9.75,9.63,9.73,1335300,9.665841
2015-03-25,9.73,9.82,9.65,9.74,1093100,9.675775
2015-03-24,9.76,9.86,9.63,9.70,1480400,9.636039
2015-03-23,9.76,9.84,9.69,9.75,873000,9.68571
2015-03-20,9.74,9.78,9.63,9.77,1638400,9.705578
2015-03-19,9.61,9.69,9.56,9.67,665500,9.606237
2015-03-18,9.34,9.66,9.31,9.65,1191800,9.586369
2015-03-17,9.35,9.42,9.27,9.39,499800,9.328084
2015-03-16,9.42,9.44,9.34,9.36,597500,9.298281
2015-03-13,9.37,9.41,9.30,9.40,749500,9.338017
2015-03-12,9.34,9.41,9.24,9.36,700800,9.298281
2015-03-11,9.23,9.25,9.07,9.25,1039800,9.189007
2015-03-10,9.22,9.28,9.19,9.24,1417400,9.179072
2015-03-09,9.26,9.31,9.21,9.28,642800,9.218809
2015-03-06,9.17,9.28,9.17,9.25,1369700,9.189007
2015-03-05,9.21,9.28,9.11,9.27,864600,9.208875
2015-03-04,9.17,9.25,9.13,9.21,889000,9.14927
2015-03-03,9.36,9.36,9.20,9.25,832500,9.189007
2015-03-02,9.18,9.40,9.12,9.38,1458100,9.318149
2015-02-27,9.15,9.25,9.08,9.16,1041000,9.0996
2015-02-26,9.19,9.28,9.05,9.17,1400200,9.109534
2015-02-25,9.34,9.36,9.15,9.21,1382000,9.14927
2015-02-24,9.24,9.40,9.20,9.37,1269700,9.308215
2015-02-23,9.18,9.25,9.08,9.25,690700,9.189007
2015-02-20,9.16,9.26,9.02,9.19,937400,9.129402
2015-02-19,9.17,9.26,9.03,9.20,691400,9.139336
2015-02-18,9.12,9.21,9.08,9.19,1329400,9.129402
2015-02-17,9.23,9.24,9.12,9.16,1480000,9.0996
2015-02-13,9.08,9.24,9.06,9.19,921500,9.129402
2015-02-12,9.04,9.12,8.97,9.10,1546200,9.039996
2015-02-11,8.96,9.04,8.84,8.97,1703300,8.910853
2015-02-10,9.19,9.21,8.99,9.01,1350000,8.950589
2015-02-09,9.04,9.31,9.00,9.13,1718200,9.069798
2015-02-06,9.14,9.18,8.94,9.05,1773800,8.990326
2015-02-05,9.08,9.17,8.92,9.14,2651000,9.061851
2015-02-04,9.93,9.93,8.34,8.92,10220700,8.843732
2015-02-03,10.26,10.54,10.22,10.54,1370900,10.44988
2015-02-02,10.26,10.33,10.07,10.23,1164400,10.14253
2015-01-30,10.04,10.27,10.04,10.23,1482900,10.14253
2015-01-29,9.99,10.13,9.86,10.13,1413700,10.043386
