Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,15.98,16.00,15.96,15.97,12500,15.610874
2015-10-08,16.01,16.02,15.95,15.95,19500,15.591323
2015-10-07,16.139999,16.16,15.99,15.99,26600,15.630423
2015-10-06,16.040001,16.18,15.99,16.049999,28900,15.689074
2015-10-05,16.10,16.18,15.99,16.02,41200,15.659749
2015-10-02,15.90,16.129999,15.89,16.129999,24200,15.767275
2015-10-01,15.85,15.90,15.83,15.90,39500,15.542447
2015-09-30,15.79,15.85,15.78,15.84,13000,15.483797
2015-09-29,15.80,15.86,15.72,15.72,36500,15.366495
2015-09-28,15.83,15.85,15.75,15.77,17400,15.415371
2015-09-25,15.72,15.83,15.71,15.81,13200,15.454472
2015-09-24,15.79,15.81,15.65,15.65,26600,15.298069
2015-09-23,15.80,15.82,15.74,15.82,11300,15.464246
2015-09-22,15.77,15.85,15.74,15.76,34300,15.405596
2015-09-21,15.88,15.88,15.81,15.88,19500,15.522897
2015-09-18,15.77,15.90,15.72,15.82,24300,15.464246
2015-09-17,15.63,15.74,15.61,15.74,13200,15.386045
2015-09-16,15.53,15.63,15.53,15.58,25400,15.229643
2015-09-15,15.60,15.60,15.51,15.53,21600,15.180768
2015-09-14,15.64,15.69,15.54,15.55,46200,15.200318
2015-09-11,15.62,15.69,15.61,15.63,39300,15.278519
2015-09-10,15.67,15.71,15.65,15.68,38500,15.255059
2015-09-09,15.70,15.72,15.67,15.68,48300,15.255059
2015-09-08,15.74,15.75,15.69,15.72,18000,15.293975
2015-09-04,15.70,15.73,15.65,15.68,18100,15.255059
2015-09-03,15.68,15.73,15.61,15.64,32700,15.216143
2015-09-02,15.70,15.74,15.59,15.59,70200,15.167498
2015-09-01,15.55,15.65,15.50,15.65,60500,15.225871
2015-08-31,15.46,15.54,15.43,15.49,60800,15.070207
2015-08-28,15.35,15.41,15.23,15.41,42200,14.992376
2015-08-27,15.57,15.57,15.38,15.44,50400,15.021562
2015-08-26,15.51,15.54,15.44,15.50,80500,15.079937
2015-08-25,15.53,15.53,15.43,15.46,38800,15.041021
2015-08-24,15.47,15.52,15.41,15.41,44400,14.992376
2015-08-21,15.47,15.54,15.47,15.50,19100,15.079937
2015-08-20,15.51,15.53,15.44,15.50,19700,15.079937
2015-08-19,15.44,15.54,15.42,15.47,28300,15.05075
