Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,15.30,15.30,15.22,15.22,146300,14.985453
2015-10-08,15.19,15.28,15.18,15.27,99300,15.034682
2015-10-07,15.20,15.22,15.17,15.19,65700,14.955914
2015-10-06,15.15,15.22,15.14,15.17,136900,14.936223
2015-10-05,15.17,15.21,15.12,15.20,133600,14.96576
2015-10-02,15.12,15.19,15.06,15.19,125600,14.955914
2015-10-01,15.06,15.10,14.99,15.03,134700,14.79838
2015-09-30,14.92,14.99,14.92,14.95,167200,14.719613
2015-09-29,14.90,14.98,14.87,14.97,131100,14.739305
2015-09-28,14.78,14.89,14.78,14.85,96200,14.621155
2015-09-25,14.84,14.84,14.77,14.79,136200,14.562079
2015-09-24,14.89,14.90,14.81,14.84,102600,14.611309
2015-09-23,14.89,14.93,14.85,14.89,71100,14.660538
2015-09-22,14.81,14.89,14.81,14.83,115700,14.601462
2015-09-21,14.91,14.95,14.82,14.84,80800,14.611309
2015-09-18,14.90,14.96,14.81,14.92,127500,14.690076
2015-09-17,14.71,14.81,14.69,14.75,147800,14.522695
2015-09-16,14.67,14.75,14.63,14.72,127300,14.493158
2015-09-15,14.72,14.72,14.62,14.62,93100,14.394699
2015-09-14,14.74,14.80,14.68,14.68,108400,14.453774
2015-09-11,14.73,14.76,14.71,14.74,75600,14.512849
2015-09-10,14.86,14.86,14.77,14.79,107600,14.48725
2015-09-09,14.80,14.80,14.75,14.78,97100,14.477455
2015-09-08,14.80,14.83,14.76,14.80,99600,14.497046
2015-09-04,14.62,14.81,14.62,14.81,104800,14.506841
2015-09-03,14.66,14.66,14.58,14.66,75800,14.359911
2015-09-02,14.62,14.66,14.56,14.65,112000,14.350116
2015-09-01,14.51,14.57,14.48,14.56,189700,14.261959
2015-08-31,14.49,14.51,14.44,14.45,157500,14.15421
2015-08-28,14.45,14.48,14.41,14.43,116300,14.13462
2015-08-27,14.58,14.58,14.45,14.50,168400,14.203186
2015-08-26,14.54,14.54,14.49,14.51,116100,14.212982
2015-08-25,14.57,14.58,14.49,14.54,103100,14.242368
2015-08-24,14.62,14.63,14.50,14.50,208700,14.203186
2015-08-21,14.62,14.63,14.54,14.54,151300,14.242368
2015-08-20,14.60,14.62,14.55,14.61,111900,14.310934
2015-08-19,14.61,14.61,14.54,14.57,109800,14.271753
2015-08-18,14.58,14.62,14.53,14.62,159300,14.32073
2015-08-17,14.53,14.55,14.50,14.55,120800,14.252163
2015-08-14,14.54,14.58,14.48,14.52,89100,14.222777
2015-08-13,14.54,14.60,14.51,14.60,86300,14.30114
2015-08-12,14.52,14.56,14.50,14.55,118800,14.252163
2015-08-11,14.49,14.60,14.49,14.59,106400,14.2169
2015-08-10,14.48,14.54,14.48,14.49,149100,14.119457
2015-08-07,14.47,14.50,14.45,14.48,70700,14.109713
2015-08-06,14.45,14.50,14.44,14.46,94600,14.090225
2015-08-05,14.54,14.54,14.42,14.44,111200,14.070736
2015-08-04,14.54,14.55,14.49,14.49,121400,14.119457
2015-08-03,14.51,14.55,14.45,14.49,105500,14.119457
2015-07-31,14.41,14.48,14.40,14.48,61700,14.109713
2015-07-30,14.46,14.46,14.37,14.40,81500,14.031759
2015-07-29,14.41,14.47,14.40,14.43,93000,14.060992
2015-07-28,14.37,14.43,14.37,14.40,74400,14.031759
2015-07-27,14.46,14.46,14.38,14.38,69600,14.01227
2015-07-24,14.47,14.47,14.38,14.40,52200,14.031759
2015-07-23,14.36,14.44,14.34,14.44,95400,14.070736
2015-07-22,14.40,14.40,14.36,14.40,48000,14.031759
2015-07-21,14.36,14.42,14.33,14.37,112500,14.002526
2015-07-20,14.34,14.39,14.31,14.38,68500,14.01227
2015-07-17,14.43,14.45,14.34,14.37,84000,14.002526
2015-07-16,14.45,14.46,14.38,14.40,130900,14.031759
2015-07-15,14.44,14.45,14.40,14.43,88400,14.060992
2015-07-14,14.49,14.49,14.42,14.46,150300,14.090225
2015-07-13,14.61,14.61,14.48,14.49,149400,14.119457
2015-07-10,14.54,14.68,14.52,14.68,199200,14.230543
2015-07-09,14.61,14.61,14.54,14.56,88200,14.114217
2015-07-08,14.53,14.63,14.52,14.60,117800,14.152992
2015-07-07,14.53,14.61,14.53,14.59,157500,14.143298
2015-07-06,14.40,14.51,14.40,14.50,105000,14.056054
2015-07-02,14.55,14.55,14.40,14.44,142800,13.99789
2015-07-01,14.42,14.54,14.33,14.52,267900,14.075442
2015-06-30,14.16,14.38,14.15,14.38,188200,13.939728
2015-06-29,14.36,14.36,14.14,14.18,293800,13.745851
2015-06-26,14.41,14.45,14.27,14.41,294800,13.968809
2015-06-25,14.52,14.52,14.43,14.43,170000,13.988197
2015-06-24,14.54,14.56,14.47,14.49,114500,14.046359
2015-06-23,14.57,14.62,14.57,14.58,99700,14.133604
2015-06-22,14.61,14.64,14.57,14.59,138900,14.143298
2015-06-19,14.64,14.69,14.61,14.68,148100,14.230543
2015-06-18,14.49,14.65,14.49,14.64,120900,14.191767
2015-06-17,14.42,14.53,14.40,14.51,118500,14.065748
2015-06-16,14.49,14.57,14.40,14.46,188700,14.017278
2015-06-15,14.44,14.55,14.44,14.54,162000,14.094829
2015-06-12,14.48,14.52,14.40,14.44,146000,13.99789
2015-06-11,14.45,14.46,14.37,14.43,436900,13.988197
2015-06-10,14.39,14.55,14.33,14.45,360200,13.933911
2015-06-09,14.81,14.81,14.46,14.48,612500,13.962839
2015-06-08,14.96,14.96,14.76,14.83,322100,14.300339
2015-06-05,15.00,15.03,14.86,14.94,300900,14.40641
